"koi_disposition","kepid","kepoi_name","tce_plnt_num","tce_sradius","tce_fwm_stat","tce_fwm_pdeco"
"CANDIDATE",11446443,"K00001.01",1,0.964,2480.3,0.0007788
"CANDIDATE",10666592,"K00002.01",1,1.952,0,0
"CANDIDATE",10748390,"K00003.01",1,0.763,985.47,0.0008108
"CANDIDATE",3861595,"K00004.01",1,2.992,208.36,0.0001224
"CANDIDATE",8554498,"K00005.01",1,1.787,47.32,-0.0001082
"FALSE POSITIVE",3248033,"K00006.01",1,1.58,0,-0.003615
"CANDIDATE",11853905,"K00007.01",1,1.545,66.373,5.112e-05
"FALSE POSITIVE",5903312,"K00008.01",1,0.985,25285,-0.0004966
"FALSE POSITIVE",11553706,"K00009.01",1,2.348,311460,0.01866
"CANDIDATE",6922244,"K00010.01",1,1.451,96.827,0.0003616
"FALSE POSITIVE",11913073,"K00011.01",1,0.826,10818,0.004598
"CANDIDATE",5812701,"K00012.01",1,1.367,1550.1,-0.0009708
"CANDIDATE",9941662,"K00013.01",1,3.031,0,0
"FALSE POSITIVE",7684873,"K00014.01",1,2.234,1644,5.322e-05
"FALSE POSITIVE",3964562,"K00015.01",1,2.031,0,0
"FALSE POSITIVE",9110357,"K00016.01",1,3.325,900730,0.06975
"CANDIDATE",10874614,"K00017.01",1,1.291,1939.7,0.0008648
"CANDIDATE",8191672,"K00018.01",1,1.746,1052.3,-0.000686
"FALSE POSITIVE",7255336,"K00019.01",1,1.349,478.35,-2.683e-05
"CANDIDATE",11804465,"K00020.01",1,1.415,8.0673,8.806e-05
"FALSE POSITIVE",10125352,"K00021.01",1,2.002,18087,-0.00363
"CANDIDATE",9631995,"K00022.01",1,1.237,918.78,0.0009601
"FALSE POSITIVE",9071386,"K00023.01",1,1.47,48.07,-1.322e-05
"FALSE POSITIVE",4743513,"K00024.01",1,1.417,173010,0.008371
"FALSE POSITIVE",10593759,"K00025.01",1,1.181,11.039,-8.061e-05
"FALSE POSITIVE",5021737,"K00026.01",1,1.441,325400,-0.006092
"FALSE POSITIVE",3832716,"K00027.01",1,1.368,0,0
"FALSE POSITIVE",4247791,"K00028.01",1,1.51,454450,0.02054
"FALSE POSITIVE",6956014,"K00031.01",1,24.49,37.393,3.581e-05
"FALSE POSITIVE",5725087,"K00033.01",1,31.5,63.814,-5.153e-05
"CANDIDATE",6521045,"K00041.01",1,1.474,75.691,-0.0001281
"CANDIDATE",6521045,"K00041.02",2,1.474,19.441,-5.996e-05
"CANDIDATE",6521045,"K00041.03",3,1.474,3.2297,-5.045e-05
"CANDIDATE",8866102,"K00042.01",1,1.337,102.69,0.0001457
"FALSE POSITIVE",9025922,"K00043.01",1,1,60703,0.06295
"FALSE POSITIVE",8845026,"K00044.01",1,1.073,978.52,-0.001799
"FALSE POSITIVE",3742855,"K00045.01",1,1,147990,-0.05663
"CANDIDATE",10905239,"K00046.01",1,1.593,10.616,-7.65e-05
"CANDIDATE",10905239,"K00046.02",2,1.593,1.123,2.684e-05
"FALSE POSITIVE",7837302,"K00048.01",1,1.94,84.124,-0.0006494
"CANDIDATE",9527334,"K00049.01",1,0.951,3.3516,8.647e-06
"FALSE POSITIVE",6056992,"K00051.01",1,1,11958,0.04291
"FALSE POSITIVE",3558981,"K00052.01",1,0.821,0,-0.003217
"FALSE POSITIVE",2445975,"K00053.01",1,1,3147.9,-0.00428
"FALSE POSITIVE",8248939,"K00061.01",1,1.091,114340,-0.0036
"CANDIDATE",11554435,"K00063.01",1,0.886,19.576,-9.444e-05
"CANDIDATE",7051180,"K00064.01",1,2.426,15.203,7.244e-05
"FALSE POSITIVE",10620329,"K00066.01",1,2.622,0,-2.884e-05
"FALSE POSITIVE",8669092,"K00068.01",1,3.177,10.815,-5.345e-05
"CANDIDATE",3544595,"K00069.01",1,0.894,3.7848,1.635e-05
"CANDIDATE",6850504,"K00070.01",1,0.925,6.7293,-5.514e-05
"CANDIDATE",6850504,"K00070.02",2,0.925,4.8634,2.923e-05
"CANDIDATE",6850504,"K00070.03",3,0.925,6.1009,0.0001024
"CANDIDATE",6850504,"K00070.04",4,0.925,1.9557,2.47e-05
"CANDIDATE",6850504,"K00070.05",5,0.925,2.5751,-4.405e-05
"CANDIDATE",11904151,"K00072.01",1,1.044,3.3095,6.128e-05
"CANDIDATE",11904151,"K00072.02",2,1.044,8.3553,-2.284e-05
"FALSE POSITIVE",6889235,"K00074.01",1,1.941,37.419,-4.611e-05
"CANDIDATE",7199397,"K00075.01",1,2.499,456.59,-0.0008328
"FALSE POSITIVE",9955262,"K00076.01",1,2.909,337.25,-0.0007428
"FALSE POSITIVE",9552608,"K00080.01",1,3.294,9.2356,-6.04e-05
"FALSE POSITIVE",8823868,"K00081.01",1,2.533,366.39,-0.000332
"CANDIDATE",10187017,"K00082.01",1,0.741,2.4461,-3.555e-05
"CANDIDATE",10187017,"K00082.02",2,0.741,4.9411,1.449e-05
"CANDIDATE",10187017,"K00082.03",3,0.741,0.92504,2.79e-05
"CANDIDATE",10187017,"K00082.04",4,0.741,3.4636,2.566e-05
"CANDIDATE",10187017,"K00082.05",5,0.741,5.1481,-2.593e-05
"CANDIDATE",10187017,"K00082.06",6,0.741,1.3106,-3.415e-05
"CANDIDATE",2571238,"K00084.01",1,0.81,0.81473,-1.688e-05
"CANDIDATE",5866724,"K00085.01",1,1.424,51.847,-6.693e-05
"CANDIDATE",5866724,"K00085.02",2,1.424,4.6949,-1.214e-05
"CANDIDATE",5866724,"K00085.03",3,1.424,7.9844,-2.972e-05
