"koi_disposition","kepid","kepoi_name","tce_ingress","tce_model_chisq","tce_minmesd","tce_fwm_srao","tce_fwm_pdeco","tce_impact_sn","tce_sma_sn","tce_smet_sn","tce_fwm_sdeco_sn"
"CANDIDATE",11446443,"K00001.01",0.6188,7199,1.796,-0.02322,0.0007788,3421.03126268778,31.1521547933157,-0.4,60.5681818181818
"CANDIDATE",10666592,"K00002.01",0.4694,20270,0.9536,0.3986,0,302.283770651118,22.0752498530276,0.933333333333334,-334.140969162996
"CANDIDATE",10748390,"K00003.01",0.1817,4935,-1.196,1.98,0.0008108,17.2865013774105,27.093142272262,2.13333333333333,453.821656050955
"CANDIDATE",3861595,"K00004.01",0.6598,5579,1.82,-0.05632,0.0001224,520.022371364653,3.33861144945189,-0.8,-7.35567010309278
"CANDIDATE",8554498,"K00005.01",0.7206,3908,1.841,-0.001298,-0.0001082,939.823008849558,18.3941378235111,1.6,-1.47291066282421
"FALSE POSITIVE",3248033,"K00006.01",0.0955,15460,0.8185,-50.63,-0.003615,4.06795679567957,5.19258796585467,0,167.898383371824
"CANDIDATE",11853905,"K00007.01",0.2783,11200,0.4836,0.2591,5.112e-05,19.2463909958405,20.4414498141264,1.2,-1.052466367713
"FALSE POSITIVE",5903312,"K00008.01",0.07633,13800,0.5414,-36.27,-0.0004966,5.35336109458656,7.5728500355366,-0.666666666666667,23.273127753304
"FALSE POSITIVE",11553706,"K00009.01",1.788,11790,1.985,8.465,0.01866,755.051710421639,3.2018691588785,-0.666666666666667,-351.701244813278
"CANDIDATE",6922244,"K00010.01",0.5262,9927,2.175,-0.5515,0.0003616,216.462293071735,15.1880424300868,-0.266666666666667,-7.97994652406417
"FALSE POSITIVE",11913073,"K00011.01",2.32,11130,2.004,1.642,0.004598,351.460512080779,5.09812617806852,-0.133333333333333,-75.9285714285714
"CANDIDATE",5812701,"K00012.01",0.6566,4227,-2.963,-0.0764,-0.0009708,27.3986152324431,6.13075657894737,0.466666666666667,53.6748329621381
"CANDIDATE",9941662,"K00013.01",0.285,25810,1.001,-0.176,0,169.255855321672,2.52848722986248,0.1,254.290909090909
"FALSE POSITIVE",7684873,"K00014.01",0.7462,6157,1.569,-1.363,5.322e-05,1573.46048165508,4.33568281938326,-0.466666666666667,4.858
"FALSE POSITIVE",3964562,"K00015.01",1.557,8859,1.625,-84.28,0,94.3383742911153,4.16426282051282,0.323076923076923,-90.1015228426396
"FALSE POSITIVE",9110357,"K00016.01",0.976,31350,0.2813,-275.6,0.06975,66.4300066979236,2.14577530176416,-0.228571428571429,-1299.34640522876
"CANDIDATE",10874614,"K00017.01",0.3059,10060,1.853,0.05247,0.0008648,0.0552281616688396,15.4532527550658,2.26666666666667,34.6904761904762
"CANDIDATE",8191672,"K00018.01",0.3336,14670,1.396,0.02196,-0.000686,0.00576243504083148,14.2441528807758,0.266666666666667,9.62147887323943
"FALSE POSITIVE",7255336,"K00019.01",0.939,17450,0.1906,0.02982,-2.683e-05,771.821862348178,5.79788605310647,-1.6,12.4145785876993
"CANDIDATE",11804465,"K00020.01",0.4927,9376,2.367,-0.007793,8.806e-05,1.08741066520066e-05,5.42330677290837,0.533333333333333,4.86908077994429
"FALSE POSITIVE",10125352,"K00021.01",1.14,4948,2.217,1.782,-0.00363,84.2167654530059,3.00675675675676,-1.6,42.2367149758454
"CANDIDATE",9631995,"K00022.01",0.4817,6005,2.122,-0.1774,0.0009601,46.0019175455417,6.96655231560892,1.6,-12.9012517385257
"FALSE POSITIVE",9071386,"K00023.01",0.574,11590,2.173,0.0926,-1.322e-05,67.2428154935444,6.55274077309456,1,22.9041095890411
"FALSE POSITIVE",4743513,"K00024.01",0.7433,42450,0.9486,-7.817,0.008371,583.333333333333,3.29613175858706,-2.46666666666667,-244.660194174757
"FALSE POSITIVE",10593759,"K00025.01",1.802,16080,1.078,0.1456,-8.061e-05,129.110164019114,3.63122362869198,-0.2,13.3693304535637
"FALSE POSITIVE",5021737,"K00026.01",2.653,21380,8.269,-7.85,-0.006092,4.67726847521048,3.8887199756765,-0.333333333333333,132.547169811321
"FALSE POSITIVE",3832716,"K00027.01",0.3386,-1,0.4792,0,0,-0.1,-0.02116,-1.26666666666667,0
"FALSE POSITIVE",4247791,"K00028.01",4.031,110900,0.9675,-0.03921,0.02054,305.044091710758,3.4016522011921,0.2,-644.897959183673
"FALSE POSITIVE",6956014,"K00031.01",0.1993,29900,0.3719,0.02297,3.581e-05,28.2884012539185,0,-0.266666666666667,-6.80188679245283
"FALSE POSITIVE",5725087,"K00033.01",0.03171,19720,0.2958,-2.05,-5.153e-05,6.797583081571,0,-1.92,3.76113360323887
"CANDIDATE",6521045,"K00041.01",0.2673,5333,3.324,-0.143,-0.0001281,7.14311111111111,20.2003338898164,0.666666666666667,2.7724358974359
"CANDIDATE",6521045,"K00041.02",0.2167,6520,2.132,0.3955,-5.996e-05,7.4513201320132,20.2048260381594,0.666666666666667,1.90679347826087
"CANDIDATE",6521045,"K00041.03",0.365,1612,-1.206,0.4093,-5.045e-05,7.73599320882852,20.2075471698113,0.666666666666667,0.655536028119508
"CANDIDATE",8866102,"K00042.01",0.3838,2934,10.18,0.2593,0.0001457,48.6865342163355,22.9886914378029,0,5.51415094339623
"FALSE POSITIVE",9025922,"K00043.01",0.9604,4843,8.172,-37.61,0.06295,59.7972972972973,1011375.28182005,1.06666666666667,-256.118143459916
"FALSE POSITIVE",8845026,"K00044.01",2.016,3437,1.744,0.7125,-0.001799,20.7267645003494,4.06021558666832,0.6,-18.25
"FALSE POSITIVE",3742855,"K00045.01",1.583,12670,2.958,2.72,-0.05663,259.38451132905,4717482.51748252,1.06666666666667,306.356589147287
"CANDIDATE",10905239,"K00046.01",0.271,12970,0.8991,-0.055,-7.65e-05,11.0242628992629,4.55731225296443,2,4.60332541567696
"CANDIDATE",10905239,"K00046.02",0.1389,5756,2.731,-1.214,2.684e-05,1.21359223300971,4.5562414266118,2,-0.296573426573427
"FALSE POSITIVE",7837302,"K00048.01",2.971,4672,3.848,-0.005123,-0.0006494,115.536791314837,1.99184554502938,-1.33333333333333,-1.0226368159204
"CANDIDATE",9527334,"K00049.01",0.2376,3966,4.838,0.135,8.647e-06,8.80135860633286,7.12771503040834,0.466666666666667,-1.31456953642384
"FALSE POSITIVE",6056992,"K00051.01",1.932,3729,1.229,-0.8123,0.04291,32.2937350222526,6271812.08053691,1.06666666666667,-29.6143497757848
"FALSE POSITIVE",3558981,"K00052.01",0.7326,13150,1.571,0.4727,-0.003217,484.214390602056,7.83367139959432,0.233333333333333,-113.221957040573
"FALSE POSITIVE",2445975,"K00053.01",0.5502,14270,2.421,-0.4423,-0.00428,104.801210620443,9839572.19251337,1.06666666666667,-19.475
"FALSE POSITIVE",8248939,"K00061.01",0.1659,15240,-0.3583,-17.03,-0.0036,14.6936790923825,3.80866174627489,-0.8,232.159090909091
"CANDIDATE",11554435,"K00063.01",0.3126,3729,3.523,0.1696,-9.444e-05,53.8032532920217,8.25915221579961,0.266666666666667,30.8
"CANDIDATE",7051180,"K00064.01",0.2784,9038,0.4625,-0.2441,7.244e-05,84.5958646616541,10.78079059131,0,-3.72847682119205
"FALSE POSITIVE",10620329,"K00066.01",0.05722,13020,0.5288,0.3754,-2.884e-05,21.2214100448008,4.05193349523632,-2.53333333333333,-0.284104389086596
"FALSE POSITIVE",8669092,"K00068.01",0.07916,-1,-0.25,-0.06281,-5.345e-05,-0.1,-0.02154,-2.34285714285714,1.03448275862069
"CANDIDATE",3544595,"K00069.01",0.2112,6694,2.645,-0.3536,1.635e-05,32.2418879056047,26.5386558868115,-1.33333333333333,1.43363636363636
"CANDIDATE",6850504,"K00070.01",0.2787,3968,4.091,-0.02455,-5.514e-05,13.050034270048,10.2293731210333,0.133333333333333,-5.04010025062657
"CANDIDATE",6850504,"K00070.02",0.2197,7119,0.3281,-0.1131,2.923e-05,16.9671814671815,10.2306462662708,0.133333333333333,-4.33725490196078
"CANDIDATE",6850504,"K00070.03",0.4428,762.5,5.463,-0.1004,0.0001024,6.89738805970149,10.2310231023102,0.133333333333333,-3.73267326732673
"CANDIDATE",6850504,"K00070.04",0.1361,4130,-0.6188,0.08461,2.47e-05,3.20049857549858,10.2305805396566,0.133333333333333,-1.26228813559322
