"koi_disposition","kepid","kepoi_name","tcet_model_chisq","wst_depth","boot_mesmean","tce_fwm_sra","tce_fwm_pdeco","tce_slogg_sn"
"CANDIDATE",11446443,"K00001.01",67000,9.985,-0.078511,19.120564,0.0007788,223
"CANDIDATE",10666592,"K00002.01",163000,60.79,-1,19.483163,0,134
"CANDIDATE",10748390,"K00003.01",165100,3.888,-0.21004,19.847345,0.0008108,114.75
"CANDIDATE",3861595,"K00004.01",60510,58.4,-0.01712,19.623769,0.0001224,13.5555555555556
"CANDIDATE",8554498,"K00005.01",67790,5.613,-0.066298,19.315981,-0.0001082,133.666666666667
"FALSE POSITIVE",3248033,"K00006.01",58060,4.6,-0.001075,19.638774,-0.003615,24.1764705882353
"CANDIDATE",11853905,"K00007.01",54160,4.629,-0.023086,19.041029,5.112e-05,136.666666666667
"FALSE POSITIVE",5903312,"K00008.01",89020,3.842,0.12764,19.909843,-0.0004966,36.9166666666667
"FALSE POSITIVE",11553706,"K00009.01",115900,220.2,-0.075425,19.253826,0.01866,13.1379310344828
"CANDIDATE",6922244,"K00010.01",72060,20,0.019653,18.752527,0.0003616,69.5
"FALSE POSITIVE",11913073,"K00011.01",74070,76.72,-0.45444,19.40415,0.004598,28.5625
"CANDIDATE",5812701,"K00012.01",109500,27.01,-0.13304,19.830247,-0.0009708,33.1538461538461
"CANDIDATE",9941662,"K00013.01",225000,14.28,-1,19.131408,0,11.3823529411765
"FALSE POSITIVE",7684873,"K00014.01",79090,78.25,-0.21721,19.507428,5.322e-05,20
"FALSE POSITIVE",3964562,"K00015.01",103200,133.4,-0.24834,19.607548,0,23
"FALSE POSITIVE",9110357,"K00016.01",206300,4.655,-0.21109,19.882345,0.06975,8.62790697674418
"CANDIDATE",10874614,"K00017.01",108500,11.39,-0.26604,19.789151,0.0008648,70.6666666666667
"CANDIDATE",8191672,"K00018.01",113400,18.02,-0.17446,19.960469,-0.000686,81.4
"FALSE POSITIVE",7255336,"K00019.01",75410,4.417,-0.11929,18.72959,-2.683e-05,26.25
"CANDIDATE",11804465,"K00020.01",90600,20.15,-0.16924,19.082895,8.806e-05,24.5294117647059
"FALSE POSITIVE",10125352,"K00021.01",70050,247.3,0.074187,18.982621,-0.00363,12.125
"CANDIDATE",9631995,"K00022.01",84090,13.95,0.0025644,18.841973,0.0009601,35.9166666666667
"FALSE POSITIVE",9071386,"K00023.01",257000,257.7,-0.076834,18.877756,-1.322e-05,35.1666666666667
"FALSE POSITIVE",4743513,"K00024.01",775100,51.66,-0.12322,19.387506,0.008371,14.0344827586207
"FALSE POSITIVE",10593759,"K00025.01",114500,12.68,0.010832,19.284114,-8.061e-05,21.65
"FALSE POSITIVE",5021737,"K00026.01",1706000,5328,-0.016501,19.648665,-0.006092,22.1578947368421
"FALSE POSITIVE",3832716,"K00027.01",408000,98490,-1,0,0,14.3103448275862
"FALSE POSITIVE",4247791,"K00028.01",34830000,-94.48,-1,19.144322,0.02054,14.2068965517241
"FALSE POSITIVE",6956014,"K00031.01",140500,5.774,0.021798,19.602121,3.581e-05,13.5833333333333
"FALSE POSITIVE",5725087,"K00033.01",123000,20.78,-1,19.79781,-5.153e-05,56.3333333333333
"CANDIDATE",6521045,"K00041.01",68940,9.475,-0.060591,19.425728,-0.0001281,137.333333333333
"CANDIDATE",6521045,"K00041.02",64080,6.537,-0.037816,19.425742,-5.996e-05,137.333333333333
"CANDIDATE",6521045,"K00041.03",58390,18.91,-0.082672,19.425742,-5.045e-05,137.333333333333
"CANDIDATE",8866102,"K00042.01",76970,6.4,-0.1775,18.87672,0.0001457,142.333333333333
"FALSE POSITIVE",9025922,"K00043.01",89640,858.2,-0.080007,19.550079,0.06295,0
"FALSE POSITIVE",8845026,"K00044.01",85520,426.6,-0.042249,20.010143,-0.001799,22
"FALSE POSITIVE",3742855,"K00045.01",124800,1443,-0.22386,19.351142,-0.05663,0
"CANDIDATE",10905239,"K00046.01",67860,7.866,-0.28113,18.883698,-7.65e-05,20.35
"CANDIDATE",10905239,"K00046.02",57220,17.58,-0.19528,18.883666,2.684e-05,20.35
"FALSE POSITIVE",7837302,"K00048.01",473700,45.45,-0.082924,19.770257,-0.0006494,7.62745098039216
"CANDIDATE",9527334,"K00049.01",87360,30.21,-0.18511,19.483272,8.647e-06,37.5833333333333
"FALSE POSITIVE",6056992,"K00051.01",66710,106.1,0.015739,19.727903,0.04291,0
"FALSE POSITIVE",3558981,"K00052.01",318500,1172,-0.11739,19.665174,-0.003217,45.4
"FALSE POSITIVE",2445975,"K00053.01",74540,198,-0.25459,19.468717,-0.00428,0
"FALSE POSITIVE",8248939,"K00061.01",120100,9.879,0.09411,19.795291,-0.0036,21.85
"CANDIDATE",11554435,"K00063.01",111200,23.52,-0.37301,19.28175,-9.444e-05,45.2
"CANDIDATE",7051180,"K00064.01",74260,59.57,0.10313,19.767366,7.244e-05,62.8333333333333
"FALSE POSITIVE",10620329,"K00066.01",97170,19.61,-1,19.913959,-2.884e-05,16.7391304347826
"FALSE POSITIVE",8669092,"K00068.01",113600,15.12,-1,18.79287,-5.345e-05,10.1714285714286
"CANDIDATE",3544595,"K00069.01",67550,2.444,-0.17869,19.427878,1.635e-05,149
"CANDIDATE",6850504,"K00070.01",78050,0.4041,-0.1782,19.179867,-5.514e-05,49.4444444444445
"CANDIDATE",6850504,"K00070.02",69650,3.311,-0.26338,19.179864,2.923e-05,49.4444444444445
"CANDIDATE",6850504,"K00070.03",63120,52.16,-0.5771,19.179865,0.0001024,49.4444444444445
"CANDIDATE",6850504,"K00070.04",61660,12.3,-0.19666,19.179869,2.47e-05,49.4444444444445
"CANDIDATE",6850504,"K00070.05",57380,12.87,-0.18461,19.179858,-4.405e-05,49.4444444444445
"CANDIDATE",11904151,"K00072.01",77580,19.25,-0.89784,19.045289,6.128e-05,145
"CANDIDATE",11904151,"K00072.02",54430,1.531,-0.15836,19.045284,-2.284e-05,145
"FALSE POSITIVE",6889235,"K00074.01",276200,506.4,-0.12469,19.888279,-4.611e-05,19.1363636363636
"CANDIDATE",7199397,"K00075.01",69980,24.55,-0.29385,19.433134,-0.0008328,47
"FALSE POSITIVE",9955262,"K00076.01",90470,109.4,-0.82583,19.569496,-0.0007428,13.3214285714286
"FALSE POSITIVE",9552608,"K00080.01",67450,90.05,-0.0578,20.035833,-6.04e-05,9.04878048780488
"FALSE POSITIVE",8823868,"K00081.01",353100,1679,-0.28801,19.585715,-0.000332,19.2857142857143
"CANDIDATE",10187017,"K00082.01",87350,4.026,-0.10793,18.765499,-3.555e-05,92
"CANDIDATE",10187017,"K00082.02",84850,9.271,-0.074449,18.765492,1.449e-05,92
"CANDIDATE",10187017,"K00082.03",78280,14.61,-0.285,18.765498,2.79e-05,92
"CANDIDATE",10187017,"K00082.04",79650,9.286,-0.080058,18.765485,2.566e-05,92
"CANDIDATE",10187017,"K00082.05",76030,5.653,-0.082611,18.765526,-2.593e-05,92
"CANDIDATE",10187017,"K00082.06",64400,21.69,-0.16205,18.765519,-3.415e-05,92
"CANDIDATE",2571238,"K00084.01",69310,13.06,-0.046776,19.361395,-1.688e-05,45.8
"CANDIDATE",5866724,"K00085.01",71670,4.985,-0.26542,19.245912,-6.693e-05,140.666666666667
"CANDIDATE",5866724,"K00085.02",63210,1.127,-0.27612,19.245911,-1.214e-05,140.666666666667
"CANDIDATE",5866724,"K00085.03",49730,6.88,-0.25531,19.245911,-2.972e-05,140.666666666667
"CANDIDATE",10593626,"K00087.01",70040,41.69,-0.99242,19.281165,-6.895e-05,44.5
"FALSE POSITIVE",7700871,"K00088.01",72000,2.061,0.036421,19.822021,-0.0002737,35
"CANDIDATE",8056665,"K00089.01",72520,6.072,-0.1808,19.988054,-5.856e-05,23.8823529411765
"CANDIDATE",8056665,"K00089.02",66070,28.24,-0.39541,19.988077,0.0001417,23.8823529411765
"FALSE POSITIVE",9210823,"K00090.01",85010,2.641,-0.62075,0,0,9.72972972972973
"CANDIDATE",7941200,"K00092.01",71820,39.34,-0.18794,18.891658,2.344e-06,36.6666666666667
"CANDIDATE",6462863,"K00094.01",61990,16.77,-0.32323,19.822207,-0.0002888,30.2142857142857
"CANDIDATE",6462863,"K00094.02",51570,5.137,-1.2911,19.822209,-4.452e-05,30.2142857142857
"CANDIDATE",6462863,"K00094.03",30850,12.99,-0.15868,19.822209,-0.0001318,30.2142857142857
"CANDIDATE",6462863,"K00094.04",28310,7.636,-0.014919,19.822201,-2.14e-05,30.2142857142857
"CANDIDATE",5780885,"K00097.01",104100,38.02,0.11835,19.238768,-2.272e-05,198.5
"CANDIDATE",10264660,"K00098.01",78530,14.63,-0.04126,19.180586,-0.0002271,197.5
"CANDIDATE",4055765,"K00100.01",67480,29.02,-1,19.41186,-1.491e-05,18.3
"CANDIDATE",8456679,"K00102.01",70820,5.173,-0.24205,19.980318,-0.001065,36.5833333333333
"FALSE POSITIVE",8456679,"K00102.02",55490,6.796,-0.26241,19.98032,-6.386e-05,36.5833333333333
"CANDIDATE",2444412,"K00103.01",78690,23.41,-0.0020424,19.445551,-0.0001361,45
"CANDIDATE",10318874,"K00104.01",71670,9.52,0.07835,18.746309,3.93e-06,92
"CANDIDATE",8711794,"K00105.01",67720,19.15,-0.04428,19.929126,8.027e-05,27.25
"FALSE POSITIVE",10489525,"K00106.01",55830,9.946,0.2092,19.887885,0.03441,13.0689655172414
"CANDIDATE",11250587,"K00107.01",68970,8.187,-0.01168,19.655679,-2.081e-05,205.5
"CANDIDATE",4914423,"K00108.01",67170,13.25,-0.089746,19.265641,-8.038e-05,138.333333333333
"CANDIDATE",4914423,"K00108.02",65620,42.05,-1.3879,19.26564,9.363e-05,138.333333333333
"FALSE POSITIVE",4752451,"K00109.01",55780,30.41,-0.050991,19.563782,-0.006196,22.4210526315789
"CANDIDATE",9450647,"K00110.01",67930,14.02,-0.09362,18.970384,4.615e-05,35.8333333333333
"CANDIDATE",6678383,"K00111.01",71400,-0.6937,-0.052622,19.173642,0.0001063,39.9090909090909
"CANDIDATE",6678383,"K00111.02",73530,12.25,-0.25972,19.173641,6.937e-05,39.9090909090909
"CANDIDATE",6678383,"K00111.03",63100,10.76,-0.099823,19.173645,3.642e-05,39.9090909090909
"CANDIDATE",10984090,"K00112.01",67370,23.27,-0.23819,19.709913,7.995e-05,40.0909090909091
"CANDIDATE",10984090,"K00112.02",65160,8.616,-0.11854,19.709924,-5.047e-05,40.0909090909091
"FALSE POSITIVE",6721123,"K00114.01",68800,25.09,-0.097761,19.923953,-0.005549,22.1666666666667
"CANDIDATE",9579641,"K00115.01",68710,11.61,-0.050142,19.192488,-0.0001369,33.3846153846154
"CANDIDATE",9579641,"K00115.02",63000,15.5,-0.12937,19.192496,6.1e-05,33.3846153846154
"CANDIDATE",9579641,"K00115.03",59920,6.371,-0.18295,19.192473,-2.759e-06,33.3846153846154
"CANDIDATE",8395660,"K00116.01",70080,20.17,-0.044114,20.057614,0.0001081,40.0909090909091
"CANDIDATE",8395660,"K00116.02",65190,21,-0.074077,20.057603,0.0001199,40.0909090909091
"CANDIDATE",8395660,"K00116.03",63380,12.61,-0.020572,20.057606,3.023e-05,40.0909090909091
"CANDIDATE",8395660,"K00116.04",59050,27.74,-0.057731,20.05763,-0.0001016,40.0909090909091
"CANDIDATE",10875245,"K00117.01",53980,19.54,-0.35969,19.801878,0.000114,209.5
"CANDIDATE",10875245,"K00117.02",50370,6.978,-0.44512,19.801876,2.021e-05,209.5
"CANDIDATE",10875245,"K00117.03",42580,5.818,-0.42588,19.80189,-1.23e-05,209.5
"CANDIDATE",10875245,"K00117.04",37470,5.277,-0.35069,19.801885,-1.84e-05,209.5
"CANDIDATE",3531558,"K00118.01",67240,15.57,-0.071511,19.15753,0.0001512,209
"CANDIDATE",9471974,"K00119.01",74690,9.804,-0.2691,19.637288,-0.00188,97.75
"CANDIDATE",9471974,"K00119.02",65490,34.25,-0.73503,19.637286,-0.001,97.75
"CANDIDATE",11869052,"K00120.01",83530,18.49,-0.076754,19.62676,-0.0001147,17.5416666666667
"FALSE POSITIVE",3247396,"K00121.01",53720,38.31,0.052633,19.630734,0.001113,16.5217391304348
"CANDIDATE",8349582,"K00122.01",68220,6.483,-0.049965,18.965496,6.316e-05,138.666666666667
"CANDIDATE",5094751,"K00123.01",70310,7.507,-0.034651,19.359513,-4.27e-05,140.333333333333
"CANDIDATE",5094751,"K00123.02",62350,13.39,-0.096036,19.359513,-7.224e-05,140.333333333333
"CANDIDATE",11086270,"K00124.01",69470,25.36,-0.041836,19.528616,-4.62e-05,19.1428571428571
"CANDIDATE",11086270,"K00124.02",65210,23.95,-0.15613,19.528606,6.819e-05,19.1428571428571
"CANDIDATE",11449844,"K00125.01",128600,98.92,-1.0632,19.26015,-0.0003218,41.2727272727273
"FALSE POSITIVE",5897826,"K00126.01",2820000,37.77,-1,19.831724,-0.0004284,20
"CANDIDATE",5897826,"K00126.02",68780,67.69,-1,19.831687,0.0002066,20
"CANDIDATE",8359498,"K00127.01",96710,23.95,-0.10621,19.307198,0.0002158,88.4
"CANDIDATE",11359879,"K00128.01",76390,18.59,-0.0026471,19.746706,-0.002235,40.5454545454545
"CANDIDATE",11974540,"K00129.01",70140,55.41,-0.13154,19.800632,-0.0007078,16.3333333333333
"CANDIDATE",5297298,"K00130.01",71980,43.92,-0.031405,19.824022,0.000125,23.4705882352941
"CANDIDATE",7778437,"K00131.01",80970,19.24,-0.059184,19.939837,-0.0005156,21.6
"FALSE POSITIVE",8892910,"K00132.01",70680,135.2,-0.026841,19.627497,0.00159,22.4736842105263
"FALSE POSITIVE",11673674,"K00133.01",267200,92.97,-0.1396,19.820835,-0.01577,23.0526315789474
"FALSE POSITIVE",9032900,"K00134.01",345400,3388,-0.91362,19.705772,0.0002735,22.6666666666667
"CANDIDATE",9818381,"K00135.01",79690,25.33,-0.11211,19.016058,-0.0002718,71
"FALSE POSITIVE",7601633,"K00136.01",35400,51.7,-0.062287,19.324896,0.0001242,19.5
"CANDIDATE",8644288,"K00137.01",71740,-15.38,-0.1224,19.871961,0.0002559,62
"CANDIDATE",8644288,"K00137.02",68870,14.71,-0.14399,19.87196,0.0001639,62
"CANDIDATE",8644288,"K00137.03",60530,10.24,-0.11705,19.871959,-0.0001172,62
"FALSE POSITIVE",8506766,"K00138.01",69680,51.59,-0.054848,19.729397,-0.003826,20.45
"CANDIDATE",8559644,"K00139.01",72500,82.3,-1.1344,19.443545,-0.0001367,35.75
"CANDIDATE",8559644,"K00139.02",68480,13.35,0.0042229,19.443541,7.537e-05,35.75
"FALSE POSITIVE",5130369,"K00140.01",81680,99.04,0.053435,19.943926,-0.009659,18.3913043478261
"CANDIDATE",12105051,"K00141.01",68060,12.21,-0.018511,19.202545,0.0001692,45.1
"CANDIDATE",4649305,"K00143.01",70810,336.5,-0.0048655,19.34022,0.0001295,18.7391304347826
"CANDIDATE",4180280,"K00144.01",55230,13.39,-0.053248,19.768307,-1.631e-05,76.5
"CANDIDATE",9904059,"K00145.01",53030,123,-0.048658,19.787844,-0.0004518,102.333333333333
"FALSE POSITIVE",9048161,"K00146.01",160200,60.53,-0.044105,19.959568,-0.05926,8.90909090909091
"FALSE POSITIVE",1996679,"K00147.01",68700,290,-0.13698,19.099484,-0.01246,22.8947368421053
"CANDIDATE",5735762,"K00148.01",74550,16.92,-0.068328,19.942621,-4.434e-05,64.1428571428571
"CANDIDATE",5735762,"K00148.02",66100,11.31,-0.09174,19.942617,3.226e-05,64.1428571428571
"CANDIDATE",5735762,"K00148.03",59560,36.68,-0.26841,19.942617,-0.0001775,64.1428571428571
"CANDIDATE",3835670,"K00149.01",69130,12.61,-0.16644,19.108671,-2.098e-05,24.4705882352941
"CANDIDATE",7626506,"K00150.01",68330,13.12,-0.015599,19.798737,0.0003416,56.375
"CANDIDATE",7626506,"K00150.02",63780,26.51,-0.1058,19.798739,0.0005166,56.375
"CANDIDATE",2307199,"K00151.01",67970,121.2,-0.033661,19.491653,0.0003652,22.05
"CANDIDATE",8394721,"K00152.01",75630,48.75,-0.13612,20.034492,-0.0006164,32.6153846153846
"CANDIDATE",8394721,"K00152.02",69910,32.76,0.040511,20.034491,7.225e-05,32.6153846153846
"CANDIDATE",8394721,"K00152.03",63690,31.19,-0.11181,20.034496,-8.218e-06,32.6153846153846
"CANDIDATE",8394721,"K00152.04",60740,96.69,0.025232,20.034498,0.0002121,32.6153846153846
"CANDIDATE",12252424,"K00153.01",67740,9.014,-0.047736,19.199861,4.709e-05,92.6
"CANDIDATE",12252424,"K00153.02",62160,19.9,-0.042041,19.199859,8.51e-05,92.6
"CANDIDATE",8030148,"K00155.01",68290,8.042,-0.20235,19.488102,-0.000103,26.6875
"CANDIDATE",10925104,"K00156.01",75370,27,-0.1143,19.608108,-0.0006337,157.333333333333
"CANDIDATE",10925104,"K00156.02",70510,20.44,-0.093324,19.608112,-0.0002523,157.333333333333
"CANDIDATE",10925104,"K00156.03",66900,24.75,-0.099903,19.608095,-9.972e-05,157.333333333333
