"koi_disposition","kepid","kepoi_name","tce_incl","tce_impact","tce_slogg_prov","tce_albedo_stat","tce_fwm_pdeco","tce_ingress_sn"
"CANDIDATE",11446443,"K00001.01",83.88,0.8426,0,-130.8,0.0007788,469.499241274659
"CANDIDATE",10666592,"K00002.01",80.47,0.6221,1,-72.4,0,215.123739688359
"CANDIDATE",10748390,"K00003.01",88.02,0.502,2,-5.858,0.0008108,22.272615837215
"CANDIDATE",3861595,"K00004.01",79.57,0.9298,3,-1.58,0.0001224,33.2392947103275
"CANDIDATE",8554498,"K00005.01",82.35,0.9558,1,-8.181,-0.0001082,28.916532905297
"FALSE POSITIVE",3248033,"K00006.01",65.18,0.9039,4,-0.1536,-0.003615,0.41978021978022
"CANDIDATE",11853905,"K00007.01",78.74,0.7866,1,-6.302,5.112e-05,5.34986543637063
"FALSE POSITIVE",5903312,"K00008.01",73,0.8999,4,-0.4082,-0.0004966,0.576075471698113
"FALSE POSITIVE",11553706,"K00009.01",75.48,0.9491,5,0.7748,0.01866,302.231237322515
"CANDIDATE",6922244,"K00010.01",84.15,0.7061,6,-28.98,0.0003616,96.0744933357678
"FALSE POSITIVE",11913073,"K00011.01",64.3,0.9746,7,3.051,0.004598,74.0977323538805
"CANDIDATE",5812701,"K00012.01",89.18,0.277,8,0.7123,-0.0009708,142.739130434783
"CANDIDATE",9941662,"K00013.01",81.56,0.5709,7,-63.74,0,161.56462585034
"FALSE POSITIVE",7684873,"K00014.01",75.18,0.9735,7,1.934,5.322e-05,24.2982741777922
"FALSE POSITIVE",3964562,"K00015.01",68.43,0.9981,7,0.6071,0,160.91360066143
"FALSE POSITIVE",9110357,"K00016.01",40.03,0.9918,7,-27.7,0.06975,20.8146726380891
"CANDIDATE",10874614,"K00017.01",89.84,0.02118,9,-40.98,0.0008648,54.6152472772719
"CANDIDATE",8191672,"K00018.01",89.93,0.007762,10,-40.73,-0.000686,43.3979445817614
"FALSE POSITIVE",7255336,"K00019.01",67.67,0.9532,4,-151,-2.683e-05,544.347826086957
"CANDIDATE",11804465,"K00020.01",90,0.0001978,11,-24.28,8.806e-05,124.325006308352
"FALSE POSITIVE",10125352,"K00021.01",81.4,0.9946,5,-0.1816,-0.00363,249.507550886408
"CANDIDATE",9631995,"K00022.01",87.99,0.4798,12,-4.986,0.0009601,68.5693950177936
"FALSE POSITIVE",9071386,"K00023.01",87.5,0.3229,4,1.697,-1.322e-05,257.514580529385
"FALSE POSITIVE",4743513,"K00024.01",76.89,0.9205,5,-5.546,0.008371,35.1774727875059
"FALSE POSITIVE",10593759,"K00025.01",75.82,0.9997,7,-53.2,-8.061e-05,1097.44214372716
"FALSE POSITIVE",5021737,"K00026.01",84.88,1,7,2.331,-0.006092,1.12701784197111
"FALSE POSITIVE",3832716,"K00027.01",88.91,0.1,7,0,0,-0.3386
"FALSE POSITIVE",4247791,"K00028.01",69.73,0.8648,13,0,0.02054,8736.45426961422
"FALSE POSITIVE",6956014,"K00031.01",60.48,0.9024,4,0,3.581e-05,2.83822272856736
"FALSE POSITIVE",5725087,"K00033.01",66.98,0.9,14,0,-5.153e-05,0.716124661246613
"CANDIDATE",6521045,"K00041.01",85.09,0.8036,1,2.539,-0.0001281,1.77254641909814
"CANDIDATE",6521045,"K00041.02",80.18,0.9031,1,2.01,-5.996e-05,0.768439716312057
"CANDIDATE",6521045,"K00041.03",87.33,0.9113,1,2.492,-5.045e-05,0.718786923985821
"CANDIDATE",8866102,"K00042.01",86.5,0.8822,1,2.088,0.0001457,6.32185801350683
