"koi_disposition","kepid","kepoi_name","boot_mesthresh","tce_fwm_pdeco","tce_ror_sn"
"CANDIDATE",11446443,"K00001.01",7.533,0.0007788,3640.0055559401
"CANDIDATE",10666592,"K00002.01",-1,0,2168.4707937405
"CANDIDATE",10748390,"K00003.01",8.0265,0.0008108,157.777214548416
"CANDIDATE",3861595,"K00004.01",7.5506,0.0001224,265.867581317086
"CANDIDATE",8554498,"K00005.01",7.3328,-0.0001082,255.896601661996
"FALSE POSITIVE",3248033,"K00006.01",7.1686,-0.003615,4.9438695809369
"CANDIDATE",11853905,"K00007.01",7.3662,5.112e-05,52.6800733955987
"FALSE POSITIVE",5903312,"K00008.01",7.4775,-0.0004966,6.34053049558888
"FALSE POSITIVE",11553706,"K00009.01",7.2404,0.01866,147.951689730638
"CANDIDATE",6922244,"K00010.01",7.2814,0.0003616,955.152333419176
"FALSE POSITIVE",11913073,"K00011.01",6.9883,0.004598,32.6134635174234
"CANDIDATE",5812701,"K00012.01",7.4312,-0.0009708,846.323788082669
"CANDIDATE",9941662,"K00013.01",-1,0,2093.84440061321
"FALSE POSITIVE",7684873,"K00014.01",7.5484,5.322e-05,236.847472750339
"FALSE POSITIVE",3964562,"K00015.01",7.1061,0,7.84553236749224
"FALSE POSITIVE",9110357,"K00016.01",7.2422,0.06975,2.53221729174675
"CANDIDATE",10874614,"K00017.01",7.1414,0.0008648,481.960111832751
"CANDIDATE",8191672,"K00018.01",7.3102,-0.000686,464.970193525963
"FALSE POSITIVE",7255336,"K00019.01",7.8186,-2.683e-05,129.557489002362
"CANDIDATE",11804465,"K00020.01",7.1124,8.806e-05,1196.90111990013
"FALSE POSITIVE",10125352,"K00021.01",7.2718,-0.00363,11.9990271120405
"CANDIDATE",9631995,"K00022.01",7.2945,0.0009601,647.147074018883
"FALSE POSITIVE",9071386,"K00023.01",7.7809,-1.322e-05,2290.08265993008
"FALSE POSITIVE",4743513,"K00024.01",7.2236,0.008371,286.350589857633
"FALSE POSITIVE",10593759,"K00025.01",7.6018,-8.061e-05,30.6020358967379
"FALSE POSITIVE",5021737,"K00026.01",7.4021,-0.006092,8.68877224923011
"FALSE POSITIVE",3832716,"K00027.01",-1,0,-0.19933221
"FALSE POSITIVE",4247791,"K00028.01",-1,0.02054,236.772704269123
"FALSE POSITIVE",6956014,"K00031.01",7.3787,3.581e-05,21.9356174633099
"FALSE POSITIVE",5725087,"K00033.01",-1,-5.153e-05,5.94800859355177
"CANDIDATE",6521045,"K00041.01",7.3526,-0.0001281,17.7781089106808
"CANDIDATE",6521045,"K00041.02",7.4208,-5.996e-05,8.22399324976936
"CANDIDATE",6521045,"K00041.03",7.3938,-5.045e-05,7.5761675489705
"CANDIDATE",8866102,"K00042.01",7.419,0.0001457,70.2016636635154
"FALSE POSITIVE",9025922,"K00043.01",7.1843,0.06295,59.8039611525413
"FALSE POSITIVE",8845026,"K00044.01",7.5962,-0.001799,522.404992206609
"FALSE POSITIVE",3742855,"K00045.01",7.1224,-0.05663,485.416373475411
"CANDIDATE",10905239,"K00046.01",7.0828,-7.65e-05,41.7974818120438
"CANDIDATE",10905239,"K00046.02",7.1568,2.684e-05,1.48634395870118
"FALSE POSITIVE",7837302,"K00048.01",7.276,-0.0006494,44.2619926078366
"CANDIDATE",9527334,"K00049.01",7.6523,8.647e-06,21.9844497256342
"FALSE POSITIVE",6056992,"K00051.01",7.1198,0.04291,12.5273620252317
"FALSE POSITIVE",3558981,"K00052.01",8.3292,-0.003217,1390.99035269677
"FALSE POSITIVE",2445975,"K00053.01",7.2219,-0.00428,259.780053549474
"FALSE POSITIVE",8248939,"K00061.01",7.5329,-0.0036,17.2395740932712
"CANDIDATE",11554435,"K00063.01",7.8701,-9.444e-05,219.885522949749
"CANDIDATE",7051180,"K00064.01",7.5824,7.244e-05,78.1645627114446
"FALSE POSITIVE",10620329,"K00066.01",-1,-2.884e-05,32.4998613595313
"FALSE POSITIVE",8669092,"K00068.01",-1,-5.345e-05,-0.039939602
"CANDIDATE",3544595,"K00069.01",7.376,1.635e-05,46.3516528889933
"CANDIDATE",6850504,"K00070.01",7.407,-5.514e-05,38.0897608526729
"CANDIDATE",6850504,"K00070.02",7.3198,2.923e-05,21.7125224263797
"CANDIDATE",6850504,"K00070.03",7.8857,0.0001024,22.7893135766549
"CANDIDATE",6850504,"K00070.04",7.3948,2.47e-05,3.47626832623971
"CANDIDATE",6850504,"K00070.05",7.45,-4.405e-05,2.25041826561346
"CANDIDATE",11904151,"K00072.01",8.51,6.128e-05,23.3842408857111
"CANDIDATE",11904151,"K00072.02",7.525,-2.284e-05,6.69195349899598
"FALSE POSITIVE",6889235,"K00074.01",7.594,-4.611e-05,312.604274638028
"CANDIDATE",7199397,"K00075.01",7.4966,-0.0008328,154.513832248407
"FALSE POSITIVE",9955262,"K00076.01",7.9939,-0.0007428,63.4963133566549
"FALSE POSITIVE",9552608,"K00080.01",7.3329,-6.04e-05,8.94399015303306
"FALSE POSITIVE",8823868,"K00081.01",9.4571,-0.000332,1050.37276061122
"CANDIDATE",10187017,"K00082.01",7.6357,-3.555e-05,55.0780398280434
"CANDIDATE",10187017,"K00082.02",7.5576,1.449e-05,17.2585875641928
"CANDIDATE",10187017,"K00082.03",7.665,2.79e-05,4.40902818932194
"CANDIDATE",10187017,"K00082.04",7.4779,2.566e-05,3.7570620198626
"CANDIDATE",10187017,"K00082.05",7.4582,-2.593e-05,2.78673569397967
"CANDIDATE",10187017,"K00082.06",7.5081,-3.415e-05,2.13597111748541
"CANDIDATE",2571238,"K00084.01",7.3188,-1.688e-05,78.3044955848767
"CANDIDATE",5866724,"K00085.01",7.3092,-6.693e-05,67.0733165150223
"CANDIDATE",5866724,"K00085.02",7.1914,-1.214e-05,15.1620506738851
"CANDIDATE",5866724,"K00085.03",7.346,-2.972e-05,13.1563792559953
"CANDIDATE",10593626,"K00087.01",8.3591,-6.895e-05,15.7879105966005
"FALSE POSITIVE",7700871,"K00088.01",7.4055,-0.0002737,8.20289815862138
"CANDIDATE",8056665,"K00089.01",7.6953,-5.856e-05,37.6676209091931
"CANDIDATE",8056665,"K00089.02",8.0799,0.0001417,12.146964866892
"FALSE POSITIVE",9210823,"K00090.01",7.345,0,5.43041630045794
"CANDIDATE",7941200,"K00092.01",7.3189,2.344e-06,25.8178563503845
"CANDIDATE",6462863,"K00094.01",7.9941,-0.0002888,262.586955481992
"CANDIDATE",6462863,"K00094.02",8.9978,-4.452e-05,84.3708511696418
"CANDIDATE",6462863,"K00094.03",7.9693,-0.0001318,29.8812313017269
"CANDIDATE",6462863,"K00094.04",7.6837,-2.14e-05,9.68142159641475
"CANDIDATE",5780885,"K00097.01",7.7866,-2.272e-05,989.455979015869
"CANDIDATE",10264660,"K00098.01",7.2966,-0.0002271,266.555491253006
"CANDIDATE",4055765,"K00100.01",-1,-1.491e-05,36.5042159209246
"CANDIDATE",8456679,"K00102.01",7.2739,-0.001065,173.72987509751
"FALSE POSITIVE",8456679,"K00102.02",7.2842,-6.386e-05,5.1388252065445
"CANDIDATE",2444412,"K00103.01",7.4054,-0.0001361,105.531189037728
"CANDIDATE",10318874,"K00104.01",7.4196,3.93e-06,64.6742376445847
"CANDIDATE",8711794,"K00105.01",7.2537,8.027e-05,20.5740886897533
"FALSE POSITIVE",10489525,"K00106.01",7.6751,0.03441,8.15637403613241
"CANDIDATE",11250587,"K00107.01",7.2414,-2.081e-05,26.9528508390952
"CANDIDATE",4914423,"K00108.01",7.2625,-8.038e-05,27.692875973856
"CANDIDATE",4914423,"K00108.02",8.2617,9.363e-05,65.6662673476762
"FALSE POSITIVE",4752451,"K00109.01",7.3288,-0.006196,1.50811906232834
"CANDIDATE",9450647,"K00110.01",7.3509,4.615e-05,29.2060064448354
"CANDIDATE",6678383,"K00111.01",7.3401,0.0001063,27.3274533453949
"CANDIDATE",6678383,"K00111.02",7.5006,6.937e-05,29.7701057812899
"CANDIDATE",6678383,"K00111.03",7.4017,3.642e-05,20.2701318733635
"CANDIDATE",10984090,"K00112.01",7.4002,7.995e-05,36.0630863306546
"CANDIDATE",10984090,"K00112.02",7.1571,-5.047e-05,6.89110088783366
"FALSE POSITIVE",6721123,"K00114.01",7.335,-0.005549,1.42844669690289
"CANDIDATE",9579641,"K00115.01",7.2872,-0.0001369,50.4704148651765
"CANDIDATE",9579641,"K00115.02",7.1976,6.1e-05,8.59257205257817
"CANDIDATE",9579641,"K00115.03",7.1523,-2.759e-06,2.72733742071504
"CANDIDATE",8395660,"K00116.01",7.1726,0.0001081,30.2995126798133
"CANDIDATE",8395660,"K00116.02",7.1453,0.0001199,37.7787826229419
"CANDIDATE",8395660,"K00116.03",7.1915,3.023e-05,2.2149023583913
"CANDIDATE",8395660,"K00116.04",7.1352,-0.0001016,2.6597432593579
"CANDIDATE",10875245,"K00117.01",7.288,0.000114,48.8511915910701
"CANDIDATE",10875245,"K00117.02",7.11,2.021e-05,9.66412497615662
"CANDIDATE",10875245,"K00117.03",7.1302,-1.23e-05,9.38965061891604
"CANDIDATE",10875245,"K00117.04",7.1962,-1.84e-05,2.44201622721296
"CANDIDATE",3531558,"K00118.01",7.2901,0.0001512,12.5454130815978
"CANDIDATE",9471974,"K00119.01",7.3916,-0.00188,92.2682056324004
"CANDIDATE",9471974,"K00119.02",7.9424,-0.001,59.4462615110435
"CANDIDATE",11869052,"K00120.01",7.461,-0.0001147,2.00845671865598
"FALSE POSITIVE",3247396,"K00121.01",7.3324,0.001113,3.02744053804019
"CANDIDATE",8349582,"K00122.01",7.3228,6.316e-05,21.2634054421464
"CANDIDATE",5094751,"K00123.01",7.28,-4.27e-05,38.4492487391332
"CANDIDATE",5094751,"K00123.02",7.474,-7.224e-05,19.8426374544799
"CANDIDATE",11086270,"K00124.01",7.2304,-4.62e-05,14.4709279286303
"CANDIDATE",11086270,"K00124.02",7.2151,6.819e-05,10.7476483799554
"CANDIDATE",11449844,"K00125.01",8.1438,-0.0003218,487.243961535175
"FALSE POSITIVE",5897826,"K00126.01",-1,-0.0004284,557.466430843128
"CANDIDATE",5897826,"K00126.02",-1,0.0002066,0.436051553658606
"CANDIDATE",8359498,"K00127.01",7.4543,0.0002158,339.745146644546
"CANDIDATE",11359879,"K00128.01",7.3823,-0.002235,744.32145151971
"CANDIDATE",11974540,"K00129.01",7.2246,-0.0007078,163.150039704328
"CANDIDATE",5297298,"K00130.01",7.1569,0.000125,995.619155813949
"CANDIDATE",7778437,"K00131.01",7.2824,-0.0005156,268.117690112327
"FALSE POSITIVE",8892910,"K00132.01",7.2304,0.00159,50.6141369447285
"FALSE POSITIVE",11673674,"K00133.01",7.3926,-0.01577,382.511276603196
"FALSE POSITIVE",9032900,"K00134.01",8.0143,0.0002735,79.3744593442503
"CANDIDATE",9818381,"K00135.01",7.2964,-0.0002718,558.050796476388
"FALSE POSITIVE",7601633,"K00136.01",7.2421,0.0001242,8.43320970655088
"CANDIDATE",8644288,"K00137.01",7.1495,0.0002559,77.8589295272971
"CANDIDATE",8644288,"K00137.02",7.1458,0.0001639,81.7040655021379
"CANDIDATE",8644288,"K00137.03",7.2435,-0.0001172,7.69390975227431
"FALSE POSITIVE",8506766,"K00138.01",7.2466,-0.003826,14.7556830915134
"CANDIDATE",8559644,"K00139.01",8.0162,-0.0001367,100.55719919711
"CANDIDATE",8559644,"K00139.02",7.2589,7.537e-05,7.64573682777184
"FALSE POSITIVE",5130369,"K00140.01",7.3563,-0.009659,103.739082509729
"CANDIDATE",12105051,"K00141.01",7.3009,0.0001692,122.144643021342
"CANDIDATE",4649305,"K00143.01",7.1258,0.0001295,143.873078976403
"CANDIDATE",4180280,"K00144.01",7.2626,-1.631e-05,31.3762763962829
"CANDIDATE",9904059,"K00145.01",7.2513,-0.0004518,49.5661347499482
"FALSE POSITIVE",9048161,"K00146.01",7.272,-0.05926,6.74306756213032
"FALSE POSITIVE",1996679,"K00147.01",7.2268,-0.01246,2.23238277013153
"CANDIDATE",5735762,"K00148.01",7.3307,-4.434e-05,26.0676340373035
"CANDIDATE",5735762,"K00148.02",7.3039,3.226e-05,30.2330003937869
"CANDIDATE",5735762,"K00148.03",7.4842,-0.0001775,14.3715149216336
"CANDIDATE",3835670,"K00149.01",7.3678,-2.098e-05,35.1536491864633
"CANDIDATE",7626506,"K00150.01",7.355,0.0003416,19.2061655325158
"CANDIDATE",7626506,"K00150.02",7.2878,0.0005166,11.8029410842505
"CANDIDATE",2307199,"K00151.01",7.0799,0.0003652,11.7656476263118
"CANDIDATE",8394721,"K00152.01",7.3004,-0.0006164,81.0250092662816
"CANDIDATE",8394721,"K00152.02",7.1856,7.225e-05,41.6924001664789
"CANDIDATE",8394721,"K00152.03",7.2485,-8.218e-06,41.0848337908268
"CANDIDATE",8394721,"K00152.04",7.077,0.0002121,3.30322081328705
"CANDIDATE",12252424,"K00153.01",7.1946,4.709e-05,34.8005133698314
"CANDIDATE",12252424,"K00153.02",7.2018,8.51e-05,15.3351838528308
"CANDIDATE",8030148,"K00155.01",7.2662,-0.000103,35.0724497357895
"CANDIDATE",10925104,"K00156.01",7.2873,-0.0006337,63.9570583743048
"CANDIDATE",10925104,"K00156.02",7.2575,-0.0002523,54.9400105802708
"CANDIDATE",10925104,"K00156.03",7.2372,-9.972e-05,37.5780283456078
"CANDIDATE",6541920,"K00157.01",7.2336,0.0002749,41.508452453909
"CANDIDATE",6541920,"K00157.02",7.2472,0.0001231,22.7752443211955
