"koi_disposition","kepid","kepoi_name","tce_time0bk","tce_num_transits","tce_full_conv","tce_cap_stat","tce_fwm_pdeco","tce_steff_sn","tce_fwm_prao_sn"
"CANDIDATE",11446443,"K00001.01",132.646,432,1,3778,0.0007788,74.6153846153846,-0.9784
"CANDIDATE",10666592,"K00002.01",132.383,611,1,0,0,72.3595505617977,-46.0367454068242
"CANDIDATE",10748390,"K00003.01",134.589,215,1,0,0.0008108,50.2947368421053,31.7735849056604
"CANDIDATE",3861595,"K00004.01",134.43,276,1,136.2,0.0001224,49.5555555555556,5.64285714285714
"CANDIDATE",8554498,"K00005.01",132.974,280,1,226.5,-0.0001082,71.5301204819277,2.49385474860335
"FALSE POSITIVE",3248033,"K00006.01",132.365,799,1,-19.69,-0.003615,45.4264705882353,0
"CANDIDATE",11853905,"K00007.01",133.254,335,1,182.1,5.112e-05,75.2597402597402,-6.146875
"FALSE POSITIVE",5903312,"K00008.01",132.148,1151,1,-27.99,-0.0004966,49.9316239316239,154.53781512605
"FALSE POSITIVE",11553706,"K00009.01",135.069,364,1,13.28,0.01866,39.275,-218.149882903981
"CANDIDATE",6922244,"K00010.01",131.687,384,1,934.6,0.0003616,45.4379562043796,0.0780473372781065
"FALSE POSITIVE",11913073,"K00011.01",134.189,358,1,-28.85,0.004598,37.006711409396,-15.3190661478599
"CANDIDATE",5812701,"K00012.01",146.596,75,1,381.1,-0.0009708,74.1630434782609,1.1818407960199
"CANDIDATE",9941662,"K00013.01",132.912,761,1,0,0,20.5575620767494,0
"FALSE POSITIVE",7684873,"K00014.01",133.216,454,1,148,5.322e-05,23.7941176470588,29.9050279329609
"FALSE POSITIVE",3964562,"K00015.01",132.247,354,1,-597.3,0,20.876213592233,925.553319919517
"FALSE POSITIVE",9110357,"K00016.01",131.618,1499,1,-337.2,0.06975,23.9285714285714,1002.48962655602
"CANDIDATE",10874614,"K00017.01",134.425,335,1,1599,0.0008648,49.9115044247788,7.47826086956522
"CANDIDATE",8191672,"K00018.01",133.547,378,1,1196,-0.000686,50.32,4.90205562273277
"FALSE POSITIVE",7255336,"K00019.01",131.521,1110,1,583.2,-2.683e-05,45.3868613138686,9.66807610993658
"CANDIDATE",11804465,"K00020.01",135.506,238,1,1816,8.806e-05,46.1472868217054,-0.19109375
"FALSE POSITIVE",10125352,"K00021.01",134.839,313,1,270.5,-0.00363,36.2386363636364,-48.288
"CANDIDATE",9631995,"K00022.01",137.793,169,1,1039,0.0009601,71.0952380952381,9.80446927374302
"FALSE POSITIVE",9071386,"K00023.01",132.17,284,1,1639,-1.322e-05,45.4642857142857,-0.624413145539906
"FALSE POSITIVE",4743513,"K00024.01",133.419,641,1,-46.94,0.008371,36.4940476190476,168.581081081081
"FALSE POSITIVE",10593759,"K00025.01",132.877,430,1,459.1,-8.061e-05,30.4780487804878,-0.0629857142857143
"FALSE POSITIVE",5021737,"K00026.01",144.137,74,1,55.31,-0.006092,33.5103092783505,0.161015625
"FALSE POSITIVE",3832716,"K00027.01",131.517,0,0,0,0,32.7553191489362,0
"FALSE POSITIVE",4247791,"K00028.01",133.289,654,1,1778,0.02054,28.4759615384615,2.34146341463415
"FALSE POSITIVE",6956014,"K00031.01",131.751,1443,1,19.36,3.581e-05,56.0821917808219,-1.18365384615385
"FALSE POSITIVE",5725087,"K00033.01",131.727,1824,1,5.037,-5.153e-05,36.4590163934426,2.89275362318841
"CANDIDATE",6521045,"K00041.01",135.763,104,1,42.84,-0.0001281,74.2051282051282,3.47882736156352
