"koi_disposition","kepid","kepoi_name","tce_dof2","tce_chisq2","tce_chisqgof","tce_eqt","tce_hap_stat","tce_fwm_pdeco","tce_dicco_mdec","tce_time0_sn"
"CANDIDATE",11446443,"K00001.01",3282000,1096000,2503000,1340,278.8,0.0007788,-0.29656,613681131886.811
"CANDIDATE",10666592,"K00002.01",1118000,269800,547400,2050,0,0,-3.2868,232076042464.29
"CANDIDATE",10748390,"K00003.01",265800,71970,171700,800,0,0.0008108,-2.2709,136039565554.694
"CANDIDATE",3861595,"K00004.01",3958,942.8,3623,2040,34.07,0.0001224,-0.032389,18421577896.8379
"CANDIDATE",8554498,"K00005.01",10570,3789,6485,1440,11.08,-0.0001082,0.11319,21941120217.3583
"FALSE POSITIVE",3248033,"K00006.01",833.9,1152,5096,2170,71.49,-0.003615,0,2180741727.73706
"CANDIDATE",11853905,"K00007.01",7671,2042,6262,1520,24.98,5.112e-05,0.04462,13217523797.2176
"FALSE POSITIVE",5903312,"K00008.01",1256,1548,4060,1750,207.2,-0.0004966,3.3101,5392149110.6689
"FALSE POSITIVE",11553706,"K00009.01",27480,31030,38760,1870,456.5,0.01866,-3.8561,15650408318.0865
"CANDIDATE",6922244,"K00010.01",230700,52470,116600,1520,214.4,0.0003616,-0.013407,81761957256.6168
"FALSE POSITIVE",11913073,"K00011.01",1244,3255,5727,1030,181.4,0.004598,-11.111,2621450453.98097
"CANDIDATE",5812701,"K00012.01",10240,9022,93300,912,116.4,-0.0009708,0.050328,40855050757.1975
"CANDIDATE",9941662,"K00013.01",3458000,937000,3727000,3560,0,0,2.762,405832487494.255
"FALSE POSITIVE",7684873,"K00014.01",7149,2351,6067,2400,17.21,5.322e-05,-0.60944,25136125815.2702
"FALSE POSITIVE",3964562,"K00015.01",11680,46170,50770,2370,824.7,0,0.20192,13542420564.872
"FALSE POSITIVE",9110357,"K00016.01",5213,176800,186500,4250,725.3,0.06975,-7.907,4747746475.87699
"CANDIDATE",10874614,"K00017.01",729100,166300,309600,1360,267.2,0.0008648,-0.056639,131459675389.698
"CANDIDATE",8191672,"K00018.01",414400,77630,170800,1640,216.9,-0.000686,0.033907,83653184311.8547
"FALSE POSITIVE",7255336,"K00019.01",164700,54300,156100,2120,33.46,-2.683e-05,0.036555,129818568323.753
"CANDIDATE",11804465,"K00020.01",893400,218400,374800,1340,389.7,8.806e-05,-0.00097282,111202862772.632
"FALSE POSITIVE",10125352,"K00021.01",24380,8826,14770,1720,69.17,-0.00363,1.0128,32070694864.8377
"CANDIDATE",9631995,"K00022.01",311200,43730,123600,1030,111.4,0.0009601,-0.010753,54028887651.5523
"FALSE POSITIVE",9071386,"K00023.01",434700,113800,397100,1390,366.7,-1.322e-05,-0.0019628,155448685476.926
"FALSE POSITIVE",4743513,"K00024.01",35160,256500,877900,1850,360.9,0.008371,-1.4709,32731231309.3052
"FALSE POSITIVE",10593759,"K00025.01",149100,26590,107600,1440,158.8,-8.061e-05,0.0059787,51260972696.6733
"FALSE POSITIVE",5021737,"K00026.01",108800,180000,212500,963,610.1,-0.006092,0.31215,8298140592.94162
"FALSE POSITIVE",3832716,"K00027.01",4618000,1714000,5309000,2180,0,0,-0.022068,-2454960
"FALSE POSITIVE",4247791,"K00028.01",9337000,4267000,25630000,1780,1105,0.02054,0.040862,145124524866.549
"FALSE POSITIVE",6956014,"K00031.01",2098,10950,16930,0,14.39,3.581e-05,0.17847,15315835771.6375
"FALSE POSITIVE",5725087,"K00033.01",1796,1085,4075,0,11.46,-5.153e-05,1.1778,2729722998.09639
"CANDIDATE",6521045,"K00041.01",512.9,180.9,1546,939,4.578,-0.0001281,1.2351,2153728056.70822
"CANDIDATE",6521045,"K00041.02",249.9,253.4,1883,1160,1.121,-5.996e-05,1.7573,1199524093.38324
"CANDIDATE",6521045,"K00041.03",58.75,59.57,460.3,670,2.131,-5.045e-05,-0.078247,490483972.796509
"CANDIDATE",8866102,"K00042.01",1207,455.8,1864,866,0,0.0001457,-0.17614,5169303980.71234
"FALSE POSITIVE",9025922,"K00043.01",2505,15910,17860,812,212.9,0.06295,-3.9386,1937570538.97698
"FALSE POSITIVE",8845026,"K00044.01",7958,9103,22810,466,63.53,-0.001799,0.062092,6521060055.09057
"FALSE POSITIVE",3742855,"K00045.01",28230,32240,38190,982,283.3,-0.05663,4.4962,9790039958.20738
"CANDIDATE",10905239,"K00046.01",9016,3136,7414,1450,16.09,-7.65e-05,0.032564,13067734809.5707
"CANDIDATE",10905239,"K00046.02",189.2,188,1456,1200,1.377,2.684e-05,0.42428,304839116.241356
"FALSE POSITIVE",7837302,"K00048.01",530900,125600,675300,919,126.6,-0.0006494,-0.0069047,31868661102.9113
"CANDIDATE",9527334,"K00049.01",708.6,294.4,1236,886,9.545,8.647e-06,0.017903,5040281684.35748
"FALSE POSITIVE",6056992,"K00051.01",19760,5464,10880,834,55.94,0.04291,-1.832,12116906128.6135
"FALSE POSITIVE",3558981,"K00052.01",350900,95200,291300,1060,162.4,-0.003217,0.029381,137803536345.776
"FALSE POSITIVE",2445975,"K00053.01",16670,47170,55690,1210,38.41,-0.00428,0.53751,26019548365.3522
"FALSE POSITIVE",8248939,"K00061.01",1133,2503,4845,1750,161,-0.0036,4.4055,7489779605.5843
"CANDIDATE",11554435,"K00063.01",25000,5209,15790,791,40.4,-9.444e-05,0.012379,38839729969.6081
"CANDIDATE",7051180,"K00064.01",5450,2290,6572,2010,29.06,7.244e-05,-0.059087,29326731253.9571
"FALSE POSITIVE",10620329,"K00066.01",1451,1783,26040,4120,9.643,-2.884e-05,0.24555,24954334534.4765
"FALSE POSITIVE",8669092,"K00068.01",1643,60490,99200,3370,1.739,-5.345e-05,-0.17324,-2454960
"CANDIDATE",3544595,"K00069.01",4918,1570,4546,1030,10.97,1.635e-05,2.6421,13613310708.8989
"CANDIDATE",6850504,"K00070.01",3236,595.7,2128,765,17.74,-5.514e-05,0.045119,7491676660.77701
"CANDIDATE",6850504,"K00070.02",1360,688.2,2685,1100,9.934,2.923e-05,-0.097312,7866048055.57247
"CANDIDATE",6850504,"K00070.03",399.4,370.3,771.2,397,10.28,0.0001024,-0.061784,1674750492.87464
"CANDIDATE",6850504,"K00070.04",202.6,189.4,1192,927,1.556,2.47e-05,0.91319,985096966.024774
"CANDIDATE",6850504,"K00070.05",64.15,43.06,367.6,628,3.006,-4.405e-05,0.97358,494003469.133964
"CANDIDATE",11904151,"K00072.01",679,212.7,1216,524,4.936,6.128e-05,0.96657,2573775475.97081
"CANDIDATE",11904151,"K00072.02",1299,1766,5950,1980,9.913,-2.284e-05,0.89293,4153339390.03284
"FALSE POSITIVE",6889235,"K00074.01",70730,24250,59300,2120,38.53,-4.611e-05,0.12719,34131173751.3468
"CANDIDATE",7199397,"K00075.01",2939,1664,3500,595,11.86,-0.0008328,1.2734,2534031510.88761
"FALSE POSITIVE",9955262,"K00076.01",138.9,140.9,1907,778,0,-0.0007428,1.568,5066661438.31856
"FALSE POSITIVE",9552608,"K00080.01",9286,1474,4861,1970,25.56,-6.04e-05,0.10246,10695079767.5371
"FALSE POSITIVE",8823868,"K00081.01",223500,43150,221400,1480,46.71,-0.000332,-0.37979,29685525617.3224
"CANDIDATE",10187017,"K00082.01",3098,382.6,1307,546,13.23,-3.555e-05,-0.018394,7495794060.08311
"CANDIDATE",10187017,"K00082.02",456.5,299.2,1228,634,6.567,1.449e-05,-0.24164,3053456667.12687
"CANDIDATE",10187017,"K00082.03",84.46,88.01,383.7,457,3.851,2.79e-05,0.064907,858513692.618121
"CANDIDATE",10187017,"K00082.04",205.6,237.2,1053,719,-1.085,2.566e-05,-0.2257,1037024990.28437
"CANDIDATE",10187017,"K00082.05",231.9,309.9,1272,792,1.718,-2.593e-05,-1.0341,848126498.490282
"CANDIDATE",10187017,"K00082.06",50.95,42.18,193.2,490,1.407,-3.415e-05,0.35022,478639444.110835
"CANDIDATE",2571238,"K00084.01",4031,595.8,2623,762,12.91,-1.688e-05,0.052094,7716731209.29414
"CANDIDATE",5866724,"K00085.01",1838,576.7,4589,1250,11.61,-6.693e-05,1.3779,7540621563.6768
"CANDIDATE",5866724,"K00085.02",889.8,777.9,4092,1740,4.532,-1.214e-05,0.7814,4784984904.21142
"CANDIDATE",5866724,"K00085.03",254.9,127.1,1121,1120,7.912,-2.972e-05,-0.6007,1825514384.9317
"CANDIDATE",10593626,"K00087.01",96.28,1.112,88.67,257,3.089,-6.895e-05,0.14962,1029911858.60459
"FALSE POSITIVE",7700871,"K00088.01",810.8,3344,6948,1230,151.8,-0.0002737,0.88339,3023872254.30892
"CANDIDATE",8056665,"K00089.01",437.3,398.7,1136,611,3.081,-5.856e-05,0.31666,1243852884.6982
"CANDIDATE",8056665,"K00089.02",167.9,62.85,376.9,453,3.113,0.0001417,0.22804,1304319183.97705
"FALSE POSITIVE",9210823,"K00090.01",1619,2135,11560,3270,365.5,0,12.925,3777192769.21207
"CANDIDATE",7941200,"K00092.01",503.4,30.94,215.7,472,6.18,2.344e-06,-0.30922,2954961266.06291
"CANDIDATE",6462863,"K00094.01",36060,26030,38760,785,41.46,-0.0002888,0.011301,15946126765.1376
"CANDIDATE",6462863,"K00094.02",1862,31.74,2829,584,14.54,-4.452e-05,-0.048565,3394738479.62112
"CANDIDATE",6462863,"K00094.03",1431,430.3,1333,1010,11.99,-0.0001318,-0.048647,4391010391.88682
"CANDIDATE",6462863,"K00094.04",240.1,200.9,1333,1420,-0.1741,-2.14e-05,0.065305,1786998012.79672
"CANDIDATE",5780885,"K00097.01",388600,90610,166700,1500,170.3,-2.272e-05,0.014789,75505709900.7495
"CANDIDATE",10264660,"K00098.01",21470,5971,19940,1430,46.42,-0.0002271,0.092833,26524645532.4064
"CANDIDATE",4055765,"K00100.01",2116,705.2,2432,1580,33.78,-1.491e-05,-0.11014,4589775612.38264
"CANDIDATE",8456679,"K00102.01",15460,5654,12570,1550,11.94,-0.001065,2.2362,30830980679.7746
"FALSE POSITIVE",8456679,"K00102.02",310,283.3,1857,1170,-1.401,-6.386e-05,0,1370067974.06047
"CANDIDATE",2444412,"K00103.01",976.4,702.3,2445,694,16.21,-0.0001361,0.14552,3452506015.59061
"CANDIDATE",10318874,"K00104.01",6762,3411,21310,997,25.4,3.93e-06,0.039334,41073684245.7491
"CANDIDATE",8711794,"K00105.01",2955,830.7,2220,880,12.15,8.027e-05,-0.059092,10326888939.3672
"FALSE POSITIVE",10489525,"K00106.01",751.6,961.7,3904,2710,475.8,0.03441,-11.62,3006819651.57068
"CANDIDATE",11250587,"K00107.01",1493,378.2,2403,1160,13.36,-2.081e-05,-0.082408,4278195921.11294
"CANDIDATE",4914423,"K00108.01",1281,319.2,1147,872,10.58,-8.038e-05,0.014565,3239084657.56461
"CANDIDATE",4914423,"K00108.02",1090,920.4,1364,389,8.574,9.363e-05,0.18258,1692971265.83413
"FALSE POSITIVE",4752451,"K00109.01",334.1,1531,2598,1150,156.2,-0.006196,7.1879,1103987444.51889
"CANDIDATE",9450647,"K00110.01",1779,489,1986,997,11,4.615e-05,0.026886,4835454656.47171
"CANDIDATE",6678383,"K00111.01",1919,948.6,2398,852,10.77,0.0001063,-0.13204,3879185977.24288
"CANDIDATE",6678383,"K00111.02",859.3,309.5,890.1,515,3.69,6.937e-05,-0.11304,1700727398.68376
"CANDIDATE",6678383,"K00111.03",863.8,210.1,1226,668,4.518,3.642e-05,0.14642,2256675889.5824
"CANDIDATE",10984090,"K00112.01",921.2,72.86,618.4,503,10.89,7.995e-05,-0.22164,2081717968.28627
"CANDIDATE",10984090,"K00112.02",510,377.7,2125,1210,4.047,-5.047e-05,-0.15309,2474842989.2033
"FALSE POSITIVE",6721123,"K00114.01",369.3,1448,2746,1340,67.37,-0.005549,7.7102,1123653773.09697
"CANDIDATE",9579641,"K00115.01",2314,1521,4044,1090,7.78,-0.0001369,0.07832,7769064504.59346
"CANDIDATE",9579641,"K00115.02",318.9,244.4,1227,997,1.844,6.1e-05,0.044202,2067665563.33224
"CANDIDATE",9579641,"K00115.03",338.2,357.4,2037,1270,5.081,-2.759e-06,-0.046127,471884562.746998
"CANDIDATE",8395660,"K00116.01",593.9,396.2,1091,785,8.142,0.0001081,0.017193,2652759768.32642
"CANDIDATE",8395660,"K00116.02",352.3,148.8,567.2,531,7.869,0.0001199,-0.19705,1342318648.81268
"CANDIDATE",8395660,"K00116.03",212.4,176.9,1728,1020,2.66,3.023e-05,-0.22191,545903119.35745
"CANDIDATE",8395660,"K00116.04",61.65,75.85,634.7,649,0.01894,-0.0001016,-0.61793,339145594.801291
"CANDIDATE",10875245,"K00117.01",423,186.2,933.5,874,12.34,0.000114,0.23502,1860008940.27442
"CANDIDATE",10875245,"K00117.02",433.5,366.6,2413,1460,7.844,2.021e-05,-0.33655,2160684738.60236
"CANDIDATE",10875245,"K00117.03",271.5,210.5,1889,1260,6.683,-1.23e-05,-0.14634,1551225830.91116
"CANDIDATE",10875245,"K00117.04",95.7,87.11,880.8,1070,2.83,-1.84e-05,-0.60595,371226635.496354
"CANDIDATE",3531558,"K00118.01",262.1,84.43,855.1,713,4.831,0.0001512,0.43686,1196256718.36703
"CANDIDATE",9471974,"K00119.01",4907,1027,2330,669,7.473,-0.00188,-0.013187,3871184943.98146
"CANDIDATE",9471974,"K00119.02",733,45.71,681,426,4.035,-0.001,-0.23977,1142775354.79727
"CANDIDATE",11869052,"K00120.01",706.9,9410,11050,742,2.909,-0.0001147,0.44911,885366214.300913
"FALSE POSITIVE",3247396,"K00121.01",473.8,277.3,1213,1400,13.62,0.001113,-2.8845,1538876700.30715
"CANDIDATE",8349582,"K00122.01",1246,322.6,1459,928,6.214,6.316e-05,-0.018528,3970345644.03128
"CANDIDATE",5094751,"K00123.01",1023,604.5,2126,1150,12.32,-4.27e-05,-0.0183,3957082458.22447
"CANDIDATE",5094751,"K00123.02",591.8,175.4,1011,771,4.425,-7.224e-05,-0.077242,2061337072.61369
"CANDIDATE",11086270,"K00124.01",333.4,191.9,903.6,1010,0.7476,-4.62e-05,0.027991,1684809761.72175
"CANDIDATE",11086270,"K00124.02",274.1,124.2,599.5,743,2.671,6.819e-05,-0.15403,1445202536.04206
"CANDIDATE",11449844,"K00125.01",65230,5462,34750,485,106.5,-0.0003218,-0.0139,29411947937.4329
"FALSE POSITIVE",5897826,"K00126.01",103500,231800,1472000,745,67.27,-0.0004284,0.0021225,6057077862.15847
"CANDIDATE",5897826,"K00126.02",19.73,71.73,202.2,369,0.1682,0.0002066,0.15598,59706432.3702571
"CANDIDATE",8359498,"K00127.01",231600,78740,121300,1150,187.4,0.0002158,-0.00027961,98082278253.4349
"CANDIDATE",11359879,"K00128.01",294100,74280,153800,1010,121.9,-0.002235,-0.017894,77636102019.1958
"CANDIDATE",11974540,"K00129.01",10720,376,9995,1490,71.04,-0.0007078,0.12681,13639025311.6736
