"koi_disposition","kepid","kepoi_name","tce_duration","tce_fwm_pdeco","tce_dicco_mra"
"CANDIDATE",11446443,"K00001.01",1.797,0.0007788,-0.0087961
"CANDIDATE",10666592,"K00002.01",4.044,0,2.2225
"CANDIDATE",10748390,"K00003.01",2.406,0.0008108,-6.2414
"CANDIDATE",3861595,"K00004.01",2.713,0.0001224,-0.073399
"CANDIDATE",8554498,"K00005.01",2.061,-0.0001082,-0.15312
"FALSE POSITIVE",3248033,"K00006.01",2.342,-0.003615,0
"CANDIDATE",11853905,"K00007.01",4.127,5.112e-05,0.027766
"FALSE POSITIVE",5903312,"K00008.01",1.392,-0.0004966,-7.3599
"FALSE POSITIVE",11553706,"K00009.01",3.577,0.01866,3.4555
"CANDIDATE",6922244,"K00010.01",3.271,0.0003616,0.014237
"FALSE POSITIVE",11913073,"K00011.01",4.639,0.004598,1.101
"CANDIDATE",5812701,"K00012.01",7.44,-0.0009708,-0.025949
"CANDIDATE",9941662,"K00013.01",3.18,0,3.5877
"FALSE POSITIVE",7684873,"K00014.01",1.943,5.322e-05,-3.538
"FALSE POSITIVE",3964562,"K00015.01",3.115,0,-9.2984
"FALSE POSITIVE",9110357,"K00016.01",1.952,0.06975,-5.7111
"CANDIDATE",10874614,"K00017.01",3.591,0.0008648,-0.040074
"CANDIDATE",8191672,"K00018.01",4.561,-0.000686,-0.0081337
"FALSE POSITIVE",7255336,"K00019.01",1.878,-2.683e-05,-0.10293
"CANDIDATE",11804465,"K00020.01",4.692,8.806e-05,0.0014676
"FALSE POSITIVE",10125352,"K00021.01",2.279,-0.00363,1.6861
"CANDIDATE",9631995,"K00022.01",4.354,0.0009601,-0.019787
"FALSE POSITIVE",9071386,"K00023.01",5.171,-1.322e-05,0.010021
"FALSE POSITIVE",4743513,"K00024.01",2.161,0.008371,-3.6632
"FALSE POSITIVE",10593759,"K00025.01",3.604,-8.061e-05,0.010823
"FALSE POSITIVE",5021737,"K00026.01",5.306,-0.006092,-3.9291
"FALSE POSITIVE",3832716,"K00027.01",2,0,0.011881
"FALSE POSITIVE",4247791,"K00028.01",8.062,0.02054,0.0029534
"FALSE POSITIVE",6956014,"K00031.01",2.128,3.581e-05,0.06114
"FALSE POSITIVE",5725087,"K00033.01",1.191,-5.153e-05,-0.15659
"CANDIDATE",6521045,"K00041.01",6.5,-0.0001281,-0.77603
"CANDIDATE",6521045,"K00041.02",4.547,-5.996e-05,-1.0514
"CANDIDATE",6521045,"K00041.03",6.042,-5.045e-05,-0.30865
"CANDIDATE",8866102,"K00042.01",4.822,0.0001457,-0.6039
"FALSE POSITIVE",9025922,"K00043.01",4.487,0.06295,-5.2641
"FALSE POSITIVE",8845026,"K00044.01",19.73,-0.001799,-0.12073
"FALSE POSITIVE",3742855,"K00045.01",5.846,-0.05663,-3.6632
"CANDIDATE",10905239,"K00046.01",3.949,-7.65e-05,0.0088147
"CANDIDATE",10905239,"K00046.02",4.047,2.684e-05,0.81567
"FALSE POSITIVE",7837302,"K00048.01",5.943,-0.0006494,0.021765
"CANDIDATE",9527334,"K00049.01",3.117,8.647e-06,-0.04471
"FALSE POSITIVE",6056992,"K00051.01",3.865,0.04291,-0.50311
"FALSE POSITIVE",3558981,"K00052.01",2.642,-0.003217,-0.037642
"FALSE POSITIVE",2445975,"K00053.01",2.637,-0.00428,-1.1752
"FALSE POSITIVE",8248939,"K00061.01",2.192,-0.0036,-3.8734
"CANDIDATE",11554435,"K00063.01",2.891,-9.444e-05,0.012119
"CANDIDATE",7051180,"K00064.01",1.645,7.244e-05,0.0054346
"FALSE POSITIVE",10620329,"K00066.01",0.7565,-2.884e-05,1.0896
"FALSE POSITIVE",8669092,"K00068.01",2,-5.345e-05,-0.67311
"CANDIDATE",3544595,"K00069.01",3.027,1.635e-05,-1.0239
"CANDIDATE",6850504,"K00070.01",3.894,-5.514e-05,-0.046808
"CANDIDATE",6850504,"K00070.02",2.584,2.923e-05,-0.073071
"CANDIDATE",6850504,"K00070.03",7.43,0.0001024,0.15169
"CANDIDATE",6850504,"K00070.04",2.928,2.47e-05,0.28308
"CANDIDATE",6850504,"K00070.05",3.491,-4.405e-05,0.12219
"CANDIDATE",11904151,"K00072.01",7.022,6.128e-05,-0.59428
"CANDIDATE",11904151,"K00072.02",1.612,-2.284e-05,-0.43671
"FALSE POSITIVE",6889235,"K00074.01",4.954,-4.611e-05,-0.59663
"CANDIDATE",7199397,"K00075.01",18.28,-0.0008328,-1.3634
"FALSE POSITIVE",9955262,"K00076.01",10.24,-0.0007428,1.5974
"FALSE POSITIVE",9552608,"K00080.01",3.58,-6.04e-05,0.096346
"FALSE POSITIVE",8823868,"K00081.01",9.729,-0.000332,-0.77584
"CANDIDATE",10187017,"K00082.01",3.817,-3.555e-05,0.09035
"CANDIDATE",10187017,"K00082.02",3.296,1.449e-05,-0.14961
"CANDIDATE",10187017,"K00082.03",3.841,2.79e-05,-0.59209
"CANDIDATE",10187017,"K00082.04",2.825,2.566e-05,-0.29164
"CANDIDATE",10187017,"K00082.05",2.722,-2.593e-05,0.74466
"CANDIDATE",10187017,"K00082.06",2.091,-3.415e-05,-0.78429
"CANDIDATE",2571238,"K00084.01",3.646,-1.688e-05,-0.045722
"CANDIDATE",5866724,"K00085.01",4.245,-6.693e-05,-1.1526
"CANDIDATE",5866724,"K00085.02",3.221,-1.214e-05,-0.90474
"CANDIDATE",5866724,"K00085.03",4.393,-2.972e-05,-0.19173
"CANDIDATE",10593626,"K00087.01",7.282,-6.895e-05,-0.33517
"FALSE POSITIVE",7700871,"K00088.01",2.847,-0.0002737,6.6789
"CANDIDATE",8056665,"K00089.01",10.39,-5.856e-05,-0.12982
"CANDIDATE",8056665,"K00089.02",6.787,0.0001417,0.21836
"FALSE POSITIVE",9210823,"K00090.01",1.612,0,7.5211
"CANDIDATE",7941200,"K00092.01",3.478,2.344e-06,-0.28768
"CANDIDATE",6462863,"K00094.01",6.713,-0.0002888,-0.077578
"CANDIDATE",6462863,"K00094.02",8.711,-4.452e-05,-0.15125
"CANDIDATE",6462863,"K00094.03",5.343,-0.0001318,0.096991
"CANDIDATE",6462863,"K00094.04",3.87,-2.14e-05,-0.40909
"CANDIDATE",5780885,"K00097.01",5.232,-2.272e-05,-0.036569
"CANDIDATE",10264660,"K00098.01",6.092,-0.0002271,-0.084068
"CANDIDATE",4055765,"K00100.01",5.044,-1.491e-05,0.032293
"CANDIDATE",8456679,"K00102.01",2.544,-0.001065,-0.36966
"FALSE POSITIVE",8456679,"K00102.02",2.916,-6.386e-05,0
"CANDIDATE",2444412,"K00103.01",3.939,-0.0001361,0.0036249
