"koi_disposition","kepid","kepoi_name","tce_ror","tce_model_snr","tce_nkoi","tcet_ingress","tcet_depth","tce_max_sngle_ev","tce_rb_tcount4","tce_fwm_sdeco","tce_fwm_pdeco","tce_dicco_msky","tce_dor_sn","tce_fwm_sdec_sn"
"CANDIDATE",11446443,"K00001.01",0.12589471,6930,1,0.5518,14130,544.2,0,0.1066,0.0007788,0.29669,1610.1899216663,100645775.510204
"CANDIDATE",10666592,"K00002.01",0.078784226,3565,1,0.6548,6440,232.3,3,-0.7585,0,3.9676,518.084614400144,76021090.3328051
"CANDIDATE",10748390,"K00003.01",0.060925075,1792,1,0.5699,4137,245.3,0,2.85,0.0008108,6.6417,53.1480389114627,27633129.3103448
"CANDIDATE",3861595,"K00004.01",0.039866118,228.8,1,0.6771,1265,26.06,0,-0.1427,0.0001224,0.080227,86.098782606003,7239282.52788104
"CANDIDATE",8554498,"K00005.01",0.036615779,358,2,0.6339,944.8,39.68,0,-0.05111,-0.0001082,0.19041,101.573489982459,4626674.19689119
"FALSE POSITIVE",3248033,"K00006.01",0.0076370104,24.36,1,1.242,91.3,4.849,0,72.7,-0.003615,0,1.18113773292656,319891.383333333
"CANDIDATE",11853905,"K00007.01",0.027263501,302.3,1,0.6652,693.9,23.66,0,-0.04694,5.112e-05,0.052554,12.8463015548391,4043204.59677419
"FALSE POSITIVE",5903312,"K00008.01",0.010921054,40.95,1,0.6695,122.8,6.059,0,5.283,-0.0004966,8.07,1.43660478887071,651970.792393027
"FALSE POSITIVE",11553706,"K00009.01",0.054669728,401.5,1,1.201,2463,57.1,0,-8.476,0.01866,5.1778,159.857437140931,7403353.51270553
"CANDIDATE",6922244,"K00010.01",0.094050704,1687,1,0.6757,8873,130.8,0,-0.05969,0.0003616,0.019556,224.491748893217,20409164.9038462
"FALSE POSITIVE",11913073,"K00011.01",0.027921071,91.99,1,1.817,587.7,14.43,0,-9.567,0.004598,11.166,43.6137026606863,1440185.47277937
"CANDIDATE",5812701,"K00012.01",0.089229178,628.5,1,1.133,8714,82.2,0,0.241,-0.0009708,0.056623,330.670655196848,32808845.6
"CANDIDATE",9941662,"K00013.01",0.065143174,5052,1,0.5663,4469,480.5,0,0.6993,0,4.5277,377.269684357263,61346274.8691099
"FALSE POSITIVE",7684873,"K00014.01",0.023767831,297.5,1,0.6419,406.3,31.11,0,0.2429,5.322e-05,3.5901,106.559748843321,3115482.51798561
"FALSE POSITIVE",3964562,"K00015.01",0.054691924,281.4,1,1.24,1184,90.5,0,-3.55,0,9.3006,37.011839520282,3586127.88990826
"FALSE POSITIVE",9110357,"K00016.01",0.019118708,48.61,1,1.182,852.9,49.07,0,-397.6,0.06975,9.7538,15.9635937129658,532934.929411765
"CANDIDATE",10874614,"K00017.01",0.092531652,2865,1,0.7118,10120,237.9,0,0.1457,0.0008648,0.069382,126.484085856367,41230756.4102564
"CANDIDATE",8191672,"K00018.01",0.078259482,2178,1,0.7521,6964,165.8,0,0.05465,-0.000686,0.034869,98.6353208039967,27870295.5696203
"FALSE POSITIVE",7255336,"K00019.01",0.063146039,1209,1,0.7349,2820,72.83,0,0.109,-2.683e-05,0.10923,261.997809454726,17557054.5081967
