"koi_disposition","kepid","kepoi_name","tce_ldm_coeff1","tce_ptemp_stat","tce_fwm_pdeco","tce_dikco_mra","tce_dikco_mdec","tce_dikco_msky","tce_sradius_sn","tce_ptemp_sn","tce_dicco_mra_sn","tce_dikco_msky_sn"
"CANDIDATE",11446443,"K00001.01",0.4685532,-8.432,0.0007788,0.014583,-0.27006,0.27045,25.3684210526316,21.1627266467753,-0.128975073313783,1.63909090909091
"CANDIDATE",10666592,"K00002.01",0.4179966,-0.4252,0,2.0211,-3.6656,4.1859,17.7454545454545,64.911887215636,3.87870855148342,5.61112600536193
"CANDIDATE",10748390,"K00003.01",0.7185774,0.4827,0.0008108,-4.0045,1.5513,4.2945,27.25,7.08740105540897,-3.78266666666667,3.70215517241379
"CANDIDATE",3861595,"K00004.01",0.3111566,2.725,0.0001224,-0.048718,-0.077171,0.091262,3.08135942327497,31.6160518098763,-1.06839883551674,1.20876821192053
"CANDIDATE",8554498,"K00005.01",0.4959136,0.3914,-0.0001082,-0.12743,-0.015759,0.1284,13.5378787878788,8.76674793916173,-2.14153846153846,1.79329608938547
"FALSE POSITIVE",3248033,"K00006.01",0.3917248,2.142,-0.003615,0,0,0,4.66076696165192,6.7082266161254,0,0
"CANDIDATE",11853905,"K00007.01",0.543529,0.5266,5.112e-05,0.18244,0.067877,0.19465,15.9278350515464,7.6876652814507,0.37931693989071,2.53120936280884
"FALSE POSITIVE",5903312,"K00008.01",0.450294,1.101,-0.0004966,-7.3481,3.4912,8.1353,6.88811188811189,3.8118069245934,-109.197329376855,118.590379008746
"FALSE POSITIVE",11553706,"K00009.01",0.2964238,5.529,0.01866,3.5236,-4.0169,5.3433,3.06527415143603,38.2314609365876,49.9349710982659,77.1038961038961
"CANDIDATE",6922244,"K00010.01",0.3798706,-1.558,0.0003616,-0.028353,0.1761,0.17837,13.1909090909091,14.6242189183366,0.21312874251497,2.61923641703377
"FALSE POSITIVE",11913073,"K00011.01",0.5537852,15.31,0.004598,1.0605,-11.182,11.232,4.3936170212766,28.6094488188976,1.69384615384615,12.2086956521739
"CANDIDATE",5812701,"K00012.01",0.4124056,2.864,-0.0009708,-0.047867,0.18408,0.1902,5.11985018726592,6.56911477240994,-0.122981042654028,0.660416666666667
"CANDIDATE",9941662,"K00013.01",0.5744564,-2.375,0,3.0005,2.3303,3.7991,2.25856929955291,19.8067720090293,3.11973913043478,4.53353221957041
"FALSE POSITIVE",7684873,"K00014.01",0.4406016,8.081,5.322e-05,-3.4481,-0.46942,3.4799,3.84509466437177,23.6349487596974,-11.6381578947368,19.0158469945355
"FALSE POSITIVE",3964562,"K00015.01",0.557243,4.032,0,-9.4467,0.24296,9.4498,3.41344537815126,12.5037803296321,-135.941520467836,135.968345323741
"FALSE POSITIVE",9110357,"K00016.01",0.4475868,-1.476,0.06975,-5.9097,-7.9903,9.9383,2.03488372093023,3.99404048918267,-80.0995792426368,129.068831168831
"CANDIDATE",10874614,"K00017.01",0.634036,-2.891,0.0008648,0.073313,0.17454,0.18932,13.5894736842105,12.4622237648964,-0.597228017883755,2.71621233859397
"CANDIDATE",8191672,"K00018.01",0.3915036,-2.044,-0.000686,-0.0026877,0.025836,0.025975,11.3376623376623,21.2415542989706,-0.121761976047904,0.385385756676558
"FALSE POSITIVE",7255336,"K00019.01",0.3103952,-5.284,-2.683e-05,-0.017842,0.16255,0.16353,5.57438016528926,10.6046555108909,-1.52038404726736,2.26182572614108
"CANDIDATE",11804465,"K00020.01",0.4704364,-1.393,8.806e-05,-0.044232,-0.072613,0.085024,5.05357142857143,16.663954318344,0.0219700598802395,1.20772727272727
"FALSE POSITIVE",10125352,"K00021.01",0.1923804,3.259,-0.00363,1.7423,0.85411,1.9404,2.91836734693878,19.8693160106993,24.2953890489914,26.3641304347826
"CANDIDATE",9631995,"K00022.01",0.5300978,1.162,0.0009601,-0.074509,-0.14294,0.1612,5.91866028708134,9.82948121050881,-0.295328358208955,2.39524517087667
"FALSE POSITIVE",9071386,"K00023.01",0.450288,10.36,-1.322e-05,0.13313,-0.031632,0.13684,5.50561797752809,44.0511560167486,0.149790732436472,1.99475218658892
"FALSE POSITIVE",4743513,"K00024.01",0.1424498,0.8311,0.008371,-4.0876,-1.5342,4.3661,3.2877030162413,30.7659606429323,-40.4326710816777,61.4943661971831
"FALSE POSITIVE",10593759,"K00025.01",0.3813176,-2.775,-8.061e-05,0.041441,0.090436,0.099479,2.92326732673267,7.93674905595606,0.162020958083832,1.48476119402985
"FALSE POSITIVE",5021737,"K00026.01",0.3462488,11.95,-0.006092,-4.4179,0.57424,4.4551,3.12581344902386,15.3953258009596,-50.2442455242967,66.0994065281899
"FALSE POSITIVE",3832716,"K00027.01",0.2654568,0,0,-0.041498,7.8558e-05,0.041498,3.43718592964824,0,0.178125937031484,0.612064896755162
"FALSE POSITIVE",4247791,"K00028.01",0.4661836,0,0.02054,0.031156,0.0062289,0.031773,3.40857787810384,0,0.0442788605697151,0.46725
"FALSE POSITIVE",6956014,"K00031.01",0.8242512,0,3.581e-05,0.085297,0.15062,0.1731,3.40848990953375,0,0.802362204724409,1.81446540880503
"FALSE POSITIVE",5725087,"K00033.01",0.5601592,0,-5.153e-05,-0.1953,1.2809,1.2957,4.46428571428571,0,-0.438627450980392,2.43552631578947
"CANDIDATE",6521045,"K00041.01",0.5155576,7.206,-0.0001281,-0.41364,0.91463,1.0038,15.6808510638298,11.301823853052,-4.08436842105263,1.76725352112676
"CANDIDATE",6521045,"K00041.02",0.5155576,5.668,-5.996e-05,-0.64332,1.441,1.5781,15.6808510638298,9.14222834386322,-3.55202702702703,2.3344674556213
"CANDIDATE",6521045,"K00041.03",0.5155576,8.228,-5.045e-05,0.065419,-0.39735,0.4027,15.6808510638298,10.0774585878598,-0.561181818181818,0.650565428109855
"CANDIDATE",8866102,"K00042.01",0.3786636,5.891,0.0001457,1.225,0.50991,1.3269,18.0675675675676,9.38840183382933,-0.700580046403712,1.84291666666667
"FALSE POSITIVE",9025922,"K00043.01",0.4997976,54.99,0.06295,-6.9951,-4.6623,8.4065,0,68.2006509357201,-21.1409638554217,122.902046783626
"FALSE POSITIVE",8845026,"K00044.01",0.5448482,18.23,-0.001799,-0.072042,-0.069514,0.10011,3.49511400651466,24.0920846033065,-1.56792207792208,1.27043147208122
"FALSE POSITIVE",3742855,"K00045.01",0.4997976,122.9,-0.05663,2.2091,5.527,5.9521,0,182.538882138518,-4.97042062415197,84.9087018544936
"CANDIDATE",10905239,"K00046.01",0.6367176,0.5241,-7.65e-05,0.026554,0.12898,0.13169,4.17015706806283,7.85900966304511,0.124854107648725,1.86529745042493
"CANDIDATE",10905239,"K00046.02",0.6367176,2.045,2.684e-05,0.80869,0.51489,0.95869,4.17015706806283,2.8859638783929,0.685436974789916,0.665756944444444
"FALSE POSITIVE",7837302,"K00048.01",0.2542876,0.4632,-0.0006494,0.071463,0.054742,0.09002,2.13421342134213,15.8393944123615,0.325823353293413,1.33362962962963
"CANDIDATE",9527334,"K00049.01",0.4993818,7.621,8.647e-06,0.0081307,0.015009,0.01707,6.25657894736842,11.9617825478301,-0.584444444444444,0.13547619047619
"FALSE POSITIVE",6056992,"K00051.01",0.4997976,2.437,0.04291,-1.0449,-1.5791,1.8935,0,7.84291361544942,-3.69933823529412,25.4502688172043
"FALSE POSITIVE",3558981,"K00052.01",0.6305096,10.29,-0.003217,0.027126,-0.091523,0.095458,6.46456692913386,25.5259285629524,-0.561820895522388,1.41629080118694
"FALSE POSITIVE",2445975,"K00053.01",0.4997976,15.03,-0.00428,-0.94476,0.80622,1.242,0,35.470598146588,-7.88724832214765,15.1463414634146
"FALSE POSITIVE",8248939,"K00061.01",0.3113968,3.548,-0.0036,-3.8782,4.4477,5.901,3.09065155807365,10.3022342253867,-53.6481994459834,73.5785536159601
"CANDIDATE",11554435,"K00063.01",0.565812,6.525,-9.444e-05,0.15155,0.21477,0.26286,7.38333333333333,14.1053919347531,0.178220588235294,3.25321782178218
"CANDIDATE",7051180,"K00064.01",0.6035072,4.373,7.244e-05,-0.098764,-0.1598,0.18786,8.27986348122867,39.2347486578819,0.0769773371104816,2.73848396501458
"FALSE POSITIVE",10620329,"K00066.01",0.4630136,1.014,-2.884e-05,0.99571,0.088029,0.99959,3.90178571428571,36.5442357096981,2.39472527472527,2.04834016393443
