"koi_disposition","kepid","kepoi_name","tce_model_dof","tcet_period","tcet_model_dof","tce_rb_tpdur","tce_rb_tcount2","tce_fwm_sdec","tce_fwm_pdeco","tce_prad_sn"
"CANDIDATE",11446443,"K00001.01",7757,2.47061,10140,3,0,49.31643,0.0007788,25.3591266040988
"CANDIDATE",10666592,"K00002.01",23000,2.20473,32150,6,5,47.969308,0,17.7434704451729
"CANDIDATE",10748390,"K00003.01",4897,4.88779,6752,6,3,48.081645,0.0008108,26.8554790894653
"CANDIDATE",3861595,"K00004.01",6694,3.84936,8884,6,1,38.94734,0.0001224,3.08238636363636
"CANDIDATE",8554498,"K00005.01",4870,4.7803,6749,3,11,44.647406,-0.0001082,13.5176069670579
"FALSE POSITIVE",3248033,"K00006.01",18410,1.3341,25630,6,0,38.386966,-0.003615,3.39170744269894
"CANDIDATE",11853905,"K00007.01",13630,3.21367,18630,6,2,50.135737,5.112e-05,15.2437810945274
"FALSE POSITIVE",5903312,"K00008.01",16830,1.16015,27640,3,1,41.139357,-0.0004966,4.66613672496025
"FALSE POSITIVE",11553706,"K00009.01",10260,3.71978,14570,6,0,49.528435,0.01866,3.06497484139138
"CANDIDATE",6922244,"K00010.01",11670,3.52249,18380,6,0,42.451063,0.0003616,13.1886625332152
"FALSE POSITIVE",11913073,"K00011.01",12500,3.74786,17150,12,0,50.262473,0.004598,4.35467128027682
"CANDIDATE",5812701,"K00012.01",5110,17.855,8817,12,0,41.011057,-0.0009708,5.11923076923077
"CANDIDATE",9941662,"K00013.01",21570,1.76359,32050,6,0,46.868554,0,2.25890985324948
"FALSE POSITIVE",7684873,"K00014.01",6927,2.94737,10800,3,30,43.305207,5.322e-05,3.84472461844725
"FALSE POSITIVE",3964562,"K00015.01",8436,3.01246,11430,6,0,39.088794,0,3.12935708752905
"FALSE POSITIVE",9110357,"K00016.01",31460,0.895276,32240,3,0,45.299469,0.06975,1.58632517722387
"CANDIDATE",10874614,"K00017.01",11450,3.23468,15880,6,0,48.239985,0.0008648,13.5889954147561
"CANDIDATE",8191672,"K00018.01",16420,3.54844,27340,12,0,44.035067,-0.000686,11.3297872340426
"FALSE POSITIVE",7255336,"K00019.01",17330,1.2032,26700,3,4,42.839213,-2.683e-05,5.56980227681246
"CANDIDATE",11804465,"K00020.01",10350,4.43796,17190,12,0,50.040385,8.806e-05,5.05466778805719
"FALSE POSITIVE",10125352,"K00021.01",5962,4.2885,7524,6,0,47.169873,-0.00363,2.83500205733096
"CANDIDATE",9631995,"K00022.01",6794,7.89143,9434,6,0,46.323334,0.0009601,5.91536338546458
"FALSE POSITIVE",9071386,"K00023.01",13240,4.69334,20200,12,0,45.403074,-1.322e-05,5.50679851668727
"FALSE POSITIVE",4743513,"K00024.01",10990,2.08609,30770,3,0,39.81877,0.008371,3.28679867986799
"FALSE POSITIVE",10593759,"K00025.01",13490,3.1326,17130,6,0,47.815537,-8.061e-05,2.91012640644534
"FALSE POSITIVE",5021737,"K00026.01",3010,15.0394,4059,12,0,40.150652,-0.006092,2.94135293235338
