"koi_disposition","kepid","kepoi_name","tce_chisq1","tce_steff_prov","boot_fap","tce_fwm_pdeco"
"CANDIDATE",11446443,"K00001.01",283100,0,0,0.0007788
"CANDIDATE",10666592,"K00002.01",176900,0,-1,0
"CANDIDATE",10748390,"K00003.01",34240,1,0,0.0008108
"CANDIDATE",3861595,"K00004.01",2303,2,0,0.0001224
"CANDIDATE",8554498,"K00005.01",2709,3,0,-0.0001082
"FALSE POSITIVE",3248033,"K00006.01",4702,4,2.0116e-101,-0.003615
"CANDIDATE",11853905,"K00007.01",4939,0,0,5.112e-05
"FALSE POSITIVE",5903312,"K00008.01",5568,4,9.95989999999999e-274,-0.0004966
"FALSE POSITIVE",11553706,"K00009.01",10640,5,0,0.01866
"CANDIDATE",6922244,"K00010.01",19260,6,0,0.0003616
"FALSE POSITIVE",11913073,"K00011.01",2860,5,0,0.004598
"CANDIDATE",5812701,"K00012.01",19910,7,0,-0.0009708
"CANDIDATE",9941662,"K00013.01",1263000,8,-1,0
"FALSE POSITIVE",7684873,"K00014.01",2726,8,0,5.322e-05
"FALSE POSITIVE",3964562,"K00015.01",8383,8,0,0
"FALSE POSITIVE",9110357,"K00016.01",36640,8,0,0.06975
"CANDIDATE",10874614,"K00017.01",169700,9,0,0.0008648
"CANDIDATE",8191672,"K00018.01",80050,10,0,-0.000686
"FALSE POSITIVE",7255336,"K00019.01",38830,4,0,-2.683e-05
"CANDIDATE",11804465,"K00020.01",112800,11,0,8.806e-05
"FALSE POSITIVE",10125352,"K00021.01",5753,5,0,-0.00363
"CANDIDATE",9631995,"K00022.01",53030,12,0,0.0009601
"FALSE POSITIVE",9071386,"K00023.01",71430,4,0,-1.322e-05
"FALSE POSITIVE",4743513,"K00024.01",149500,5,0,0.008371
"FALSE POSITIVE",10593759,"K00025.01",73000,5,0,-8.061e-05
"FALSE POSITIVE",5021737,"K00026.01",54680,5,0,-0.006092
"FALSE POSITIVE",3832716,"K00027.01",11070000,5,-1,0
"FALSE POSITIVE",4247791,"K00028.01",41120000,13,-1,0.02054
"FALSE POSITIVE",6956014,"K00031.01",10280,4,0,3.581e-05
"FALSE POSITIVE",5725087,"K00033.01",8755,13,-1,-5.153e-05
"CANDIDATE",6521045,"K00041.01",669.1,0,0,-0.0001281
"CANDIDATE",6521045,"K00041.02",1303,0,9.12609999999999e-152,-5.996e-05
"CANDIDATE",6521045,"K00041.03",239.7,0,1.953e-66,-5.045e-05
"CANDIDATE",8866102,"K00042.01",533.7,0,0,0.0001457
"FALSE POSITIVE",9025922,"K00043.01",3205,14,0,0.06295
"FALSE POSITIVE",8845026,"K00044.01",28670,13,0,-0.001799
"FALSE POSITIVE",3742855,"K00045.01",8722,14,0,-0.05663
"CANDIDATE",10905239,"K00046.01",5446,15,0,-7.65e-05
"CANDIDATE",10905239,"K00046.02",1126,15,5.6114e-19,2.684e-05
"FALSE POSITIVE",7837302,"K00048.01",284600,13,0,-0.0006494
"CANDIDATE",9527334,"K00049.01",822.5,4,0,8.647e-06
"FALSE POSITIVE",6056992,"K00051.01",7321,14,0,0.04291
"FALSE POSITIVE",3558981,"K00052.01",65560,13,0,-0.003217
"FALSE POSITIVE",2445975,"K00053.01",9172,14,0,-0.00428
"FALSE POSITIVE",8248939,"K00061.01",4599,13,0,-0.0036
"CANDIDATE",11554435,"K00063.01",2364,16,0,-9.444e-05
"CANDIDATE",7051180,"K00064.01",4191,17,0,7.244e-05
"FALSE POSITIVE",10620329,"K00066.01",8548,18,-1,-2.884e-05
"FALSE POSITIVE",8669092,"K00068.01",16600,5,-1,-5.345e-05
"CANDIDATE",3544595,"K00069.01",2063,0,0,1.635e-05
"CANDIDATE",6850504,"K00070.01",982.7,19,0,-5.514e-05
"CANDIDATE",6850504,"K00070.02",2601,19,0,2.923e-05
"CANDIDATE",6850504,"K00070.03",109.5,19,0,0.0001024
"CANDIDATE",6850504,"K00070.04",1010,19,1.5678e-55,2.47e-05
"CANDIDATE",6850504,"K00070.05",331,19,2.7984e-31,-4.405e-05
"CANDIDATE",11904151,"K00072.01",320,0,0,6.128e-05
"CANDIDATE",11904151,"K00072.02",7766,0,1.9193e-175,-2.284e-05
"FALSE POSITIVE",6889235,"K00074.01",9950,8,0,-4.611e-05
"CANDIDATE",7199397,"K00075.01",2093,0,0,-0.0008328
"FALSE POSITIVE",9955262,"K00076.01",318.3,5,0,-0.0007428
"FALSE POSITIVE",9552608,"K00080.01",3998,8,0,-6.04e-05
"FALSE POSITIVE",8823868,"K00081.01",33670,8,0,-0.000332
"CANDIDATE",10187017,"K00082.01",522.9,20,0,-3.555e-05
"CANDIDATE",10187017,"K00082.02",654.3,20,0,1.449e-05
"CANDIDATE",10187017,"K00082.03",227.2,20,3.7665e-84,2.79e-05
"CANDIDATE",10187017,"K00082.04",1147,20,1.5148e-78,2.566e-05
"CANDIDATE",10187017,"K00082.05",1363,20,7.574e-40,-2.593e-05
"CANDIDATE",10187017,"K00082.06",276.3,20,4.5506e-16,-3.415e-05
"CANDIDATE",2571238,"K00084.01",1435,21,0,-1.688e-05
"CANDIDATE",5866724,"K00085.01",1825,0,0,-6.693e-05
"CANDIDATE",5866724,"K00085.02",3240,0,0,-1.214e-05
"CANDIDATE",5866724,"K00085.03",788.8,0,0,-2.972e-05
"CANDIDATE",10593626,"K00087.01",18.32,22,1.1375e-171,-6.895e-05
"FALSE POSITIVE",7700871,"K00088.01",3286,5,0,-0.0002737
"CANDIDATE",8056665,"K00089.01",164.2,15,0,-5.856e-05
"CANDIDATE",8056665,"K00089.02",81.52,15,0,0.0001417
"FALSE POSITIVE",9210823,"K00090.01",9180,5,4.4485e-55,0
"CANDIDATE",7941200,"K00092.01",174.7,23,0,2.344e-06
"CANDIDATE",6462863,"K00094.01",3389,23,0,-0.0002888
"CANDIDATE",6462863,"K00094.02",584,23,0,-4.452e-05
