"koi_disposition","kepid","kepoi_name","tce_dor","tce_chisqgof","tce_slogg_prov","tce_rb_tcount3","tce_fwm_sra","tce_fwm_pdeco","tce_duration_sn","tce_insol_sn","tce_ptemp_sn","tce_fwm_sdeco_sn","tce_dikco_mra_sn"
"CANDIDATE",11446443,"K00001.01",7.9017478,2503000,0,0,19.120564,0.0007788,2945.41878380593,14.2542595019659,21.1627266467753,60.5681818181818,0.2104329004329
"CANDIDATE",10666592,"K00002.01",3.7582834,547400,1,1,19.483163,0,2004.95785820526,11.9239049527627,64.911887215636,-334.140969162996,2.933381712627
"CANDIDATE",10748390,"K00003.01",14.524126,171700,2,1,19.847345,0.0008108,369.812480786966,10.0092879256966,7.08740105540897,453.821656050955,-2.86035714285714
"CANDIDATE",3861595,"K00004.01",5.1382499,3623,3,0,19.623769,0.0001224,187.880886426593,2.10768167743812,31.6160518098763,-7.35567010309278,-0.669203296703297
"CANDIDATE",8554498,"K00005.01",7.1782026,6485,1,7,19.315981,-0.0001082,193.703007518797,11.416359369762,8.76674793916173,-1.47291066282421,-1.75523415977961
"FALSE POSITIVE",3248033,"K00006.01",2.1533022,5096,4,0,19.638774,-0.003615,12.4906666666667,3.24922143504101,6.7082266161254,167.898383371824,0
"CANDIDATE",11853905,"K00007.01",4.026869,6262,1,0,19.041029,5.112e-05,92.4921559838637,11.831814730448,7.6876652814507,-1.052466367713,2.36935064935065
"FALSE POSITIVE",5903312,"K00008.01",3.0782931,4060,4,0,19.909843,-0.0004966,13.0459231490159,4.56236055104088,3.8118069245934,23.273127753304,-106.959243085881
"FALSE POSITIVE",11553706,"K00009.01",3.7849212,38760,5,0,19.253826,0.01866,302.366863905325,1.96650195163715,38.2314609365876,-351.701244813278,51.3644314868805
"CANDIDATE",6922244,"K00010.01",6.9276479,116600,6,0,18.752527,0.0003616,692.275132275132,7.57416582104698,14.6242189183366,-7.97994652406417,-0.421292719167905
"FALSE POSITIVE",11913073,"K00011.01",2.2471655,5727,7,0,19.40415,0.004598,74.0935952723207,3.21851673489044,28.6094488188976,-75.9285714285714,1.649300155521
"CANDIDATE",5812701,"K00012.01",19.324694,93300,8,0,19.830247,-0.0009708,1617.39130434783,4.13601823708207,6.56911477240994,53.6748329621381,-0.240537688442211
"CANDIDATE",9941662,"K00013.01",3.8879931,3727000,7,0,19.131408,0,1944.95412844037,1.57678080022317,19.8067720090293,254.290909090909,2.94166666666667
"FALSE POSITIVE",7684873,"K00014.01",3.8052465,6067,7,0,19.507428,5.322e-05,185.755258126195,2.57597024695419,23.6349487596974,4.858,-18.8420765027322
"FALSE POSITIVE",3964562,"K00015.01",2.7150566,50770,7,0,19.607548,0,160.981912144703,2.55730123708101,12.5037803296321,-90.1015228426396,-135.923741007194
"FALSE POSITIVE",9110357,"K00016.01",1.2951693,186500,7,0,19.882345,0.06975,20.8146726380891,1.31871649962614,3.99404048918267,-1299.34640522876,-79.4314516129032
"CANDIDATE",10874614,"K00017.01",7.543308,309600,9,0,19.789151,0.0008648,694.449816283117,7.91643564356436,12.4622237648964,34.6904761904762,1.05943641618497
"CANDIDATE",8191672,"K00018.01",6.4381651,170800,10,0,19.960469,-0.000686,630.756465219195,7.98932898415657,21.2415542989706,9.62147887323943,-0.0401748878923767
"FALSE POSITIVE",7255336,"K00019.01",2.5088119,156100,4,0,18.72959,-2.683e-05,544.347826086957,3.45214682184423,10.6046555108909,12.4145785876993,-0.240134589502019
"CANDIDATE",11804465,"K00020.01",8.095565,374800,11,0,19.082895,8.806e-05,1248.20430965682,3.30726378552465,16.663954318344,4.86908077994429,-0.61518776077886
"FALSE POSITIVE",10125352,"K00021.01",6.6515913,14770,5,0,18.982621,-0.00363,249.398117750055,1.8312959724407,19.8693160106993,42.2367149758454,24.0982019363762
"CANDIDATE",9631995,"K00022.01",13.654196,123600,12,0,18.841973,0.0009601,679.463171036205,4.5851839000694,9.82948121050881,-12.9012517385257,-1.10876488095238
"FALSE POSITIVE",9071386,"K00023.01",7.4043902,397100,4,0,18.877756,-1.322e-05,2410.72261072261,4.1920756330467,44.0511560167486,22.9041095890411,1.93784570596798
"FALSE POSITIVE",4743513,"K00024.01",4.0585341,877900,5,0,19.387506,0.008371,220.173204279165,1.97331139815227,30.7659606429323,-244.660194174757,-58.0625
"FALSE POSITIVE",10593759,"K00025.01",4.0798658,107600,7,0,19.284114,-8.061e-05,1097.10806697108,2.46605596988082,7.93674905595606,13.3693304535637,0.618522388059701
"FALSE POSITIVE",5021737,"K00026.01",11.195662,212500,7,0,19.648665,-0.006092,1.12701784197111,2.65264532984977,15.3953258009596,132.547169811321,-65.5474777448071
"FALSE POSITIVE",3832716,"K00027.01",5.2597108,5309000,7,0,0,0,-2,-5385.46,0,0,-0.612064896755162
"FALSE POSITIVE",4247791,"K00028.01",2.4965203,25630000,13,0,19.144322,0.02054,8737.40110545139,1.99708386207592,0,-644.897959183673,0.45952802359882
"FALSE POSITIVE",6956014,"K00031.01",1.8313202,16930,4,0,19.602121,3.581e-05,39.3928174750093,0,0,-6.80188679245283,0.916186895810956
"FALSE POSITIVE",5725087,"K00033.01",2.3013559,4075,14,0,19.79781,-5.153e-05,22.4251553379778,0,0,3.76113360323887,-0.58125
"CANDIDATE",6521045,"K00041.01",9.3847754,1546,1,0,19.425728,-0.0001281,49.6562261268144,11.7173774665818,11.301823853052,2.7724358974359,-2.11040816326531
"CANDIDATE",6521045,"K00041.02",5.295355,1883,1,0,19.425742,-5.996e-05,19.1533277169334,11.7201668984701,9.14222834386322,1.90679347826087,-2.16606060606061
"CANDIDATE",6521045,"K00041.03",19.566959,460.3,1,0,19.425742,-5.045e-05,13.7756497948016,11.7290640394089,10.0774585878598,0.655536028119508,0.125323754789272
"CANDIDATE",8866102,"K00042.01",14.442833,1864,1,0,18.87672,0.0001457,88.6234148134534,12.7370936902486,9.38840183382933,5.51415094339623,1.68732782369146
"FALSE POSITIVE",9025922,"K00043.01",11.133894,17860,15,0,19.550079,0.06295,43.6054421768707,0,68.2006509357201,-256.118143459916,-102.267543859649
"FALSE POSITIVE",8845026,"K00044.01",27.370213,22810,13,0,20.010143,-0.001799,877.669039145907,2.55707762557078,24.0920846033065,-18.25,-0.921253196930946
"FALSE POSITIVE",3742855,"K00045.01",7.1156535,38190,15,0,19.351142,-0.05663,371.882951653944,0,182.538882138518,306.356589147287,29.9742198100407
"CANDIDATE",10905239,"K00046.01",5.1037458,7414,16,0,18.883698,-7.65e-05,79.6651200322776,2.85675190048376,7.85900966304511,4.60332541567696,0.372426367461431
"CANDIDATE",10905239,"K00046.02",5.5083592,1456,16,0,18.883666,2.684e-05,5.50013590649633,2.85671676035333,2.8859638783929,-0.296573426573427,0.553897260273973
"FALSE POSITIVE",7837302,"K00048.01",24.307847,675300,13,0,19.770257,-0.0006494,1005.58375634518,1.1665629107007,15.8393944123615,-1.0226368159204,1.0634375
"CANDIDATE",9527334,"K00049.01",13.136569,1236,4,0,19.483272,8.647e-06,33.3226427196921,4.42761760242792,11.9617825478301,-1.31456953642384,0.10642277486911
"FALSE POSITIVE",6056992,"K00051.01",16.46754,10880,15,0,19.727903,0.04291,250,0,7.84291361544942,-29.6143497757848,-14.5125
"FALSE POSITIVE",3558981,"K00052.01",8.7316821,291300,13,0,19.665174,-0.003217,1175.78994214508,4.17548209366391,25.5259285629524,-113.221957040573,0.403060921248143
"FALSE POSITIVE",2445975,"K00053.01",7.923965,55690,15,0,19.468717,-0.00428,192.622352081812,0,35.470598146588,-19.475,-11.6925742574257
"FALSE POSITIVE",8248939,"K00061.01",2.757259,4845,13,0,19.795291,-0.0036,22.3263393766551,2.50259102379236,10.3022342253867,232.159090909091,-53.5662983425414
"CANDIDATE",11554435,"K00063.01",20.055322,15790,17,0,19.28175,-9.444e-05,271.710526315789,4.97049356223176,14.1053919347531,30.8,2.09323204419889
"CANDIDATE",7051180,"K00064.01",4.7654583,6572,0,0,19.767366,7.244e-05,67.4180327868852,7.20301883951593,39.2347486578819,-3.72847682119205,-1.37746164574616
"FALSE POSITIVE",10620329,"K00066.01",4.2481216,26040,18,2,19.913959,-2.884e-05,35.4498594189316,2.51621880295353,36.5442357096981,-0.284104389086596,2.10065400843882
"FALSE POSITIVE",8669092,"K00068.01",4.0034094,99200,5,0,18.79287,-5.345e-05,-2,-30451.16,0,1.03448275862069,-4.29068062827225
"CANDIDATE",3544595,"K00069.01",6.2776351,4546,1,0,19.427878,1.635e-05,77.3970851444643,13.0088626292467,8.85088732542266,1.43363636363636,-2.39289176090469
"CANDIDATE",6850504,"K00070.01",14.860132,2128,19,0,19.179867,-5.514e-05,69.3870277975766,5.90451895043732,0.293799651601294,-5.04010025062657,-0.95019758507135
"CANDIDATE",6850504,"K00070.02",5.7534736,2685,19,0,19.179864,2.923e-05,32.4337893811974,5.90450606585788,3.83754796577448,-4.33725490196078,-1.37552836484983
"CANDIDATE",6850504,"K00070.03",57.073657,771.2,19,0,19.179865,0.0001024,48.5938521909745,5.88,15.2857859252243,-3.73267326732673,0.91177304964539
"CANDIDATE",6850504,"K00070.04",7.370089,1192,19,0,19.179869,2.47e-05,9.6953642384106,5.90337837837838,5.99325074295535,-1.26228813559322,0.654769230769231
"CANDIDATE",6850504,"K00070.05",20.975874,367.6,19,0,19.179858,-4.405e-05,6.24508050089445,5.904,3.66469080422941,0.353311793214863,0.0784230769230769
"CANDIDATE",11904151,"K00072.01",34.823713,1216,1,0,19.045289,6.128e-05,58.9588581024349,11.9395973154362,13.3832086012438,2.7390625,-2.45654545454545
"CANDIDATE",11904151,"K00072.02",2.0153747,5950,1,1,19.045284,-2.284e-05,22.0912703850898,11.9236718775604,4.58713601108566,2.88268156424581,-3.24601990049751
"FALSE POSITIVE",6889235,"K00074.01",6.1537982,59300,7,0,19.888279,-4.611e-05,361.869978086194,2.13113639312286,22.8714822322919,5.61904761904762,-2.28511764705882
"CANDIDATE",7199397,"K00075.01",37.235515,3500,0,0,19.433134,-0.0008328,292.620457819753,6.44034707158351,9.94185557373218,19.8204545454545,-1.81451814768461
"FALSE POSITIVE",9955262,"K00076.01",53.155465,1907,5,0,19.569496,-0.0007428,197.950898898125,2.03399765533411,14.5838426578906,15.7036450079239,1.62876712328767
"FALSE POSITIVE",9552608,"K00080.01",6.705284,4861,7,0,20.035833,-6.04e-05,335.52014995314,1.37441737617302,14.2610930849943,-3.54569190600522,0.773165467625899
"FALSE POSITIVE",8823868,"K00081.01",20.030462,221400,7,0,19.585715,-0.000332,1298.41185106099,2.23690003537875,24.1437026883898,5.0919175911252,-3.81276315789474
"CANDIDATE",10187017,"K00082.01",19.639035,1307,20,0,18.765499,-3.555e-05,86.2403976502486,8.47983870967742,3.24266758848087,-8.74553571428571,-4.6692523364486
"CANDIDATE",10187017,"K00082.02",11.45274,1228,20,0,18.765492,1.449e-05,27.3073736536868,8.47671840354767,9.19033776301218,-3.63082706766917,-3.93176165803109
"CANDIDATE",10187017,"K00082.03",27.504318,383.7,20,0,18.765498,2.79e-05,11.8990086741016,8.49180327868852,6.25236519003686,-1.63828125,-2.68122171945701
"CANDIDATE",10187017,"K00082.04",8.8123763,1053,20,0,18.765485,2.566e-05,13.1395348837209,8.47587131367292,6.15880143344415,-1.76021276595745,-3.02202749140894
"CANDIDATE",10187017,"K00082.05",6.8084833,1272,20,0,18.765526,-2.593e-05,12.1085409252669,8.47770700636943,4.52631832255787,0.312037037037037,0.304507462686567
"CANDIDATE",10187017,"K00082.06",63.679173,193.2,20,0,18.765519,-3.415e-05,16.6348448687351,8.4875,4.07004571821334,0.143211009174312,-1.03096296296296
"CANDIDATE",2571238,"K00084.01",10.318533,2623,21,0,19.361395,-1.688e-05,85.2466682253916,5.15772462831286,15.0699141272133,-4.16309012875536,1.83734375
"CANDIDATE",5866724,"K00085.01",5.3502954,4589,1,0,19.245912,-6.693e-05,83.2189766712409,11.7477384868421,9.07728327175874,1.46965517241379,-3.36428571428571
"CANDIDATE",5866724,"K00085.02",2.5216355,4092,1,0,19.245911,-1.214e-05,30.5887939221273,11.7464796360485,3.2143822439862,0.138156028368794,-2.11325268817204
"CANDIDATE",5866724,"K00085.03",6.5729505,1121,1,0,19.245911,-2.972e-05,23.5423365487674,11.7467387846007,10.0136267993721,0.75,-0.163096698113208
"CANDIDATE",10593626,"K00087.01",184.00766,88.67,22,0,19.281165,-6.895e-05,26.7327459618209,5.42105263157895,10.2604851024539,-3.22910798122066,-2.94420689655172
"FALSE POSITIVE",7700871,"K00088.01",3.1854186,6948,5,0,19.822021,-0.0002737,16.7077464788732,3.93903609122444,5.39926766574519,18.4823529411765,96.9712230215827
"CANDIDATE",8056665,"K00089.01",37.454347,1136,16,0,19.988054,-5.856e-05,61.1176470588235,3.11603773584906,4.34962011577424,1.95434782608696,-0.917679738562092
"CANDIDATE",8056665,"K00089.02",170.53658,376.9,16,0,19.988077,0.0001417,25.4289996253278,3.11214953271028,10.6618512054812,-0.415172413793103,0.00866358974358974
"FALSE POSITIVE",9210823,"K00090.01",2.0144715,11560,5,0,0,0,13.8965517241379,1.55817821110601,4.9457406827435,346.285714285714,103.136798905609
"CANDIDATE",7941200,"K00092.01",80.490581,215.7,23,0,18.891658,2.344e-06,30.1125541125541,4.39700374531835,13.535621424857,4.0671875,-0.528988571428571
"CANDIDATE",6462863,"K00094.01",26.12477,38760,23,0,19.822207,-0.0002888,383.6,3.76352201257862,7.34244899955971,7.43703703703704,1.36724598930481
