"koi_disposition","kepid","kepoi_name","tce_plnt_num","tce_ingress","tce_model_chisq","tce_sradius","tce_minmesd","tce_bin_oedp_stat","tce_albedo","tce_rb_tcount3","tce_fwm_stat","tce_fwm_srao","tce_fwm_pdeco","tce_impact_sn","tce_duration_sn","tce_sma_sn","tce_insol_sn","tce_smet_sn","tce_fwm_srao_sn","tce_fwm_sdeco_sn"
"CANDIDATE",11446443,"K00001.01",1,0.6188,7199,0.964,1.796,2.05,0.0393,0,2480.3,-0.02322,0.0007788,3421.03126268778,2945.41878380593,31.1521547933157,14.2542595019659,-0.4,-14.3333333333333,60.5681818181818
"CANDIDATE",10666592,"K00002.01",1,0.4694,20270,1.952,0.9536,25.95,0.1674,1,0,0.3986,0,302.283770651118,2004.95785820526,22.0752498530276,11.9239049527627,0.933333333333334,188.018867924528,-334.140969162996
"CANDIDATE",10748390,"K00003.01",1,0.1817,4935,0.763,-1.196,6.051,0.233,1,985.47,1.98,0.0008108,17.2865013774105,369.812480786966,27.093142272262,10.0092879256966,2.13333333333333,188.571428571429,453.821656050955
"CANDIDATE",3861595,"K00004.01",1,0.6598,5579,2.992,1.82,3.622,0.5699,0,208.36,-0.05632,0.0001224,520.022371364653,187.880886426593,3.33861144945189,2.10768167743812,-0.8,-2.99574468085106,-7.35567010309278
"CANDIDATE",8554498,"K00005.01",1,0.7206,3908,1.787,1.841,0.668,0.2107,7,47.32,-0.001298,-0.0001082,939.823008849558,193.703007518797,18.3941378235111,11.416359369762,1.6,-0.0363585434173669,-1.47291066282421
"FALSE POSITIVE",3248033,"K00006.01",1,0.0955,15460,1.58,0.8185,0.05381,0.908,0,0,-50.63,-0.003615,4.06795679567957,12.4906666666667,5.19258796585467,3.24922143504101,0,-117.470997679814,167.898383371824
"CANDIDATE",11853905,"K00007.01",1,0.2783,11200,1.545,0.4836,2.646,0.2332,0,66.373,0.2591,5.112e-05,19.2463909958405,92.4921559838637,20.4414498141264,11.831814730448,1.2,5.92906178489703,-1.052466367713
"FALSE POSITIVE",5903312,"K00008.01",1,0.07633,13800,0.985,0.5414,0.005731,0.6968,0,25285,-36.27,-0.0004966,5.35336109458656,13.0459231490159,7.5728500355366,4.56236055104088,-0.666666666666667,-153.037974683544,23.273127753304
"FALSE POSITIVE",11553706,"K00009.01",1,1.788,11790,2.348,1.985,7.572,1.63,0,311460,8.465,0.01866,755.051710421639,302.366863905325,3.2018691588785,1.96650195163715,-0.666666666666667,376.222222222222,-351.701244813278
"CANDIDATE",6922244,"K00010.01",1,0.5262,9927,1.451,2.175,0.1861,0.1108,0,96.827,-0.5515,0.0003616,216.462293071735,692.275132275132,15.1880424300868,7.57416582104698,-0.266666666666667,-63.6101499423299,-7.97994652406417
"FALSE POSITIVE",11913073,"K00011.01",1,2.32,11130,0.826,2.004,0.03068,14.09,0,10818,1.642,0.004598,351.460512080779,74.0935952723207,5.09812617806852,3.21851673489044,-0.133333333333333,16.2574257425743,-75.9285714285714
"CANDIDATE",5812701,"K00012.01",1,0.6566,4227,1.367,-2.963,0.5304,1.864,0,1550.1,-0.0764,-0.0009708,27.3986152324431,1617.39130434783,6.13075657894737,4.13601823708207,0.466666666666667,-17.8922716627635,53.6748329621381
"CANDIDATE",9941662,"K00013.01",1,0.285,25810,3.031,1.001,0.08052,0.02523,0,0,-0.176,0,169.255855321672,1944.95412844037,2.52848722986248,1.57678080022317,0.1,-98.3240223463687,254.290909090909
"FALSE POSITIVE",7684873,"K00014.01",1,0.7462,6157,2.234,1.569,1.833,3.105,0,1644,-1.363,5.322e-05,1573.46048165508,185.755258126195,4.33568281938326,2.57597024695419,-0.466666666666667,-31.0478359908884,4.858
"FALSE POSITIVE",3964562,"K00015.01",1,1.557,8859,2.031,1.625,0.0004082,1.349,0,0,-84.28,0,94.3383742911153,160.981912144703,4.16426282051282,2.55730123708101,0.323076923076923,-957.727272727273,-90.1015228426396
