"koi_disposition","kepid","kepoi_name","tce_dor","tce_ingress","tce_chisqgof","tce_insol","tce_sradius","tce_slogg_prov","tce_mesmedian","tce_ptemp","tce_rb_tcount3","tce_fwm_srao","tce_fwm_pdeco","tce_ror_sn","tce_prad_sn","tce_fwm_pdeco_sn","tce_dicco_msky_sn"
"CANDIDATE",11446443,"K00001.01",7.9017478,0.6188,2503000,761.32,0.964,0,0.01998,922.06,0,-0.02322,0.0007788,3640.0055559401,25.3591266040988,4.09894736842105,1.8659748427673
"CANDIDATE",10666592,"K00002.01",3.7582834,0.4694,547400,4165.02,1.952,1,-3.365,2025.9,1,0.3986,0,2168.4707937405,17.7434704451729,0,5.70057471264368
"CANDIDATE",10748390,"K00003.01",14.524126,0.1817,171700,96.99,0.763,2,0.009725,859.56,1,1.98,0.0008108,157.777214548416,26.8554790894653,16.8565488565489,3.75237288135593
"CANDIDATE",3861595,"K00004.01",5.1382499,0.6598,3623,4056.95,2.992,3,-0.122,2733.84,0,-0.05632,0.0001224,265.867581317086,3.08238636363636,3.13846153846154,1.15434532374101
"CANDIDATE",8554498,"K00005.01",7.1782026,0.7206,6485,1021.65,1.787,1,0.01865,1510.16,7,-0.001298,-0.0001082,255.896601661996,13.5176069670579,-2.98071625344353,2.40720606826802
"FALSE POSITIVE",3248033,"K00006.01",2.1533022,0.0955,5096,5237.55,1.58,4,-0.2135,3273.95,0,-50.63,-0.003615,4.9438695809369,3.39170744269894,-168.139534883721,0
"CANDIDATE",11853905,"K00007.01",4.026869,0.2783,6262,1246.6,1.545,1,-0.2792,1627.94,0,0.2591,5.112e-05,52.6800733955987,15.2437810945274,1.54441087613293,0.706370967741936
"FALSE POSITIVE",5903312,"K00008.01",3.0782931,0.07633,4060,2228.85,0.985,4,-0.02204,2474.93,0,-36.27,-0.0004966,6.34053049558888,4.66613672496025,-21.780701754386,119.378698224852
"FALSE POSITIVE",11553706,"K00009.01",3.7849212,1.788,38760,2917.05,2.348,5,-0.338,3273.76,0,8.465,0.01866,147.951689730638,3.06497484139138,156.806722689076,74.0743919885551
"CANDIDATE",6922244,"K00010.01",6.9276479,0.5262,116600,1268.9,1.451,6,-0.2208,1357.42,0,-0.5515,0.0003616,955.152333419176,13.1886625332152,1.68971962616822,0.291011904761905
"FALSE POSITIVE",11913073,"K00011.01",2.2471655,2.32,5727,267.33,0.826,7,-0.5094,3088.39,0,1.642,0.004598,32.6134635174234,4.35467128027682,70.3058103975535,12.1633986928105
"CANDIDATE",5812701,"K00012.01",19.324694,0.6566,93300,163.29,1.367,8,-0.03936,1646.68,0,-0.0764,-0.0009708,846.323788082669,5.11923076923077,-1.82481203007519,0.182654838709677
"CANDIDATE",9941662,"K00013.01",3.8879931,0.285,3727000,37983.12,3.031,7,-0.8822,2193.6,0,-0.176,0,2093.84440061321,2.25890985324948,0,4.84764453961456
"FALSE POSITIVE",7684873,"K00014.01",3.8052465,0.7462,6067,7909.8,2.234,7,-0.239,4935.45,0,-1.363,5.322e-05,236.847472750339,3.84472461844725,2.59609756097561,11.9272425249169
"FALSE POSITIVE",3964562,"K00015.01",2.7150566,1.557,50770,7487.42,2.031,7,-0.5239,3952.57,0,-84.28,0,7.84553236749224,3.12935708752905,0,135.973684210526
"FALSE POSITIVE",9110357,"K00016.01",1.2951693,0.976,186500,77476.19,3.325,7,-0.5033,2700.89,0,-275.6,0.06975,2.53221729174675,1.58632517722387,1265.88021778584,126.181112548512
"CANDIDATE",10874614,"K00017.01",7.543308,0.3059,309600,799.56,1.291,9,-0.3233,1077.11,0,0.05247,0.0008648,481.960111832751,13.5889954147561,5.20963855421687,1.03093610698366
"CANDIDATE",8191672,"K00018.01",6.4381651,0.3336,170800,1714.51,1.746,10,-1.002,1465.03,0,0.02196,-0.000686,464.970193525963,11.3297872340426,-6.59615384615385,0.519657228017884
"FALSE POSITIVE",7255336,"K00019.01",2.5088119,0.939,156100,4820.06,1.349,4,-0.3652,1134.38,0,0.02982,-2.683e-05,129.557489002362,5.56980227681246,-0.484296028880866,1.60868924889543
"CANDIDATE",11804465,"K00020.01",8.095565,0.4927,374800,759.91,1.415,11,-0.2555,1167.31,0,-0.007793,8.806e-05,1196.90111990013,5.05466778805719,0.224071246819338,0.0263577844311377
"FALSE POSITIVE",10125352,"K00021.01",6.6515913,1.14,14770,2083.85,2.002,5,-0.2087,2599.9,0,1.782,-0.00363,11.9990271120405,2.83500205733096,-22.1341463414634,27.4706703910615
"CANDIDATE",9631995,"K00022.01",13.654196,0.4817,123600,264.29,1.237,12,-0.07987,1182.29,0,-0.1774,0.0009601,647.147074018883,5.91536338546458,4.06822033898305,0.335119047619048
"FALSE POSITIVE",9071386,"K00023.01",7.4043902,0.574,397100,882.39,1.47,4,-0.1071,2419.73,0,0.0926,-1.322e-05,2290.08265993008,5.50679851668727,-0.0439202657807309,0.152630792227205
"FALSE POSITIVE",4743513,"K00024.01",4.0585341,0.7433,877900,2746.81,1.417,5,-0.08205,2048.09,0,-7.817,0.008371,286.350589857633,3.28679867986799,45.9945054945055,42.2192513368984
"FALSE POSITIVE",10593759,"K00025.01",4.0798658,1.802,107600,1028.37,1.181,7,0.06588,924.79,0,0.1456,-8.061e-05,30.6020358967379,2.91012640644534,-0.0775096153846154,0.185104790419162
"FALSE POSITIVE",5021737,"K00026.01",11.195662,2.653,212500,203.06,1.441,7,-0.1946,4973.46,0,-7.85,-0.006092,8.68877224923011,2.94135293235338,-0.0181850746268657,50.7925257731959
"FALSE POSITIVE",3832716,"K00027.01",5.2597108,0.3386,5309000,5385.46,1.368,7,-78.4,0,0,0,0,-0.19933221,-29.76,0,0.375194610778443
"FALSE POSITIVE",4247791,"K00028.01",2.4965203,4.031,25630000,2376.39,1.51,13,0.8421,0,0,-0.03921,0.02054,236.772704269123,3.40740740740741,1.68360655737705,0.61237668161435
"FALSE POSITIVE",6956014,"K00031.01",1.8313202,0.1993,16930,0,24.49,4,-0.09805,0,0,0.02297,3.581e-05,21.9356174633099,3.36820652173913,3.16902654867257,1.96101871101871
"FALSE POSITIVE",5725087,"K00033.01",2.3013559,0.03171,4075,0,31.5,14,-0.4594,0,0,-2.05,-5.153e-05,5.94800859355177,3.57070399675391,-3.43533333333333,2.01731748726655
"CANDIDATE",6521045,"K00041.01",9.3847754,0.2673,1546,184.08,1.474,1,-0.1047,2608.8,0,-0.143,-0.0001281,17.7781089106808,11.761583011583,-3.71304347826087,2.515
"CANDIDATE",6521045,"K00041.02",5.295355,0.2167,1883,421.34,1.474,1,0.01846,3053.23,0,0.3955,-5.996e-05,8.22399324976936,7.28437654016757,-2.30615384615385,3.44747474747475
"CANDIDATE",6521045,"K00041.03",19.566959,0.365,460.3,47.62,1.474,1,-0.04386,3662.35,0,0.4093,-5.045e-05,7.5761675489705,6.82155408043733,-0.912296564195298,0.534261744966443
"CANDIDATE",8866102,"K00042.01",14.442833,0.3838,1864,133.23,1.337,1,-0.02766,2334.52,0,0.2593,0.0001457,70.2016636635154,17.4952800503461,4.24781341107872,0.718925714285714
"FALSE POSITIVE",9025922,"K00043.01",11.133894,0.9604,17860,102.67,1,15,-0.3223,4190.93,0,-37.61,0.06295,59.8039611525413,59.7935103244838,143.721461187215,25.3837837837838
"FALSE POSITIVE",8845026,"K00044.01",27.370213,2.016,22810,11.2,1.073,13,-0.07616,2608.45,0,0.7125,-0.001799,522.404992206609,3.49366359447005,-1.05204678362573,1.82228187919463
"FALSE POSITIVE",3742855,"K00045.01",7.1156535,1.583,38190,219.76,1,15,-0.3465,3004.59,0,2.72,-0.05663,485.416373475411,485.289465359064,-17.0572289156627,15.103125
"CANDIDATE",10905239,"K00046.01",5.1037458,0.271,7414,1033.43,1.593,16,-0.349,1569.68,0,-0.055,-7.65e-05,41.7974818120438,4.14834794335806,-1.32124352331606,0.48821997105644
"CANDIDATE",10905239,"K00046.02",5.5083592,0.1389,1456,498.04,1.593,16,-0.05106,4162.57,0,-1.214,2.684e-05,1.48634395870118,1.40012845215157,0.390116279069767,0.772621848739496
"FALSE POSITIVE",7837302,"K00048.01",24.307847,2.971,675300,168.65,1.94,13,-0.04416,1014.83,0,-0.005123,-0.0006494,44.2619926078366,2.13167701863354,-0.297889908256881,0.341826347305389
"CANDIDATE",9527334,"K00049.01",13.136569,0.2376,1236,145.89,0.951,4,-0.01893,2563.41,0,0.135,8.647e-06,21.9844497256342,6.01752289924333,0.110434227330779,0.48161
"FALSE POSITIVE",6056992,"K00051.01",16.46754,1.932,10880,114.51,1,15,0.04342,1210.24,0,-0.8123,0.04291,12.5273620252317,12.5317693059629,5.79864864864865,8.51973094170403
"FALSE POSITIVE",3558981,"K00052.01",8.7316821,0.7326,291300,303.14,0.821,13,-0.1929,2151.07,0,0.4727,-0.003217,1390.99035269677,6.46345811051693,-0.544331641285956,0.70533234859675
"FALSE POSITIVE",2445975,"K00053.01",7.923965,0.5502,55690,512.7,1,15,-0.2439,2105.18,0,-0.4423,-0.00428,259.780053549474,259.708193041526,-2.89189189189189,8.61533333333333
"FALSE POSITIVE",8248939,"K00061.01",2.757259,0.1659,4845,2221.5,1.091,13,0.08732,2937.27,0,-17.03,-0.0036,17.2395740932712,3.04193319118692,-227.848101265823,73.32625
"CANDIDATE",11554435,"K00063.01",20.055322,0.3126,15790,92.65,0.886,17,0.001145,1556.53,0,0.1696,-9.444e-05,219.885522949749,7.37867647058824,-0.858545454545455,0.236653005464481
"CANDIDATE",7051180,"K00064.01",4.7654583,0.2784,6572,3827.18,2.426,0,-0.3537,2411.76,0,-0.2441,7.244e-05,78.1645627114446,8.23603002502085,1.69648711943794,0.875162241887906
"FALSE POSITIVE",10620329,"K00066.01",4.2481216,0.05722,26040,68039.11,2.622,18,-9.195,4551.95,2,0.3754,-2.884e-05,32.4998613595313,3.87346221441125,-1.66705202312139,2.31242236024845
"FALSE POSITIVE",8669092,"K00068.01",4.0034094,0.07916,99200,30451.16,3.177,5,-0.8544,0,0,-0.06281,-5.345e-05,-0.039939602,-13.85,-1.69145569620253,3.75702702702703
"CANDIDATE",3544595,"K00069.01",6.2776351,0.2112,4546,264.21,0.894,1,0.08385,1685.74,0,-0.3536,1.635e-05,46.3516528889933,20.1293356848912,0.548657718120805,2.34181818181818
"CANDIDATE",6850504,"K00070.01",14.860132,0.2787,2128,81.01,0.925,19,0.008601,767.39,0,-0.02455,-5.514e-05,38.0897608526729,8.90287277701778,-1.20393013100437,0.708202614379085
"CANDIDATE",6850504,"K00070.02",5.7534736,0.2197,2685,340.69,0.925,19,-0.1723,1610.12,0,-0.1131,2.923e-05,21.7125224263797,8.44036697247707,0.997610921501706,1.17009615384615
"CANDIDATE",6850504,"K00070.03",57.073657,0.4428,771.2,5.88,0.925,19,-0.03935,2743.34,0,-0.1004,0.0001024,22.7893135766549,8.49882491186839,1.13274336283186,1.21325925925926
"CANDIDATE",6850504,"K00070.04",7.370089,0.1361,1192,174.74,0.925,19,-0.2295,3347.71,0,0.08461,2.47e-05,3.47626832623971,3.24974164657251,0.722222222222222,3.17627906976744
"CANDIDATE",6850504,"K00070.05",20.975874,0.1598,367.6,36.9,0.925,19,-0.05104,3202.5,0,-0.3799,-4.405e-05,2.25041826561346,2.18607542478243,-0.764756944444445,1.44297058823529
"CANDIDATE",11904151,"K00072.01",34.823713,0.3233,1216,17.79,1.044,1,-0.0125,2539.33,0,-0.1366,6.128e-05,23.3842408857111,14.4168591224018,0.96503937007874,1.86919275123558
"CANDIDATE",11904151,"K00072.02",2.0153747,0.05922,5950,3638.27,1.044,1,-0.5375,2383.43,1,-0.3002,-2.284e-05,6.69195349899598,6.28459119496855,-1.55374149659864,2.82389204545455
