"","tce_plnt_num","tce_time0bk","tce_ror","tce_dor","tce_incl","tce_impact","tce_duration","tce_ingress","tce_ldm_coeff1","tce_ldm_coeff4","tce_num_transits","tce_full_conv","tce_model_snr","tce_model_chisq","tce_model_dof","tce_dof2","tce_chisq1","tce_chisq2","tce_chisqgof","tce_prad","tce_eqt","tce_insol","tce_nkoi","tce_steff","tce_slogg","tce_sradius","tce_steff_prov","tce_slogg_prov","tce_sradius_prov","tcet_period","tcet_ingress","tcet_depth","tcet_model_chisq","tcet_model_dof","wst_depth","tce_mesmedian","tce_mesmad","tce_minmes","tce_maxmesd","tce_minmesd","tce_max_sngle_ev","tce_bin_oedp_stat","tce_rmesmad","tce_rsnrmes","tce_rminmes","tce_albedo","tce_ptemp","tce_albedo_stat","tce_ptemp_stat","boot_fap","boot_mesthresh","boot_mesmean","tce_cap_stat","tce_hap_stat","tce_rb_tpdur","tce_rb_tcount1","tce_rb_tcount2","tce_rb_tcount3","tce_rb_tcount4","tce_fwm_stat","tce_fwm_sra","tce_fwm_sdec","tce_fwm_srao","tce_fwm_sdeco","tce_fwm_prao","tce_fwm_pdeco","tce_dicco_mra","tce_dicco_mdec","tce_dicco_msky","tce_dikco_mra","tce_dikco_mdec","tce_dikco_msky","tce_time0_sn","tce_ror_sn","tce_dor_sn","tce_incl_sn","tce_impact_sn","tce_duration_sn","tce_ingress_sn","tce_depth_sn","tce_prad_sn","tce_sma_sn","tce_insol_sn","tce_steff_sn","tce_slogg_sn","tce_smet_sn","tce_sradius_sn","tce_albedo_sn","tce_ptemp_sn","tce_fwm_sdec_sn","tce_fwm_srao_sn","tce_fwm_sdeco_sn","tce_fwm_prao_sn","tce_fwm_pdeco_sn","tce_dicco_mra_sn","tce_dicco_msky_sn","tce_dikco_mra_sn","tce_dikco_mdec_sn","tce_dikco_msky_sn"
"tce_plnt_num",1,0.00434473145532104,-0.145521661859778,-0.00350776180305402,0.107966141868325,0.0757680704752616,-0.032168822605358,-0.0757281611946282,0.123675907390955,-0.0988232916835067,-0.127719784010112,0.0602207384322877,-0.0804831285606363,-0.042291946941417,-0.143571115248528,-0.0363122132500655,-0.0364640207711538,-0.039002933613954,-0.0383766051151099,-0.0991606805872588,-0.139349655957834,-0.0542589081343781,0.740125365337147,-0.111087589984538,0.0695720593579589,-0.0333023769705029,0.183871515114107,0.171183125667674,-0.0322482154963702,-0.000115412435500708,-0.0839149672981399,-0.103118205622427,-0.0256814307488906,-0.159747623365228,-0.0622125916987459,0.0190987402147354,-0.026218186072453,0.0451317334246989,0.00613772095682049,-0.012177876633931,-0.0781347637134392,-0.00546854474706677,-0.0684192373341698,0.104680406071444,0.0610963584270282,-0.010117745734097,0.0226757163980736,0.0305677819659376,-0.00814756965502523,0.0987700090691775,0.0796240432168844,0.0369930180623522,-0.0898641328577004,-0.118351140775506,-0.0304349230804738,-0.0534438850884104,-0.0265027761557726,-0.0173542735398824,-0.0176026568988552,-0.0418367570647202,0.0335620409051052,0.0503721365243565,0.00389067935077875,0.00349450560563031,0.00102941800499202,0.00404552468123913,0.0107671838951345,0.00511977046443693,-0.102118665319252,0.0135113537048009,-0.0028458103460129,-0.0932047268933608,-0.0880651809946275,-0.0499447869904643,-0.0668525925628241,-0.0440667766359222,-0.0547234022945157,-0.0139823120568212,-0.0605634772748869,0.0229116179130201,0.0114509737910953,-0.0126083566967345,-0.00475598489983112,0.206894419872835,0.169432449584734,0.0661374341294638,0.236276148205605,-0.0225552608622594,-0.0703300824379539,-0.0910895670048728,-0.00405781950315593,0.00711994132450593,-0.0080751547148534,-0.00449313995080349,0.0112033616396175,-0.101657285027045,0.0100814848334971,0.00288796743359315,-0.101870418581892
"tce_time0bk",0.00434473145532104,1,-0.0187803840122428,0.590363816254498,0.254777203953436,-0.0522369891308421,0.317002712426431,0.130298517369939,0.00650233175542803,-0.0166987957242428,-0.247386541822464,0.0306649879711226,-0.0521878925978083,-0.0538621274740074,-0.253986796027772,-0.0268809032534197,-0.028519381890021,-0.0335796641234073,-0.0332834374151794,-0.0174728185335255,-0.358160171200904,-0.0708901848310124,-0.0260309506908918,-0.00130071692738504,-0.0208016046528162,3.90840450306498e-06,0.00893802650667777,0.0173219470660052,-0.0328314017300904,0.817363474830813,0.199414515312295,-0.0423354940501735,-0.0162852314141404,-0.349199439564427,-0.00222348980718744,0.0233622201199565,-0.0285749421026271,0.0171609261386174,0.520937240952849,0.470650568966044,-0.0127183475314576,-0.00540806424374628,-0.0378261150432845,-0.0286781687532305,0.259215568291389,0.182913037700191,0.0641423294840879,0.0322796927887153,0.0821948340876696,0.052120089546388,0.14633729421432,-0.303454405431895,-0.0364453910300145,-0.0850278935278853,0.404138592605931,-0.100048280864975,-0.052591683058357,-0.0343636330834422,-0.0398771786488557,-0.0357394150845477,0.0434157252995272,0.0532316985320988,0.00443798832845518,0.00167070748720021,0.00202740494929021,-0.000197344733052361,0.00451046388971147,-6.36341851328908e-05,-0.0417116611324289,0.00490730837513923,0.00140333253309961,-0.0322183491684425,-0.0783278248603508,-0.0302804626913601,-0.0446877237026249,0.0550044055109108,-0.0435041628228972,-0.0115551388194334,-0.0386081298567842,0.0243778786403135,-0.0033249008093669,-0.0121127563315777,-0.00518093164108594,0.024759377399848,0.0029726698839453,0.0048780651892128,-0.00391449315132274,-0.0160122257772343,-0.0251670615241836,-0.0639828705738348,-0.00502023721031558,0.0057982794043427,-0.00809178402470797,-0.00275532848672721,0.00185635964424735,-0.0740515709073067,-0.0035658324133615,-0.00420635628276021,-0.0698287469561416
"tce_ror",-0.145521661859778,-0.0187803840122428,1,0.0540962922663698,0.192213536208692,-0.323421521282166,0.0416376577565268,0.254406386019612,-0.196945829175946,0.150551265313361,-0.105128924036537,-0.38610942324943,0.557665000933841,0.191548196688597,-0.0976222356099689,0.297485246701769,0.285918097302779,0.297175162544264,0.286562143220394,0.546418386591844,0.0269638556414526,0.00118234598358184,-0.176518757353162,0.100559161300805,0.00257945782239205,-0.0234979940726966,-0.132566653338574,-0.131106666619021,0.129603980801994,-0.0267694524432134,0.138210216860512,0.745561898607825,0.20138895780614,-0.0569677928007609,0.488215459165883,-0.108291190029908,0.167710884730953,-0.341249131739844,-0.00178391440736193,-0.00331245874616047,0.578350367817336,0.036344285280645,0.488857924913487,-0.500797715379231,-0.296047328263408,-0.0300722355898302,-0.207299709453157,-0.216950302166576,0.139606162291902,-0.566168976006931,-0.494010493197828,-0.174115625404547,0.609922193215937,0.646480049834878,0.0991340455820045,-0.0708457528704495,-0.0299228537971586,-0.0120958287517174,0.013137282826325,0.211266017878896,-0.0593582980226213,-0.0619629473850576,0.00879845462975884,0.00263362945915929,-0.0201249697340089,-0.00258890901716814,-0.00368102365259099,0.017521596263986,-0.112963728708152,0.00895615265224012,0.00543605302981269,-0.179015036561387,0.522716432052262,0.241459946864792,0.395538481481413,0.225153318226004,0.177979356405059,0.0687286742756406,0.432024842050651,-0.149883399065957,-0.0642629899369968,0.0712575925393874,-0.0144220481362869,-0.209895666339694,-0.107323139381523,-0.162715548846451,-0.134339569240278,0.166997344546471,0.309996961725474,0.621208872666568,0.011445035837412,-0.0364141383992806,-0.00807735210747504,-0.00420593549613542,-0.00407878329688933,-0.0181060331014221,0.00467636107603106,-0.00375737415999494,-0.0812109491660539
"tce_dor",-0.00350776180305402,0.590363816254498,0.0540962922663698,1,0.252369927821072,-0.123933116605607,0.0789404797452311,0.00383041215121497,0.025699781925237,-0.0366895660650842,-0.223593363137724,-0.0242076410828957,-0.0327541349234329,-0.0486903370938941,-0.241960375402045,-0.0102295005842277,-0.0154904362871417,-0.0208070792505558,-0.0210574081450278,0.01250514734855,-0.319404567975037,-0.0650474391016552,-0.0318247207298269,-0.0565665461453406,0.00529393467784226,0.000922295332279982,0.0307168725337453,0.0432402609345198,-0.0216116272818299,0.672621197248742,0.0370601528165403,0.0159059454314086,7.04146309393751e-05,-0.32584948294825,0.0353602578839801,0.0203930005839787,-0.0244845062745967,-0.00638464661126358,0.388440661329034,0.350165423754849,0.0349374643200603,-0.00514666546820707,-0.00513265132330752,-0.0976771703537396,0.18634129942702,0.26553057960712,0.0261176977904557,0.0286883368503396,0.0320104599014357,-0.00258164509602862,0.0739942421421196,-0.223953111848481,-0.000356309921645405,-0.0564570603288536,0.135658300081168,-0.0879908701799666,-0.0459329346328633,-0.0313517463295058,-0.0368184850920249,-0.0303597412062684,0.0388532309162854,0.0508670101649162,0.00690306081354583,0.000940711158033355,0.00360418520867381,0.00475553025350907,0.00448798819150854,-0.00832806939927094,-0.0617060853112184,0.00457523462247092,-0.00536411345530676,-0.0563959982760356,-0.0561500751167702,-0.0231357557759801,-0.0380170461929291,0.0814175176311149,-0.0416216108651496,-0.0101341897030848,-0.0270958274414458,0.0199021331336887,-0.01705726785684,-0.00578919944206018,-0.00503229653713145,0.0162653163481059,0.0317032930244979,-0.0112564645061866,0.0275363145432756,-0.0319654378742853,-0.0443861293520811,-0.0328754319334404,-0.00618316614547544,0.00540332468322302,-0.00752428580513119,-0.00179330003602162,0.00820152979774637,-0.0743143391679409,0.00422639230120466,-0.0059933968253525,-0.0727281544038949
"tce_incl",0.107966141868325,0.254777203953436,0.192213536208692,0.252369927821072,1,-0.313034144331732,-0.0297361834665807,-0.128810607793357,0.0970189836598441,-0.105565057967952,-0.576107096164823,-0.141374620675176,0.0677639018256708,-0.085639099013897,-0.734603431758641,0.0539546071994845,0.0502946602752622,0.0374476656328149,0.0461748624806534,0.0769982371564767,-0.519280906131914,-0.17762438835208,0.142740171683266,-0.102589078708054,0.0939753083215648,-0.0417642565401668,0.129031873597314,0.125528157595505,-0.0077012593502189,0.290861507469926,-0.143784097431886,0.157701099793077,0.0410841834553699,-0.701712688267862,0.11862218259375,0.00549283597637491,0.00497189931604208,-0.0806026083151736,0.186152921618153,0.176143559874278,0.12357635661955,-0.0076593719995487,0.0772366218457928,-0.07547359045965,-0.106641945940333,0.0237738489036455,-0.0671327038719641,0.0355923893809294,0.182965478293585,0.00337591599967823,0.0352050829643309,0.0272530409436559,0.136512306004892,0.0420588103785255,0.0611719900459867,-0.210934628003725,-0.10398730654497,-0.063526059546511,-0.0752646536755631,-0.0127543831848939,0.108836477155905,0.134023542612598,0.022949515728308,0.0112191983413333,-0.00202916278589389,-0.000124168318299737,0.0456258238549691,0.0198158360525221,-0.288584949503654,0.0487077534552351,0.0182967838093318,-0.313722723767187,0.0302104329080642,0.0713994936610079,0.0397687724298233,0.0860517286423057,-0.0376717103967803,-0.0197186311301544,-0.00540630301968808,-0.0518159283693564,-0.0126007349960432,0.0124103799320202,-0.0478075210976529,0.113110703315571,0.107962145820932,0.0587476587814325,0.139310664032481,0.0916501123728255,0.103664445645225,0.108131729125586,0.00993004817575868,-0.0102164074528012,-0.0219349773722338,-0.0220293300400503,0.0139929380790468,-0.191168590408114,0.0195088137411166,0.00719366372697811,-0.218173726045103
"tce_impact",0.0757680704752616,-0.0522369891308421,-0.323421521282166,-0.123933116605607,-0.313034144331732,1,-0.0575339049010323,0.103215704940722,0.0412135967440949,-0.0355050314434085,-0.0326774212447443,0.586811301327893,-0.116782789889956,-0.0375405246218886,-0.0195320011984281,-0.206113968988319,-0.214250985067171,-0.191833066375439,-0.207947897173344,-0.16319876813715,-0.0608945573952559,-0.0681763793995319,0.0846390238626541,-0.0344416677540917,0.00120750687486688,0.00667360007324946,0.0246372126391368,0.0218067019385637,-0.0423771847558577,-0.0640275581334176,-0.110717638841648,-0.516638312297875,-0.143325809627474,-0.0443476446672973,-0.34347944897735,0.0669371209925782,-0.0993373163785858,0.239678761429509,-0.0442228159952077,-0.0390886368480199,-0.35510154236123,0.00930811222730915,-0.250226193429546,0.444204565094589,0.0400139408205084,-0.0451436815540669,0.104638311669774,0.0133376588225021,-0.00163836861819704,0.394543239695234,0.326728772721763,0.201211871669646,-0.265390697777896,-0.284132009389193,-0.157655434688956,0.0258760663679476,-0.00973180520039865,-0.0348568323750723,-0.0366794464196974,-0.0413291248658996,0.0689755637310428,0.0505726346330494,0.00873359671753281,-0.011828075999826,-0.00459664712168241,0.00765489427216636,0.0152586928487584,0.00714175086277607,0.0938391210115296,0.00769417620840635,0.0137768725660349,0.124947979935241,-0.100131346369074,-0.231877594426037,-0.125720595279807,-0.108179044406714,-0.00133612666447132,-0.0440494871148075,-0.0214776445655902,0.234946579447923,0.116697884723377,-0.0271484495464409,0.0616997980981644,0.0648762454247242,0.0206764876781833,0.0387944308218832,0.0299239296134921,0.0156927334294975,-0.0282085776020652,-0.391262745070718,-0.0278185037303059,0.0399104690999164,-0.00423939408738825,0.0179624529955735,0.0172962597814574,0.0788121224781925,0.00704669374330722,0.00377012448217587,0.111234433335569
"tce_duration",-0.032168822605358,0.317002712426431,0.0416376577565268,0.0789404797452311,-0.0297361834665807,-0.0575339049010323,1,0.760579235549415,-0.0711349597306829,0.064787006733985,-0.276814698534331,0.0245327088803438,0.0200050302617078,-0.0113254406721221,-0.0529734257640921,0.00282916926123888,0.0120224809649824,-0.000994764932297412,0.00198574567490452,0.0959832575390886,-0.244093348182693,-0.0654337396345134,-0.040452772654754,0.0957189019739965,-0.135320980141467,0.0143667142366131,-0.0186995204623654,-0.00840012418762731,-0.0182533124688778,0.397948348194642,0.732018858735632,0.0112033487470432,0.0204103378870323,-0.157716557551773,0.0381496827754025,0.0146698657272407,-0.0197481214544225,-0.0357434627684619,0.230544339341525,0.197765801255276,0.0435761312370681,-0.000912280862333134,-0.003979382000949,0.112947710755982,0.213388184983428,0.0662354868771998,0.0625065549021009,0.0156867490244717,0.159705280536376,0.00428399957836692,0.0619213743330529,-0.167096942843691,0.0259602983881723,-0.00210410778790802,0.808092055089947,-0.152672796059797,-0.0749836103047119,-0.0381981362842647,-0.0100807644102471,-0.00184117405281115,0.0368667047059579,0.0108706861994405,0.00195123730363984,0.00916805746532733,0.00299783386405546,-0.00123401701926811,-0.0293375225330261,-0.00516246756439869,-0.041783621706993,-0.0270766987397132,-0.00110446831428663,-0.0285127504544705,-0.0492856674397356,0.0489269144096606,0.0360736061236614,0.0608966946250054,0.0268502371543183,0.0270041316587062,0.0340838853147131,0.0167055536798965,0.000360650270636683,-0.0127291165023151,-0.00631834102018146,0.00909604368766663,-0.0720843103054721,-0.00687747607300439,-0.0990077167396164,0.0273912261906144,0.0761983268936694,0.011747465576127,-0.0056961386636566,0.00633250695856635,-0.00442971944851133,-0.00919781136710219,-0.00689124677717449,-0.0781802446483306,-0.00798889521327918,0.0136893847925902,-0.0738952706898555
"tce_ingress",-0.0757281611946282,0.130298517369939,0.254406386019612,0.00383041215121497,-0.128810607793357,0.103215704940722,0.760579235549415,1,-0.0839945306566542,0.0689600423726753,-0.167217588324135,-0.00743929149908729,0.136875076317096,0.0316129540857219,-0.0489073624231351,0.0452472316065135,0.0504166146417088,0.0454897771010198,0.0432732755772643,0.229630277404944,-0.118335416482449,-0.0416424006250394,-0.0954225162080484,0.0584709425756988,-0.0941762244911154,0.017042669162548,-0.05754268298962,-0.0513947640263367,0.0102287106639518,0.154535160562559,0.567560408017211,0.117500671235298,0.0486307946179379,-0.089378331494221,0.102074773846223,-0.00702111870086735,0.0111154416350981,-0.0792202042168448,0.0885598353124088,0.0630018815311652,0.13051172875561,0.00942854606670389,0.0842643263141563,0.0712024690252905,0.0171921703351969,-0.000274877180091711,-0.0551595216868922,-0.0376113156599203,0.102919173492818,-0.0900744956785658,-0.0522414088730087,-0.100017797403491,0.135772824431917,0.14354050241878,0.461155874248171,-0.0887966613274947,-0.0447123963584717,-0.0256775379301602,0.0055252384134231,0.0591470563726728,0.0132937387634686,-0.0170048616041276,0.00407924594975624,0.00579198884378804,-0.00312687372249014,-0.0033978568375831,-0.0223175198045926,0.0117161141510542,-0.00756174000742897,-0.0178993432483793,0.0123429143664607,-0.00672242883875703,0.0774970518244421,0.0633823218679586,0.121493533790796,0.0966771824502386,0.104285914317083,0.0400779579685959,0.146126357645746,0.00341049641577245,-0.00393243405269512,0.00323802884139188,-0.00353774650880068,-0.076921172120807,-0.0796860844056017,-0.068309011650269,-0.102590780012705,0.0416037391691927,0.113466438659609,0.107511298956932,-0.00320033445394394,0.00169971389404024,-0.000557533182338036,-0.00248572061051249,-0.00861447491428894,0.00665907527076564,-0.00801698146178926,0.0128387759027107,0.00636275797564429
"tce_ldm_coeff1",0.123675907390955,0.00650233175542803,-0.196945829175946,0.025699781925237,0.0970189836598441,0.0412135967440949,-0.0711349597306829,-0.0839945306566542,1,-0.850339385075866,-0.0606580456005982,0.115891339151588,-0.155259688579122,-0.0578074432831415,-0.109088626350805,-0.081272591965391,-0.0777393495092267,-0.0806294038681444,-0.0697272051481556,-0.0176593166996511,-0.234182312900131,-0.0413237246426789,0.16701348883992,-0.505795330632229,-0.0162592562427718,0.149206858671535,0.36185331636873,0.336328588547407,0.0031788706504187,-0.00596777897392254,-0.138964822477111,-0.159057325290567,-0.0506604189226995,-0.130561458073006,-0.0882122107385544,0.0148545722256842,-0.0590510742859491,0.0805215067474696,-0.000122618451683426,-0.0153963976707074,-0.138249266293562,-0.00318670995766445,-0.13525098468336,0.169507454980026,-0.0149384636396244,-0.0105076309675676,-0.0812573572487775,0.0562498621195063,-0.00805517234346141,0.171730553255288,0.149548592819566,0.0379033777068345,-0.186252133136231,-0.202041031406229,-0.11124025005615,-0.0131227065720011,-0.00900902512755313,-0.00939885909150276,-0.0248506542346989,-0.0655154304577753,0.0372938215878969,0.0596959665476666,0.00597183828910737,0.00875084564587644,0.0059393451647835,0.0151741771983371,0.00928798673554142,0.0214483908768928,-0.0706426648771659,-0.000231807622015224,0.024737494058139,-0.0612497187526135,-0.159090125365404,-0.0875409286858078,-0.132858755928451,-0.0533538858197081,-0.0811751024786437,-0.0219012587622079,-0.131299977857508,0.0307924410129528,0.0428380837662203,0.00241726598816803,0.0101047239098761,0.282860882886148,0.319393911417997,0.604300883529402,0.400663007665939,0.0108673619613408,-0.0891512905497371,-0.16990535102236,-0.0169794685722356,0.0203209604838571,-0.00191592198818292,-0.000786776630410609,0.0150855455472581,-0.0543263550487491,0.0111517882548804,0.0106688587138854,-0.0376687661807249
"tce_ldm_coeff4",-0.0988232916835067,-0.0166987957242428,0.150551265313361,-0.0366895660650842,-0.105565057967952,-0.0355050314434085,0.064787006733985,0.0689600423726753,-0.850339385075866,1,0.0511162379254612,-0.0863720652738501,0.152708371719271,0.0603914634511001,0.11912705220186,0.0857570843711272,0.088221854768765,0.0896456954228995,0.0729659107346015,0.0753306817600872,0.271542032850209,0.117978560077107,-0.133466642723643,0.51452191638771,-0.066841019741582,-0.0264286587198024,-0.181775650548363,-0.180716615634601,-0.0152097793822628,-0.00261732141313938,0.123359144789719,0.123909741001655,0.0563818908655714,0.125043691292381,0.0582753326092485,-0.0212007827568764,0.0480087628029494,-0.0678469768110217,-0.012150918669834,0.00841114435067537,0.129143281644202,0.0173528999529851,0.124304773764568,-0.130529678987632,0.0328989707697358,0.025152494151732,0.0888812151313272,-0.0574291207208837,-0.00834416094188095,-0.166631739721335,-0.135414897513357,-0.0436549340960309,0.183347900233287,0.181255076489195,0.103097322741253,0.0167047877593231,0.0126836583890956,0.0110273392393226,0.0316984544583198,0.0569042435494166,-0.0435714302308464,-0.0639341467645377,-0.0127827818998496,-0.00302864633156518,-0.00432537694457003,-0.0055045559940345,-0.0188462149548166,-0.0185179942787695,0.0544903354098311,-0.00959066623268637,-0.0161352851657432,0.0540592155914314,0.152464353653001,0.0969724630369111,0.131318506776743,0.0594407824588856,0.0937381126369614,0.028512618627409,0.127707375895708,-0.0272848079960298,-0.03587560576164,-0.000494248577825754,-0.0231179121193669,-0.23925752913123,-0.255292576506291,-0.444331416251876,-0.378224861808169,-0.0229596087957822,0.0785181058871929,0.166104205324564,0.0198156728739463,-0.0125340393690544,0.00776625796348704,0.00461933152016001,-0.0258104654006434,0.0420732921194349,-0.0231469139088088,-0.013225355631982,0.0393497797734411
