"koi_disposition","kepid","kepoi_name","tce_plnt_num","tce_ingress","tce_model_chisq","tce_insol","tce_sradius","tce_mesmedian","tce_minmesd","tce_bin_oedp_stat","tce_albedo","tce_rb_tcount3","tce_fwm_stat","tce_fwm_srao","tce_fwm_pdeco","tce_impact_sn","tce_duration_sn","tce_depth_sn","tce_sma_sn","tce_insol_sn","tce_smet_sn","tce_fwm_srao_sn","tce_fwm_sdeco_sn","tce_fwm_pdeco_sn","tce_dicco_msky_sn"
"CANDIDATE",11446443,"K00001.01",1,0.6188,7199,761.32,0.964,0.01998,1.796,2.05,0.0393,0,2480.3,-0.02322,0.0007788,3421.03126268778,2945.41878380593,3983.19327731093,31.1521547933157,14.2542595019659,-0.4,-14.3333333333333,60.5681818181818,4.09894736842105,1.8659748427673
"CANDIDATE",10666592,"K00002.01",1,0.4694,20270,4165.02,1.952,-3.365,0.9536,25.95,0.1674,1,0,0.3986,0,302.283770651118,2004.95785820526,3080.75680664513,22.0752498530276,11.9239049527627,0.933333333333334,188.018867924528,-334.140969162996,0,5.70057471264368
"CANDIDATE",10748390,"K00003.01",1,0.1817,4935,96.99,0.763,0.009725,-1.196,6.051,0.233,1,985.47,1.98,0.0008108,17.2865013774105,369.812480786966,1751.6051364366,27.093142272262,10.0092879256966,2.13333333333333,188.571428571429,453.821656050955,16.8565488565489,3.75237288135593
"CANDIDATE",3861595,"K00004.01",1,0.6598,5579,4056.95,2.992,-0.122,1.82,3.622,0.5699,0,208.36,-0.05632,0.0001224,520.022371364653,187.880886426593,199.813838039094,3.33861144945189,2.10768167743812,-0.8,-2.99574468085106,-7.35567010309278,3.13846153846154,1.15434532374101
"CANDIDATE",8554498,"K00005.01",1,0.7206,3908,1021.65,1.787,0.01865,1.841,0.668,0.2107,7,47.32,-0.001298,-0.0001082,939.823008849558,193.703007518797,233.252427184466,18.3941378235111,11.416359369762,1.6,-0.0363585434173669,-1.47291066282421,-2.98071625344353,2.40720606826802
"FALSE POSITIVE",3248033,"K00006.01",1,0.0955,15460,5237.55,1.58,-0.2135,0.8185,0.05381,0.908,0,0,-50.63,-0.003615,4.06795679567957,12.4906666666667,18.8589840788476,5.19258796585467,3.24922143504101,0,-117.470997679814,167.898383371824,-168.139534883721,0
"CANDIDATE",11853905,"K00007.01",1,0.2783,11200,1246.6,1.545,-0.2792,0.4836,2.646,0.2332,0,66.373,0.2591,5.112e-05,19.2463909958405,92.4921559838637,289.864325618516,20.4414498141264,11.831814730448,1.2,5.92906178489703,-1.052466367713,1.54441087613293,0.706370967741936
"FALSE POSITIVE",5903312,"K00008.01",1,0.07633,13800,2228.85,0.985,-0.02204,0.5414,0.005731,0.6968,0,25285,-36.27,-0.0004966,5.35336109458656,13.0459231490159,29.9254843517139,7.5728500355366,4.56236055104088,-0.666666666666667,-153.037974683544,23.273127753304,-21.780701754386,119.378698224852
"FALSE POSITIVE",11553706,"K00009.01",1,1.788,11790,2917.05,2.348,-0.338,1.985,7.572,1.63,0,311460,8.465,0.01866,755.051710421639,302.366863905325,169.423368740516,3.2018691588785,1.96650195163715,-0.666666666666667,376.222222222222,-351.701244813278,156.806722689076,74.0743919885551
"CANDIDATE",6922244,"K00010.01",1,0.5262,9927,1268.9,1.451,-0.2208,2.175,0.1861,0.1108,0,96.827,-0.5515,0.0003616,216.462293071735,692.275132275132,1512.7441244621,15.1880424300868,7.57416582104698,-0.266666666666667,-63.6101499423299,-7.97994652406417,1.68971962616822,0.291011904761905
"FALSE POSITIVE",11913073,"K00011.01",1,2.32,11130,267.33,0.826,-0.5094,2.004,0.03068,14.09,0,10818,1.642,0.004598,351.460512080779,74.0935952723207,32.8727770177839,5.09812617806852,3.21851673489044,-0.133333333333333,16.2574257425743,-75.9285714285714,70.3058103975535,12.1633986928105
"CANDIDATE",5812701,"K00012.01",1,0.6566,4227,163.29,1.367,-0.03936,-2.963,0.5304,1.864,0,1550.1,-0.0764,-0.0009708,27.3986152324431,1617.39130434783,584.243964421855,6.13075657894737,4.13601823708207,0.466666666666667,-17.8922716627635,53.6748329621381,-1.82481203007519,0.182654838709677
"CANDIDATE",9941662,"K00013.01",1,0.285,25810,37983.12,3.031,-0.8822,1.001,0.08052,0.02523,0,0,-0.176,0,169.255855321672,1944.95412844037,3914.23670668954,2.52848722986248,1.57678080022317,0.1,-98.3240223463687,254.290909090909,0,4.84764453961456
"FALSE POSITIVE",7684873,"K00014.01",1,0.7462,6157,7909.8,2.234,-0.239,1.569,1.833,3.105,0,1644,-1.363,5.322e-05,1573.46048165508,185.755258126195,168.985750209556,4.33568281938326,2.57597024695419,-0.466666666666667,-31.0478359908884,4.858,2.59609756097561,11.9272425249169
"FALSE POSITIVE",3964562,"K00015.01",1,1.557,8859,7487.42,2.031,-0.5239,1.625,0.0004082,1.349,0,0,-84.28,0,94.3383742911153,160.981912144703,145.744680851064,4.16426282051282,2.55730123708101,0.323076923076923,-957.727272727273,-90.1015228426396,0,135.973684210526
"FALSE POSITIVE",9110357,"K00016.01",1,0.976,31350,77476.19,3.325,-0.5033,0.2813,3.086,0.02843,0,900730,-275.6,0.06975,66.4300066979236,20.8146726380891,8.96780786918753,2.14577530176416,1.31871649962614,-0.228571428571429,-1020.74074074074,-1299.34640522876,1265.88021778584,126.181112548512
"CANDIDATE",10874614,"K00017.01",1,0.3059,10060,799.56,1.291,-0.3233,1.853,0.002736,0.06968,0,1939.7,0.05247,0.0008648,0.0552281616688396,694.449816283117,2562.48483377821,15.4532527550658,7.91643564356436,2.26666666666667,12.7046004842615,34.6904761904762,5.20963855421687,1.03093610698366
"CANDIDATE",8191672,"K00018.01",1,0.3336,14670,1714.51,1.746,-1.002,1.396,27.36,0.1112,0,1052.3,0.02196,-0.000686,0.00576243504083148,630.756465219195,2032.3751046609,14.2441528807758,7.98932898415657,0.266666666666667,3.4746835443038,9.62147887323943,-6.59615384615385,0.519657228017884
"FALSE POSITIVE",7255336,"K00019.01",1,0.939,17450,4820.06,1.349,-0.3652,0.1906,237.3,0.01422,0,478.35,0.02982,-2.683e-05,771.821862348178,544.347826086957,525.341130604289,5.79788605310647,3.45214682184423,-1.6,2.71090909090909,12.4145785876993,-0.484296028880866,1.60868924889543
"CANDIDATE",11804465,"K00020.01",1,0.4927,9376,759.91,1.415,-0.2555,2.367,0.6937,0.1011,0,8.0673,-0.007793,8.806e-05,1.08741066520066e-05,1248.20430965682,2586.58690176322,5.42330677290837,3.30726378552465,0.533333333333333,-2.27201166180758,4.86908077994429,0.224071246819338,0.0263577844311377
