"koi_disposition","kepid","kepoi_name","X","tce_plnt_num","tce_dor","tce_incl","tce_impact","tce_ingress","tce_ldm_coeff4","tce_model_chisq","tce_insol","tce_sradius","tce_slogg_prov","tce_sradius_prov","tcet_model_chisq","wst_depth","tce_mesmedian","tce_mesmad","tce_maxmesd","tce_minmesd","tce_bin_oedp_stat","tce_rminmes","tce_albedo","tce_albedo_stat","boot_mesmean","tce_rb_tcount3","tce_fwm_stat","tce_fwm_sra","tce_fwm_srao","tce_fwm_prao","tce_fwm_pdeco","tce_incl_sn","tce_impact_sn","tce_duration_sn","tce_ingress_sn","tce_depth_sn","tce_sma_sn","tce_insol_sn","tce_slogg_sn","tce_smet_sn","tce_albedo_sn","tce_fwm_srao_sn","tce_fwm_sdeco_sn","tce_fwm_pdeco_sn","tce_dicco_msky_sn","tce_dikco_mra_sn","tce_dikco_mdec_sn"
"CANDIDATE",11446443,"K00001.01",0,1,7.9017478,83.88,0.8426,0.6188,-0.1782834,7199,761.32,0.964,0,0,67000,9.985,0.01998,0.9013,1.234,1.796,2.05,0.0004789,0.0393,-130.8,-0.078511,0,2480.3,19.120564,-0.02322,-0.0001223,0.0007788,15070.0682716493,3421.03126268778,2945.41878380593,469.499241274659,3983.19327731093,31.1521547933157,14.2542595019659,223,-0.4,5.35276491419232,-14.3333333333333,60.5681818181818,4.09894736842105,1.8659748427673,0.2104329004329,-1.63672727272727
"CANDIDATE",10666592,"K00002.01",1,1,3.7582834,80.47,0.6221,0.4694,0.143404,20270,4165.02,1.952,1,0,163000,60.79,-3.365,4.231,1.097,0.9536,25.95,0.004854,0.1674,-72.4,-1,1,0,19.483163,0.3986,-0.001754,0,1598.52999602702,302.283770651118,2004.95785820526,215.123739688359,3080.75680664513,22.0752498530276,11.9239049527627,134,0.933333333333334,14.5565217391304,188.018867924528,-334.140969162996,0,5.70057471264368,2.933381712627,-7.13151750972763
"CANDIDATE",10748390,"K00003.01",2,1,14.524126,88.02,0.502,0.1817,-0.5566952,4935,96.99,0.763,2,0,165100,3.888,0.009725,0.7518,3.029,-1.196,6.051,0.001459,0.233,-5.858,-0.21004,1,985.47,19.847345,1.98,0.001684,0.0008108,579.46017116524,17.2865013774105,369.812480786966,22.272615837215,1751.6051364366,27.093142272262,10.0092879256966,114.75,2.13333333333333,1.77998472116119,188.571428571429,453.821656050955,16.8565488565489,3.75237288135593,-2.86035714285714,1.59271047227926
"CANDIDATE",3861595,"K00004.01",3,1,5.1382499,79.57,0.9298,0.6598,0.2503962,5579,4056.95,2.992,3,0,60510,58.4,-0.122,0.6919,1.904,1.82,3.622,0.0216,0.5699,-1.58,-0.01712,0,208.36,19.623769,-0.05632,0.0001896,0.0001224,559.170765987351,520.022371364653,187.880886426593,33.2392947103275,199.813838039094,3.33861144945189,2.10768167743812,13.5555555555556,-0.8,2.09368111682586,-2.99574468085106,-7.35567010309278,3.13846153846154,1.15434532374101,-0.669203296703297,-1.00877124183007
"CANDIDATE",8554498,"K00005.01",4,1,7.1782026,82.35,0.9558,0.7206,-0.1416996,3908,1021.65,1.787,1,0,67790,5.613,0.01865,0.6343,-0.4,1.841,0.668,0.009865,0.2107,-8.181,-0.066298,7,47.32,19.315981,-0.001298,8.928e-05,-0.0001082,984.223736106131,939.823008849558,193.703007518797,28.916532905297,233.252427184466,18.3941378235111,11.416359369762,133.666666666667,1.6,2.18387230514096,-0.0363585434173669,-1.47291066282421,-2.98071625344353,2.40720606826802,-1.75523415977961,-0.184531615925059
"FALSE POSITIVE",3248033,"K00006.01",5,1,2.1533022,65.18,0.9039,0.0955,0.0680724,15460,5237.55,1.58,4,0,58060,4.6,-0.2135,0.7587,0.4323,0.8185,0.05381,0.1313,0.908,-0.1536,-0.001075,0,0,19.638774,-50.63,0,-0.003615,2.25146804835924,4.06795679567957,12.4906666666667,0.41978021978022,18.8589840788476,5.19258796585467,3.24922143504101,24.1764705882353,0,1.51661934190747,-117.470997679814,167.898383371824,-168.139534883721,0,0,0
"CANDIDATE",11853905,"K00007.01",6,1,4.026869,78.74,0.7866,0.2783,-0.2643414,11200,1246.6,1.545,1,0,54160,4.629,-0.2792,0.6688,2.246,0.4836,2.646,0.009278,0.2332,-6.302,-0.023086,0,66.373,19.041029,0.2591,-0.0001967,5.112e-05,53.166779203241,19.2463909958405,92.4921559838637,5.34986543637063,289.864325618516,20.4414498141264,11.831814730448,136.666666666667,1.2,1.91618734593262,5.92906178489703,-1.052466367713,1.54441087613293,0.706370967741936,2.36935064935065,0.897843915343915
"FALSE POSITIVE",5903312,"K00008.01",7,1,3.0782931,73,0.8999,0.07633,-0.13752,13800,2228.85,0.985,4,0,89020,3.842,-0.02204,0.6036,-0.1563,0.5414,0.005731,0.08111,0.6968,-0.4082,0.12764,0,25285,19.909843,-36.27,0.003678,-0.0004966,4.72186287192755,5.35336109458656,13.0459231490159,0.576075471698113,29.9254843517139,7.5728500355366,4.56236055104088,36.9166666666667,-0.666666666666667,0.938072159396877,-153.037974683544,23.273127753304,-21.780701754386,119.378698224852,-106.959243085881,51.265785609398
"FALSE POSITIVE",11553706,"K00009.01",8,1,3.7849212,75.48,0.9491,1.788,0.2483146,11790,2917.05,2.348,5,0,115900,220.2,-0.338,1.257,1.855,1.985,7.572,0.01981,1.63,0.7748,-0.075425,0,311460,19.253826,8.465,-0.01863,0.01866,676.95067264574,755.051710421639,302.366863905325,302.231237322515,169.423368740516,3.2018691588785,1.96650195163715,13.1379310344828,-0.666666666666667,2.00492004920049,376.222222222222,-351.701244813278,156.806722689076,74.0743919885551,51.3644314868805,-57.963924963925
"CANDIDATE",6922244,"K00010.01",9,1,6.9276479,84.15,0.7061,0.5262,0.100687,9927,1268.9,1.451,6,0,72060,20,-0.2208,0.769,1.769,2.175,0.1861,0.001338,0.1108,-28.98,0.019653,0,96.827,18.752527,-0.5515,1.319e-05,0.0003616,1581.17249154453,216.462293071735,692.275132275132,96.0744933357678,1512.7441244621,15.1880424300868,7.57416582104698,69.5,-0.266666666666667,3.61147327249022,-63.6101499423299,-7.97994652406417,1.68971962616822,0.291011904761905,-0.421292719167905,2.58211143695015
