"koi_disposition","kepid","kepoi_name","tce_insol","tce_mesmedian","tce_fwm_prao","tce_fwm_pdeco_sn","tce_dicco_msky_sn"
"CANDIDATE",11446443,"K00001.01",761.32,0.01998,-0.0001223,4.09894736842105,1.8659748427673
"CANDIDATE",10666592,"K00002.01",4165.02,-3.365,-0.001754,0,5.70057471264368
"CANDIDATE",10748390,"K00003.01",96.99,0.009725,0.001684,16.8565488565489,3.75237288135593
"CANDIDATE",3861595,"K00004.01",4056.95,-0.122,0.0001896,3.13846153846154,1.15434532374101
"CANDIDATE",8554498,"K00005.01",1021.65,0.01865,8.928e-05,-2.98071625344353,2.40720606826802
"FALSE POSITIVE",3248033,"K00006.01",5237.55,-0.2135,0,-168.139534883721,0
"CANDIDATE",11853905,"K00007.01",1246.6,-0.2792,-0.0001967,1.54441087613293,0.706370967741936
"FALSE POSITIVE",5903312,"K00008.01",2228.85,-0.02204,0.003678,-21.780701754386,119.378698224852
"FALSE POSITIVE",11553706,"K00009.01",2917.05,-0.338,-0.01863,156.806722689076,74.0743919885551
"CANDIDATE",6922244,"K00010.01",1268.9,-0.2208,1.319e-05,1.68971962616822,0.291011904761905
"FALSE POSITIVE",11913073,"K00011.01",267.33,-0.5094,-0.0007874,70.3058103975535,12.1633986928105
"CANDIDATE",5812701,"K00012.01",163.29,-0.03936,0.0004751,-1.82481203007519,0.182654838709677
"CANDIDATE",9941662,"K00013.01",37983.12,-0.8822,0,0,4.84764453961456
"FALSE POSITIVE",7684873,"K00014.01",7909.8,-0.239,0.0005353,2.59609756097561,11.9272425249169
"FALSE POSITIVE",3964562,"K00015.01",7487.42,-0.5239,0.092,0,135.973684210526
"FALSE POSITIVE",9110357,"K00016.01",77476.19,-0.5033,0.04832,1265.88021778584,126.181112548512
"CANDIDATE",10874614,"K00017.01",799.56,-0.3233,0.00086,5.20963855421687,1.03093610698366
"CANDIDATE",8191672,"K00018.01",1714.51,-1.002,0.0004054,-6.59615384615385,0.519657228017884
"FALSE POSITIVE",7255336,"K00019.01",4820.06,-0.3652,0.0004573,-0.484296028880866,1.60868924889543
"CANDIDATE",11804465,"K00020.01",759.91,-0.2555,-4.892e-05,0.224071246819338,0.0263577844311377
"FALSE POSITIVE",10125352,"K00021.01",2083.85,-0.2087,-0.006036,-22.1341463414634,27.4706703910615
"CANDIDATE",9631995,"K00022.01",264.29,-0.07987,0.001755,4.06822033898305,0.335119047619048
"FALSE POSITIVE",9071386,"K00023.01",882.39,-0.1071,-0.000133,-0.0439202657807309,0.152630792227205
"FALSE POSITIVE",4743513,"K00024.01",2746.81,-0.08205,0.02495,45.9945054945055,42.2192513368984
"FALSE POSITIVE",10593759,"K00025.01",1028.37,0.06588,-4.409e-05,-0.0775096153846154,0.185104790419162
"FALSE POSITIVE",5021737,"K00026.01",203.06,-0.1946,0.04122,-0.0181850746268657,50.7925257731959
"FALSE POSITIVE",3832716,"K00027.01",5385.46,-78.4,0,0,0.375194610778443
"FALSE POSITIVE",4247791,"K00028.01",2376.39,0.8421,0.02208,1.68360655737705,0.61237668161435
"FALSE POSITIVE",6956014,"K00031.01",0,-0.09805,-1.231e-05,3.16902654867257,1.96101871101871
"FALSE POSITIVE",5725087,"K00033.01",0,-0.4594,3.992e-05,-3.43533333333333,2.01731748726655
"CANDIDATE",6521045,"K00041.01",184.08,-0.1047,0.0001068,-3.71304347826087,2.515
"CANDIDATE",6521045,"K00041.02",421.34,0.01846,-3.921e-06,-2.30615384615385,3.44747474747475
"CANDIDATE",6521045,"K00041.03",47.62,-0.04386,-6.725e-06,-0.912296564195298,0.534261744966443
"CANDIDATE",8866102,"K00042.01",133.23,-0.02766,0.0002523,4.24781341107872,0.718925714285714
"FALSE POSITIVE",9025922,"K00043.01",102.67,-0.3223,0.09774,143.721461187215,25.3837837837838
"FALSE POSITIVE",8845026,"K00044.01",11.2,-0.07616,0.004064,-1.05204678362573,1.82228187919463
"FALSE POSITIVE",3742855,"K00045.01",219.76,-0.3465,0.04568,-17.0572289156627,15.103125
"CANDIDATE",10905239,"K00046.01",1033.43,-0.349,-0.0001073,-1.32124352331606,0.48821997105644
"CANDIDATE",10905239,"K00046.02",498.04,-0.05106,5.168e-05,0.390116279069767,0.772621848739496
"FALSE POSITIVE",7837302,"K00048.01",168.65,-0.04416,4.268e-05,-0.297889908256881,0.341826347305389
"CANDIDATE",9527334,"K00049.01",145.89,-0.01893,0.0001002,0.110434227330779,0.48161
"FALSE POSITIVE",6056992,"K00051.01",114.51,0.04342,0.01613,5.79864864864865,8.51973094170403
"FALSE POSITIVE",3558981,"K00052.01",303.14,-0.1929,0,-0.544331641285956,0.70533234859675
"FALSE POSITIVE",2445975,"K00053.01",512.7,-0.2439,0.004894,-2.89189189189189,8.61533333333333
"FALSE POSITIVE",8248939,"K00061.01",2221.5,0.08732,0.003007,-227.848101265823,73.32625
"CANDIDATE",11554435,"K00063.01",92.65,0.001145,2.272e-05,-0.858545454545455,0.236653005464481
"CANDIDATE",7051180,"K00064.01",3827.18,-0.3537,2.265e-05,1.69648711943794,0.875162241887906
"FALSE POSITIVE",10620329,"K00066.01",68039.11,-9.195,0,-1.66705202312139,2.31242236024845
"FALSE POSITIVE",8669092,"K00068.01",30451.16,-0.8544,-3.973e-06,-1.69145569620253,3.75702702702703
"CANDIDATE",3544595,"K00069.01",264.21,0.08385,-2.044e-05,0.548657718120805,2.34181818181818
"CANDIDATE",6850504,"K00070.01",81.01,0.008601,-2.59e-05,-1.20393013100437,0.708202614379085
"CANDIDATE",6850504,"K00070.02",340.69,-0.1723,2.398e-05,0.997610921501706,1.17009615384615
"CANDIDATE",6850504,"K00070.03",5.88,-0.03935,4.252e-05,1.13274336283186,1.21325925925926
"CANDIDATE",6850504,"K00070.04",174.74,-0.2295,-9.707e-06,0.722222222222222,3.17627906976744
"CANDIDATE",6850504,"K00070.05",36.9,-0.05104,3.076e-05,-0.764756944444445,1.44297058823529
"CANDIDATE",11904151,"K00072.01",17.79,-0.0125,-1.762e-05,0.96503937007874,1.86919275123559
"CANDIDATE",11904151,"K00072.02",3638.27,-0.5375,5.24e-06,-1.55374149659864,2.82389204545455
"FALSE POSITIVE",6889235,"K00074.01",4763.58,-7.293,9.049e-05,-1.33265895953757,1.33487964989059
"CANDIDATE",7199397,"K00075.01",29.69,-0.03765,0.0007389,-9.82075471698113,2.36139240506329
"FALSE POSITIVE",9955262,"K00076.01",86.75,-0.009224,-0.001127,-5.50222222222222,3.78091216216216
"FALSE POSITIVE",9552608,"K00080.01",3538.52,-0.2132,-1.973e-05,-0.686363636363636,1.45289256198347
"FALSE POSITIVE",8823868,"K00081.01",1138.09,-1.484,0.000319,-3.87397899649942,4.05544600938967
"CANDIDATE",10187017,"K00082.01",21.03,0.02059,2.264e-05,-0.786504424778761,0.92204
"CANDIDATE",10187017,"K00082.02",38.23,-0.04917,7.556e-05,0.399173553719008,1.76527950310559
"CANDIDATE",10187017,"K00082.03",10.36,-0.01268,9.302e-06,0.518587360594796,1.33252796420582
"CANDIDATE",10187017,"K00082.04",63.23,-0.07069,3.283e-05,0.846864686468647,1.1311963190184
"CANDIDATE",10187017,"K00082.05",93.17,0.00129,-3.96e-05,-0.974812030075188,3.0196682464455
"CANDIDATE",10187017,"K00082.06",13.58,-0.02936,-4.164e-05,-0.537795275590551,0.641
"CANDIDATE",2571238,"K00084.01",79.79,-0.01172,1.629e-05,-0.345901639344262,0.462086666666667
"CANDIDATE",5866724,"K00085.01",571.41,-0.1164,8.754e-06,-3.57914438502674,4.19719626168224
"CANDIDATE",5866724,"K00085.02",2168.87,-0.06233,5.765e-06,-1.02016806722689,1.96305418719212
"CANDIDATE",5866724,"K00085.03",369.2,-0.1063,7.786e-06,-1.35090909090909,1.33591101694915
"CANDIDATE",10593626,"K00087.01",1.03,-0.0006247,-0.0002333,-0.604824561403509,1.09564179104478
"FALSE POSITIVE",7700871,"K00088.01",533.7,-0.1151,-0.002118,-20.8931297709924,96.2442857142857
"CANDIDATE",8056665,"K00089.01",33.03,-0.09317,0.0001747,-0.905100463678516,1.35272727272727
"CANDIDATE",8056665,"K00089.02",9.99,0.002067,-0.0001914,1.22155172413793,0.923157894736842
"FALSE POSITIVE",9210823,"K00090.01",27198.92,0.4329,-0.01176,0,219.266862170088
"CANDIDATE",7941200,"K00092.01",11.74,0.01622,-9.543e-05,0.0275440658049354,2.16589743589744
"CANDIDATE",6462863,"K00094.01",89.76,-0.5545,0.001372,-1.42970297029703,1.06807901907357
