"koi_disposition","kepid","kepoi_name","tce_mesmad","tce_rminmes","tce_fwm_prao"
"CANDIDATE",11446443,"K00001.01",0.9013,0.0004789,-0.0001223
"CANDIDATE",10666592,"K00002.01",4.231,0.004854,-0.001754
"CANDIDATE",10748390,"K00003.01",0.7518,0.001459,0.001684
"CANDIDATE",3861595,"K00004.01",0.6919,0.0216,0.0001896
"CANDIDATE",8554498,"K00005.01",0.6343,0.009865,8.928e-05
"FALSE POSITIVE",3248033,"K00006.01",0.7587,0.1313,0
"CANDIDATE",11853905,"K00007.01",0.6688,0.009278,-0.0001967
"FALSE POSITIVE",5903312,"K00008.01",0.6036,0.08111,0.003678
"FALSE POSITIVE",11553706,"K00009.01",1.257,0.01981,-0.01863
"CANDIDATE",6922244,"K00010.01",0.769,0.001338,1.319e-05
"FALSE POSITIVE",11913073,"K00011.01",0.9562,0.0621,-0.0007874
"CANDIDATE",5812701,"K00012.01",0.7078,0.008416,0.0004751
"CANDIDATE",9941662,"K00013.01",1.26,0.001809,0
"FALSE POSITIVE",7684873,"K00014.01",1.056,0.05278,0.0005353
"FALSE POSITIVE",3964562,"K00015.01",1.239,0.02575,0.092
"FALSE POSITIVE",9110357,"K00016.01",1.155,0.01824,0.04832
"CANDIDATE",10874614,"K00017.01",0.6445,0.001026,0.00086
"CANDIDATE",8191672,"K00018.01",0.9878,0.001402,0.0004054
"FALSE POSITIVE",7255336,"K00019.01",1.013,0.002655,0.0004573
"CANDIDATE",11804465,"K00020.01",0.8598,0.0008342,-4.892e-05
"FALSE POSITIVE",10125352,"K00021.01",0.9076,0.01303,-0.006036
"CANDIDATE",9631995,"K00022.01",0.5767,0.001237,0.001755
"FALSE POSITIVE",9071386,"K00023.01",0.7498,0.01157,-0.000133
"FALSE POSITIVE",4743513,"K00024.01",1.444,0.01678,0.02495
"FALSE POSITIVE",10593759,"K00025.01",0.5949,0.0012,-4.409e-05
"FALSE POSITIVE",5021737,"K00026.01",1.288,0.2542,0.04122
"FALSE POSITIVE",3832716,"K00027.01",111.2,0.1907,0
"FALSE POSITIVE",4247791,"K00028.01",4.417,0.0007707,0.02208
"FALSE POSITIVE",6956014,"K00031.01",0.8271,0.02124,-1.231e-05
"FALSE POSITIVE",5725087,"K00033.01",1.006,0.1932,3.992e-05
"CANDIDATE",6521045,"K00041.01",0.6343,0.04151,0.0001068
"CANDIDATE",6521045,"K00041.02",0.6111,0.09423,-3.921e-06
