"koi_disposition","kepid","kepoi_name","tce_dor","tce_sradius_prov","tce_fwm_prao","tce_incl_sn"
"CANDIDATE",11446443,"K00001.01",7.9017478,0,-0.0001223,15070.0682716493
"CANDIDATE",10666592,"K00002.01",3.7582834,0,-0.001754,1598.52999602702
"CANDIDATE",10748390,"K00003.01",14.524126,0,0.001684,579.46017116524
"CANDIDATE",3861595,"K00004.01",5.1382499,0,0.0001896,559.170765987351
"CANDIDATE",8554498,"K00005.01",7.1782026,0,8.928e-05,984.223736106131
"FALSE POSITIVE",3248033,"K00006.01",2.1533022,0,0,2.25146804835924
"CANDIDATE",11853905,"K00007.01",4.026869,0,-0.0001967,53.166779203241
"FALSE POSITIVE",5903312,"K00008.01",3.0782931,0,0.003678,4.72186287192755
"FALSE POSITIVE",11553706,"K00009.01",3.7849212,0,-0.01863,676.95067264574
"CANDIDATE",6922244,"K00010.01",6.9276479,0,1.319e-05,1581.17249154453
"FALSE POSITIVE",11913073,"K00011.01",2.2471655,0,-0.0007874,90.9862742323475
"CANDIDATE",5812701,"K00012.01",19.324694,0,0.0004751,2746.53526331999
"CANDIDATE",9941662,"K00013.01",3.8879931,0,0,1120.63753778511
"FALSE POSITIVE",7684873,"K00014.01",3.8052465,0,0.0005353,496.565389696169
"FALSE POSITIVE",3964562,"K00015.01",2.7150566,0,0.092,80.4680150517404
"FALSE POSITIVE",9110357,"K00016.01",1.2951693,0,0.04832,7.56853847608244
"CANDIDATE",10874614,"K00017.01",7.543308,0,0.00086,30.8304735758408
"CANDIDATE",8191672,"K00018.01",6.4381651,0,0.0004054,7.50041701417848
"FALSE POSITIVE",7255336,"K00019.01",2.5088119,0,0.0004573,564.858096828047
"CANDIDATE",11804465,"K00020.01",8.095565,0,-4.892e-05,0.698757763975155
"FALSE POSITIVE",10125352,"K00021.01",6.6515913,0,-0.006036,316.608323609491
"CANDIDATE",9631995,"K00022.01",13.654196,0,0.001755,1552.94740557713
"FALSE POSITIVE",9071386,"K00023.01",7.4043902,0,-0.000133,2112.50603573153
"FALSE POSITIVE",4743513,"K00024.01",4.0585341,0,0.02495,593.745173745174
"FALSE POSITIVE",10593759,"K00025.01",4.0798658,0,-4.409e-05,437.759815242494
"FALSE POSITIVE",5021737,"K00026.01",11.195662,0,0.04122,85.4353296426774
"FALSE POSITIVE",3832716,"K00027.01",5.2597108,0,0,-88.91
"FALSE POSITIVE",4247791,"K00028.01",2.4965203,0,0.02208,1190.33799931717
"FALSE POSITIVE",6956014,"K00031.01",1.8313202,0,-1.231e-05,13.3186522792336
"FALSE POSITIVE",5725087,"K00033.01",2.3013559,0,3.992e-05,4.31016731016731
"CANDIDATE",6521045,"K00041.01",9.3847754,0,0.0001068,44.3639207507821
"CANDIDATE",6521045,"K00041.02",5.295355,0,-3.921e-06,11.5900549291703
"CANDIDATE",6521045,"K00041.03",19.566959,0,-6.725e-06,43.5343968095713
"CANDIDATE",8866102,"K00042.01",14.442833,0,0.0002523,269.470404984424
"FALSE POSITIVE",9025922,"K00043.01",11.133894,1,0.09774,250.630683484893
"FALSE POSITIVE",8845026,"K00044.01",27.370213,0,0.004064,2724.16946053033
