"koi_disposition","kepid","kepoi_name","tce_incl","tce_slogg_prov","wst_depth","tce_albedo_stat","tce_fwm_prao","tce_ingress_sn"
"CANDIDATE",11446443,"K00001.01",83.88,0,9.985,-130.8,-0.0001223,469.499241274659
"CANDIDATE",10666592,"K00002.01",80.47,1,60.79,-72.4,-0.001754,215.123739688359
"CANDIDATE",10748390,"K00003.01",88.02,2,3.888,-5.858,0.001684,22.272615837215
"CANDIDATE",3861595,"K00004.01",79.57,3,58.4,-1.58,0.0001896,33.2392947103275
"CANDIDATE",8554498,"K00005.01",82.35,1,5.613,-8.181,8.928e-05,28.916532905297
"FALSE POSITIVE",3248033,"K00006.01",65.18,4,4.6,-0.1536,0,0.41978021978022
"CANDIDATE",11853905,"K00007.01",78.74,1,4.629,-6.302,-0.0001967,5.34986543637063
"FALSE POSITIVE",5903312,"K00008.01",73,4,3.842,-0.4082,0.003678,0.576075471698113
"FALSE POSITIVE",11553706,"K00009.01",75.48,5,220.2,0.7748,-0.01863,302.231237322515
"CANDIDATE",6922244,"K00010.01",84.15,6,20,-28.98,1.319e-05,96.0744933357678
"FALSE POSITIVE",11913073,"K00011.01",64.3,7,76.72,3.051,-0.0007874,74.0977323538805
"CANDIDATE",5812701,"K00012.01",89.18,8,27.01,0.7123,0.0004751,142.739130434783
"CANDIDATE",9941662,"K00013.01",81.56,7,14.28,-63.74,0,161.56462585034
"FALSE POSITIVE",7684873,"K00014.01",75.18,7,78.25,1.934,0.0005353,24.2982741777922
"FALSE POSITIVE",3964562,"K00015.01",68.43,7,133.4,0.6071,0.092,160.91360066143
"FALSE POSITIVE",9110357,"K00016.01",40.03,7,4.655,-27.7,0.04832,20.8146726380891
"CANDIDATE",10874614,"K00017.01",89.84,9,11.39,-40.98,0.00086,54.6152472772719
"CANDIDATE",8191672,"K00018.01",89.93,10,18.02,-40.73,0.0004054,43.3979445817614
"FALSE POSITIVE",7255336,"K00019.01",67.67,4,4.417,-151,0.0004573,544.347826086957
"CANDIDATE",11804465,"K00020.01",90,11,20.15,-24.28,-4.892e-05,124.325006308352
"FALSE POSITIVE",10125352,"K00021.01",81.4,5,247.3,-0.1816,-0.006036,249.507550886408
"CANDIDATE",9631995,"K00022.01",87.99,12,13.95,-4.986,0.001755,68.5693950177936
"FALSE POSITIVE",9071386,"K00023.01",87.5,4,257.7,1.697,-0.000133,257.514580529385
"FALSE POSITIVE",4743513,"K00024.01",76.89,5,51.66,-5.546,0.02495,35.1774727875059
"FALSE POSITIVE",10593759,"K00025.01",75.82,7,12.68,-53.2,-4.409e-05,1097.44214372716
"FALSE POSITIVE",5021737,"K00026.01",84.88,7,5328,2.331,0.04122,1.12701784197111
"FALSE POSITIVE",3832716,"K00027.01",88.91,7,98490,0,0,-0.3386
"FALSE POSITIVE",4247791,"K00028.01",69.73,13,-94.48,0,0.02208,8736.45426961422
"FALSE POSITIVE",6956014,"K00031.01",60.48,4,5.774,0,-1.231e-05,2.83822272856736
"FALSE POSITIVE",5725087,"K00033.01",66.98,14,20.78,0,3.992e-05,0.716124661246613
"CANDIDATE",6521045,"K00041.01",85.09,1,9.475,2.539,0.0001068,1.77254641909814
"CANDIDATE",6521045,"K00041.02",80.18,1,6.537,2.01,-3.921e-06,0.768439716312057
"CANDIDATE",6521045,"K00041.03",87.33,1,18.91,2.492,-6.725e-06,0.718786923985821
"CANDIDATE",8866102,"K00042.01",86.5,1,6.4,2.088,0.0002523,6.32185801350684
"FALSE POSITIVE",9025922,"K00043.01",85.44,15,858.2,16.91,0.09774,6.96952104499274
"FALSE POSITIVE",8845026,"K00044.01",89.38,13,426.6,2.641,0.004064,93.0318412551915
"FALSE POSITIVE",3742855,"K00045.01",83.81,15,1443,42.67,0.04568,71.8239564428312
"CANDIDATE",10905239,"K00046.01",81.91,16,7.866,-5.126,-0.0001073,4.63247863247863
"CANDIDATE",10905239,"K00046.02",80.73,16,17.58,0.6736,5.168e-05,0.148492623476588
"FALSE POSITIVE",7837302,"K00048.01",87.74,13,45.45,-3.26,4.268e-05,1005.41455160744
"CANDIDATE",9527334,"K00049.01",86.49,4,30.21,2.369,0.0001002,2.18382352941176
"FALSE POSITIVE",6056992,"K00051.01",86.72,15,106.1,-0.5675,0.01613,249.902987970508
"FALSE POSITIVE",3558981,"K00052.01",85.67,13,1172,3.583,0,240.43321299639
"FALSE POSITIVE",2445975,"K00053.01",84.48,15,198,3.276,0.004894,31.9326755658735
"FALSE POSITIVE",8248939,"K00061.01",70.8,13,9.879,0.5437,0.003007,1.46038732394366
"CANDIDATE",11554435,"K00063.01",88.02,17,23.52,1.881,2.272e-05,25.4767726161369
"CANDIDATE",7051180,"K00064.01",79.11,0,59.57,-11.94,2.265e-05,8.61652739090065
"FALSE POSITIVE",10620329,"K00066.01",77.77,18,19.61,-6.941,0,2.32224025974026
"FALSE POSITIVE",8669092,"K00068.01",88.57,5,15.12,0,-3.973e-06,-0.07916
"CANDIDATE",3544595,"K00069.01",81.99,1,2.444,0.4636,-2.044e-05,4.50319829424307
"CANDIDATE",6850504,"K00070.01",87.06,19,0.4041,-0.3411,-2.59e-05,4.21761501210654
"CANDIDATE",6850504,"K00070.02",81.21,19,3.311,-0.2139,2.398e-05,2.24895076261644
"CANDIDATE",6850504,"K00070.03",89.26,19,52.16,3.433,4.252e-05,2.5521613832853
"CANDIDATE",6850504,"K00070.04",83,19,12.3,1.423,-9.707e-06,0.346574993633817
"CANDIDATE",6850504,"K00070.05",87.58,19,12.87,0.9024,3.076e-05,0.227570492737112
"CANDIDATE",11904151,"K00072.01",88.79,1,19.25,3.314,-1.762e-05,2.40550595238095
"CANDIDATE",11904151,"K00072.02",63.44,1,1.531,-1.977,5.24e-06,0.627862595419847
"FALSE POSITIVE",6889235,"K00074.01",83.47,7,506.4,2.22,9.049e-05,21.3746630727763
"CANDIDATE",7199397,"K00075.01",89.06,0,24.55,2.273,0.0007389,16.6480980423365
"FALSE POSITIVE",9955262,"K00076.01",89.49,5,109.4,1.841,-0.001127,8.22842930935527
"FALSE POSITIVE",9552608,"K00080.01",81.42,7,90.05,0.4685,-1.973e-05,335.645977873617
"FALSE POSITIVE",8823868,"K00081.01",90,7,1679,2.39,0.000319,81.3222923238696
"CANDIDATE",10187017,"K00082.01",87.56,20,4.026,0.6242,2.264e-05,6.81826517513295
"CANDIDATE",10187017,"K00082.02",85.5,20,9.271,2.156,7.556e-05,1.94866666666667
"CANDIDATE",10187017,"K00082.03",88.17,20,14.61,1.553,9.302e-06,0.503644314868805
"CANDIDATE",10187017,"K00082.04",84.15,20,9.286,1.502,3.283e-05,0.416639263400197
"CANDIDATE",10187017,"K00082.05",82.41,20,5.653,1.091,-3.96e-05,0.308548082966688
"CANDIDATE",10187017,"K00082.06",89.42,20,21.69,1.015,-4.164e-05,0.280477128474502
"CANDIDATE",2571238,"K00084.01",85.1,21,13.06,2.837,1.629e-05,8.08325266214908
"CANDIDATE",5866724,"K00085.01",80.44,1,4.985,0.696,8.754e-06,6.12547397449155
"CANDIDATE",5866724,"K00085.02",69.09,1,1.127,-1.716,5.765e-06,1.31549067315491
"CANDIDATE",5866724,"K00085.03",82.13,1,6.88,2.22,7.786e-06,1.14894613583138
"CANDIDATE",10593626,"K00087.01",89.74,22,41.69,2.367,-0.0002333,1.67121010638298
"FALSE POSITIVE",7700871,"K00088.01",73.41,5,2.061,0.6188,-0.002118,0.725358851674641
"CANDIDATE",8056665,"K00089.01",88.74,16,6.072,1.01,0.0001747,3.17853231106243
"CANDIDATE",8056665,"K00089.02",89.76,16,28.24,2.089,-0.0001914,0.996913580246914
"FALSE POSITIVE",9210823,"K00090.01",63.45,5,2.641,-14.85,-0.01176,0.490212183436003
"CANDIDATE",7941200,"K00092.01",89.39,23,39.34,2.831,-9.543e-05,2.48275862068966
"CANDIDATE",6462863,"K00094.01",89.35,23,16.77,0.965,0.001372,25.9150326797386
"CANDIDATE",6462863,"K00094.02",89.06,23,5.137,0.3147,0.0003053,8.3862733976177
"CANDIDATE",6462863,"K00094.03",86.35,23,12.99,1.372,0.0001439,2.74656188605108
"CANDIDATE",6462863,"K00094.04",74.63,23,7.636,1.201,6.143e-05,0.824143556280587
"CANDIDATE",5780885,"K00097.01",85.65,0,38.02,-26.42,0.0002854,101.383019592778
"CANDIDATE",10264660,"K00098.01",85.53,0,14.63,-3.735,0.0001601,24.9297573435504
"CANDIDATE",4055765,"K00100.01",81.11,4,29.02,-1.293,2.603e-05,174.653739612188
"CANDIDATE",8456679,"K00102.01",71.33,23,5.173,-11.8,0.00014,18.0505747126437
"FALSE POSITIVE",8456679,"K00102.02",77.41,23,6.796,1.317,4.147e-06,0.469337511190689
"CANDIDATE",2444412,"K00103.01",85.86,23,23.41,2.466,4.489e-05,13.1751711263223
"CANDIDATE",10318874,"K00104.01",83.76,20,9.52,-2.692,0.0001626,7.88676761026991
"CANDIDATE",8711794,"K00105.01",88.15,23,19.15,1.968,4.585e-06,2.01755570560432
"FALSE POSITIVE",10489525,"K00106.01",67.86,5,9.946,-1.158,0.008739,0.631269769543606
"CANDIDATE",11250587,"K00107.01",83.35,0,8.187,1.084,2.221e-05,2.68643306379155
"CANDIDATE",4914423,"K00108.01",86.95,1,13.25,2.75,-6.412e-05,2.69524617996604
"CANDIDATE",4914423,"K00108.02",89.45,1,42.05,4.078,-0.0001103,6.92724573125464
"FALSE POSITIVE",4752451,"K00109.01",69.88,5,30.41,0.6598,-0.001033,22.4118444846293
"CANDIDATE",9450647,"K00110.01",85.98,23,14.02,2.407,8.768e-06,2.62127236580517
"CANDIDATE",6678383,"K00111.01",86.13,23,-0.6937,0,-8.112e-05,2.46927871772039
"CANDIDATE",6678383,"K00111.02",88.72,23,12.25,1.853,-8.607e-05,2.752457002457
"CANDIDATE",6678383,"K00111.03",87.82,23,10.76,2.1,-0.0001372,1.84213759213759
"CANDIDATE",10984090,"K00112.01",88.75,23,23.27,2.615,1.936e-05,3.60231381055676
"CANDIDATE",10984090,"K00112.02",79.27,23,8.616,1.691,-4.609e-05,0.628624535315985
"FALSE POSITIVE",6721123,"K00114.01",69.57,4,25.09,0.4281,0.003032,47.7037887485649
"CANDIDATE",9579641,"K00115.01",82.76,23,11.61,1.375,-5.213e-05,4.87822452802998
"CANDIDATE",9579641,"K00115.02",84.04,23,15.5,2.201,-6.863e-05,0.79798356982823
"CANDIDATE",9579641,"K00115.03",76.07,23,6.371,1.036,1.221e-05,0.253152639087019
"CANDIDATE",8395660,"K00116.01",86.51,20,20.17,2.475,-4.392e-05,2.89477503628447
"CANDIDATE",8395660,"K00116.02",88.13,20,21,1.878,0.0002044,3.79841897233202
"CANDIDATE",8395660,"K00116.03",83.23,20,12.61,0.9714,1.223e-05,0.2050020500205
"CANDIDATE",8395660,"K00116.04",87.09,20,27.74,1.194,-6.593e-05,0.239035916824197
"CANDIDATE",10875245,"K00117.01",84.1,0,19.54,2.924,2.118e-05,5.19455564451561
"CANDIDATE",10875245,"K00117.02",72.42,0,6.978,1.103,1.114e-05,0.902087832973362
"CANDIDATE",10875245,"K00117.03",77.21,0,5.818,0.9806,-5.649e-05,0.886204704386523
"CANDIDATE",10875245,"K00117.04",81.65,0,5.277,0.7551,-1.163e-05,0.230758658603628
"CANDIDATE",3531558,"K00118.01",87.24,0,15.57,2.571,-4.674e-05,1.24025513819986
"CANDIDATE",9471974,"K00119.01",88.61,0,9.804,1.106,0.0002428,10.4799768685846
"CANDIDATE",9471974,"K00119.02",89.33,0,34.25,2.78,0.000293,6.90866510538642
"CANDIDATE",11869052,"K00120.01",88.31,5,18.49,0.8575,0.0002035,0.185087719298246
"FALSE POSITIVE",3247396,"K00121.01",75.53,4,38.31,0.7957,-9.548e-05,39.895356442119
"CANDIDATE",8349582,"K00122.01",86.55,1,6.483,0.9571,-1.2e-05,2.25086505190311
"CANDIDATE",5094751,"K00123.01",81.24,1,7.507,1.544,2.933e-05,3.5
"CANDIDATE",5094751,"K00123.02",87.22,1,13.39,2.578,3.454e-05,1.88036253776435
"CANDIDATE",11086270,"K00124.01",85.68,23,25.36,2.088,-4.903e-05,1.32144373673036
"CANDIDATE",11086270,"K00124.02",88.4,23,23.95,2.017,5.365e-05,1.01044668587896
"CANDIDATE",11449844,"K00125.01",89.99,4,98.92,2.863,5.863e-05,62.9083788519015
"FALSE POSITIVE",5897826,"K00126.01",87.88,4,37.77,1.163,0.003046,81.3386686067661
"CANDIDATE",5897826,"K00126.02",87.83,4,67.69,0.2151,0.0006563,0.893355209187859
"CANDIDATE",8359498,"K00127.01",87.89,24,23.95,-11.29,-0.000137,39.5741849634065
"CANDIDATE",11359879,"K00128.01",86.24,25,18.59,-6.805,0.001817,91.368942341705
"CANDIDATE",11974540,"K00129.01",89.97,26,55.41,-5.349,0.0018,21.2943186672362
"CANDIDATE",5297298,"K00130.01",89.13,4,43.92,1.513,-2.357e-05,112.744379276637
"CANDIDATE",7778437,"K00131.01",88.25,7,19.24,-2.868,-0.002294,24.9675558759913
"FALSE POSITIVE",8892910,"K00132.01",84.65,7,135.2,2.014,-0.0001769,441.031699153377
"FALSE POSITIVE",11673674,"K00133.01",80.18,7,92.97,1.738,-0.01947,41.8066801619433
"FALSE POSITIVE",9032900,"K00134.01",89.85,4,3388,2.877,0.0001761,9.61092715231788
"CANDIDATE",9818381,"K00135.01",84.53,27,25.33,-20.09,-0.0001734,59.9409754582168
"FALSE POSITIVE",7601633,"K00136.01",87.78,4,51.7,-0.3693,0,126.71865380669
"CANDIDATE",8644288,"K00137.01",88.33,28,-15.38,0,0,9.285
"CANDIDATE",8644288,"K00137.02",86.18,28,14.71,0.6955,0,9.53988497124281
"CANDIDATE",8644288,"K00137.03",81.51,28,10.24,1.043,0,0.804347826086957
"FALSE POSITIVE",8506766,"K00138.01",88.21,7,51.59,1.501,-0.0001232,243.62962962963
"CANDIDATE",8559644,"K00139.01",89.71,23,82.3,2.344,0.0001498,11.4514456859809
"CANDIDATE",8559644,"K00139.02",76.68,23,13.35,1.701,2.957e-05,0.709072978303747
"FALSE POSITIVE",5130369,"K00140.01",81.59,7,99.04,2.11,-0.01005,10.9884678747941
"CANDIDATE",12105051,"K00141.01",83.15,23,12.21,-4.801,0.0001489,14.4876033057851
"CANDIDATE",4649305,"K00143.01",87.72,7,336.5,2.243,8.489e-05,18.7197058331941
"CANDIDATE",4180280,"K00144.01",82.82,23,13.39,0.9044,0.0006774,3.96746909564086
"CANDIDATE",9904059,"K00145.01",87.81,29,123,2.676,-0.000121,8.19429778247096
"FALSE POSITIVE",9048161,"K00146.01",79.88,7,60.53,-0.2072,0.03337,21.8508535489668
"FALSE POSITIVE",1996679,"K00147.01",89.38,7,290,1.023,-0.01371,35.2979443143378
"CANDIDATE",5735762,"K00148.01",86.54,20,16.92,1.902,-0.0002655,3.0583743594896
"CANDIDATE",5735762,"K00148.02",80.95,20,11.31,1.607,-4.422e-05,3.26949740034662
"CANDIDATE",5735762,"K00148.03",88.51,20,36.68,2.731,-6.385e-05,1.66906474820144
"CANDIDATE",3835670,"K00149.01",86.51,23,12.61,1.438,-1.314e-05,3.66012488849242
"CANDIDATE",7626506,"K00150.01",86.32,16,13.12,1.768,-0.0001594,1.93679092382496
"CANDIDATE",7626506,"K00150.02",88.75,16,26.51,2.285,-0.0002247,1.203125
"CANDIDATE",2307199,"K00151.01",85.8,7,121.2,2.265,8.82e-05,58.7373167981962
"CANDIDATE",8394721,"K00152.01",89.16,16,48.75,1.824,0.0003244,8.07981639678694
"CANDIDATE",8394721,"K00152.02",84.91,16,32.76,2.241,0.0001088,4.01846965699208
"CANDIDATE",8394721,"K00152.03",86.89,16,31.19,1.908,-2.709e-05,4.06083650190114
"CANDIDATE",8394721,"K00152.04",89.48,16,96.69,1.429,-4.183e-05,0.289760570555272
"CANDIDATE",12252424,"K00153.01",82.34,20,9.014,0.92,-0.0001466,4.06548431105048
"CANDIDATE",12252424,"K00153.02",86.85,20,19.9,2.167,-0.0001333,1.91422444603288
"CANDIDATE",8030148,"K00155.01",82.44,23,8.042,0.4237,-4.061e-05,3.49152180868081
"CANDIDATE",10925104,"K00156.01",87,30,27,2.384,0.0006336,6.91169599750818
"CANDIDATE",10925104,"K00156.02",83.42,30,20.44,2.204,0.0001799,6.39521531100478
