"koi_disposition","kepid","kepoi_name","boot_mesthresh","tce_fwm_prao","tce_ror_sn","tce_dicco_mdec_sn"
"CANDIDATE",11446443,"K00001.01",7.533,-0.0001223,3640.0055559401,-1.8651572327044
"CANDIDATE",10666592,"K00002.01",-1,-0.001754,2168.4707937405,-6.5736
"CANDIDATE",10748390,"K00003.01",8.0265,0.001684,157.777214548416,-2.56598870056497
"CANDIDATE",3861595,"K00004.01",7.5506,0.0001896,265.867581317086,-0.440067934782609
"CANDIDATE",8554498,"K00005.01",7.3328,8.928e-05,255.896601661996,1.35556886227545
"FALSE POSITIVE",3248033,"K00006.01",7.1686,0,4.9438695809369,0
"CANDIDATE",11853905,"K00007.01",7.3662,-0.0001967,52.6800733955988,0.596524064171123
"FALSE POSITIVE",5903312,"K00008.01",7.4775,0.003678,6.34053049558888,48.5351906158358
"FALSE POSITIVE",11553706,"K00009.01",7.2404,-0.01863,147.951689730638,-55.1659513590844
"CANDIDATE",6922244,"K00010.01",7.2814,1.319e-05,955.152333419176,-0.198622222222222
"FALSE POSITIVE",11913073,"K00011.01",6.9883,-0.0007874,32.6134635174234,-12.0771739130435
"CANDIDATE",5812701,"K00012.01",7.4312,0.0004751,846.323788082669,0.204585365853659
"CANDIDATE",9941662,"K00013.01",-1,0,2093.84440061321,8.02906976744186
"FALSE POSITIVE",7684873,"K00014.01",7.5484,0.0005353,236.847472750339,-3.809
"FALSE POSITIVE",3964562,"K00015.01",7.1061,0.092,7.84553236749224,2.82801120448179
"FALSE POSITIVE",9110357,"K00016.01",7.2422,0.04832,2.53221729174675,-106.707152496626
"CANDIDATE",10874614,"K00017.01",7.1414,0.00086,481.960111832751,-0.844098360655738
"CANDIDATE",8191672,"K00018.01",7.3102,0.0004054,464.970193525963,0.50532041728763
"FALSE POSITIVE",7255336,"K00019.01",7.8186,0.0004573,129.557489002362,0.527489177489177
"CANDIDATE",11804465,"K00020.01",7.1124,-4.892e-05,1196.90111990013,-0.0145850074962519
"FALSE POSITIVE",10125352,"K00021.01",7.2718,-0.006036,11.9990271120405,14.1255230125523
"CANDIDATE",9631995,"K00022.01",7.2945,0.001755,647.147074018883,-0.160253353204173
"FALSE POSITIVE",9071386,"K00023.01",7.7809,-0.000133,2290.08265993008,-0.029339312406577
"FALSE POSITIVE",4743513,"K00024.01",7.2236,0.02495,286.350589857633,-20.6008403361345
"FALSE POSITIVE",10593759,"K00025.01",7.6018,-4.409e-05,30.6020358967379,0.089501497005988
"FALSE POSITIVE",5021737,"K00026.01",7.4021,0.04122,8.68877224923011,4.00192307692308
"FALSE POSITIVE",3832716,"K00027.01",-1,0,-0.19933221,-0.330359281437126
"FALSE POSITIVE",4247791,"K00028.01",-1,0.02208,236.772704269123,0.610792227204783
"FALSE POSITIVE",6956014,"K00031.01",7.3787,-1.231e-05,21.93561746331,1.81556459816887
"FALSE POSITIVE",5725087,"K00033.01",-1,3.992e-05,5.94800859355177,2.11454219030521
"CANDIDATE",6521045,"K00041.01",7.3526,0.0001068,17.7781089106808,2.06538461538462
"CANDIDATE",6521045,"K00041.02",7.4208,-3.921e-06,8.22399324976936,3.14364937388193
"CANDIDATE",6521045,"K00041.03",7.3938,-6.725e-06,7.5761675489705,-0.124597133757962
"CANDIDATE",8866102,"K00042.01",7.419,0.0002523,70.2016636635154,-0.195711111111111
