"koi_disposition","kepid","kepoi_name","tce_maxmesd","tce_fwm_prao","tce_fwm_pdeco","tce_dikco_mra_sn"
"CANDIDATE",11446443,"K00001.01",1.234,-0.0001223,0.0007788,0.2104329004329
"CANDIDATE",10666592,"K00002.01",1.097,-0.001754,0,2.933381712627
"CANDIDATE",10748390,"K00003.01",3.029,0.001684,0.0008108,-2.86035714285714
"CANDIDATE",3861595,"K00004.01",1.904,0.0001896,0.0001224,-0.669203296703297
"CANDIDATE",8554498,"K00005.01",-0.4,8.928e-05,-0.0001082,-1.75523415977961
"FALSE POSITIVE",3248033,"K00006.01",0.4323,0,-0.003615,0
"CANDIDATE",11853905,"K00007.01",2.246,-0.0001967,5.112e-05,2.36935064935065
"FALSE POSITIVE",5903312,"K00008.01",-0.1563,0.003678,-0.0004966,-106.959243085881
"FALSE POSITIVE",11553706,"K00009.01",1.855,-0.01863,0.01866,51.3644314868805
"CANDIDATE",6922244,"K00010.01",1.769,1.319e-05,0.0003616,-0.421292719167905
"FALSE POSITIVE",11913073,"K00011.01",1.885,-0.0007874,0.004598,1.649300155521
"CANDIDATE",5812701,"K00012.01",-3.263,0.0004751,-0.0009708,-0.240537688442211
"CANDIDATE",9941662,"K00013.01",0.8823,0,0,2.94166666666667
"FALSE POSITIVE",7684873,"K00014.01",1.497,0.0005353,5.322e-05,-18.8420765027322
"FALSE POSITIVE",3964562,"K00015.01",1.504,0.092,0,-135.923741007194
"FALSE POSITIVE",9110357,"K00016.01",-0.2172,0.04832,0.06975,-79.4314516129032
"CANDIDATE",10874614,"K00017.01",1.647,0.00086,0.0008648,1.05943641618497
"CANDIDATE",8191672,"K00018.01",1.778,0.0004054,-0.000686,-0.0401748878923767
"FALSE POSITIVE",7255336,"K00019.01",0.8031,0.0004573,-2.683e-05,-0.240134589502019
"CANDIDATE",11804465,"K00020.01",2.204,-4.892e-05,8.806e-05,-0.61518776077886
"FALSE POSITIVE",10125352,"K00021.01",2.145,-0.006036,-0.00363,24.0982019363762
"CANDIDATE",9631995,"K00022.01",4.309,0.001755,0.0009601,-1.10876488095238
"FALSE POSITIVE",9071386,"K00023.01",2.35,-0.000133,-1.322e-05,1.93784570596798
"FALSE POSITIVE",4743513,"K00024.01",1.042,0.02495,0.008371,-58.0625
"FALSE POSITIVE",10593759,"K00025.01",1.594,-4.409e-05,-8.061e-05,0.618522388059701
"FALSE POSITIVE",5021737,"K00026.01",8.106,0.04122,-0.006092,-65.5474777448071
"FALSE POSITIVE",3832716,"K00027.01",0.5708,0,0,-0.612064896755162
"FALSE POSITIVE",4247791,"K00028.01",1.254,0.02208,0.02054,0.45952802359882
"FALSE POSITIVE",6956014,"K00031.01",0.4094,-1.231e-05,3.581e-05,0.916186895810956
"FALSE POSITIVE",5725087,"K00033.01",0.375,3.992e-05,-5.153e-05,-0.58125
"CANDIDATE",6521045,"K00041.01",8.947,0.0001068,-0.0001281,-2.11040816326531
"CANDIDATE",6521045,"K00041.02",3.44,-3.921e-06,-5.996e-05,-2.16606060606061
"CANDIDATE",6521045,"K00041.03",13.27,-6.725e-06,-5.045e-05,0.125323754789272
"CANDIDATE",8866102,"K00042.01",6.561,0.0002523,0.0001457,1.68732782369146
"FALSE POSITIVE",9025922,"K00043.01",8.339,0.09774,0.06295,-102.267543859649
"FALSE POSITIVE",8845026,"K00044.01",21.75,0.004064,-0.001799,-0.921253196930946
"FALSE POSITIVE",3742855,"K00045.01",3.162,0.04568,-0.05663,29.9742198100407
"CANDIDATE",10905239,"K00046.01",2.35,-0.0001073,-7.65e-05,0.372426367461431
"CANDIDATE",10905239,"K00046.02",2.343,5.168e-05,2.684e-05,0.553897260273973
"FALSE POSITIVE",7837302,"K00048.01",4.114,4.268e-05,-0.0006494,1.0634375
"CANDIDATE",9527334,"K00049.01",4.638,0.0001002,8.647e-06,0.10642277486911
"FALSE POSITIVE",6056992,"K00051.01",6.078,0.01613,0.04291,-14.5125
"FALSE POSITIVE",3558981,"K00052.01",1.496,0,-0.003217,0.403060921248143
"FALSE POSITIVE",2445975,"K00053.01",0.2292,0.004894,-0.00428,-11.6925742574257
"FALSE POSITIVE",8248939,"K00061.01",0.946,0.003007,-0.0036,-53.5662983425414
"CANDIDATE",11554435,"K00063.01",4.981,2.272e-05,-9.444e-05,2.09323204419889
"CANDIDATE",7051180,"K00064.01",0.975,2.265e-05,7.244e-05,-1.37746164574616
"FALSE POSITIVE",10620329,"K00066.01",0.4413,0,-2.884e-05,2.10065400843882
"FALSE POSITIVE",8669092,"K00068.01",0.5958,-3.973e-06,-5.345e-05,-4.29068062827225
"CANDIDATE",3544595,"K00069.01",2.789,-2.044e-05,1.635e-05,-2.39289176090469
"CANDIDATE",6850504,"K00070.01",1.274,-2.59e-05,-5.514e-05,-0.95019758507135
"CANDIDATE",6850504,"K00070.02",0.6302,2.398e-05,2.923e-05,-1.37552836484983
"CANDIDATE",6850504,"K00070.03",44.5,4.252e-05,0.0001024,0.91177304964539
"CANDIDATE",6850504,"K00070.04",1.469,-9.707e-06,2.47e-05,0.654769230769231
"CANDIDATE",6850504,"K00070.05",7.097,3.076e-05,-4.405e-05,0.0784230769230769
"CANDIDATE",11904151,"K00072.01",16.09,-1.762e-05,6.128e-05,-2.45654545454545
"CANDIDATE",11904151,"K00072.02",-0.1687,5.24e-06,-2.284e-05,-3.24601990049751
"FALSE POSITIVE",6889235,"K00074.01",2.588,9.049e-05,-4.611e-05,-2.28511764705882
"CANDIDATE",7199397,"K00075.01",61.63,0.0007389,-0.0008328,-1.81451814768461
"FALSE POSITIVE",9955262,"K00076.01",50.09,-0.001127,-0.0007428,1.62876712328767
"FALSE POSITIVE",9552608,"K00080.01",6.027,-1.973e-05,-6.04e-05,0.773165467625899
"FALSE POSITIVE",8823868,"K00081.01",11.94,0.000319,-0.000332,-3.81276315789474
"CANDIDATE",10187017,"K00082.01",10.65,2.264e-05,-3.555e-05,-4.6692523364486
"CANDIDATE",10187017,"K00082.02",-2.563,7.556e-05,1.449e-05,-3.93176165803109
"CANDIDATE",10187017,"K00082.03",-3.303,9.302e-06,2.79e-05,-2.68122171945701
"CANDIDATE",10187017,"K00082.04",-0.6875,3.283e-05,2.566e-05,-3.02202749140893
"CANDIDATE",10187017,"K00082.05",2.386,-3.96e-05,-2.593e-05,0.304507462686567
"CANDIDATE",10187017,"K00082.06",-2.854,-4.164e-05,-3.415e-05,-1.03096296296296
"CANDIDATE",2571238,"K00084.01",0.7375,1.629e-05,-1.688e-05,1.83734375
"CANDIDATE",5866724,"K00085.01",2.568,8.754e-06,-6.693e-05,-3.36428571428571
"CANDIDATE",5866724,"K00085.02",0.3424,5.765e-06,-1.214e-05,-2.11325268817204
"CANDIDATE",5866724,"K00085.03",1.947,7.786e-06,-2.972e-05,-0.163096698113208
"CANDIDATE",10593626,"K00087.01",87.5,-0.0002333,-6.895e-05,-2.94420689655172
"FALSE POSITIVE",7700871,"K00088.01",-0.4125,-0.002118,-0.0002737,96.9712230215827
"CANDIDATE",8056665,"K00089.01",29.9,0.0001747,-5.856e-05,-0.917679738562092
"CANDIDATE",8056665,"K00089.02",39.31,-0.0001914,0.0001417,0.00866358974358974
"FALSE POSITIVE",9210823,"K00090.01",0.4,-0.01176,0,103.136798905609
"CANDIDATE",7941200,"K00092.01",31.13,-9.543e-05,2.344e-06,-0.528988571428571
"CANDIDATE",6462863,"K00094.01",0.7492,0.001372,-0.0002888,1.36724598930481
"CANDIDATE",6462863,"K00094.02",-7.438,0.0003053,-4.452e-05,0.168748299319728
"CANDIDATE",6462863,"K00094.03",-1.553,0.0001439,-0.0001318,2.558934169279
"CANDIDATE",6462863,"K00094.04",0.8514,6.143e-05,-2.14e-05,-1.03825327510917
"CANDIDATE",5780885,"K00097.01",2.44,0.0002854,-2.272e-05,-0.508906705539359
"CANDIDATE",10264660,"K00098.01",4.481,0.0001601,-0.0002271,-2.21588921282799
"CANDIDATE",4055765,"K00100.01",-1.955,2.603e-05,-1.491e-05,0.303263041065483
"CANDIDATE",8456679,"K00102.01",0.8667,0.00014,-0.001065,0.428087201125176
"FALSE POSITIVE",8456679,"K00102.02",-0.9559,4.147e-06,-6.386e-05,2.14056097560976
"CANDIDATE",2444412,"K00103.01",3.131,4.489e-05,-0.0001361,-1.94994272623139
"CANDIDATE",10318874,"K00104.01",-0.5063,0.0001626,3.93e-06,-1.16848837209302
"CANDIDATE",8711794,"K00105.01",-0.5219,4.585e-06,8.027e-05,-3.42954070981211
"FALSE POSITIVE",10489525,"K00106.01",0.8333,0.008739,0.03441,-36.4893009985735
"CANDIDATE",11250587,"K00107.01",2.207,2.221e-05,-2.081e-05,-0.304710556186152
"CANDIDATE",4914423,"K00108.01",5.381,-6.412e-05,-8.038e-05,0.216338028169014
"CANDIDATE",4914423,"K00108.02",69.32,-0.0001103,9.363e-05,-0.309731481481481
"FALSE POSITIVE",4752451,"K00109.01",3.206,-0.001033,-0.006196,17.9851851851852
"CANDIDATE",9450647,"K00110.01",7.012,8.768e-06,4.615e-05,0.311350806451613
"CANDIDATE",6678383,"K00111.01",-1.682,-8.112e-05,0.0001063,0.99512331838565
"CANDIDATE",6678383,"K00111.02",37.66,-8.607e-05,6.937e-05,-0.379063636363636
"CANDIDATE",6678383,"K00111.03",12.89,-0.0001372,3.642e-05,1.716015625
"CANDIDATE",10984090,"K00112.01",5.531,1.936e-05,7.995e-05,-1.17306748466258
"CANDIDATE",10984090,"K00112.02",1.068,-4.609e-05,-5.047e-05,0.998993710691824
"FALSE POSITIVE",6721123,"K00114.01",3.753,0.003032,-0.005549,-63.7191011235955
