"koi_disposition","kepid","kepoi_name","tce_time0","tce_full_conv","tce_fwm_prao","tce_steff_sn","tce_fwm_prao_sn"
"CANDIDATE",11446443,"K00001.01",2454970,1,-0.0001223,74.6153846153846,-0.9784
"CANDIDATE",10666592,"K00002.01",2454970,1,-0.001754,72.3595505617977,-46.0367454068241
"CANDIDATE",10748390,"K00003.01",2454970,1,0.001684,50.2947368421053,31.7735849056604
"CANDIDATE",3861595,"K00004.01",2454970,1,0.0001896,49.5555555555556,5.64285714285714
"CANDIDATE",8554498,"K00005.01",2454970,1,8.928e-05,71.5301204819277,2.49385474860335
"FALSE POSITIVE",3248033,"K00006.01",2454970,1,0,45.4264705882353,0
"CANDIDATE",11853905,"K00007.01",2454970,1,-0.0001967,75.2597402597403,-6.146875
"FALSE POSITIVE",5903312,"K00008.01",2454970,1,0.003678,49.9316239316239,154.53781512605
"FALSE POSITIVE",11553706,"K00009.01",2454970,1,-0.01863,39.275,-218.149882903981
"CANDIDATE",6922244,"K00010.01",2454960,1,1.319e-05,45.4379562043796,0.0780473372781065
"FALSE POSITIVE",11913073,"K00011.01",2454970,1,-0.0007874,37.006711409396,-15.3190661478599
"CANDIDATE",5812701,"K00012.01",2454980,1,0.0004751,74.1630434782609,1.1818407960199
"CANDIDATE",9941662,"K00013.01",2454970,1,0,20.5575620767494,0
"FALSE POSITIVE",7684873,"K00014.01",2454970,1,0.0005353,23.7941176470588,29.9050279329609
"FALSE POSITIVE",3964562,"K00015.01",2454970,1,0.092,20.876213592233,925.553319919517
"FALSE POSITIVE",9110357,"K00016.01",2454960,1,0.04832,23.9285714285714,1002.48962655602
"CANDIDATE",10874614,"K00017.01",2454970,1,0.00086,49.9115044247788,7.47826086956522
"CANDIDATE",8191672,"K00018.01",2454970,1,0.0004054,50.32,4.90205562273277
"FALSE POSITIVE",7255336,"K00019.01",2454960,1,0.0004573,45.3868613138686,9.66807610993658
"CANDIDATE",11804465,"K00020.01",2454970,1,-4.892e-05,46.1472868217054,-0.19109375
"FALSE POSITIVE",10125352,"K00021.01",2454970,1,-0.006036,36.2386363636364,-48.288
"CANDIDATE",9631995,"K00022.01",2454970,1,0.001755,71.0952380952381,9.80446927374302
"FALSE POSITIVE",9071386,"K00023.01",2454970,1,-0.000133,45.4642857142857,-0.624413145539906
"FALSE POSITIVE",4743513,"K00024.01",2454970,1,0.02495,36.4940476190476,168.581081081081
"FALSE POSITIVE",10593759,"K00025.01",2454970,1,-4.409e-05,30.4780487804878,-0.0629857142857143
"FALSE POSITIVE",5021737,"K00026.01",2454980,1,0.04122,33.5103092783505,0.161015625
"FALSE POSITIVE",3832716,"K00027.01",2454960,0,0,32.7553191489362,0
"FALSE POSITIVE",4247791,"K00028.01",2454970,1,0.02208,28.4759615384615,2.34146341463415
"FALSE POSITIVE",6956014,"K00031.01",2454960,1,-1.231e-05,56.0821917808219,-1.18365384615385
"FALSE POSITIVE",5725087,"K00033.01",2454960,1,3.992e-05,36.4590163934426,2.89275362318841
"CANDIDATE",6521045,"K00041.01",2454970,1,0.0001068,74.2051282051282,3.47882736156352
"CANDIDATE",6521045,"K00041.02",2454970,1,-3.921e-06,74.2051282051282,-0.165443037974684
"CANDIDATE",6521045,"K00041.03",2454990,1,-6.725e-06,74.2051282051282,-0.13504016064257
"CANDIDATE",8866102,"K00042.01",2454980,1,0.0002523,77.1927710843374,5.61915367483296
"FALSE POSITIVE",9025922,"K00043.01",2454960,1,0.09774,0,270
"FALSE POSITIVE",8845026,"K00044.01",2454990,1,0.004064,28.7832512315271,3.33114754098361
