"koi_disposition","kepid","kepoi_name","tce_ldm_coeff4","tce_prad","tce_steff","tce_fwm_prao"
"CANDIDATE",11446443,"K00001.01",-0.1782834,13.24,5820,-0.0001223
"CANDIDATE",10666592,"K00002.01",0.143404,16.78,6440,-0.001754
"CANDIDATE",10748390,"K00003.01",-0.5566952,5.073,4778,0.001684
"CANDIDATE",3861595,"K00004.01",0.2503962,13.02,6244,0.0001896
"CANDIDATE",8554498,"K00005.01",-0.1416996,7.14,5937,8.928e-05
"FALSE POSITIVE",3248033,"K00006.01",0.0680724,1.317,6178,0
"CANDIDATE",11853905,"K00007.01",-0.2643414,4.596,5795,-0.0001967
"FALSE POSITIVE",5903312,"K00008.01",-0.13752,1.174,5842,0.003678
"FALSE POSITIVE",11553706,"K00009.01",0.2483146,14.01,6284,-0.01863
"CANDIDATE",6922244,"K00010.01",0.100687,14.89,6225,1.319e-05
"FALSE POSITIVE",11913073,"K00011.01",-0.3837206,2.517,5514,-0.0007874
"CANDIDATE",5812701,"K00012.01",0.2255588,13.31,6823,0.0004751
"CANDIDATE",9941662,"K00013.01",-0.0173088,21.55,9107,0
"FALSE POSITIVE",7684873,"K00014.01",-0.0755976,5.794,8090,0.0005353
"FALSE POSITIVE",3964562,"K00015.01",-0.0413108,12.12,8601,0.092
"FALSE POSITIVE",9110357,"K00016.01",-0.0349994,6.937,8040,0.04832
"CANDIDATE",10874614,"K00017.01",-0.4132352,13.04,5640,0.00086
"CANDIDATE",8191672,"K00018.01",0.114724,14.91,6290,0.0004054
"FALSE POSITIVE",7255336,"K00019.01",0.1757876,9.296,6218,0.0004573
"CANDIDATE",11804465,"K00020.01",-0.1170738,18.03,5953,-4.892e-05
"FALSE POSITIVE",10125352,"K00021.01",0.3816488,20.67,6378,-0.006036
"CANDIDATE",9631995,"K00022.01",-0.1986934,12.86,5972,0.001755
"FALSE POSITIVE",9071386,"K00023.01",0.055778,17.82,6365,-0.000133
"FALSE POSITIVE",4743513,"K00024.01",0.3949304,9.959,6131,0.02495
"FALSE POSITIVE",10593759,"K00025.01",0.0944608,20.95,6248,-4.409e-05
"FALSE POSITIVE",5021737,"K00026.01",0.2180108,19.61,6501,0.04122
"FALSE POSITIVE",3832716,"K00027.01",0.2244832,29.76,6158,0
"FALSE POSITIVE",4247791,"K00028.01",-0.1204504,72.68,5923,0.02208
"FALSE POSITIVE",6956014,"K00031.01",-0.5192744,49.58,4094,-1.231e-05
"FALSE POSITIVE",5725087,"K00033.01",-0.4798396,17.6,4448,3.992e-05
"CANDIDATE",6521045,"K00041.01",-0.231108,2.437,5788,0.0001068
"CANDIDATE",6521045,"K00041.02",-0.231108,1.478,5788,-3.921e-06
"CANDIDATE",6521045,"K00041.03",-0.231108,1.747,5788,-6.725e-06
"CANDIDATE",8866102,"K00042.01",0.1482676,2.78,6407,0.0002523
"FALSE POSITIVE",9025922,"K00043.01",-0.2420112,6.081,5780,0.09774
"FALSE POSITIVE",8845026,"K00044.01",-0.261181,12.13,5843,0.004064
"FALSE POSITIVE",3742855,"K00045.01",-0.2420112,15.34,5780,0.04568
"CANDIDATE",10905239,"K00046.01",-0.4268546,6.152,5576,-0.0001073
"CANDIDATE",10905239,"K00046.02",-0.4268546,1.308,5576,5.168e-05
"FALSE POSITIVE",7837302,"K00048.01",0.2369668,51.48,6095,4.268e-05
"CANDIDATE",9527334,"K00049.01",-0.2000496,3.022,5900,0.0001002
"FALSE POSITIVE",6056992,"K00051.01",-0.2420112,25.64,5780,0.01613
"FALSE POSITIVE",3558981,"K00052.01",-0.510584,18.13,5231,0
"FALSE POSITIVE",2445975,"K00053.01",-0.2420112,11.57,5780,0.004894
"FALSE POSITIVE",8248939,"K00061.01",0.1830984,1.712,6283,0.003007
"CANDIDATE",11554435,"K00063.01",-0.3772572,6.021,5578,2.272e-05
"CANDIDATE",7051180,"K00064.01",-0.4629688,9.875,5302,2.265e-05
"FALSE POSITIVE",10620329,"K00066.01",-0.0288688,4.408,8491,0
"FALSE POSITIVE",8669092,"K00068.01",0.500954,13.85,6287,-3.973e-06
"CANDIDATE",3544595,"K00069.01",-0.2333168,1.712,5648,-2.044e-05
"CANDIDATE",6850504,"K00070.01",-0.425326,3.254,5465,-2.59e-05
"CANDIDATE",6850504,"K00070.02",-0.425326,2.116,5465,2.398e-05
"CANDIDATE",6850504,"K00070.03",-0.425326,2.893,5465,4.252e-05
"CANDIDATE",6850504,"K00070.04",-0.425326,0.9434,5465,-9.707e-06
"CANDIDATE",6850504,"K00070.05",-0.425326,1.055,5465,3.076e-05
"CANDIDATE",11904151,"K00072.01",-0.22916,2.497,5676,-1.762e-05
"CANDIDATE",11904151,"K00072.02",-0.22916,0.7994,5676,5.24e-06
"FALSE POSITIVE",6889235,"K00074.01",-0.0129728,7.343,9523,9.049e-05
"CANDIDATE",7199397,"K00075.01",0.033182,10.41,5903,0.0007389
"FALSE POSITIVE",9955262,"K00076.01",0.2657672,10.79,6711,-0.001127
"FALSE POSITIVE",9552608,"K00080.01",-0.0283656,19.7,8133,-1.973e-05
"FALSE POSITIVE",8823868,"K00081.01",-0.0199872,18.76,9974,0.000319
"CANDIDATE",10187017,"K00082.01",-0.5545712,2.619,4900,2.264e-05
"CANDIDATE",10187017,"K00082.02",-0.5545712,1.49,4900,7.556e-05
"CANDIDATE",10187017,"K00082.03",-0.5545712,1.046,4900,9.302e-06
"CANDIDATE",10187017,"K00082.04",-0.5545712,0.7269,4900,3.283e-05
"CANDIDATE",10187017,"K00082.05",-0.5545712,0.5799,4900,-3.96e-05
"CANDIDATE",10187017,"K00082.06",-0.5545712,0.592,4900,-4.164e-05
"CANDIDATE",2571238,"K00084.01",-0.3223076,2.498,5546,1.629e-05
"CANDIDATE",5866724,"K00085.01",-0.0123468,2.969,6181,8.754e-06
"CANDIDATE",5866724,"K00085.02",-0.0123468,1.542,6181,5.765e-06
"CANDIDATE",5866724,"K00085.03",-0.0123468,1.732,6181,7.786e-06
"CANDIDATE",10593626,"K00087.01",-0.2855324,2.275,5516,-0.0002333
"FALSE POSITIVE",7700871,"K00088.01",-0.0291372,0.8548,5761,-0.002118
"CANDIDATE",8056665,"K00089.01",0.3308092,3.724,6688,0.0001747
"CANDIDATE",8056665,"K00089.02",0.3308092,4.266,6688,-0.0001914
"FALSE POSITIVE",9210823,"K00090.01",-0.0129792,3.028,5812,-0.01176
"CANDIDATE",7941200,"K00092.01",-0.116339,3.05,5918,-9.543e-05
"CANDIDATE",6462863,"K00094.01",0.0563536,10.09,6181,0.001372
"CANDIDATE",6462863,"K00094.02",0.0563536,6.205,6181,0.0003053
"CANDIDATE",6462863,"K00094.03",0.0563536,3.987,6181,0.0001439
"CANDIDATE",6462863,"K00094.04",0.0563536,1.754,6181,6.143e-05
"CANDIDATE",5780885,"K00097.01",-0.0343464,16.98,6036,0.0002854
"CANDIDATE",10264660,"K00098.01",0.1629352,9.872,6372,0.0001601
"CANDIDATE",4055765,"K00100.01",0.3510808,16.89,6638,2.603e-05
"CANDIDATE",8456679,"K00102.01",-0.3307058,3.914,5751,0.00014
"FALSE POSITIVE",8456679,"K00102.02",-0.3307058,1.187,5751,4.147e-06
"CANDIDATE",2444412,"K00103.01",-0.3031,3.284,5650,4.489e-05
"CANDIDATE",10318874,"K00104.01",-0.5557316,3.639,4780,0.0001626
"CANDIDATE",8711794,"K00105.01",-0.0733532,3.462,5666,4.585e-06
"FALSE POSITIVE",10489525,"K00106.01",0.3198124,2.995,6732,0.008739
"CANDIDATE",11250587,"K00107.01",-0.2408336,3.711,5858,2.221e-05
"CANDIDATE",4914423,"K00108.01",-0.1657388,3.536,5880,-6.412e-05
