"koi_disposition","kepid","kepoi_name","tce_dof2","tce_chisq2","tce_chisqgof","tce_eqt","tce_hap_stat","tce_fwm_prao"
"CANDIDATE",11446443,"K00001.01",3282000,1096000,2503000,1340,278.8,-0.0001223
"CANDIDATE",10666592,"K00002.01",1118000,269800,547400,2050,0,-0.001754
"CANDIDATE",10748390,"K00003.01",265800,71970,171700,800,0,0.001684
"CANDIDATE",3861595,"K00004.01",3958,942.8,3623,2040,34.07,0.0001896
"CANDIDATE",8554498,"K00005.01",10570,3789,6485,1440,11.08,8.928e-05
"FALSE POSITIVE",3248033,"K00006.01",833.9,1152,5096,2170,71.49,0
"CANDIDATE",11853905,"K00007.01",7671,2042,6262,1520,24.98,-0.0001967
"FALSE POSITIVE",5903312,"K00008.01",1256,1548,4060,1750,207.2,0.003678
"FALSE POSITIVE",11553706,"K00009.01",27480,31030,38760,1870,456.5,-0.01863
"CANDIDATE",6922244,"K00010.01",230700,52470,116600,1520,214.4,1.319e-05
"FALSE POSITIVE",11913073,"K00011.01",1244,3255,5727,1030,181.4,-0.0007874
"CANDIDATE",5812701,"K00012.01",10240,9022,93300,912,116.4,0.0004751
"CANDIDATE",9941662,"K00013.01",3458000,937000,3727000,3560,0,0
"FALSE POSITIVE",7684873,"K00014.01",7149,2351,6067,2400,17.21,0.0005353
"FALSE POSITIVE",3964562,"K00015.01",11680,46170,50770,2370,824.7,0.092
"FALSE POSITIVE",9110357,"K00016.01",5213,176800,186500,4250,725.3,0.04832
"CANDIDATE",10874614,"K00017.01",729100,166300,309600,1360,267.2,0.00086
"CANDIDATE",8191672,"K00018.01",414400,77630,170800,1640,216.9,0.0004054
"FALSE POSITIVE",7255336,"K00019.01",164700,54300,156100,2120,33.46,0.0004573
"CANDIDATE",11804465,"K00020.01",893400,218400,374800,1340,389.7,-4.892e-05
"FALSE POSITIVE",10125352,"K00021.01",24380,8826,14770,1720,69.17,-0.006036
"CANDIDATE",9631995,"K00022.01",311200,43730,123600,1030,111.4,0.001755
"FALSE POSITIVE",9071386,"K00023.01",434700,113800,397100,1390,366.7,-0.000133
"FALSE POSITIVE",4743513,"K00024.01",35160,256500,877900,1850,360.9,0.02495
"FALSE POSITIVE",10593759,"K00025.01",149100,26590,107600,1440,158.8,-4.409e-05
"FALSE POSITIVE",5021737,"K00026.01",108800,180000,212500,963,610.1,0.04122
"FALSE POSITIVE",3832716,"K00027.01",4618000,1714000,5309000,2180,0,0
"FALSE POSITIVE",4247791,"K00028.01",9337000,4267000,25630000,1780,1105,0.02208
"FALSE POSITIVE",6956014,"K00031.01",2098,10950,16930,0,14.39,-1.231e-05
"FALSE POSITIVE",5725087,"K00033.01",1796,1085,4075,0,11.46,3.992e-05
"CANDIDATE",6521045,"K00041.01",512.9,180.9,1546,939,4.578,0.0001068
"CANDIDATE",6521045,"K00041.02",249.9,253.4,1883,1160,1.121,-3.921e-06
"CANDIDATE",6521045,"K00041.03",58.75,59.57,460.3,670,2.131,-6.725e-06
"CANDIDATE",8866102,"K00042.01",1207,455.8,1864,866,0,0.0002523
"FALSE POSITIVE",9025922,"K00043.01",2505,15910,17860,812,212.9,0.09774
"FALSE POSITIVE",8845026,"K00044.01",7958,9103,22810,466,63.53,0.004064
"FALSE POSITIVE",3742855,"K00045.01",28230,32240,38190,982,283.3,0.04568
"CANDIDATE",10905239,"K00046.01",9016,3136,7414,1450,16.09,-0.0001073
"CANDIDATE",10905239,"K00046.02",189.2,188,1456,1200,1.377,5.168e-05
"FALSE POSITIVE",7837302,"K00048.01",530900,125600,675300,919,126.6,4.268e-05
"CANDIDATE",9527334,"K00049.01",708.6,294.4,1236,886,9.545,0.0001002
"FALSE POSITIVE",6056992,"K00051.01",19760,5464,10880,834,55.94,0.01613
