"koi_disposition","kepid","kepoi_name","tce_slogg","tce_minmes","tce_rmesmad","tce_rsnrmes","tce_ptemp","tce_rb_tcount1","tce_fwm_prao"
"CANDIDATE",11446443,"K00001.01",4.46,-3.097,7176,1.071,922.06,17,-0.0001223
"CANDIDATE",10666592,"K00002.01",4.02,-18.75,912.8,0.923,2025.9,46,-0.001754
"CANDIDATE",10748390,"K00003.01",4.59,-2.968,2706,0.8807,859.56,18,0.001684
"CANDIDATE",3861595,"K00004.01",3.66,-5.09,340.5,0.9711,2733.84,10,0.0001896
"CANDIDATE",8554498,"K00005.01",4.01,-3.554,567.9,0.9938,1510.16,28,8.928e-05
"FALSE POSITIVE",3248033,"K00006.01",4.11,-2.826,28.37,1.132,3273.95,0,0
"CANDIDATE",11853905,"K00007.01",4.1,-2.732,440.3,1.027,1627.94,38,-0.0001967
"FALSE POSITIVE",5903312,"K00008.01",4.43,-2.972,60.72,1.117,2474.93,149,0.003678
"FALSE POSITIVE",11553706,"K00009.01",3.81,-11.49,461.2,0.6923,3273.76,0,-0.01863
"CANDIDATE",6922244,"K00010.01",4.17,-2.308,2244,0.9777,1357.42,0,1.319e-05
"FALSE POSITIVE",11913073,"K00011.01",4.57,-6.123,103.1,0.933,3088.39,0,-0.0007874
"CANDIDATE",5812701,"K00012.01",4.31,-3.517,590.4,1.504,1646.68,0,0.0004751
"CANDIDATE",9941662,"K00013.01",3.87,-12.28,5389,0.744,2193.6,6,0
"FALSE POSITIVE",7684873,"K00014.01",4,-16.83,301.8,0.9332,4935.45,73,0.0005353
"FALSE POSITIVE",3964562,"K00015.01",4.14,-9.588,300.5,0.7556,3952.57,14,0.092
"FALSE POSITIVE",9110357,"K00016.01",3.71,-3.69,175.2,0.2403,2700.89,18,0.04832
"CANDIDATE",10874614,"K00017.01",4.24,-3.064,4633,0.9592,1077.11,2,0.00086
"CANDIDATE",8191672,"K00018.01",4.07,-3.18,2297,0.96,1465.03,0,0.0004054
"FALSE POSITIVE",7255336,"K00019.01",4.2,-3.879,1442,0.8275,1134.38,160,0.0004573
"CANDIDATE",11804465,"K00020.01",4.17,-2.755,3841,0.9824,1167.31,0,-4.892e-05
"FALSE POSITIVE",10125352,"K00021.01",3.88,-7.339,620.7,0.9704,2599.9,0,-0.006036
"CANDIDATE",9631995,"K00022.01",4.31,-2.442,3422,0.9671,1182.29,20,0.001755
"FALSE POSITIVE",9071386,"K00023.01",4.22,-31.69,3654,1,2419.73,0,-0.000133
"FALSE POSITIVE",4743513,"K00024.01",4.07,-11.71,483.5,0.6819,2048.09,0,0.02495
"FALSE POSITIVE",10593759,"K00025.01",4.33,-1.785,2501,0.86,924.79,0,-4.409e-05
"FALSE POSITIVE",5021737,"K00026.01",4.21,-304.1,928.7,0.4838,4973.46,0,0.04122
"FALSE POSITIVE",3832716,"K00027.01",4.15,-1334,62.91,-0.000143,0,0,0
"FALSE POSITIVE",4247791,"K00028.01",4.12,-8.632,2536,0.5843,0,0,0.02208
"FALSE POSITIVE",6956014,"K00031.01",1.63,-2.878,163.8,0.8478,0,1,-1.231e-05
"FALSE POSITIVE",5725087,"K00033.01",1.69,-2.666,13.72,1.127,0,7,3.992e-05
"CANDIDATE",6521045,"K00041.01",4.12,-2.85,108.2,1.079,2608.8,0,0.0001068
"CANDIDATE",6521045,"K00041.02",4.12,-2.59,44.97,1.1,3053.23,0,-3.921e-06
"CANDIDATE",6521045,"K00041.03",4.12,-3.523,25.12,1.065,3662.35,0,-6.725e-06
"CANDIDATE",8866102,"K00042.01",4.27,-2.955,174,0.9971,2334.52,0,0.0002523
"FALSE POSITIVE",9025922,"K00043.01",4.44,-3.223,224.2,0.4597,4190.93,0,0.09774
"FALSE POSITIVE",8845026,"K00044.01",4.4,-6.944,379.4,1.36,2608.45,0,0.004064
"FALSE POSITIVE",3742855,"K00045.01",4.44,-15.31,499.8,0.7792,3004.59,0,0.04568
"CANDIDATE",10905239,"K00046.01",4.07,-3.237,375.7,1.012,1569.68,4,-0.0001073
"CANDIDATE",10905239,"K00046.02",4.07,-3.335,12.43,0.9994,4162.57,4,5.168e-05
"FALSE POSITIVE",7837302,"K00048.01",3.89,-2.634,3205,0.575,1014.83,0,4.268e-05
"CANDIDATE",9527334,"K00049.01",4.51,-3.579,154.1,1.02,2563.41,20,0.0001002
"FALSE POSITIVE",6056992,"K00051.01",4.44,-2.826,797.6,0.9212,1210.24,2,0.01613
"FALSE POSITIVE",3558981,"K00052.01",4.54,-32.78,1694,0.653,2151.07,0,0
"FALSE POSITIVE",2445975,"K00053.01",4.44,-7.907,260,0.9456,2105.18,6,0.004894
"FALSE POSITIVE",8248939,"K00061.01",4.37,-3.723,42.8,0.9109,2937.27,1,0.003007
"CANDIDATE",11554435,"K00063.01",4.52,-2.863,1013,0.8831,1556.53,17,2.272e-05
"CANDIDATE",7051180,"K00064.01",3.77,-3.907,334.2,0.9923,2411.76,8,2.265e-05
"FALSE POSITIVE",10620329,"K00066.01",3.85,-40.33,1.929,2.126,4551.95,59,0
"FALSE POSITIVE",8669092,"K00068.01",3.56,-3.749,23.21,-0.02347,0,93,-3.973e-06
"CANDIDATE",3544595,"K00069.01",4.47,-3.62,299.6,0.9965,1685.74,1,-2.044e-05
"CANDIDATE",6850504,"K00070.01",4.45,-3.724,225.8,0.9535,767.39,0,-2.59e-05
"CANDIDATE",6850504,"K00070.02",4.45,-4.591,113.6,1.056,1610.12,0,2.398e-05
"CANDIDATE",6850504,"K00070.03",4.45,-3.564,109.5,1.054,2743.34,0,4.252e-05
"CANDIDATE",6850504,"K00070.04",4.45,-2.192,20.5,1.061,3347.71,0,-9.707e-06
"CANDIDATE",6850504,"K00070.05",4.45,-3.263,18.42,1.101,3202.5,0,3.076e-05
"CANDIDATE",11904151,"K00072.01",4.35,-2.579,142,1.024,2539.33,0,-1.762e-05
"CANDIDATE",11904151,"K00072.02",4.35,-2.962,41.34,1.222,2383.43,28,5.24e-06
"FALSE POSITIVE",6889235,"K00074.01",4.21,-77.66,108.2,0.9234,7672.01,3,9.049e-05
