"koi_disposition","kepid","kepoi_name","tce_ror","tce_duration","tce_fwm_prao","tce_dicco_mra"
"CANDIDATE",11446443,"K00001.01",0.12589471,1.797,-0.0001223,-0.0087961
"CANDIDATE",10666592,"K00002.01",0.078784226,4.044,-0.001754,2.2225
"CANDIDATE",10748390,"K00003.01",0.060925075,2.406,0.001684,-6.2414
"CANDIDATE",3861595,"K00004.01",0.039866118,2.713,0.0001896,-0.073399
"CANDIDATE",8554498,"K00005.01",0.036615779,2.061,8.928e-05,-0.15312
"FALSE POSITIVE",3248033,"K00006.01",0.0076370104,2.342,0,0
"CANDIDATE",11853905,"K00007.01",0.027263501,4.127,-0.0001967,0.027766
"FALSE POSITIVE",5903312,"K00008.01",0.010921054,1.392,0.003678,-7.3599
"FALSE POSITIVE",11553706,"K00009.01",0.054669728,3.577,-0.01863,3.4555
"CANDIDATE",6922244,"K00010.01",0.094050704,3.271,1.319e-05,0.014237
"FALSE POSITIVE",11913073,"K00011.01",0.027921071,4.639,-0.0007874,1.101
"CANDIDATE",5812701,"K00012.01",0.089229178,7.44,0.0004751,-0.025949
"CANDIDATE",9941662,"K00013.01",0.065143174,3.18,0,3.5877
"FALSE POSITIVE",7684873,"K00014.01",0.023767831,1.943,0.0005353,-3.538
"FALSE POSITIVE",3964562,"K00015.01",0.054691924,3.115,0.092,-9.2984
"FALSE POSITIVE",9110357,"K00016.01",0.019118708,1.952,0.04832,-5.7111
"CANDIDATE",10874614,"K00017.01",0.092531652,3.591,0.00086,-0.040074
"CANDIDATE",8191672,"K00018.01",0.078259482,4.561,0.0004054,-0.0081337
"FALSE POSITIVE",7255336,"K00019.01",0.063146039,1.878,0.0004573,-0.10293
"CANDIDATE",11804465,"K00020.01",0.11673926,4.692,-4.892e-05,0.0014676
"FALSE POSITIVE",10125352,"K00021.01",0.094634263,2.279,-0.006036,1.6861
"CANDIDATE",9631995,"K00022.01",0.095297998,4.354,0.001755,-0.019787
"FALSE POSITIVE",9071386,"K00023.01",0.11106938,5.171,-0.000133,0.010021
"FALSE POSITIVE",4743513,"K00024.01",0.064409723,2.161,0.02495,-3.6632
"FALSE POSITIVE",10593759,"K00025.01",0.16255676,3.604,-4.409e-05,0.010823
"FALSE POSITIVE",5021737,"K00026.01",0.12471358,5.306,0.04122,-3.9291
"FALSE POSITIVE",3832716,"K00027.01",0.19933221,2,0,0.011881
"FALSE POSITIVE",4247791,"K00028.01",0.44109552,8.062,0.02208,0.0029534
"FALSE POSITIVE",6956014,"K00031.01",0.018555452,2.128,-1.231e-05,0.06114
"FALSE POSITIVE",5725087,"K00033.01",0.0051196794,1.191,3.992e-05,-0.15659
"CANDIDATE",6521045,"K00041.01",0.015152156,6.5,0.0001068,-0.77603
