"koi_disposition","kepid","kepoi_name","tce_model_dof","tce_nkoi","tcet_ingress","tcet_depth","tce_max_sngle_ev","tce_cap_stat","tce_rb_tcount4","tce_fwm_sdeco","tce_fwm_prao","tce_dicco_msky","tce_dikco_mdec","tce_period_sn","tce_dor_sn","tce_fwm_sdec_sn"
"CANDIDATE",11446443,"K00001.01",7757,1,0.5518,14130,544.2,3778,0,0.1066,-0.0001223,0.29669,-0.27006,120453514.960338,1610.1899216663,100645775.510204
"CANDIDATE",10666592,"K00002.01",23000,1,0.6548,6440,232.3,0,3,-0.7585,-0.001754,3.9676,-3.6656,46887899.7390544,518.084614400144,76021090.3328051
"CANDIDATE",10748390,"K00003.01",4897,1,0.5699,4137,245.3,0,0,2.85,0.001684,6.6417,1.5513,35001611.2284722,53.1480389114627,27633129.3103448
"CANDIDATE",3861595,"K00004.01",6694,1,0.6771,1265,26.06,136.2,0,-0.1427,0.0001896,0.080227,-0.077171,4519038.19378409,86.098782606003,7239282.52788104
"CANDIDATE",8554498,"K00005.01",4870,2,0.6339,944.8,39.68,226.5,0,-0.05111,8.928e-05,0.19041,-0.015759,6238237.23239744,101.573489982459,4626674.19689119
"FALSE POSITIVE",3248033,"K00006.01",18410,1,1.242,91.3,4.849,-19.69,0,72.7,0,0,0,303485.880410007,1.18113773292656,319891.383333333
"CANDIDATE",11853905,"K00007.01",13630,1,0.6652,693.9,23.66,182.1,0,-0.04694,-0.0001967,0.052554,0.067877,3377570.09935143,12.8463015548391,4043204.59677419
"FALSE POSITIVE",5903312,"K00008.01",16830,1,0.6695,122.8,6.059,-27.99,0,5.283,0.003678,8.07,3.4912,482024.07315847,1.43660478887071,651970.792393027
"FALSE POSITIVE",11553706,"K00009.01",10260,1,1.201,2463,57.1,13.28,0,-8.476,-0.01863,5.1778,-4.0169,4609732.73337654,159.857437140931,7403353.51270553
"CANDIDATE",6922244,"K00010.01",11670,1,0.6757,8873,130.8,934.6,0,-0.05969,1.319e-05,0.019556,0.1761,21805609.721371,224.491748893217,20409164.9038462
"FALSE POSITIVE",11913073,"K00011.01",12500,1,1.817,587.7,14.43,-28.85,0,-9.567,-0.0007874,11.166,-11.182,799130.892753957,43.6137026606863,1440185.47277937
"CANDIDATE",5812701,"K00012.01",5110,1,1.133,8714,82.2,381.1,0,0.241,0.0004751,0.056623,0.18408,13642941.7382999,330.670655196848,32808845.6
"CANDIDATE",9941662,"K00013.01",21570,1,0.5663,4469,480.5,0,0,0.6993,0,4.5277,2.3303,66944909.4477279,377.269684357263,61346274.8691099
"FALSE POSITIVE",7684873,"K00014.01",6927,1,0.6419,406.3,31.11,148,0,0.2429,0.0005353,3.5901,-0.46942,5623423.55405802,106.559748843321,3115482.51798561
"FALSE POSITIVE",3964562,"K00015.01",8436,1,1.24,1184,90.5,-597.3,0,-3.55,0.092,9.3006,0.24296,3712643.77732123,37.011839520282,3586127.88990826
