"koi_disposition","kepid","kepoi_name","tcet_duration","tce_max_mult_ev","tce_ptemp_stat","tce_rb_tpdur","tce_fwm_prao","tce_dicco_mdec","tce_dikco_mra","tce_dikco_msky","tce_sradius_sn","tce_ptemp_sn","tce_dicco_mra_sn","tce_dikco_mdec_sn","tce_dikco_msky_sn"
"CANDIDATE",11446443,"K00001.01",1.732,6468,-8.432,3,-0.0001223,-0.29656,0.014583,0.27045,25.3684210526316,21.1627266467753,-0.128975073313783,-1.63672727272727,1.63909090909091
"CANDIDATE",10666592,"K00002.01",4.038,3862,-0.4252,6,-0.001754,-3.2868,2.0211,4.1859,17.7454545454545,64.911887215636,3.87870855148342,-7.13151750972763,5.61112600536193
"CANDIDATE",10748390,"K00003.01",2.569,2035,0.4827,6,0.001684,-2.2709,-4.0045,4.2945,27.25,7.08740105540897,-3.78266666666667,1.59271047227926,3.70215517241379
"CANDIDATE",3861595,"K00004.01",2.677,235.6,2.725,6,0.0001896,-0.032389,-0.048718,0.091262,3.08135942327497,31.6160518098763,-1.06839883551674,-1.00877124183007,1.20876821192053
"CANDIDATE",8554498,"K00005.01",2.04,360.2,0.3914,3,8.928e-05,0.11319,-0.12743,0.1284,13.5378787878788,8.76674793916173,-2.14153846153846,-0.184531615925059,1.79329608938547
"FALSE POSITIVE",3248033,"K00006.01",3.139,21.53,2.142,6,0,0,0,0,4.66076696165192,6.7082266161254,0,0,0
"CANDIDATE",11853905,"K00007.01",4.288,294.5,0.5266,6,-0.0001967,0.04462,0.18244,0.19465,15.9278350515464,7.6876652814507,0.37931693989071,0.897843915343915,2.53120936280884
"FALSE POSITIVE",5903312,"K00008.01",1.863,36.65,1.101,3,0.003678,3.3101,-7.3481,8.1353,6.88811188811189,3.8118069245934,-109.197329376855,51.265785609398,118.590379008746
"FALSE POSITIVE",11553706,"K00009.01",3.472,579.9,5.529,6,-0.01863,-3.8561,3.5236,5.3433,3.06527415143603,38.2314609365877,49.9349710982659,-57.963924963925,77.1038961038961
"CANDIDATE",6922244,"K00010.01",3.259,1726,-1.558,6,1.319e-05,-0.013407,-0.028353,0.17837,13.1909090909091,14.6242189183366,0.21312874251497,2.58211143695015,2.61923641703377
