"koi_disposition","kepid","kepoi_name","tce_period","tce_num_transits","tce_model_snr","tce_rb_tcount2","tce_fwm_sdec","tce_fwm_prao","tce_prad_sn"
"CANDIDATE",11446443,"K00001.01",2.47061,432,6930,0,49.31643,-0.0001223,25.3591266040988
"CANDIDATE",10666592,"K00002.01",2.20473,611,3565,5,47.969308,-0.001754,17.7434704451729
"CANDIDATE",10748390,"K00003.01",4.8878,215,1792,3,48.081645,0.001684,26.8554790894653
"CANDIDATE",3861595,"K00004.01",3.84938,276,228.8,1,38.94734,0.0001896,3.08238636363636
"CANDIDATE",8554498,"K00005.01",4.78033,280,358,11,44.647406,8.928e-05,13.5176069670579
"FALSE POSITIVE",3248033,"K00006.01",1.33413,799,24.36,0,38.386966,0,3.39170744269894
"CANDIDATE",11853905,"K00007.01",3.21366,335,302.3,2,50.135737,-0.0001967,15.2437810945274
"FALSE POSITIVE",5903312,"K00008.01",1.16015,1151,40.95,1,41.139357,0.003678,4.66613672496025
"FALSE POSITIVE",11553706,"K00009.01",3.71981,364,401.5,0,49.528435,-0.01863,3.06497484139138
"CANDIDATE",6922244,"K00010.01",3.5225,384,1687,0,42.451063,1.319e-05,13.1886625332152
"FALSE POSITIVE",11913073,"K00011.01",3.74782,358,91.99,0,50.262473,-0.0007874,4.35467128027682
"CANDIDATE",5812701,"K00012.01",17.8552,75,628.5,0,41.011057,0.0004751,5.11923076923077
"CANDIDATE",9941662,"K00013.01",1.76359,761,5052,0,46.868554,0,2.25890985324948
"FALSE POSITIVE",7684873,"K00014.01",2.94736,454,297.5,30,43.305207,0.0005353,3.84472461844725
"FALSE POSITIVE",3964562,"K00015.01",3.01248,354,281.4,0,39.088794,0.092,3.12935708752905
"FALSE POSITIVE",9110357,"K00016.01",0.895279,1499,48.61,0,45.299469,0.04832,1.58632517722387
"CANDIDATE",10874614,"K00017.01",3.2347,335,2865,0,48.239985,0.00086,13.5889954147561
"CANDIDATE",8191672,"K00018.01",3.54846,378,2178,0,44.035067,0.0004054,11.3297872340426
