"koi_disposition","kepid","kepoi_name","tce_time0bk","tce_ldm_coeff2","tce_ldm_coeff3","tce_robstat","tce_dof1","tce_sma","tce_smet_prov","tcet_period","tcet_time0bk","tcet_time0","tce_maxmes","boot_fap","boot_messtd","tce_rb_tcount0","tce_fwm_prao","tce_time0bk_sn","tce_sma_sn","tce_fwm_sra_sn"
"CANDIDATE",11446443,"K00001.01",132.646,0.221888,0.2269022,6143,3420,0.03542,0,2.47061,132.645,2454970,5.833,0,1.0707,381,-0.0001223,33158184.1815818,31.1521547933157,415664434.782609
"CANDIDATE",10666592,"K00002.01",132.383,0.639823,-0.4934448,3413,5382,0.03755,0,2.20473,132.383,2454970,42.41,-1,-1,529,-0.001754,12514581.7380865,22.0752498530276,332477184.300341
"CANDIDATE",10748390,"K00003.01",134.589,-0.7821432,1.4623702,1697,1836,0.05294,1,4.88779,134.591,2454970,2.49,0,1.1584,181,0.001684,7458107.05973623,27.093142272262,68439120.6896552
"CANDIDATE",3861595,"K00004.01",134.43,0.894701,-0.7626226,201.5,2421,0.05482,2,3.84936,134.433,2454970,10.43,0,1.0647,251,0.0001896,1008734.41087749,3.33861144945189,43901049.2170022
"CANDIDATE",8554498,"K00005.01",132.974,0.2237064,0.1672364,339.6,2457,0.05899,3,4.7803,132.978,2454970,2.554,0,1.041,221,8.928e-05,1188445.69171232,18.3941378235111,20769872.0430108
"FALSE POSITIVE",3248033,"K00006.01",132.365,0.6007248,-0.348446,22.87,7074,0.02494,4,1.3341,132.368,2454970,2.227,2.0116e-101,1.0084,754,0,117579.391516767,5.19258796585467,1925370
"CANDIDATE",11853905,"K00007.01",133.254,0.0138728,0.4667292,287.8,2934,0.04399,0,3.21367,133.252,2454970,2.906,0,1.0396,271,-0.0001967,717437.653443597,20.4414498141264,15111927.7777778
"FALSE POSITIVE",5903312,"K00008.01",132.148,0.291406,0.1296252,35.28,10260,0.02131,4,1.16015,132.146,2454970,2.499,9.95989999999999e-274,1.0337,949,0.003678,290252.720268139,7.5728500355366,3420935.2233677
"FALSE POSITIVE",11553706,"K00009.01",135.069,0.9163498,-0.7725186,518,3195,0.05139,5,3.71978,135.073,2454970,54.09,0,1.0295,348,-0.01863,861063.475771852,3.2018691588785,30037170.0468019
"CANDIDATE",6922244,"K00010.01",131.687,0.6483006,-0.4227618,1623,3357,0.04725,6,3.52249,131.688,2454960,3.466,0,1.0218,367,1.319e-05,4385809.48987034,15.1880424300868,86417175.1152074
