"koi_disposition","kepid","kepoi_name","tce_plnt_num","tce_impact","tce_ingress","tce_model_chisq","tce_insol","tce_sradius","tcet_model_chisq","tce_mesmedian","tce_minmesd","tce_bin_oedp_stat","tce_albedo","boot_mesmean","tce_rb_tcount3","tce_fwm_stat","tce_fwm_sra","tce_fwm_srao","tce_fwm_prao","tce_impact_sn","tce_duration_sn","tce_depth_sn","tce_eqt_sn","tce_insol_sn","tce_slogg_sn","tce_smet_sn","tce_albedo_sn","tce_fwm_srao_sn","tce_fwm_sdeco_sn","tce_fwm_pdeco_sn","tce_dicco_msky_sn"
"CANDIDATE",11446443,"K00001.01",1,0.8426,0.6188,7199,761.32,0.964,67000,0.01998,1.796,2.05,0.0393,-0.078511,0,2480.3,19.120564,-0.02322,-0.0001223,3421.03126268778,2945.41878380593,3983.19327731092,57.0212765957447,14.2542595019659,223,-0.4,5.35276491419232,-14.3333333333333,60.5681818181818,4.09894736842105,1.8659748427673
"CANDIDATE",10666592,"K00002.01",1,0.6221,0.4694,20270,4165.02,1.952,163000,-3.365,0.9536,25.95,0.1674,-1,1,0,19.483163,0.3986,-0.001754,302.283770651118,2004.95785820525,3080.75680664513,47.7855477855478,11.9239049527627,134,0.933333333333333,14.5565217391304,188.018867924528,-334.140969162996,0,5.70057471264368
"CANDIDATE",10748390,"K00003.01",1,0.502,0.1817,4935,96.99,0.763,165100,0.009725,-1.196,6.051,0.233,-0.21004,1,985.47,19.847345,1.98,0.001684,17.2865013774105,369.812480786966,1751.6051364366,40,10.0092879256966,114.75,2.13333333333333,1.77998472116119,188.571428571429,453.821656050955,16.8565488565489,3.75237288135593
"CANDIDATE",3861595,"K00004.01",1,0.9298,0.6598,5579,4056.95,2.992,60510,-0.122,1.82,3.622,0.5699,-0.01712,0,208.36,19.623769,-0.05632,0.0001896,520.022371364653,187.880886426593,199.813838039094,8.46473029045643,2.10768167743812,13.5555555555556,-0.8,2.09368111682586,-2.99574468085106,-7.35567010309278,3.13846153846154,1.15434532374101
"CANDIDATE",8554498,"K00005.01",1,0.9558,0.7206,3908,1021.65,1.787,67790,0.01865,1.841,0.668,0.2107,-0.066298,7,47.32,19.315981,-0.001298,8.928e-05,939.823008849558,193.703007518797,233.252427184466,45.5696202531646,11.416359369762,133.666666666667,1.6,2.18387230514096,-0.0363585434173669,-1.47291066282421,-2.98071625344353,2.40720606826802
"FALSE POSITIVE",3248033,"K00006.01",1,0.9039,0.0955,15460,5237.55,1.58,58060,-0.2135,0.8185,0.05381,0.908,-0.001075,0,0,19.638774,-50.63,0,4.06795679567957,12.4906666666667,18.8589840788476,12.9940119760479,3.24922143504101,24.1764705882353,0,1.51661934190747,-117.470997679814,167.898383371824,-168.139534883721,0
"CANDIDATE",11853905,"K00007.01",1,0.7866,0.2783,11200,1246.6,1.545,54160,-0.2792,0.4836,2.646,0.2332,-0.023086,0,66.373,19.041029,0.2591,-0.0001967,19.2463909958405,92.4921559838637,289.864325618516,47.5,11.831814730448,136.666666666667,1.2,1.91618734593262,5.92906178489702,-1.052466367713,1.54441087613293,0.706370967741936
"FALSE POSITIVE",5903312,"K00008.01",1,0.8999,0.07633,13800,2228.85,0.985,89020,-0.02204,0.5414,0.005731,0.6968,0.12764,0,25285,19.909843,-36.27,0.003678,5.35336109458656,13.0459231490159,29.9254843517139,18.2291666666667,4.56236055104088,36.9166666666667,-0.666666666666667,0.938072159396877,-153.037974683544,23.273127753304,-21.780701754386,119.378698224852
"FALSE POSITIVE",11553706,"K00009.01",1,0.9491,1.788,11790,2917.05,2.348,115900,-0.338,1.985,7.572,1.63,-0.075425,0,311460,19.253826,8.465,-0.01863,755.051710421639,302.366863905325,169.423368740516,7.85714285714286,1.96650195163715,13.1379310344828,-0.666666666666667,2.00492004920049,376.222222222222,-351.701244813278,156.806722689076,74.0743919885551
"CANDIDATE",6922244,"K00010.01",1,0.7061,0.5262,9927,1268.9,1.451,72060,-0.2208,2.175,0.1861,0.1108,0.019653,0,96.827,18.752527,-0.5515,1.319e-05,216.462293071735,692.275132275132,1512.7441244621,30.2788844621514,7.57416582104698,69.5,-0.266666666666667,3.61147327249022,-63.6101499423299,-7.97994652406417,1.68971962616822,0.291011904761905
"FALSE POSITIVE",11913073,"K00011.01",1,0.9746,2.32,11130,267.33,0.826,74070,-0.5094,2.004,0.03068,14.09,-0.45444,0,10818,19.40415,1.642,-0.0007874,351.460512080779,74.0935952723207,32.8727770177839,12.8589263420724,3.21851673489044,28.5625,-0.133333333333333,3.28438228438228,16.2574257425743,-75.9285714285714,70.3058103975535,12.1633986928105
"CANDIDATE",5812701,"K00012.01",1,0.277,0.6566,4227,163.29,1.367,109500,-0.03936,-2.963,0.5304,1.864,-0.13304,0,1550.1,19.830247,-0.0764,0.0004751,27.3986152324431,1617.39130434783,584.243964421855,16.551724137931,4.13601823708207,33.1538461538461,0.466666666666667,1.53668590272053,-17.8922716627635,53.6748329621381,-1.82481203007519,0.182654838709677
"CANDIDATE",9941662,"K00013.01",1,0.5709,0.285,25810,37983.12,3.031,225000,-0.8822,1.001,0.08052,0.02523,-1,0,0,19.131408,-0.176,0,169.255855321672,1944.95412844037,3914.23670668954,6.31205673758865,1.57678080022317,11.3823529411765,0.1,1.65009810333551,-98.3240223463687,254.290909090909,0,4.84764453961456
"FALSE POSITIVE",7684873,"K00014.01",1,0.9735,0.7462,6157,7909.8,2.234,79090,-0.239,1.569,1.833,3.105,-0.21721,0,1644,19.507428,-1.363,0.0005353,1573.46048165508,185.755258126195,168.985750209556,10.3004291845494,2.57597024695419,20,-0.466666666666667,2.85386029411765,-31.0478359908884,4.858,2.59609756097561,11.9272425249169
"FALSE POSITIVE",3964562,"K00015.01",1,0.9981,1.557,8859,7487.42,2.031,103200,-0.5239,1.625,0.0004082,1.349,-0.24834,0,0,19.607548,-84.28,0.092,94.3383742911153,160.981912144703,145.744680851064,10.2155172413793,2.55730123708101,23,0.323076923076923,2.34445603058742,-957.727272727273,-90.1015228426396,0,135.973684210526
"FALSE POSITIVE",9110357,"K00016.01",1,0.9918,0.976,31350,77476.19,3.325,206300,-0.5033,0.2813,3.086,0.02843,-0.21109,0,900730,19.882345,-275.6,0.04832,66.4300066979236,20.8146726380891,8.96780786918753,5.26641883519207,1.31871649962614,8.62790697674419,-0.228571428571429,0.810433295324972,-1020.74074074074,-1299.34640522876,1265.88021778584,126.181112548512
"CANDIDATE",10874614,"K00017.01",1,0.02118,0.3059,10060,799.56,1.291,108500,-0.3233,1.853,0.002736,0.06968,-0.26604,0,1939.7,19.789151,0.05247,0.00086,0.0552281616688396,694.449816283117,2562.48483377821,31.7757009345794,7.91643564356436,70.6666666666667,2.26666666666667,3.06960352422908,12.7046004842615,34.6904761904762,5.20963855421687,1.03093610698366
"CANDIDATE",8191672,"K00018.01",1,0.007762,0.3336,14670,1714.51,1.746,113400,-1.002,1.396,27.36,0.1112,-0.17446,0,1052.3,19.960469,0.02196,0.0004054,0.00576243504083148,630.756465219195,2032.3751046609,31.9688109161793,7.98932898415657,81.4,0.266666666666667,5.09624197983501,3.4746835443038,9.62147887323944,-6.59615384615385,0.519657228017884
"FALSE POSITIVE",7255336,"K00019.01",1,0.9532,0.939,17450,4820.06,1.349,75410,-0.3652,0.1906,237.3,0.01422,-0.11929,0,478.35,18.72959,0.02982,0.0004573,771.821862348178,544.347826086957,525.341130604289,13.7662337662338,3.45214682184423,26.25,-1.6,2.17864256166692,2.71090909090909,12.4145785876993,-0.484296028880866,1.60868924889543
"CANDIDATE",11804465,"K00020.01",1,0.0001978,0.4927,9376,759.91,1.415,90600,-0.2555,2.367,0.6937,0.1011,-0.16924,0,8.0673,19.082895,-0.007793,-4.892e-05,1.08741066520066e-05,1248.20430965682,2586.58690176322,13.2673267326733,3.30726378552465,24.5294117647059,0.533333333333333,2.73095623987034,-2.27201166180758,4.86908077994429,0.224071246819338,0.0263577844311377
"FALSE POSITIVE",10125352,"K00021.01",1,0.9946,1.14,4948,2083.85,2.002,70050,-0.2087,2.217,0.0297,0.9076,0.074187,0,18087,18.982621,1.782,-0.006036,84.2167654530059,249.398117750055,284.210526315789,7.31914893617021,1.8312959724407,12.125,-1.6,1.78345450972686,80.6334841628959,42.2367149758454,-22.1341463414634,27.4706703910615
"CANDIDATE",9631995,"K00022.01",1,0.4798,0.4817,6005,264.29,1.237,84090,-0.07987,2.122,0.5908,0.306,0.0025644,0,918.78,18.841973,-0.1774,0.001755,46.0019175455417,679.463171036205,1765.70747488507,18.3600713012478,4.5851839000694,35.9166666666667,1.6,2.19827586206897,-20.5086705202312,-12.9012517385257,4.06822033898305,0.335119047619048
"FALSE POSITIVE",9071386,"K00023.01",1,0.3229,0.574,11590,882.39,1.47,257000,-0.1071,2.173,2.185,1.608,-0.076834,0,48.07,18.877756,0.0926,-0.000133,67.2428154935444,2410.72261072261,2547.06927175844,16.767189384801,4.1920756330467,35.1666666666667,1,4.48660714285714,37.1887550200803,22.9041095890411,-0.0439202657807309,0.152630792227205
"FALSE POSITIVE",4743513,"K00024.01",1,0.9205,0.7433,42450,2746.81,1.417,775100,-0.08205,0.9486,1.024,0.2652,-0.12322,0,173010,19.387506,-7.817,0.02495,583.333333333333,220.173204279165,236.243936243936,7.90598290598291,1.97331139815227,14.0344827586207,-2.46666666666667,2.00150943396226,-468.083832335329,-244.660194174757,45.9945054945055,42.2192513368984
