kepid,plnt,kepoi,koi,DT,plnt num,kname,dispos,GB,LR,_merge
4149450,1,K01864.01,CAN,0.9922854890735928,-,-,-,-,-,left_only
8804455,2,K02159.02,FP,0.9858244667075652,2.0,K02159.02,FP,-,0.963,both
4735826,2,-,-,0.9813705772101174,-,-,-,-,-,left_only
5195172,1,K01671.01,CAN,0.9784080572570436,-,-,-,-,-,left_only
3970233,2,-,-,0.9721018467212064,2.0,-,-,0.964,0.935,both
12505076,1,K02154.01,CAN,0.97070766743575,-,-,-,-,-,left_only
5534941,1,K02332.01,CAN,0.9690207603527816,-,-,-,-,-,left_only
5042210,1,K02462.01,CAN,0.9674222388644524,-,-,-,-,-,left_only
3831053,1,K00388.01,CAN,0.9663538491228816,-,-,-,-,-,left_only
11404644,2,-,-,0.9560002423523928,-,-,-,-,-,left_only
7202957,2,K02687.02,CAN,0.9520998964393466,-,-,-,-,-,left_only
2438513,1,K01944.01,CAN,0.9520313353872484,-,-,-,-,-,left_only
8456679,2,K00102.02,FP,0.9506918962661376,2.0,K00102.02,FP,-,0.972,both
