kepid,tce_plnt_num,kepoi_name,koi_disposition,DT
4149450,1,K01864.01,CANDIDATE,0.992
8804455,2,K02159.02,FALSE POSITIVE,0.986
4735826,2,,,0.981
5195172,1,K01671.01,CANDIDATE,0.978
3970233,2,,,0.972
12505076,1,K02154.01,CANDIDATE,0.971
5534941,1,K02332.01,CANDIDATE,0.969
5042210,1,K02462.01,CANDIDATE,0.967
3831053,1,K00388.01,CANDIDATE,0.966
11404644,2,,,0.956
7202957,2,K02687.02,CANDIDATE,0.952
2438513,1,K01944.01,CANDIDATE,0.952
8456679,2,K00102.02,FALSE POSITIVE,0.951
7256914,1,K04136.01,CANDIDATE,0.949
8480285,1,K00691.01,CANDIDATE,0.948
4840513,2,,,0.946
7733731,1,K04022.01,CANDIDATE,0.944
8644365,1,K03384.01,CANDIDATE,0.943
2853780,1,K02081.01,CANDIDATE,0.943
9071386,2,,,0.942
5374854,2,K00645.02,CANDIDATE,0.94
11098013,1,K02712.01,CANDIDATE,0.939
11709124,2,,,0.938
7287415,1,K01369.01,CANDIDATE,0.937
5972334,3,K00191.03,CANDIDATE,0.935
9140402,1,K00928.01,CANDIDATE,0.935
3342592,2,,,0.935
5972334,2,K00191.02,CANDIDATE,0.933
2581316,2,K03681.02,CANDIDATE,0.932
11394027,1,K00349.01,CANDIDATE,0.931
2446113,1,K00379.01,FALSE POSITIVE,0.927
8180020,2,,,0.925
12406749,1,K01476.01,CANDIDATE,0.923
8078502,1,K03383.01,CANDIDATE,0.923
4851464,2,,,0.923
8953059,2,,,0.922
12504988,2,,,0.921
5211199,1,K02158.01,CANDIDATE,0.92
5709725,2,K00555.02,CANDIDATE,0.919
8804845,1,K02039.01,CANDIDATE,0.919
3102000,2,,,0.913
9446824,2,,,0.913
5020319,1,K00635.01,CANDIDATE,0.912
8480582,1,K04386.01,CANDIDATE,0.91
6803202,1,K00177.01,CANDIDATE,0.91
5370302,2,,,0.908
10395543,1,K00531.01,CANDIDATE,0.907
11395587,1,K00350.01,CANDIDATE,0.907
8613535,1,K02263.01,CANDIDATE,0.907
10134152,1,K02056.01,CANDIDATE,0.906
7670943,1,K00269.01,CANDIDATE,0.904
10710755,2,,,0.903
10867062,1,K01303.01,CANDIDATE,0.901
10387742,1,K02583.01,CANDIDATE,0.9
9266431,1,K00704.01,CANDIDATE,0.9
8073806,1,K02411.01,CANDIDATE,0.899
6300348,1,K00212.01,CANDIDATE,0.899
10794087,1,K01316.01,CANDIDATE,0.899
11408935,2,,,0.898
9288786,2,,,0.896
11599038,1,K01437.01,CANDIDATE,0.896
11074178,2,K01889.02,CANDIDATE,0.896
9605514,1,K00945.01,CANDIDATE,0.893
9006186,3,K02169.03,CANDIDATE,0.893
10287248,2,,,0.892
5965819,1,K03319.01,CANDIDATE,0.89
8686150,2,,,0.89
7037540,2,,,0.889
11126381,1,K01863.01,CANDIDATE,0.889
8822421,1,K06188.01,FALSE POSITIVE,0.888
8578780,1,K02023.01,CANDIDATE,0.888
8552719,2,K01792.02,FALSE POSITIVE,0.888
8263545,1,K02822.01,CANDIDATE,0.888
9896018,1,K02579.01,CANDIDATE,0.887
3247268,2,K01089.02,CANDIDATE,0.886
9006186,2,K02169.02,CANDIDATE,0.886
7584650,1,K02631.01,CANDIDATE,0.885
4365645,1,K01738.01,CANDIDATE,0.884
9823487,1,K01489.01,CANDIDATE,0.882
11244682,1,K03933.01,CANDIDATE,0.882
7097965,1,K02083.01,CANDIDATE,0.881
10337517,1,K01165.01,CANDIDATE,0.88
9838975,2,,,0.879
10904857,2,,,0.879
9934208,2,,,0.876
11030475,1,K02248.01,CANDIDATE,0.875
7294743,1,K02516.01,CANDIDATE,0.874
8176650,2,,,0.874
5436013,1,K02471.01,CANDIDATE,0.872
5376836,2,,,0.869
4814502,1,K04004.01,CANDIDATE,0.869
9150827,1,K01408.01,CANDIDATE,0.865
5953297,1,K02733.01,CANDIDATE,0.865
7679812,1,K03943.01,CANDIDATE,0.864
8678594,2,K01261.02,CANDIDATE,0.863
2449431,1,K02009.01,CANDIDATE,0.863
11187837,1,K00252.01,CANDIDATE,0.862
9649222,2,,,0.862
7023960,2,,,0.859
11071200,2,K02696.02,CANDIDATE,0.858
9307509,1,K02096.01,CANDIDATE,0.857
6587002,3,K00612.03,CANDIDATE,0.855
7183745,2,K02521.02,CANDIDATE,0.855
5360082,2,,,0.854
6383785,2,K00239.02,CANDIDATE,0.853
7938496,1,K00900.01,CANDIDATE,0.853
7975727,2,,,0.852
3642741,1,K00242.01,FALSE POSITIVE,0.852
3425851,1,K00268.01,CANDIDATE,0.851
9605514,2,K00945.02,CANDIDATE,0.85
9244756,1,K01969.01,CANDIDATE,0.848
12017109,1,K02106.01,CANDIDATE,0.848
11251058,1,K07429.01,FALSE POSITIVE,0.847
6428794,1,K04054.01,CANDIDATE,0.847
3641726,1,K00804.01,CANDIDATE,0.847
11874577,1,K02779.01,CANDIDATE,0.845
5531953,1,K01681.01,CANDIDATE,0.844
9117416,2,K03425.02,CANDIDATE,0.841
3103212,1,K04145.01,CANDIDATE,0.841
4951877,1,K00501.01,CANDIDATE,0.841
6698670,2,,,0.84
9896435,2,,,0.84
5356593,2,,,0.839
6762829,2,,,0.839
11852982,1,K00247.01,CANDIDATE,0.838
8043714,2,,,0.838
7899070,1,K02683.01,CANDIDATE,0.838
6666233,2,,,0.837
6058816,1,K03500.01,CANDIDATE,0.836
8505920,1,K02094.01,CANDIDATE,0.835
5531953,2,K01681.02,FALSE POSITIVE,0.833
11718144,1,K02310.01,CANDIDATE,0.833
5792202,3,K00841.03,CANDIDATE,0.832
9898447,1,K02803.01,CANDIDATE,0.832
4770365,1,K01475.01,CANDIDATE,0.832
4548098,1,K04157.01,CANDIDATE,0.831
11122894,3,K01426.03,CANDIDATE,0.831
8780959,2,K03741.02,FALSE POSITIVE,0.831
8142942,1,K01985.01,CANDIDATE,0.83
9346253,2,,,0.828
12647577,1,K04530.01,CANDIDATE,0.827
10118816,1,K01085.01,CANDIDATE,0.826
3940418,1,K00810.01,CANDIDATE,0.824
3937519,2,K00221.02,CANDIDATE,0.824
9405595,1,K02125.01,CANDIDATE,0.822
9995771,1,K03470.01,CANDIDATE,0.821
2854181,1,K02232.01,CANDIDATE,0.821
6364215,2,K02404.02,FALSE POSITIVE,0.82
5342473,1,K02297.01,CANDIDATE,0.818
9153823,1,K06195.01,FALSE POSITIVE,0.817
8460600,2,,,0.817
3097352,2,,,0.813
7377343,1,K05384.01,CANDIDATE,0.813
5372966,2,,,0.812
9427402,1,K01397.01,CANDIDATE,0.812
5786676,1,K00650.01,CANDIDATE,0.811
7386827,1,K01704.01,CANDIDATE,0.81
10016874,1,K00426.01,CANDIDATE,0.809
7877978,1,K02760.01,CANDIDATE,0.809
6356692,1,K02948.01,CANDIDATE,0.809
11566064,2,K00353.02,CANDIDATE,0.809
8935810,1,K01395.01,CANDIDATE,0.808
1026957,1,K00958.01,CANDIDATE,0.808
10525049,1,K04252.01,CANDIDATE,0.806
3757778,2,,,0.805
6867588,1,K02571.01,CANDIDATE,0.805
3097926,1,K02186.01,CANDIDATE,0.804
4242147,1,K01934.01,CANDIDATE,0.803
11656302,2,,,0.803
11818872,1,K02581.01,CANDIDATE,0.803
4473226,1,K02229.01,CANDIDATE,0.802
5441980,1,K00607.01,CANDIDATE,0.802
11821363,1,K01494.01,CANDIDATE,0.8
10252275,1,K03130.01,CANDIDATE,0.8
5601258,1,K02191.01,CANDIDATE,0.8
11752906,1,K00253.01,CANDIDATE,0.795
3109930,1,K01112.01,CANDIDATE,0.795
5613821,1,K02915.01,CANDIDATE,0.795
8742590,1,K01281.01,CANDIDATE,0.792
12115188,2,,,0.792
