kepid,tce_plnt_num,kepoi_name,koi_disposition,DT_vif
6367365,2,,,1.0
3542117,1,K04987.01,CANDIDATE,1.0
9451127,2,,,0.9956475412736544
11709124,2,,,0.9956475412736544
9411166,2,,,0.9956475412736544
10122538,5,K02926.05,CANDIDATE,0.9956475412736544
9446824,2,,,0.9956475412736544
8480285,1,K00691.01,CANDIDATE,0.9956475412736544
9649222,2,,,0.9956475412736544
5792202,3,K00841.03,CANDIDATE,0.9956475412736544
10616571,3,,,0.9956475412736544
8953059,2,,,0.9956475412736544
5531953,1,K01681.01,CANDIDATE,0.9956475412736544
7037540,2,,,0.9956475412736544
11404644,2,,,0.9956475412736544
12504988,2,,,0.9956475412736544
3323887,2,,,0.9942658114938624
4931390,3,,,0.9872110181997048
11285136,2,,,0.9782100480790435
10189546,1,K00427.01,CANDIDATE,0.9712460063897764
4349442,1,K01803.01,CANDIDATE,0.9712460063897764
2440757,1,K00792.01,FALSE POSITIVE,0.9694309074066616
3247268,2,K01089.02,CANDIDATE,0.9694309074066616
10384962,2,,,0.9572656152004964
3323887,3,,,0.9572656152004964
9071386,2,,,0.9572656152004964
3642741,1,K00242.01,FALSE POSITIVE,0.9572656152004964
5728283,2,,,0.9572656152004964
4814502,1,K04004.01,CANDIDATE,0.9551462621885156
10717241,2,K00430.02,CANDIDATE,0.9381443298969072
8953257,2,,,0.9337044400265077
8458207,2,,,0.9337044400265077
6707942,2,,,0.9337044400265077
10337517,1,K01165.01,CANDIDATE,0.9337044400265077
6587002,3,K00612.03,CANDIDATE,0.9337044400265077
5020319,1,K00635.01,CANDIDATE,0.9337044400265077
8180020,2,,,0.9337044400265077
5965819,1,K03319.01,CANDIDATE,0.9337044400265077
10875007,1,K04149.01,CANDIDATE,0.9337044400265077
3641726,1,K00804.01,CANDIDATE,0.9337044400265077
1026957,1,K00958.01,CANDIDATE,0.9337044400265077
10005758,2,K01783.02,CANDIDATE,0.9337044400265077
8460600,2,,,0.9337044400265077
8686150,2,,,0.9337044400265077
5709725,2,K00555.02,CANDIDATE,0.9337044400265077
9288786,2,,,0.9337044400265077
11098013,1,K02712.01,CANDIDATE,0.9337044400265077
10395543,1,K00531.01,CANDIDATE,0.9337044400265077
10904857,2,,,0.9337044400265077
3231341,5,,,0.9337044400265077
12785320,2,K00298.02,CANDIDATE,0.9337044400265077
7670943,1,K00269.01,CANDIDATE,0.9337044400265077
7375348,2,K00266.02,CANDIDATE,0.9337044400265077
11752906,1,K00253.01,CANDIDATE,0.9337044400265077
11187837,1,K00252.01,CANDIDATE,0.9337044400265077
11852982,1,K00247.01,CANDIDATE,0.9337044400265077
5370302,2,,,0.9337044400265077
11408935,2,,,0.9337044400265077
5972334,2,K00191.02,CANDIDATE,0.9337044400265077
9427402,1,K01397.01,CANDIDATE,0.9337044400265077
9150827,1,K01408.01,CANDIDATE,0.9337044400265077
5035972,2,,,0.9337044400265077
12505076,1,K02154.01,CANDIDATE,0.9337044400265077
11122894,3,K01426.03,CANDIDATE,0.9337044400265077
8261920,3,K02174.03,CANDIDATE,0.9337044400265077
7700622,1,K00315.01,CANDIDATE,0.9337044400265077
9838975,2,,,0.9337044400265077
3831053,1,K00388.01,CANDIDATE,0.9337044400265077
6762829,2,,,0.9337044400265077
3342592,2,,,0.9337044400265077
10460984,3,K00474.03,CANDIDATE,0.9337044400265077
5978559,1,K02321.01,CANDIDATE,0.9337044400265077
7975727,2,,,0.9337044400265077
7289577,1,K01974.01,CANDIDATE,0.9337044400265077
8804845,1,K02039.01,CANDIDATE,0.9337044400265077
11818607,1,K02467.01,CANDIDATE,0.9337044400265077
7751562,2,,,0.9285714285714286
1161345,1,K00984.01,CANDIDATE,0.9262672811059908
11853878,2,K01833.02,CANDIDATE,0.9146534370646237
6198182,1,K02636.01,CANDIDATE,0.9146534370646237
3122913,1,K02490.01,CANDIDATE,0.914349901713002
8321314,1,K02293.01,CANDIDATE,0.914349901713002
8624520,1,K01816.01,CANDIDATE,0.9109906306788316
5450814,2,,,0.9109906306788316
5542466,1,K01590.01,CANDIDATE,0.90973249857712
6041734,2,,,0.8998685820967078
4840513,2,,,0.8998685820967078
4851464,2,,,0.8998685820967078
8823868,2,,,0.8998685820967078
8804455,2,K02159.02,FALSE POSITIVE,0.8998685820967078
8552719,2,K01792.02,FALSE POSITIVE,0.8998685820967078
8242681,2,,,0.8998685820967078
2581316,2,K03681.02,CANDIDATE,0.8864682321210752
12120943,1,K01458.01,CANDIDATE,0.8864682321210752
5376836,2,,,0.8864682321210752
5384713,1,K03444.01,CANDIDATE,0.8864682321210752
7972785,2,,,0.8864682321210752
8678594,2,K01261.02,CANDIDATE,0.8864682321210752
7023960,2,,,0.8805320435308344
8158429,1,K05482.01,CANDIDATE,0.8805320435308344
4074736,1,K01328.01,CANDIDATE,0.8805320435308344
8056665,2,K00089.02,CANDIDATE,0.8805320435308344
10973664,2,K00601.02,CANDIDATE,0.8805320435308344
5374838,1,K05155.01,CANDIDATE,0.8805320435308344
8018547,1,K00902.01,CANDIDATE,0.8788410886742757
12644769,3,,,0.8788410886742757
12644769,2,,,0.8768328445747802
8934495,1,K00524.01,CANDIDATE,0.8768328445747802
2444412,1,K00103.01,CANDIDATE,0.8768328445747802
2438490,2,,,0.8677469942498693
9202151,1,K01393.01,CANDIDATE,0.8654252633681021
10710755,2,,,0.8567100267745645
4346875,2,,,0.8498516884923347
12017140,2,,,0.8357103001897109
7593110,2,,,0.8357103001897109
6698670,2,,,0.8357103001897109
3554031,2,K01194.02,FALSE POSITIVE,0.8353791540139429
5195172,1,K01671.01,CANDIDATE,0.8349674920043845
12208631,1,K02449.01,CANDIDATE,0.8321678321678322
2832589,1,K01942.01,CANDIDATE,0.8321678321678322
8949925,1,K02972.01,CANDIDATE,0.8321678321678322
6946199,2,K01359.02,CANDIDATE,0.8321678321678322
9719636,2,,,0.8321678321678322
8804283,1,K01276.01,CANDIDATE,0.8321678321678322
8008067,3,K00316.03,CANDIDATE,0.8321678321678322
7376983,1,K01358.01,CANDIDATE,0.8321678321678322
10928043,1,K01315.01,CANDIDATE,0.8321678321678322
6525946,3,K02093.03,CANDIDATE,0.8213442448538568
7376983,2,K01358.02,CANDIDATE,0.8203463203463203
5621333,1,K03341.01,CANDIDATE,0.8203463203463203
9895004,4,,,0.8185441236274908
8456679,1,K00102.01,CANDIDATE,0.8154736168829081
11450414,3,K01992.03,FALSE POSITIVE,0.8154736168829081
8892720,2,,,0.8154736168829081
12156347,1,K02588.01,CANDIDATE,0.8064968450572564
11465950,1,K02620.01,CANDIDATE,0.8064968450572564
7584650,1,K02631.01,CANDIDATE,0.8064968450572564
4951877,1,K00501.01,CANDIDATE,0.8064968450572564
9837661,3,K02715.03,CANDIDATE,0.8064968450572564
5770074,1,K01928.01,CANDIDATE,0.8064968450572564
11771430,1,K02582.01,CANDIDATE,0.8064968450572564
9030537,1,K01892.01,CANDIDATE,0.8064968450572564
7877978,1,K02760.01,CANDIDATE,0.8064968450572564
10676824,1,K00599.01,CANDIDATE,0.8064968450572564
11126381,1,K01863.01,CANDIDATE,0.8064968450572564
4770365,2,K01475.02,CANDIDATE,0.8064968450572564
9244756,1,K01969.01,CANDIDATE,0.8064968450572564
12406749,1,K01476.01,CANDIDATE,0.8064968450572564
6862721,1,K01982.01,CANDIDATE,0.8064968450572564
3239671,1,K02066.01,CANDIDATE,0.8064968450572564
6803202,1,K00177.01,CANDIDATE,0.8064968450572564
4140813,1,K02117.01,CANDIDATE,0.8064968450572564
3097926,1,K02186.01,CANDIDATE,0.8064968450572564
11705004,1,K02199.01,CANDIDATE,0.8064968450572564
2854181,1,K02232.01,CANDIDATE,0.8064968450572564
11030475,1,K02248.01,CANDIDATE,0.8064968450572564
6342333,1,K02065.01,CANDIDATE,0.8064968450572564
9896018,1,K02579.01,CANDIDATE,0.8064968450572564
11718144,1,K02310.01,CANDIDATE,0.8064968450572564
9654468,1,K02417.01,CANDIDATE,0.8064968450572564
11566064,2,K00353.02,CANDIDATE,0.8064968450572564
7364176,1,K00373.01,CANDIDATE,0.8064968450572564
6609270,1,K03090.01,CANDIDATE,0.8064968450572564
12257999,1,K02577.01,CANDIDATE,0.8064968450572564
11297236,1,K01857.01,CANDIDATE,0.8064968450572564
5980783,1,K02967.01,CANDIDATE,0.8064968450572564
9904006,2,K02135.02,CANDIDATE,0.8064968450572564
5219234,3,K01563.03,CANDIDATE,0.8064968450572564
8176650,2,,,0.8064968450572564
8630788,3,K01258.03,CANDIDATE,0.8064968450572564
3440118,1,K03876.01,CANDIDATE,0.8064968450572564
10794087,1,K01316.01,CANDIDATE,0.8064968450572564
2161536,1,K02130.01,CANDIDATE,0.8064968450572564
10015937,1,K01720.01,CANDIDATE,0.8064968450572564
9605514,1,K00945.01,CANDIDATE,0.8064968450572564
8644365,1,K03384.01,CANDIDATE,0.8064968450572564
9230021,1,K03429.01,CANDIDATE,0.8064968450572564
5372966,2,,,0.8064968450572564
5356593,2,,,0.8064968450572564
7938496,1,K00900.01,CANDIDATE,0.8064968450572564
4770365,1,K01475.01,CANDIDATE,0.8064968450572564
9823487,1,K01489.01,CANDIDATE,0.8064968450572564
9266431,1,K00704.01,CANDIDATE,0.8064968450572564
11601584,3,K01831.03,CANDIDATE,0.8064968450572564
6862328,1,K00865.01,CANDIDATE,0.8041237113402062
11601584,4,K01831.04,CANDIDATE,0.7949388466672115
6149910,1,K02469.01,CANDIDATE,0.7933162510375691
4473226,1,K02229.01,CANDIDATE,0.7933162510375691
5872150,3,,,0.7933162510375691
10713616,1,K01311.01,CANDIDATE,0.7933162510375691
11394027,1,K00349.01,CANDIDATE,0.7933162510375691
4548098,1,K04157.01,CANDIDATE,0.7933162510375691
5906694,1,K04069.01,CANDIDATE,0.7933162510375691
7779077,1,K01842.01,CANDIDATE,0.7933162510375691
8578780,1,K02023.01,CANDIDATE,0.7933162510375691
7386827,1,K01704.01,CANDIDATE,0.7933162510375691
10793172,1,K02871.01,CANDIDATE,0.7933162510375691
11657614,1,K03370.01,CANDIDATE,0.7933162510375691
5369827,1,K02690.01,CANDIDATE,0.7933162510375691
9836959,1,K01715.01,CANDIDATE,0.7933162510375691
9605514,2,K00945.02,CANDIDATE,0.7933162510375691
7522911,1,K01705.01,CANDIDATE,0.7933162510375691
8142942,1,K01985.01,CANDIDATE,0.7933162510375691
2164169,1,K01029.01,CANDIDATE,0.7933162510375691
3109930,1,K01112.01,CANDIDATE,0.7933162510375691
5780885,2,,,0.7880794701986755
5511659,1,K04541.01,CANDIDATE,0.7880794701986755
9705459,2,,,0.7878999678388204
9579499,2,,,0.7878999678388204
10464078,2,,,0.7878999678388204
4043443,2,,,0.7878999678388204
9934208,2,,,0.7878999678388204
9468296,2,,,0.7878999678388204
9528420,2,,,0.7878999678388204
12009347,2,,,0.7878999678388204
8456679,2,K00102.02,FALSE POSITIVE,0.7878999678388204
8013419,1,K00901.01,CANDIDATE,0.7878999678388204
11904734,1,K01764.01,CANDIDATE,0.7878999678388204
5780715,1,K00506.01,CANDIDATE,0.7844675892635408
6607286,1,K01239.01,CANDIDATE,0.7821031344792719
9269281,1,K01398.01,CANDIDATE,0.7821031344792719
11073656,1,K02206.01,CANDIDATE,0.7821031344792719
11656302,2,,,0.7806788511749349
7202957,2,K02687.02,CANDIDATE,0.7774353092968247
6975129,3,K01628.03,FALSE POSITIVE,0.7774353092968247
7918478,1,K04209.01,CANDIDATE,0.7774353092968247
6428794,1,K04054.01,CANDIDATE,0.7774353092968247
9279354,1,K02060.01,CANDIDATE,0.7774353092968247
5124667,1,K01822.01,CANDIDATE,0.7774353092968247
7899070,1,K02683.01,CANDIDATE,0.7774353092968247
6504534,3,,,0.7774353092968247
3648437,1,K01861.01,CANDIDATE,0.7774353092968247
2438513,1,K01944.01,CANDIDATE,0.7774353092968247
5374854,2,K00645.02,CANDIDATE,0.7774353092968247
8681125,1,,,0.7774353092968247
5897826,3,,,0.7727357372224317
9714123,2,,,0.7719076980969327
11403216,2,,,0.7719076980969327
