kepid,tce_plnt_num,kepoi_name,koi_disposition,DT_vif,bLR,mean
7037540,2,,,0.9956475412736544,0.9972078931214066,0.9964277171975304
8480285,1,K00691.01,CANDIDATE,0.9956475412736544,0.9971185204722098,0.9963830308729321
9446824,2,,,0.9956475412736544,0.9798609104583098,0.9877542258659822
5531953,1,K01681.01,CANDIDATE,0.9956475412736544,0.9689641353192432,0.9823058382964488
12504988,2,,,0.9956475412736544,0.9658028396753005,0.9807251904744774
5965819,1,K03319.01,CANDIDATE,0.9337044400265077,0.9913034310113256,0.9625039355189167
5972334,2,K00191.02,CANDIDATE,0.9337044400265077,0.9907571039176006,0.9622307719720542
5020319,1,K00635.01,CANDIDATE,0.9337044400265077,0.9891593348137756,0.9614318874201416
12505076,1,K02154.01,CANDIDATE,0.9337044400265077,0.9885161836734868,0.9611103118499973
7975727,2,,,0.9337044400265077,0.9880985930043652,0.9609015165154364
3247268,2,K01089.02,CANDIDATE,0.9694309074066616,0.9466489031465488,0.9580399052766052
3831053,1,K00388.01,CANDIDATE,0.9337044400265077,0.9796321281673862,0.9566682840969469
8180020,2,,,0.9337044400265077,0.9779364156136288,0.9558204278200682
9150827,1,K01408.01,CANDIDATE,0.9337044400265077,0.9749210073277068,0.9543127236771072
5370302,2,,,0.9337044400265077,0.97283842096745,0.9532714304969788
8804845,1,K02039.01,CANDIDATE,0.9337044400265077,0.9688429270142992,0.9512736835204034
11187837,1,K00252.01,CANDIDATE,0.9337044400265077,0.9654467816880044,0.949575610857256
9838975,2,,,0.9337044400265077,0.9637848503951092,0.9487446452108084
11852982,1,K00247.01,CANDIDATE,0.9337044400265077,0.9631620633674436,0.9484332516969756
9071386,2,,,0.9572656152004964,0.9329053066865856,0.945085460943541
10875007,1,K04149.01,CANDIDATE,0.9337044400265077,0.9533421092600306,0.9435232746432691
3642741,1,K00242.01,FALSE POSITIVE,0.9572656152004964,0.9252774875578031,0.9412715513791498
9288786,2,,,0.9337044400265077,0.9466557274422804,0.9401800837343941
3641726,1,K00804.01,CANDIDATE,0.9337044400265077,0.9359356613080098,0.9348200506672587
8804455,2,K02159.02,FALSE POSITIVE,0.8998685820967078,0.967421769521848,0.9336451758092779
5376836,2,,,0.8864682321210752,0.975010634854859,0.9307394334879671
6762829,2,,,0.9337044400265077,0.9250462161484321,0.9293753280874699
10616571,3,,,0.9956475412736544,0.8457273804785451,0.9206874608760998
8953257,2,,,0.9337044400265077,0.9029268255776272,0.9183156328020674
10904857,2,,,0.9337044400265077,0.8986947458657927,0.9161995929461502
7670943,1,K00269.01,CANDIDATE,0.9337044400265077,0.8979837103419129,0.9158440751842103
