kepid,tce_plnt_num,kepoi_name,koi_disposition,ET_vif
12115188,2,,,1.0
7362696,2,,,1.0
7023960,2,,,1.0
2581316,2,K03681.02,CANDIDATE,1.0
8892910,2,,,1.0
4814502,1,K04004.01,CANDIDATE,1.0
8458207,2,,,1.0
1571511,2,,,1.0
8242681,2,,,1.0
8176650,2,,,1.0
8180020,2,,,1.0
7975727,2,,,1.0
3734868,2,,,1.0
7972785,2,,,1.0
3323887,3,,,1.0
7186665,2,,,1.0
3970233,2,,,1.0
9446824,2,,,1.0
6698670,2,,,1.0
6666233,2,,,1.0
4862625,2,,,1.0
4840513,2,,,1.0
4851464,2,,,1.0
5376836,2,,,1.0
6603756,2,,,1.0
5372966,2,,,1.0
5370302,2,,,1.0
6041734,2,,,1.0
5872150,3,,,1.0
6762829,2,,,1.0
5780885,2,,,1.0
6185476,3,,,1.0
8953059,2,,,1.0
7037540,2,,,1.0
9411166,2,,,1.0
10514430,4,,,1.0
5786676,1,K00650.01,CANDIDATE,1.0
2440757,1,K00792.01,FALSE POSITIVE,1.0
5816165,1,K01043.01,FALSE POSITIVE,1.0
10794087,1,K01316.01,CANDIDATE,1.0
5031857,2,K01573.02,CANDIDATE,1.0
12504988,2,,,1.0
11404644,2,,,1.0
8552719,2,K01792.02,FALSE POSITIVE,1.0
11189127,2,,,1.0
11408935,2,,,1.0
9288786,2,,,1.0
11709124,2,,,1.0
2449431,1,K02009.01,CANDIDATE,1.0
10616571,3,,,1.0
9838975,2,,,1.0
9149789,2,,,1.0
6432345,1,K02757.01,CANDIDATE,1.0
9934208,2,,,1.0
7584650,1,K02631.01,CANDIDATE,1.0
10904857,2,,,1.0
9886224,2,,,1.0
9632895,2,,,1.0
10464078,2,,,1.0
10091110,3,,,1.0
9071386,2,,,1.0
9995771,1,K03470.01,CANDIDATE,1.0
5775129,1,K02802.01,CANDIDATE,0.999
5124667,1,K01822.01,CANDIDATE,0.999
12644769,2,,,0.999
12644769,3,,,0.999
10005758,2,K01783.02,CANDIDATE,0.999
6762829,5,,,0.998
3231341,5,,,0.998
3342592,2,,,0.998
10016874,1,K00426.01,CANDIDATE,0.998
5270698,2,,,0.997
11601584,4,K01831.04,CANDIDATE,0.996
7375348,2,K00266.02,CANDIDATE,0.996
9697131,1,K02706.01,CANDIDATE,0.995
5534941,1,K02332.01,CANDIDATE,0.991
5978559,1,K02321.01,CANDIDATE,0.989
6428794,1,K04054.01,CANDIDATE,0.989
1026957,1,K00958.01,CANDIDATE,0.989
12009347,2,,,0.988
3102000,2,,,0.982
10710755,2,,,0.982
3323887,2,,,0.98
10485250,2,,,0.979
8823868,2,,,0.978
10923260,2,,,0.974
9474222,2,,,0.968
9528420,2,,,0.962
11126381,1,K01863.01,CANDIDATE,0.961
3097926,1,K02186.01,CANDIDATE,0.96
6756669,2,,,0.96
10186945,2,,,0.96
8263545,1,K02822.01,CANDIDATE,0.953
6614926,2,,,0.952
11030475,2,,,0.95
8686150,2,,,0.947
9346253,2,,,0.946
9705459,2,,,0.934
8043714,2,,,0.933
5095635,1,K02607.01,CANDIDATE,0.933
5035972,2,,,0.928
2718778,1,K02489.01,CANDIDATE,0.922
12170648,2,,,0.911
5773121,1,K04002.01,CANDIDATE,0.911
9649222,2,,,0.911
3112129,2,,,0.909
5356593,2,,,0.907
4242147,1,K01934.01,CANDIDATE,0.906
10418797,2,,,0.9
11465950,1,K02620.01,CANDIDATE,0.896
8655354,2,,,0.894
2574338,1,K01030.01,CANDIDATE,0.893
5774557,2,,,0.887
11192235,1,K02329.01,CANDIDATE,0.885
7269881,2,,,0.879
3218908,4,,,0.869
11285136,2,,,0.849
8801343,2,,,0.849
9413313,1,,,0.838
5092266,1,K03045.01,CANDIDATE,0.826
5980783,1,K02967.01,CANDIDATE,0.809
5551672,1,K03119.01,CANDIDATE,0.804
6593150,1,K03037.01,CANDIDATE,0.799
8236479,1,,,0.792
2438502,2,,,0.786
7605600,2,,,0.775
9008737,1,,,0.77
10287248,2,,,0.764
8126558,1,K02259.01,CANDIDATE,0.754
10843431,1,K07378.01,CANDIDATE,0.744
8561063,4,,,0.737
10583180,2,,,0.73
7450443,1,,,0.709
11968463,3,K02433.03,CANDIDATE,0.685
8953257,2,,,0.666
3558981,2,,,0.62
6187341,2,,,0.612
3323887,4,,,0.597
8460600,2,,,0.595
10527135,2,,,0.581
8753896,2,,,0.565
9243671,2,,,0.555
5103942,2,,,0.554
4937435,2,,,0.553
9836959,1,K01715.01,CANDIDATE,0.549
4650733,1,K01659.01,CANDIDATE,0.538
11517719,2,,,0.526
9098590,2,,,0.519
6889235,2,,,0.518
11673686,2,,,0.505
11391018,2,,,0.492
9491205,3,,,0.433
6279388,3,,,0.385
