kepid,KOI,Morph,Mult,BJD0,BJD0 Err,Period,Period Err,Kepmag,Teff,RA,Dec
1026032, ,0.15,1,54966.773813,0.030112,8.460438,2.3E-05,14.813,5715,291.0441,36.7293
1026957,958,0.01,1,54956.017106,0.011314,21.761306,8.81E-05,12.559,4845,291.2545,36.7436
1161345,984,0.24,1,55005.028983,0.023798,4.287456,8.6E-06,11.631,5836,291.0488,36.8399
1432214,998,0,1,55047.039254,0.03798,161.7883,0.00158,15.661,5814,291.3827,37.073
1433410, ,0.74,1,54999.951811,0.014174,0.283275,3.1E-06,14.119,6003,291.6377,37.0823
1433980,3924,0.62,1,55000.366398,0.054653,1.592634,6.2E-06,14.915,6345,291.7663,37.0972
1571511,362,0.17,1,54954.504752,0.065876,14.022451,4.72E-05,13.424,5804,290.9969,37.1992
1572353, ,0.91,1,54964.674573,0.013123,0.228931,1E-07,15.234,4470,291.1886,37.1616
1573836, ,-1,1,55000.034563,,3.557093,6.6E-06,13.124,6283,291.5025,37.1775
1575690,3658,0.31,1,54965.432738,0.01315,2.252428,4.3E-06,15.625,4140,291.8819,37.1891
1722276,1008,0,1,55081.9237,0.035212,569.95,0.00735,14.645,5370,291.6967,37.238
1868650, ,1,1,54953.769678,0.028231,0.584731,5E-07,13.453,10733,291.5394,37.3356
1873513,4928,0.16,1,55001.074635,0.014651,3.290383,5.29E-05,15.669,3109,292.5799,37.3764
1995732,3351,0.03,1,55049.455853,0.074804,77.362721,0.000544,15.673,5163,286.216,37.4252
2010607,4929,-1,1,54974.489675,,18.632296,7.1E-05,11.347,6122,290.5056,37.459
2012362, ,0.93,1,54964.744705,0.02193,0.386323,3E-07,14.121,6218,290.9252,37.4763
2019076,3585,0.16,1,55004.072218,0.023465,7.129228,1.87E-05,15.671,5624,292.4625,37.4426
2141697, ,0.98,1,54953.836742,0.019676,0.331043,2E-07,13.399,6049,286.3449,37.5018
2159783, ,0.87,1,54964.975549,0.02246,0.373884,2E-07,14.965,5643,291.3594,37.5533
2161623,6094,0.54,1,54999.599837,0.044144,2.28347,6.18E-05,14.312,6507,291.7445,37.591
2162283, ,1,1,54954.341553,0.04968,0.906378,9E-07,9.551,6683,291.8918,37.5568
2162994, ,0.42,1,54965.631653,0.036112,4.101596,8.1E-06,14.162,5410,292.058,37.5921
2166200,3735,0.11,1,55006.127339,0.022259,8.096956,6.39E-05,17.637,6344,292.7337,37.5593
2167890,3670,0.29,1,55185.843253,0.018062,2.648301,5.7E-06,12.858,4837,293.0936,37.5145
2302092, ,0.88,1,54964.690581,0.025649,0.294673,2E-07,14.44,5245,291.2623,37.6979
2305277, ,0.98,1,54964.986693,0.020035,0.378772,3E-07,15.101,5694,291.9707,37.6512
2305372, ,0.58,1,54965.954227,0.035813,1.404692,1.7E-06,13.821,5664,291.9903,37.6728
2305543,4936,0.5,1,55003.400909,0.017121,1.362273,1.9E-06,12.545,5623,292.0269,37.6007
2306740, ,0.27,1,54966.425207,0.067457,10.306987,3.06E-05,13.545,5647,292.2698,37.6982
2306756,113,0,1,54999.342231,0.044178,386.6,0.00505,12.394,5362,292.2737,37.6716
2307199,151,0.07,1,55006.176594,0.020973,13.447111,4.47E-05,14,6028,292.3748,37.631
2307206,3549,0.01,1,55086.538682,0.106873,204.031379,0.00228,15.734,5342,292.3762,37.6575
2308957, ,0.59,1,54965.166461,0.048525,2.219684,3.3E-06,14.52,5697,292.7518,37.6035
2309587,5982,0.44,1,54965.101351,0.020303,1.838511,2.5E-06,13.925,5560,292.8997,37.6593
2309719,1020,0.02,1,54997.069278,0.041307,54.35636,0.000313,12.899,5786,292.9309,37.6066
2435971, ,0.94,1,54964.815967,0.018215,0.271828,2E-07,14.695,,290.0796,37.788
2436378,2682,0.09,1,54969.278076,0.019058,8.531613,3.72E-05,18.498,,290.1417,37.7414
2437038, ,0.87,1,54964.980693,0.049493,0.267678,2E-07,15.955,5461,290.1984,37.7421
2437060,3712,0.47,1,55000.890724,0.043079,3.18711,2.28E-05,16.988,4452,290.1995,37.777
2437149,3598,0.11,1,55008.621824,0.044609,18.798735,0.000284,17.628,5130,290.2058,37.7691
2437452, ,0.16,1,54974.81653,0.048037,14.46993,4.99E-05,16.981,5398,290.2262,37.7596
2437505,2671,0.06,1,54982.261859,0.03346,21.476422,0.000141,17.29,,290.2303,37.7775
2438061, ,0.3,1,55004.093627,0.02513,4.885852,1.67E-05, ,,290.277,37.791
2438490,3699,0.34,1,55001.014453,0.149523,3.315767,4.36E-05,17.772,5317,290.3259,37.7615
2440757,792,0.36,1,54964.685956,0.013408,1.433771,1.8E-06,15.122,5990,290.8437,37.7288
2441161,3642,0.25,1,55004.684524,0.019591,4.38398,2.85E-05,16.654,5112,290.9384,37.7012
2442084, ,0.03,1,55008.192092,0.045072,49.788598,0.000284,15.591,4005,291.1601,37.7611
2444187, ,0.76,1,54964.814979,0.021043,0.390159,3E-07,14.138,6162,291.6323,37.738
2444348, ,-1,1,54992.47412,,103.206989,0.000765,10.316,4546,291.6687,37.7041
2445134,5983,0.16,1,54972.647749,0.035101,8.412009,2.28E-05,13.551,5999,291.8497,37.7386
2445975,53,0.14,1,54967.981114,0.018139,3.388882,6.2E-06,13.513,,292.0309,37.7735
2446623,3674,0,1,55012.043234,0.028559,175.06572,0.00158,15.62,5790,292.1653,37.7941
2447893, ,0.58,1,54965.113742,0.014914,0.66162,6E-07,14.49,5059,292.424,37.7945
2448320, ,0.93,1,55002.065503,0.015835,0.274108,2E-07,15.858,5160,292.5191,37.716
2449084, ,0.7,1,55000.319865,0.042648,0.739757,1.23E-05,15.018,6177,292.6956,37.772
2449090,3702,0.24,1,55001.811037,0.028135,4.944,3.15E-05,16.237,,292.6963,37.7072
2450566, ,0.98,1,55001.553286,0.099698,1.844587,2.5E-06,11.72,6380,293.0363,37.7627
2452440,3687,0.18,1,55003.811045,0.040182,8.097045,6.39E-05,16.474,5519,293.4469,37.7212
2453212, ,0.98,1,55002.014475,0.024682,0.436716,4E-07,15.946,6288,293.6166,37.7898
2556127, ,0.6,1,54953.710274,0.011073,0.418871,3E-07,12.895,5920,286.4202,37.8058
2557430, ,0.51,1,54954.461036,0.017907,1.297736,1.5E-06,11.471,6248,286.8453,37.8159
2558370,3855,0.57,1,55000.092666,0.013422,0.546248,1.3E-06,18.55,,287.136,37.8383
2569494,3704,0.58,1,55000.349187,0.060781,1.523324,1.02E-05,17.38,5114,290.1788,37.849
2570289, ,0.9,1,54964.579321,0.017007,0.279028,2E-07,15.33,5966,290.2613,37.8135
2571439, ,0.93,1,54964.701572,0.018242,0.320979,2E-07,14.696,5046,290.4693,37.8552
2576107,3709,0,1,54862.171422,0.038232,205.583017,0.00192,15.247,6118,291.5231,37.8876
2576692, ,0.04,1,55027.106692,0.076217,87.878533,0.000638,12.744,5573,291.643,37.8143
2577756, ,0.63,1,54964.662821,0.033717,0.870333,9E-07,15.514,5630,291.862,37.8299
2580872, ,0.12,1,54978.551299,0.044913,15.926628,5.71E-05,14.88,5293,292.5286,37.81
2693092, ,0.05,1,54961.298937,0.055086,39.841524,0.000211,12.003,5819,285.9048,37.9281
2694741, ,0.93,1,54953.773721,0.019405,0.326647,2E-07,12.297,5302,286.4123,37.9082
2695740, ,0.85,1,54956.4182,0.208455,3.615875,6.7E-06,13.24,4881,286.7307,37.9443
2696703,3161,0.06,1,54997.116516,0.050387,6.094094,1.42E-05,9.58,,287.0574,37.9914
2697935,3853,-1,1,55008.46944,,21.513359,0.000103,10.63,4883,287.4679,37.9666
2708156, ,0.57,1,54954.335595,0.046299,1.891272,2.6E-06,10.672,11061,290.2871,37.9365
2708614, ,0.03,1,55032.893022,0.050855,52.88589,0.00505,15.694,6252,290.4016,37.942
2711114, ,0.29,1,54967.174931,0.016196,2.85888,4.8E-06,12.335,6281,291.0142,37.9697
2715007, ,0.87,1,54964.782119,0.018796,0.29711,2E-07,14.73,5598,291.8773,37.9508
2715417, ,0.77,1,54964.666158,0.013583,0.23644,1E-07,14.07,5189,291.969,37.9278
2717141, ,0.78,1,54953.756174,0.022583,0.394572,3E-07,13.519,6140,292.3262,37.9615
2719436, ,0.67,1,54999.71536,0.032161,0.74348,7.8E-06,14.015,7041,292.8332,37.9371
2719873,6096,0.07,1,54968.273349,0.032901,17.27929,6.39E-05,15.16,5086,292.9306,37.9644
2720096, ,-1,1,55003.029283,,26.67468,0.000133,13.047,4832,292.9791,37.9109
2720354, ,0.46,1,54956.215382,0.035955,2.821328,4.7E-06,13.116,6513,293.0361,37.9547
2831632, ,0.92,1,54954.72996,0.14952,2.573172,4.1E-06,13.198,7045,285.6901,38.0761
2835289, ,0.92,1,55000.442959,0.052267,0.857762,8E-07,13.009,6228,286.8593,38.0275
2851100,1104,0.46,1,54965.364973,0.046455,0.890108,9E-07,15.723,4600,291.1707,38.0086
2851474, ,0.95,1,54965.52665,0.157163,2.768293,4.6E-06,12.624,8354,291.2491,38.0427
2852560, ,0.09,1,54964.912445,0.028009,11.961308,3.76E-05,15.308,5381,291.466,38.005
2854432, ,0.93,1,54964.880329,0.019925,0.322326,2E-07,14.922,5103,291.8666,38.0855
2854752, ,0.79,1,54964.893006,0.031989,0.470433,3E-07,13.99,7073,291.9357,38.0063
2854948,3786,0.5,1,55002.410212,0.01387,0.974304,1.3E-06,15.783,5466,291.9842,38.0884
2856960, ,0.64,2,54964.658506,0.00731,0.258507,1E-07,15.615,4733,292.3813,38.0767
2856960, ,0.04,2,54997.652563,0.369952,204.255879,0.00192,15.615,4733,292.3813,38.0767
2858322, ,0.77,1,54964.659801,0.071035,0.4364,3E-07,14.751,5605,292.6746,38.0648
2860594, ,0.52,1,54960.317741,0.08505,5.499945,1.22E-05,13.37,6684,293.165,38.0691
2860788, ,0.37,1,54965.066911,0.041162,5.259742,1.16E-05,14.043,5319,293.2073,38.009
2970804,3993,0.61,1,54964.658323,0.102079,0.686992,6E-07,9.16,,286.107,38.1076
2972514, ,0.74,1,54999.881938,0.02577,0.503485,7.1E-06,14.031,6346,286.6858,38.1703
2973509, ,0.24,1,54958.918282,0.037474,6.627611,1.61E-05,13.558,6058,287.0257,38.171
2983113, ,0.89,1,55001.96964,0.024093,0.39516,3E-07,15.152,6321,289.863,38.1524
2987433,4959,0,1,55029.680109,0.106658,420.93,0.00505,13.858,6205,290.939,38.1196
2988984, ,0.82,1,54999.991556,0.041446,0.71302,3.3E-06,15.316,7160,291.288,38.172
2996347, ,0.9,1,55002.146322,0.018906,0.301011,2E-07,15.448,5445,292.8854,38.1937
2997455,6098,0.45,1,54964.788647,0.013905,1.12985,1.3E-06,13.8,4795,293.1304,38.1278
2998124, ,0.08,1,54957.385528,0.056015,28.597884,0.000129,13.119,6374,293.2664,38.1261
3003991,6099,0.13,1,54964.859085,0.023069,7.244779,1.84E-05,13.926,5366,294.49,38.1996
3097352,3648,0.3,1,54999.654921,0.029231,4.02984,2.36E-05,16.936,5760,285.687,38.2612
3098194, ,0.1,1,54969.971978,0.060392,30.476531,0.000145,13.901,5328,286.0031,38.2857
3102000,3373,0.03,1,54997.25562,0.054576,57.060009,0.000349,15.936,5718,287.3495,38.286
3102024, ,0.15,1,54958.697369,0.050322,13.782521,4.6E-05,12.809,5117,287.3561,38.2122
3104113, ,0.85,1,54965.284916,0.050595,0.846786,8E-07,13.447,5910,288.0397,38.2941
3113266,1088,0.39,1,54964.847534,0.008549,0.995861,1E-06,15.577,5077,290.6394,38.2846
3114667,3763,0.52,1,54999.753222,0.014018,0.888583,2.7E-06,17.375,,290.9972,38.2826
3115480, ,0.28,1,54968.194275,0.02159,3.693703,7E-06,14.469,5961,291.1932,38.2447
3119295, ,0.75,1,55000.054095,0.024182,0.439698,5.8E-06,14.268,7236,292.0597,38.2669
3120320,2126,0.14,1,54959.222315,0.034945,10.265613,3E-05,10.885,5676,292.292,38.2845
3122985,1949,0.47,1,54965.600017,0.013701,0.993488,1E-06,14.701,5592,292.9189,38.2067
3124420,3918,0.6,1,55000.571511,0.025091,0.948951,2.9E-06,18.241,,293.2454,38.2722
3127817, ,0.48,1,54955.117734,0.046655,4.327139,8.7E-06,12.155,6504,293.9997,38.2323
3127873, ,0.91,1,54964.982325,0.041188,0.671526,6E-07,15.153,6069,294.0107,38.2636
3128793,1786,0.23,1,54970.770924,0.122631,24.679381,0.000105,14.633,4371,294.207,38.2235
3218683, ,0.69,1,54965.118326,0.028861,0.77167,7E-07,15.998,5119,286.4006,38.3762
3221207, ,0.81,1,54953.960358,0.028449,0.47383,3E-07,11.975,6414,287.3409,38.3257
3222471, ,0,1,55369.55141,0.097825,618.42,0.00735,14.491,4903,287.7878,38.3104
3228824,1100,0.64,1,54970.345617,0.028785,0.730942,8E-07,15.736,4606,289.7648,38.3524
3228863, ,0.65,1,54954.262345,0.028985,0.730944,7E-07,11.816,6561,289.7748,38.3668
3230227, ,-1,1,54958.702238,,7.047106,1.75E-05,9.002,7972,290.1126,38.3999
3230578,381,0.26,1,54958.828915,0.011983,6.33761,1.5E-05,13.406,,290.2036,38.3749
3230787,6101,0.09,1,54959.183688,0.044793,17.734052,6.62E-05,12.553,5669,290.2548,38.3417
3231120,3643,0.25,1,55001.478119,0.024579,3.90009,2.24E-05,16.597,5555,290.3444,38.3771
3232823, ,0.94,1,54964.862867,0.024275,0.423907,3E-07,15.142,6172,290.8528,38.3266
3240159,3515,0,1,55029.12141,0.038712,82.137655,0.00059,12.261,6128,292.7132,38.3697
3240706,1098,0.21,1,54970.003288,0.020455,5.489865,1.24E-05,15.03,5760,292.8561,38.3726
3240976, ,-1,1,55002.377433,,15.238869,5.37E-05,14.502,6124,292.9291,38.328
3241344,5984,0.24,1,54966.428168,0.023524,3.912678,7.6E-06,14.756,5422,293.0165,38.3185
3241619, ,0.44,1,54955.247951,0.019477,1.703344,2.2E-06,12.524,5165,293.0949,38.3613
3245776, ,0.96,1,55001.643004,0.078571,1.492059,1.9E-06,14.377,5839,294.074,38.3191
3247294, ,0.02,1,54966.433454,0.046596,67.418828,0.000441,13.924,5811,294.4399,38.3808
3248019,1759,0.37,1,55098.773,0.019924,2.668222,5E-06,15.387,6075,294.5968,38.3701
3248332, ,0.2,1,54956.97501,0.036772,7.363607,1.87E-05,13.102,6578,294.6647,38.333
3323289, ,0.05,1,54991.866206,0.043305,33.693201,0.000164,14.898,5229,285.3366,38.4505
3327980, ,0.44,1,54967.106634,0.042965,4.231022,8.5E-06,12.119,7321,287.1761,38.4335
3335816, ,0.16,1,54954.355631,0.022997,7.422006,1.88E-05,12.084,6079,289.6983,38.4066
3338660,3795,0.6,1,55002.252623,0.056241,1.87338,5.7E-06,14.807,5722,290.4742,38.4274
3339538, ,0.05,1,54958.816851,0.019182,14.658014,4.99E-05,13.391,4955,290.7394,38.4141
3339563, ,0.72,1,54965.37686,0.120256,0.841232,8E-07,14.176,5367,290.746,38.4431
3340313,3677,0.05,1,55006.985602,0.191221,30.5537,0.000415,16.245,6208,290.964,38.4695
3341934, ,0.07,1,54970.768578,0.036673,18.839497,7.23E-05,15.291,5992,291.3862,38.4915
3342425, ,0.94,1,54964.942901,0.024483,0.393415,3E-07,15.089,6035,291.5162,38.4545
3342592,402,0.13,1,54969.191539,0.061224,17.177326,6.39E-05,14.923,5717,291.5563,38.4463
3344427,3764,0.57,1,55000.00311,0.013749,0.651785,1.7E-06,15.832,4676,292.0024,38.4352
3345675,1772,0,1,55083.146716,0.022688,120.00401,0.000945,15.635,4105,292.3007,38.4021
3347485,5985,0.28,1,54955.024047,0.045785,7.544841,1.94E-05,12.92,5659,292.7797,38.4486
3348093,3590,0.12,1,55000.364628,0.018,7.96442,6.29E-05,16.2,4295,292.9253,38.481
3351945, ,0.5,1,54965.3297,0.019091,1.080538,1.2E-06,14.734,4744,293.8845,38.4457
3352751, ,0.5,1,54954.597119,0.042074,3.495455,6.4E-06,13.444,7909,294.0719,38.4269
3353233, ,0.75,1,55002.057634,0.016595,0.315778,2E-07,15.958,4586,294.1923,38.4395
3354616, ,0.76,1,55000.188881,0.014963,0.276983,2E-07,15.926,5093,294.5276,38.424
3427776, ,0.17,1,54967.239974,0.014678,4.016682,7.9E-06,15.371,5292,286.4526,38.5383
3428468,3582,0,1,55032.449947,0.047005,114.90868,0.000945,15.927,4279,286.7234,38.5957
3431321, ,0.79,1,54954.417815,0.065919,1.015049,1.1E-06,11.197,9589,287.7745,38.504
3433668,3415,0.12,1,54991.740114,0.078628,15.021798,5.21E-05,13.109,5440,288.5491,38.5652
3437778, ,0.68,1,55002.015043,0.032359,0.635582,1.2E-06,15.704,6929,289.7997,38.5609
3437800, ,0.97,1,54964.746426,0.020464,0.362679,2E-07,13.871,6185,289.8042,38.5608
3438975,300,0.46,1,55004.632617,0.039852,2.976096,5E-06,12.302,5694,290.1202,38.5095
3439031,4980,0.33,1,54954.068169,0.0383,5.952026,1.37E-05,11.287,6337,290.1327,38.5137
3439180, ,0.76,1,55002.039112,0.016434,0.325065,3E-07,14.366,5597,290.169,38.5392
3440230, ,0.54,1,54967.238413,0.055493,2.881101,4.9E-06,13.636,7869,290.4713,38.5286
3441784,976,0.03,1,54965.403536,0.042882,52.568726,0.000313,9.729,,290.9444,38.5389
3442054,3593,0.02,1,54980.206233,0.094879,117.681382,0.000945,12.112,6206,291.0188,38.5699
3443519, ,0.89,1,54953.826091,0.019651,0.353627,2E-07,11.481,5929,291.407,38.5679
3443790,1185,0.34,1,54955.20197,0.01302,1.665784,2.2E-06,11.84,6024,291.4763,38.5006
3448245, ,0.69,1,54953.953327,0.027074,0.51349,4E-07,11.864,6573,292.6186,38.5249
3449540,4982,0.4,1,54965.493715,0.028963,3.212006,5.7E-06,14.194,6216,292.937,38.5931
3454864, ,0.69,1,54964.780262,0.013257,0.29412,2E-07,13.731,5791,294.2217,38.5311
3458919, ,0.54,1,54964.815308,0.014423,0.892061,9E-07,13.815,5063,295.1403,38.5975
3459199,3725,0.33,1,54999.890746,0.02034,3.141034,5.4E-06,10.055,4907,295.2029,38.5196
3530668,5986,0.48,1,55004.235182,0.02795,1.9462,2.9E-06,13.993,,287.0397,38.6403
3534118,3641,0,1,55051.226914,0.020554,178.413557,0.00158,13.944,5684,288.3278,38.6276
3542573, ,0.25,1,54959.807593,0.031661,6.942796,1.72E-05,12.161,5741,290.8592,38.6338
3543270, ,0.33,1,54966.195961,0.030949,4.176929,8.3E-06,15.22,5288,291.0576,38.6453
3544694,3629,0.29,1,5500.426884,0.023668,3.8457,2.21E-05,15.925,6172,291.4463,38.6398
3545476, ,0.88,1,54964.739951,0.01856,0.317689,2E-07,14.821,5319,291.6633,38.644
3547091,1177,0.22,1,55096.322121,0.015722,3.305578,6.2E-06,15.537,5360,292.0785,38.6315
3547111, ,0.96,1,55000.126516,0.064491,1.207836,2.49E-05,14.398,6401,292.0839,38.675
3547315,3736,0.48,1,54999.59663,0.013851,1.2847,3.3E-06,16.639,5235,292.1373,38.6024
3547874, ,-1,1,54999.266982,,19.692172,7.65E-05,10.952,6371,292.2829,38.6657
3549994, ,0.74,1,55000.000868,0.017768,0.347182,5E-07,16.102,5544,292.8239,38.6227
3556229,3899,0.61,1,55000.33747,0.026273,0.79672,2.8E-06,17.656,,294.3519,38.6047
3557421, ,0.7,1,54953.706725,0.017995,0.393728,3E-07,10.027,,294.6349,38.6269
3558822, ,0.71,1,54953.844462,0.069759,1.353421,1.6E-06,12.252,6188,294.9443,38.6301
3558981,52,0.24,1,54965.154915,0.018298,2.987859,1.28E-05,13.109,,294.9774,38.6784
3560212, ,0.74,1,55000.205217,0.01705,0.346064,2E-07,15.525,5233,295.247,38.6481
3633901, ,0.84,1,54999.655075,0.049277,0.807387,3.85E-05,14.944,7184,287.9176,38.7873
3641446, ,0.95,1,55000.215748,0.118014,2.100014,3E-06,8.369,,290.2465,38.7899
3644542,3511,0.06,1,55009.10559,0.202592,119.679795,0.000945,8.351,8075,291.1706,38.7652
3654950,1766,0.26,1,55003.927327,0.036104,8.134725,2.26E-05,15.858,5233,293.8329,38.7363
3655326, ,0.11,1,54973.654266,0.039133,15.066503,5.29E-05,14.213,6122,293.9253,38.739
3656322, ,0.56,1,54956.379473,0.049192,3.663604,1.68E-05,13.061,5075,294.1603,38.7674
3659940, ,0.55,1,54965.564596,0.01262,0.89627,9E-07,15.261,5344,295.0046,38.7755
3662635, ,0.57,1,54965.012755,0.020073,0.939376,1E-06,14.904,5589,295.5693,38.7261
3729724, ,-1,1,54999.176469,,16.418755,5.89E-05,12.093,,285.6555,38.8505
3730067, ,0.62,1,54964.887243,0.00979,0.294079,2E-07,14.61,4099,285.8078,38.8948
3732732, ,0.94,1,54953.918666,0.024091,0.396187,3E-07,13.462,5946,286.8804,38.893
3734660, ,-1,1,55004.352911,,19.942137,7.8E-05,12.935,6030,287.6238,38.8554
3734868,805,0.23,1,54966.268921,0.060487,10.328036,3.19E-05,15.646,5415,287.6967,38.8865
3735597, ,0.67,1,54954.425217,0.077638,1.966356,2.8E-06,12.24,6556,287.9744,38.8424
3735629,3544,0.13,1,54999.322469,0.147492,9.328346,5.71E-05,16.144,4877,287.988,38.8918
3743834, ,0.76,1,54964.543136,0.016525,0.273615,2E-07,14.076,4889,290.5462,38.8726
3745184, ,0.67,1,54964.732045,0.013602,0.304233,2E-07,15.031,4607,290.9542,38.8742
