kepid,plnt num,kname,dispos,GB,RF,LR,DT
11709124,2,-,-,0.988,0.99,0.867,0.938
10616571,3,-,-,0.982,1,0.731,0.724
7975727,2,-,-,0.979,1,0.804,0.852
10794087,1,K01316.01,CAND,0.977,0.99,0.914,0.899
5370302,2,-,-,0.976,1,0.866,0.908
9288786,2,-,-,0.975,0.98,0.819,0.896
2581316,2,K03681.02,CAND,0.975,1,0.942,0.932
4840513,2,-,-,0.975,0.98,0.512,0.946
8176650,2,-,-,0.974,1,0.905,0.874
9411166,2,-,-,0.973,0.99,0.921,0.684
8180020,2,-,-,0.971,1,0.927,0.925
12115188,2,-,-,0.97,0.97,0.633,0.792
9071386,2,-,-,0.97,0.971,0.956,0.942
8552719,2,K01792.02,FP,0.969,1,0.949,0.888
9934208,2,-,-,0.966,0.8,0.69,0.876
3970233,2,-,-,0.964,1,0.935,0.972
9838975,2,-,-,0.962,1,0.927,0.879
7037540,2,-,-,0.962,1,0.956,0.889
5872150,3,-,-,0.96,1,0.764,0.777
12504988,2,-,-,0.954,1,0.905,0.921
9446824,2,-,-,0.953,1,0.908,0.913
5035972,2,-,-,0.95,0.98,0.866,0.561
