kepid,plnt num,kname,dispos,GB,RF
11709124,2,-,-,0.988,0.99
10616571,3,-,-,0.982,1.0
7975727,2,-,-,0.979,1.0
10794087,1,K01316.01,CAND,0.977,0.99
5370302,2,-,-,0.976,1.0
9288786,2,-,-,0.975,0.98
2581316,2,K03681.02,CAND,0.975,1.0
4840513,2,-,-,0.975,0.98
8176650,2,-,-,0.974,1.0
9411166,2,-,-,0.973,0.99
8180020,2,-,-,0.971,1.0
12115188,2,-,-,0.97,0.97
9071386,2,-,-,0.97,0.971
8552719,2,K01792.02,FP,0.969,1.0
9934208,2,-,-,0.966,0.8
3970233,2,-,-,0.964,1.0
9838975,2,-,-,0.962,1.0
7037540,2,-,-,0.962,1.0
5872150,3,-,-,0.96,1.0
12504988,2,-,-,0.954,1.0
9446824,2,-,-,0.953,1.0
5035972,2,-,-,0.95,0.98
