kepid,tce_plnt_num,kepoi_name,koi_disposition,GB
11709124,2,,,0.992
2581316,2,K03681.02,CANDIDATE,0.984
5370302,2,,,0.98
10794087,1,K01316.01,CANDIDATE,0.98
3970233,2,,,0.979
9838975,2,,,0.978
9071386,2,,,0.977
7037540,2,,,0.977
6762829,2,,,0.974
12115188,2,,,0.974
9411166,2,,,0.973
8552719,2,K01792.02,FALSE POSITIVE,0.972
8176650,2,,,0.972
5872150,3,,,0.971
7584650,1,K02631.01,CANDIDATE,0.969
5376836,2,,,0.967
4814502,1,K04004.01,CANDIDATE,0.964
7975727,2,,,0.964
12504988,2,,,0.961
9934208,2,,,0.961
9446824,2,,,0.96
9288786,2,,,0.959
8180020,2,,,0.954
4840513,2,,,0.953
3323887,3,,,0.953
3342592,2,,,0.949
3734868,2,,,0.949
5270698,2,,,0.947
5372966,2,,,0.946
10091110,3,,,0.943
7023960,2,,,0.936
8953059,2,,,0.935
4851464,2,,,0.934
1571511,2,,,0.933
6698670,2,,,0.933
10616571,3,,,0.928
6666233,2,,,0.927
9995771,1,K03470.01,CANDIDATE,0.925
10485250,2,,,0.922
10904857,2,,,0.92
11601584,4,K01831.04,CANDIDATE,0.914
3102000,2,,,0.91
3231341,5,,,0.903
5035972,2,,,0.898
9649222,2,,,0.893
5786676,1,K00650.01,CANDIDATE,0.892
6428794,1,K04054.01,CANDIDATE,0.891
5780885,2,,,0.889
11189127,2,,,0.881
6432345,1,K02757.01,CANDIDATE,0.874
5095635,1,K02607.01,CANDIDATE,0.873
3323887,2,,,0.873
5356593,2,,,0.869
9886224,2,,,0.868
11126381,1,K01863.01,CANDIDATE,0.867
11030475,2,,,0.863
6041734,2,,,0.862
11192235,1,K02329.01,CANDIDATE,0.859
7362696,2,,,0.851
9632895,2,,,0.848
8892910,2,,,0.846
10287248,2,,,0.845
10016874,1,K00426.01,CANDIDATE,0.845
5966810,1,K03909.01,CANDIDATE,0.842
6603756,2,,,0.83
5775129,1,K02802.01,CANDIDATE,0.828
5980783,1,K02967.01,CANDIDATE,0.826
11408935,2,,,0.825
5031857,2,K01573.02,CANDIDATE,0.825
9149789,2,,,0.823
12644769,3,,,0.82
9346253,2,,,0.82
6750902,2,,,0.819
5360082,2,,,0.815
8460600,2,,,0.815
2718778,1,K02489.01,CANDIDATE,0.811
11285136,2,,,0.81
4242147,1,K01934.01,CANDIDATE,0.805
5978559,1,K02321.01,CANDIDATE,0.804
12644769,2,,,0.803
7605600,2,,,0.802
11404644,2,,,0.8
9836959,1,K01715.01,CANDIDATE,0.799
10710755,2,,,0.799
12009347,2,,,0.798
5534941,1,K02332.01,CANDIDATE,0.787
8230809,2,,,0.785
7972785,2,,,0.778
11517719,2,,,0.774
11968463,3,K02433.03,CANDIDATE,0.771
10005758,2,K01783.02,CANDIDATE,0.77
8823868,2,,,0.769
8043714,2,,,0.766
5124667,1,K01822.01,CANDIDATE,0.765
9528420,2,,,0.765
7449554,1,K02357.01,CANDIDATE,0.764
2574338,1,K01030.01,CANDIDATE,0.755
8458207,2,,,0.752
11465950,1,K02620.01,CANDIDATE,0.751
9714123,2,,,0.749
3323887,4,,,0.736
8651389,1,K01754.01,CANDIDATE,0.732
1026957,1,K00958.01,CANDIDATE,0.731
4650733,1,K01659.01,CANDIDATE,0.728
6614926,2,,,0.724
7269881,2,,,0.721
5728283,2,,,0.721
10186945,2,,,0.719
12170648,2,,,0.717
8074805,2,,,0.715
9705459,2,,,0.712
6149910,1,K02469.01,CANDIDATE,0.702
8263545,1,K02822.01,CANDIDATE,0.698
3097926,1,K02186.01,CANDIDATE,0.695
10418797,2,,,0.692
4862625,2,,,0.692
2449431,1,K02009.01,CANDIDATE,0.685
12207117,2,,,0.683
9474222,2,,,0.68
3757778,2,,,0.675
5774557,2,,,0.666
3218908,4,,,0.655
6762829,5,,,0.65
5551672,1,K03119.01,CANDIDATE,0.635
8686150,2,,,0.629
6187341,2,,,0.625
5092266,1,K03045.01,CANDIDATE,0.621
10464078,2,,,0.62
6185476,3,,,0.618
6593150,1,K03037.01,CANDIDATE,0.61
7375348,2,K00266.02,CANDIDATE,0.601
12302530,3,,,0.594
9098590,2,,,0.59
11512820,1,,,0.586
3112129,2,,,0.585
8655354,2,,,0.583
5773121,1,K04002.01,CANDIDATE,0.582
6504534,3,,,0.579
2438502,2,,,0.572
11909839,2,,,0.572
4665571,2,K02393.02,CANDIDATE,0.571
10583180,2,,,0.564
3831053,1,K00388.01,CANDIDATE,0.557
9697131,1,K02706.01,CANDIDATE,0.554
9008737,1,,,0.543
8753896,2,,,0.537
3834322,2,,,0.521
9642018,2,,,0.519
5042210,1,K02462.01,CANDIDATE,0.517
6784155,3,,,0.514
9491205,3,,,0.509
7270230,2,,,0.508
6922690,2,,,0.506
6805146,2,,,0.502
6756669,2,,,0.502
3097352,2,,,0.497
10419211,2,,,0.487
3851949,2,,,0.486
10514430,4,,,0.483
12367464,2,,,0.476
8580438,2,,,0.474
5983348,2,,,0.462
8416523,2,,,0.458
8242681,2,,,0.446
7186665,2,,,0.409
10514770,2,,,0.401
