kepid,plnt num,kname,dispos,GB_vif,RF_vif,LR,DT,eb,_merge
9071386,2,-,-,1.0,0.843,0.956,0.942,No,both
8552719,2,K01792.02,FP,1.0,0.98,0.949,0.888,No,both
2581316,2,K03681.02,CAND,1.0,0.952,0.942,0.932,No,left_only
9838975,2,-,-,1.0,0.99,0.927,0.879,No,both
10794087,1,K01316.01,CAND,1.0,0.959,0.914,0.899,No,left_only
8176650,2,-,-,1.0,0.971,0.905,0.874,No,left_only
12504988,2,-,-,1.0,0.969,0.905,0.921,No,both
11709124,2,-,-,1.0,0.918,0.867,0.938,No,left_only
5370302,2,-,-,1.0,0.971,0.866,0.908,No,both
9632895,2,-,-,1.0,0.462,0.856,0.742,No,both
5534941,1,K02332.01,CAND,1.0,0.929,0.83,0.969,No,left_only
9288786,2,-,-,1.0,0.909,0.819,0.896,No,both
7584650,1,K02631.01,CAND,1.0,0.96,0.805,0.885,No,left_only
3734868,2,-,-,1.0,0.99,0.778,0.643,No,both
10616571,3,-,-,1.0,0.96,0.731,0.724,No,both
6666233,2,-,-,1.0,0.846,0.727,0.837,No,left_only
9934208,2,-,-,1.0,0.853,0.69,0.876,No,both
4862625,2,-,-,1.0,0.429,0.685,-,No,both
10418797,2,-,-,1.0,0.922,0.677,0.713,No,both
4814502,1,K04004.01,CAND,1.0,0.969,0.653,0.869,No,left_only
9995771,1,K03470.01,CAND,1.0,0.957,0.636,0.821,No,left_only
12115188,2,-,-,1.0,0.462,0.633,0.792,No,left_only
10464078,2,-,-,1.0,0.871,0.63,0.551,No,both
4840513,2,-,-,1.0,0.922,0.512,0.946,No,left_only
6603756,2,-,-,1.0,-,-,-,No,both
7037540,2,-,-,0.999,0.98,0.956,0.889,No,both
3970233,2,-,-,0.999,0.97,0.935,0.972,No,both
8180020,2,-,-,0.999,0.979,0.927,0.925,No,both
9446824,2,-,-,0.999,0.979,0.908,0.913,No,both
6762829,2,-,-,0.999,0.96,0.892,0.839,No,both
4851464,2,-,-,0.999,0.929,0.883,0.923,No,both
5786676,1,K00650.01,CAND,0.999,0.949,0.858,0.811,No,left_only
3102000,2,-,-,0.999,0.898,0.822,0.913,No,both
5376836,2,-,-,0.999,0.98,0.819,0.869,No,both
11030475,2,-,-,0.999,0.907,0.816,0.736,No,left_only
7975727,2,-,-,0.999,0.96,0.804,0.852,No,both
10091110,3,-,-,0.999,0.947,0.778,0.742,No,both
10091110,3,-,-,0.999,0.947,0.778,0.742,No,both
10091110,3,-,-,0.999,0.947,0.778,0.742,No,both
11126381,1,K01863.01,CAND,0.999,0.933,0.776,0.889,No,left_only
8074805,2,-,-,0.999,0.791,0.674,0.633,No,both
1571511,2,-,-,0.999,0.979,0.614,0.666,No,both
6428794,1,K04054.01,CAND,0.999,0.914,0.607,0.847,No,left_only
3323887,3,-,-,0.999,-,0.598,0.42,No,left_only
11601584,4,K01831.04,CAND,0.999,0.448,0.529,-,No,both
11601584,4,K01831.04,CAND,0.999,0.448,0.529,-,No,both
12009347,2,-,-,0.999,0.86,0.506,0.738,No,left_only
6432345,1,K02757.01,CAND,0.999,0.943,0.486,0.705,No,left_only
7972785,2,-,-,0.999,0.969,-,-,No,both
8953059,2,-,-,0.999,0.879,-,0.922,No,both
5270698,2,-,-,0.999,-,-,0.578,No,left_only
3342592,2,-,-,0.998,0.949,0.904,0.935,No,both
8892910,2,-,-,0.998,0.978,0.809,0.591,No,both
2718778,1,K02489.01,CAND,0.998,0.857,0.596,-,No,left_only
9474222,2,-,-,0.998,-,-,0.524,No,both
6698670,2,-,-,0.997,0.849,0.826,0.84,No,both
11968463,3,K02433.03,CAND,0.997,-,0.653,-,No,left_only
7605600,2,-,-,0.997,-,-,0.629,No,both
7023960,2,-,-,0.996,0.957,0.798,0.859,No,both
6756669,2,-,-,0.996,0.924,-,-,No,both
10287248,2,-,-,0.995,0.84,0.795,0.892,No,both
9346253,2,-,-,0.995,0.83,0.653,0.828,No,both
5095635,1,K02607.01,CAND,0.995,0.823,0.483,0.529,No,left_only
9528420,2,-,-,0.995,0.657,-,0.721,No,both
8416523,2,-,-,0.995,-,-,-,No,left_only
5774557,2,-,-,0.995,-,-,-,No,left_only
10904857,2,-,-,0.994,0.96,0.845,0.879,No,both
