kepid,plnt num,kname,dispos,GB_vif,RF_vif,LR,DT
8456679,2,K00102.02,FP,-,-,0.972,0.951
8480285,1,K00691.01,CAND,-,0.503,0.971,0.948
8804455,2,K02159.02,FP,-,-,0.963,0.986
10788461,1,K03925.01,CAND,-,-,0.959,0.571
8644365,1,K03384.01,CAND,-,-,0.948,0.943
8804845,1,K02039.01,CAND,-,-,0.945,0.919
3831053,1,K00388.01,CAND,-,0.642,0.944,0.966
12505076,1,K02154.01,CAND,-,-,0.944,0.971
4149450,1,K01864.01,CAND,-,-,0.943,0.992
2581316,2,K03681.02,CAND,1.0,0.952,0.942,0.932
5709725,2,K00555.02,CAND,-,0.516,0.937,0.919
5374854,2,K00645.02,CAND,-,-,0.93,0.94
3247268,2,K01089.02,CAND,-,-,0.927,0.886
11098013,1,K02712.01,CAND,-,-,0.924,0.939
9411166,2,-,-,0.974,0.979,0.921,0.684
3641726,1,K00804.01,CAND,-,-,0.917,0.847
