kepid,plnt num,kname,dispos,GB_vif,RF_vif,LR,DT
8456679,2,K00102.02,FP,-,-,0.972,0.951
8480285,1,K00691.01,CAND,-,0.503,0.971,0.948
8804455,2,K02159.02,FP,-,-,0.963,0.986
10788461,1,K03925.01,CAND,-,-,0.959,0.571
8644365,1,K03384.01,CAND,-,-,0.948,0.943
8804845,1,K02039.01,CAND,-,-,0.945,0.919
3831053,1,K00388.01,CAND,-,0.642,0.944,0.966
12505076,1,K02154.01,CAND,-,-,0.944,0.971
4149450,1,K01864.01,CAND,-,-,0.943,0.992
2581316,2,K03681.02,CAND,1.0,0.952,0.942,0.932
5709725,2,K00555.02,CAND,-,0.516,0.937,0.919
5374854,2,K00645.02,CAND,-,-,0.93,0.94
3247268,2,K01089.02,CAND,-,-,0.927,0.886
11098013,1,K02712.01,CAND,-,-,0.924,0.939
9411166,2,-,-,0.974,0.979,0.921,0.684
3641726,1,K00804.01,CAND,-,-,0.917,0.847
7938496,1,K00900.01,CAND,-,-,0.916,0.853
6364215,2,K02404.02,FP,-,-,0.915,0.82
5972334,2,K00191.02,CAND,-,-,0.915,0.933
10794087,1,K01316.01,CAND,1.0,0.959,0.914,0.899
8934495,1,K00524.01,CAND,-,-,0.91,0.689
11566064,2,K00353.02,CAND,-,-,0.909,0.809
11030475,1,K02248.01,CAND,-,-,0.907,0.875
8176650,2,-,-,1.0,0.971,0.905,0.874
9605514,1,K00945.01,CAND,-,-,0.905,0.893
9605514,2,K00945.02,CAND,-,-,0.903,0.85
5531953,1,K01681.01,CAND,-,-,0.903,0.844
5972334,3,K00191.03,CAND,-,-,0.9,0.935
3642741,1,K00242.01,FP,-,-,0.899,0.852
10867062,1,K01303.01,CAND,-,-,0.896,0.901
5794570,2,K02675.02,CAND,-,-,0.896,0.764
9823487,1,K01489.01,CAND,-,-,0.894,0.882
9266431,1,K00704.01,CAND,-,-,0.89,0.9
5770074,1,K01928.01,CAND,-,-,0.887,0.719
11071200,2,K02696.02,CAND,-,-,0.887,0.858
2853780,1,K02081.01,CAND,-,-,0.885,0.943
5792202,3,K00841.03,CAND,-,-,0.884,0.832
9150827,1,K01408.01,CAND,-,0.505,0.883,0.865
8613535,1,K02263.01,CAND,-,-,0.88,0.907
5031857,2,K01573.02,CAND,-,0.967,0.879,0.584
5374838,1,K05155.01,CAND,-,-,0.877,0.66
5342473,1,K02297.01,CAND,-,-,0.875,0.818
8073806,1,K02411.01,CAND,-,-,0.873,0.899
5211199,1,K02158.01,CAND,-,-,0.873,0.92
11297236,1,K01857.01,CAND,-,-,0.872,0.686
5031857,1,K01573.01,CAND,-,-,0.871,0.676
