kepid,plnt num,kname,dispos,GB_vif_cap2,LR
11709124,2,-,-,1.0,0.867
4862625,2,-,-,1.0,0.685
10464078,2,-,-,1.0,0.63
5003117,2,-,-,1.0,-
5035972,2,-,-,1.0,0.866
4814502,1,K04004.01,CAND,1.0,0.653
3970233,2,-,-,1.0,0.935
5786676,1,K00650.01,CAND,1.0,0.858
11408935,2,-,-,1.0,0.843
5780885,2,-,-,1.0,0.787
9446824,2,-,-,1.0,0.908
3097926,1,K02186.01,CAND,1.0,0.837
12009347,2,-,-,1.0,0.506
5270698,2,-,-,1.0,-
9649222,2,-,-,1.0,0.81
10616571,3,-,-,1.0,0.731
12017140,2,-,-,1.0,-
6698670,2,-,-,1.0,0.826
6185476,3,-,-,1.0,-
8605074,2,-,-,1.0,-
3342592,2,-,-,1.0,0.904
9886224,2,-,-,1.0,-
6041734,2,-,-,1.0,-
3102000,2,-,-,1.0,0.822
10418797,2,-,-,1.0,0.677
3323887,2,-,-,1.0,0.677
9838975,2,-,-,1.0,0.927
6432345,1,K02757.01,CAND,1.0,0.486
8180020,2,-,-,1.0,0.927
8552719,2,K01792.02,FP,1.0,0.949
11030475,2,-,-,1.0,0.816
2444412,1,K00103.01,CAND,1.0,0.565
10923260,2,-,-,1.0,0.711
1571511,2,-,-,1.0,0.614
6603756,2,-,-,1.0,-
6762829,2,-,-,1.0,0.892
7037540,2,-,-,1.0,0.956
2581316,2,K03681.02,CAND,1.0,0.942
9346253,2,-,-,1.0,0.653
10091110,3,-,-,1.0,0.778
7975727,2,-,-,1.0,0.804
10904857,2,-,-,1.0,0.845
7584650,1,K02631.01,CAND,1.0,0.805
9411166,2,-,-,1.0,0.921
7972785,2,-,-,1.0,-
6707942,2,-,-,1.0,0.54
12504988,2,-,-,1.0,0.905
5031857,2,K01573.02,CAND,1.0,0.879
8176650,2,-,-,1.0,0.905
9288786,2,-,-,1.0,0.819
9071386,2,-,-,1.0,0.956
5872150,3,-,-,1.0,0.764
5774557,2,-,-,1.0,-
12115188,2,-,-,1.0,0.633
9714123,2,-,-,1.0,0.573
8242681,2,-,-,1.0,0.461
10794087,1,K01316.01,CAND,1.0,0.914
11404644,2,-,-,1.0,0.865
4840513,2,-,-,1.0,0.512
8953059,2,-,-,1.0,-
5376836,2,-,-,1.0,0.819
10485250,2,-,-,1.0,0.814
5370302,2,-,-,1.0,0.866
5534941,1,K02332.01,CAND,1.0,0.83
7362696,2,-,-,1.0,0.685
3734868,2,-,-,1.0,0.778
10710755,2,-,-,1.0,0.86
4851464,2,-,-,0.999,0.883
3323887,3,-,-,0.999,0.598
8263545,1,K02822.01,CAND,0.999,0.819
8458207,2,-,-,0.999,0.77
9934208,2,-,-,0.999,0.69
8655354,2,-,-,0.999,0.691
10016874,1,K00426.01,CAND,0.999,0.85
5356593,2,-,-,0.999,0.775
9705459,2,-,-,0.999,-
5980783,1,K02967.01,CAND,0.999,0.663
7186665,2,-,-,0.999,-
5775129,1,K02802.01,CAND,0.999,0.551
7023960,2,-,-,0.999,0.798
10287248,2,-,-,0.999,0.795
8460600,2,-,-,0.999,0.82
7605600,2,-,-,0.999,-
8953257,2,-,-,0.999,-
8892910,2,-,-,0.999,0.809
6756669,2,-,-,0.999,-
5372966,2,-,-,0.999,0.485
5551672,1,K03119.01,CAND,0.999,-
9413313,1,-,-,0.998,-
9995771,1,K03470.01,CAND,0.998,0.636
9016295,2,-,-,0.998,-
8074805,2,-,-,0.998,0.674
3757778,2,-,-,0.998,0.655
6504534,3,-,-,0.998,-
8686150,2,-,-,0.998,0.805
8043714,2,-,-,0.997,0.803
6889235,2,-,-,0.996,0.536
3231341,5,-,-,0.996,0.564
11656302,2,-,-,0.996,-
4932348,2,-,-,0.996,-
6666233,2,-,-,0.996,0.727
7270230,2,-,-,0.995,-
8695779,2,-,-,0.995,-
11189127,2,-,-,0.994,0.625
3558981,2,-,-,0.994,-
10415087,1,-,-,0.994,-
11126381,1,K01863.01,CAND,0.994,0.776
8126558,1,K02259.01,CAND,0.994,-
4242147,1,K01934.01,CAND,0.993,0.761
5978559,1,K02321.01,CAND,0.993,0.693
11601584,4,K01831.04,CAND,0.993,0.529
4037428,2,-,-,0.992,-
8951205,1,K04099.01,CAND,0.992,-
11495305,2,-,-,0.991,-
2449431,1,K02009.01,CAND,0.991,0.861
9149789,2,-,-,0.99,0.423
5124667,1,K01822.01,CAND,0.99,0.512
9632895,2,-,-,0.989,0.856
7869590,2,-,-,0.988,0.509
5095635,1,K02607.01,CAND,0.988,0.483
11465950,1,K02620.01,CAND,0.986,-
9411471,1,-,-,0.985,-
10005758,2,K01783.02,CAND,0.984,0.55
9474222,2,-,-,0.984,-
6750902,2,-,-,0.983,-
10295951,2,-,-,0.983,-
6805146,2,-,-,0.981,0.651
5728283,2,-,-,0.98,-
9836959,1,K01715.01,CAND,0.977,0.69
6365321,1,K01123.01,FP,0.977,-
8236479,1,-,-,0.976,-
6847018,2,-,-,0.975,-
6428794,1,K04054.01,CAND,0.975,0.607
1026957,1,K00958.01,CAND,0.975,-
9204103,1,-,-,0.975,-
3342467,2,-,-,0.974,-
6525209,3,-,-,0.973,-
5773121,1,K04002.01,CAND,0.972,0.549
7375348,2,K00266.02,CAND,0.971,0.579
6131236,1,K01051.01,CAND,0.97,-
4042026,2,-,-,0.967,-
5554685,1,-,-,0.966,-
2718778,1,K02489.01,CAND,0.965,0.596
11972526,3,-,-,0.964,-
6866228,2,-,-,0.963,-
9098590,2,-,-,0.961,-
5098444,2,-,-,0.954,-
10006641,2,-,-,0.953,-
10332789,2,-,-,0.953,0.471
11192235,1,K02329.01,CAND,0.951,0.673
3834322,2,-,-,0.949,0.496
9782748,1,K04856.01,CAND,0.947,-
9528430,2,-,-,0.945,0.654
3218908,4,-,-,0.944,0.591
4862625,4,-,-,0.939,-
7211759,3,-,-,0.932,-
3547091,2,-,-,0.932,-
10973583,2,-,-,0.925,-
4650733,1,K01659.01,CAND,0.925,0.655
10384962,2,-,-,0.919,-
11246161,2,-,-,0.919,-
5080636,3,-,-,0.918,-
4937435,2,-,-,0.918,-
6784155,3,-,-,0.918,-
2574338,1,K01030.01,CAND,0.916,-
2719873,2,-,-,0.905,-
8801343,2,-,-,0.904,-
9700449,1,K04120.01,CAND,0.903,0.684
5816165,1,K01043.01,FP,0.892,-
6185476,2,-,-,0.884,-
5213230,1,K03474.01,CAND,0.879,0.59
6523216,2,-,-,0.877,-
5979863,2,-,-,0.875,-
10152836,2,-,-,0.874,0.463
