kepid,plnt num,kname,dispos,GB_vif_cap2,RF
11709124,2,-,-,1.0,0.99
4862625,2,-,-,1.0,0.5
10464078,2,-,-,1.0,-
5003117,2,-,-,1.0,1.0
5035972,2,-,-,1.0,0.98
4814502,1,K04004.01,CAND,1.0,1.0
3970233,2,-,-,1.0,1.0
5786676,1,K00650.01,CAND,1.0,0.98
11408935,2,-,-,1.0,0.99
5780885,2,-,-,1.0,-
9446824,2,-,-,1.0,1.0
3097926,1,K02186.01,CAND,1.0,1.0
12009347,2,-,-,1.0,0.6
5270698,2,-,-,1.0,0.931
9649222,2,-,-,1.0,0.98
10616571,3,-,-,1.0,1.0
12017140,2,-,-,1.0,-
6698670,2,-,-,1.0,0.99
6185476,3,-,-,1.0,-
8605074,2,-,-,1.0,1.0
3342592,2,-,-,1.0,1.0
9886224,2,-,-,1.0,0.88
6041734,2,-,-,1.0,0.979
3102000,2,-,-,1.0,0.97
10418797,2,-,-,1.0,1.0
3323887,2,-,-,1.0,0.958
9838975,2,-,-,1.0,1.0
6432345,1,K02757.01,CAND,1.0,1.0
8180020,2,-,-,1.0,1.0
8552719,2,K01792.02,FP,1.0,1.0
11030475,2,-,-,1.0,0.951
2444412,1,K00103.01,CAND,1.0,1.0
10923260,2,-,-,1.0,0.909
1571511,2,-,-,1.0,0.99
6603756,2,-,-,1.0,0.97
6762829,2,-,-,1.0,1.0
7037540,2,-,-,1.0,1.0
2581316,2,K03681.02,CAND,1.0,1.0
9346253,2,-,-,1.0,1.0
10091110,3,-,-,1.0,0.99
7975727,2,-,-,1.0,1.0
10904857,2,-,-,1.0,0.99
7584650,1,K02631.01,CAND,1.0,1.0
9411166,2,-,-,1.0,0.99
7972785,2,-,-,1.0,0.98
6707942,2,-,-,1.0,0.667
12504988,2,-,-,1.0,1.0
5031857,2,K01573.02,CAND,1.0,1.0
8176650,2,-,-,1.0,1.0
9288786,2,-,-,1.0,0.98
9071386,2,-,-,1.0,0.971
5872150,3,-,-,1.0,1.0
5774557,2,-,-,1.0,-
12115188,2,-,-,1.0,0.97
9714123,2,-,-,1.0,0.5
8242681,2,-,-,1.0,1.0
10794087,1,K01316.01,CAND,1.0,0.99
11404644,2,-,-,1.0,0.636
4840513,2,-,-,1.0,0.98
8953059,2,-,-,1.0,0.971
5376836,2,-,-,1.0,1.0
10485250,2,-,-,1.0,0.99
5370302,2,-,-,1.0,1.0
5534941,1,K02332.01,CAND,1.0,1.0
7362696,2,-,-,1.0,0.952
3734868,2,-,-,1.0,1.0
10710755,2,-,-,1.0,0.444
4851464,2,-,-,0.999,1.0
3323887,3,-,-,0.999,0.959
8263545,1,K02822.01,CAND,0.999,1.0
8458207,2,-,-,0.999,0.793
9934208,2,-,-,0.999,0.8
8655354,2,-,-,0.999,1.0
10016874,1,K00426.01,CAND,0.999,1.0
5356593,2,-,-,0.999,0.99
9705459,2,-,-,0.999,0.539
5980783,1,K02967.01,CAND,0.999,1.0
7186665,2,-,-,0.999,0.8
5775129,1,K02802.01,CAND,0.999,0.99
7023960,2,-,-,0.999,1.0
10287248,2,-,-,0.999,0.75
8460600,2,-,-,0.999,0.667
7605600,2,-,-,0.999,0.75
8953257,2,-,-,0.999,0.971
8892910,2,-,-,0.999,1.0
6756669,2,-,-,0.999,-
5372966,2,-,-,0.999,1.0
5551672,1,K03119.01,CAND,0.999,-
9413313,1,-,-,0.998,-
9995771,1,K03470.01,CAND,0.998,0.99
9016295,2,-,-,0.998,0.75
8074805,2,-,-,0.998,0.864
3757778,2,-,-,0.998,-
6504534,3,-,-,0.998,0.5
8686150,2,-,-,0.998,0.989
8043714,2,-,-,0.997,1.0
6889235,2,-,-,0.996,0.692
3231341,5,-,-,0.996,0.99
11656302,2,-,-,0.996,0.6
4932348,2,-,-,0.996,0.667
6666233,2,-,-,0.996,0.99
7270230,2,-,-,0.995,0.5
8695779,2,-,-,0.995,-
11189127,2,-,-,0.994,0.978
3558981,2,-,-,0.994,-
10415087,1,-,-,0.994,-
11126381,1,K01863.01,CAND,0.994,1.0
8126558,1,K02259.01,CAND,0.994,-
4242147,1,K01934.01,CAND,0.993,1.0
5978559,1,K02321.01,CAND,0.993,1.0
11601584,4,K01831.04,CAND,0.993,0.963
4037428,2,-,-,0.992,-
8951205,1,K04099.01,CAND,0.992,0.939
11495305,2,-,-,0.991,0.5
2449431,1,K02009.01,CAND,0.991,0.99
9149789,2,-,-,0.99,-
5124667,1,K01822.01,CAND,0.99,0.5
9632895,2,-,-,0.989,0.75
7869590,2,-,-,0.988,-
5095635,1,K02607.01,CAND,0.988,1.0
11465950,1,K02620.01,CAND,0.986,1.0
9411471,1,-,-,0.985,0.571
10005758,2,K01783.02,CAND,0.984,0.789
9474222,2,-,-,0.984,0.667
6750902,2,-,-,0.983,-
10295951,2,-,-,0.983,-
6805146,2,-,-,0.981,1.0
5728283,2,-,-,0.98,0.8
9836959,1,K01715.01,CAND,0.977,1.0
6365321,1,K01123.01,FP,0.977,-
8236479,1,-,-,0.976,-
6847018,2,-,-,0.975,0.667
6428794,1,K04054.01,CAND,0.975,1.0
1026957,1,K00958.01,CAND,0.975,0.942
9204103,1,-,-,0.975,-
3342467,2,-,-,0.974,-
6525209,3,-,-,0.973,-
5773121,1,K04002.01,CAND,0.972,0.556
7375348,2,K00266.02,CAND,0.971,0.99
6131236,1,K01051.01,CAND,0.97,1.0
4042026,2,-,-,0.967,-
5554685,1,-,-,0.966,-
2718778,1,K02489.01,CAND,0.965,0.989
11972526,3,-,-,0.964,-
6866228,2,-,-,0.963,1.0
9098590,2,-,-,0.961,-
5098444,2,-,-,0.954,-
10006641,2,-,-,0.953,-
10332789,2,-,-,0.953,-
11192235,1,K02329.01,CAND,0.951,0.545
3834322,2,-,-,0.949,0.911
9782748,1,K04856.01,CAND,0.947,-
9528430,2,-,-,0.945,-
3218908,4,-,-,0.944,0.526
4862625,4,-,-,0.939,-
7211759,3,-,-,0.932,-
3547091,2,-,-,0.932,0.667
10973583,2,-,-,0.925,-
4650733,1,K01659.01,CAND,0.925,1.0
10384962,2,-,-,0.919,-
11246161,2,-,-,0.919,0.667
5080636,3,-,-,0.918,-
4937435,2,-,-,0.918,0.417
6784155,3,-,-,0.918,-
2574338,1,K01030.01,CAND,0.916,0.99
2719873,2,-,-,0.905,-
8801343,2,-,-,0.904,-
9700449,1,K04120.01,CAND,0.903,-
5816165,1,K01043.01,FP,0.892,0.786
6185476,2,-,-,0.884,-
5213230,1,K03474.01,CAND,0.879,1.0
6523216,2,-,-,0.877,-
5979863,2,-,-,0.875,1.0
10152836,2,-,-,0.874,-
4150390,2,-,-,0.872,-
12644769,3,-,-,0.868,0.533
11968463,3,K02433.03,CAND,0.858,0.909
2694337,3,-,-,0.847,-
11909839,2,-,-,0.842,-
12170648,2,-,-,0.835,0.8
9528420,2,-,-,0.831,0.941
9279865,3,-,-,0.826,-
4862625,5,-,-,0.826,-
4078693,2,-,-,0.818,-
10186945,2,-,-,0.809,0.951
5983348,2,-,-,0.805,0.5
12164634,6,-,-,0.804,-
5092266,1,K03045.01,CAND,0.799,1.0
5103942,2,-,-,0.786,-
6593150,1,K03037.01,CAND,0.786,-
9941662,2,-,-,0.786,-
12454613,1,-,-,0.764,0.667
8617363,1,K02945.01,CAND,0.762,-
8651389,1,K01754.01,CAND,0.759,0.99
9414097,3,-,-,0.759,-
8823868,2,-,-,0.758,0.961
10583180,2,-,-,0.735,0.5
8561063,4,-,-,0.734,-
6614926,2,-,-,0.717,0.563
4049124,2,-,-,0.704,-
7199060,1,K04152.01,CAND,0.689,-
8416523,2,-,-,0.682,-
5014753,2,-,-,0.68,0.667
5077629,2,-,-,0.67,-
11285136,2,-,-,0.67,-
7024530,2,-,-,0.665,-
9697131,1,K02706.01,CAND,0.665,1.0
10681550,3,-,-,0.651,-
8233504,1,-,-,0.65,-
5360082,2,-,-,0.647,-
11189284,3,-,-,0.643,-
2832589,1,K01942.01,CAND,0.629,0.667
11513486,1,K04748.01,CAND,0.619,-
1720673,1,-,-,0.617,-
9028474,4,-,-,0.609,-
4547480,2,-,-,0.604,0.5
8415004,4,-,-,0.603,-
8753896,2,-,-,0.598,-
7363829,1,-,-,0.582,-
9119568,7,-,-,0.575,-
9716028,1,K04273.01,CAND,0.574,-
3112129,2,-,-,0.572,0.733
9411317,2,-,-,0.564,-
7051984,2,-,-,0.555,0.4
7269881,2,-,-,0.552,-
5966810,1,K03909.01,CAND,0.545,0.958
5876805,2,-,-,0.542,-
9963461,2,-,-,0.537,-
8230809,2,-,-,0.528,-
11517719,2,-,-,0.528,-
10252275,1,K03130.01,CAND,0.523,-
5446285,2,-,-,0.522,-
10973664,2,K00601.02,CAND,0.515,-
11442465,2,-,-,0.513,-
10657664,2,-,-,0.511,0.5
7450747,1,K04267.01,CAND,0.51,0.429
10843431,1,K07378.01,CAND,0.501,-
5780460,2,-,-,0.5,-
11654267,1,-,-,0.464,-
4168016,1,-,-,0.439,-
6579806,2,-,-,0.392,-
7751562,2,-,-,0.363,-
8845026,2,-,-,-,1.0
3862246,2,-,-,-,1.0
5982353,2,-,-,-,1.0
5042210,1,K02462.01,CAND,-,0.99
3831053,1,K00388.01,CAND,-,0.98
4665571,2,K02393.02,CAND,-,0.98
7449554,1,K02357.01,CAND,-,0.978
5450814,2,-,-,-,0.957
6762829,4,-,-,-,0.923
2440757,1,K00792.01,FP,-,0.92
12302530,3,-,-,-,0.913
4077526,4,K01336.04,CAND,-,0.892
8307759,1,-,-,-,0.875
6387450,2,-,-,-,0.833
6200709,2,-,-,-,0.833
2438502,2,-,-,-,0.8
2163457,1,-,-,-,0.778
8800954,1,-,-,-,0.75
6606934,2,-,-,-,0.75
7954278,2,-,-,-,0.692
5700330,2,-,-,-,0.667
3003991,2,-,-,-,0.667
10419211,2,-,-,-,0.667
5735878,2,-,-,-,0.667
9451127,2,-,-,-,0.667
6185476,1,-,-,-,0.667
7450443,1,-,-,-,0.667
9602514,2,-,-,-,0.625
6878408,1,K06786.01,CAND,-,0.625
9457728,1,K04637.01,CAND,-,0.625
10332789,3,-,-,-,0.6
4069213,2,-,-,-,0.6
9150827,1,K01408.01,CAND,-,0.578
3130548,2,-,-,-,0.571
3962872,2,-,-,-,0.556
6848481,1,-,-,-,0.556
2708203,2,-,-,-,0.556
10068002,1,-,-,-,0.545
10337517,1,K01165.01,CAND,-,0.503
5357470,2,-,-,-,0.5
10534447,1,-,-,-,0.5
10091792,2,-,-,-,0.5
10815050,1,-,-,-,0.5
12207117,2,-,-,-,0.5
11141029,2,-,-,-,0.5
5020319,1,K00635.01,CAND,-,0.5
5781704,1,-,-,-,0.5
7299905,1,-,-,-,0.5
3340313,2,-,-,-,0.5
6428850,3,-,-,-,0.5
7281668,2,-,-,-,0.5
4649440,2,-,-,-,0.5
7880676,7,-,-,-,0.5
8581232,2,-,-,-,0.5
4043443,2,-,-,-,0.5
8831573,1,-,-,-,0.5
4929299,2,-,-,-,0.5
9491205,3,-,-,-,0.5
5770074,1,K01928.01,CAND,-,0.5
5897645,3,-,-,-,0.462
10068030,2,-,-,-,0.462
2302624,1,-,-,-,0.462
5560731,2,-,-,-,0.462
6187341,2,-,-,-,0.455
4847602,1,-,-,-,0.455
5897826,3,-,-,-,0.429
6758917,2,-,-,-,0.429
8191611,2,-,-,-,0.417
10357831,2,-,-,-,0.417
4661660,4,-,-,-,0.385
11044372,2,-,-,-,0.385
8630254,4,-,-,-,0.381
9725543,2,-,-,-,0.375
3123138,2,-,-,-,0.364
3757590,3,-,-,-,0.364
