kepid,plnt num,kname,dispos,GB vif cap2,RF vif,LR,DT
11709124,2,-,-,1,0.918,0.867,0.938
4862625,2,-,-,1,0.429,0.685,-
10464078,2,-,-,1,0.871,0.63,0.551
5003117,2,-,-,1,0.556,-,0.742
5035972,2,-,-,1,0.903,0.866,0.561
4814502,1,K04004.01,CAND,1,0.969,0.653,0.869
3970233,2,-,-,1,0.97,0.935,0.972
5786676,1,K00650.01,CAND,1,0.949,0.858,0.811
11408935,2,-,-,1,0.915,0.843,0.898
5780885,2,-,-,1,0.4,0.787,0.607
9446824,2,-,-,1,0.979,0.908,0.913
3097926,1,K02186.01,CAND,1,0.959,0.837,0.804
12009347,2,-,-,1,0.86,0.506,0.738
5270698,2,-,-,1,-,-,0.578
9649222,2,-,-,1,0.915,0.81,0.862
10616571,3,-,-,1,0.96,0.731,0.724
12017140,2,-,-,1,-,-,0.702
6698670,2,-,-,1,0.849,0.826,0.84
6185476,3,-,-,1,-,-,-
8605074,2,-,-,1,-,-,0.683
3342592,2,-,-,1,0.949,0.904,0.935
9886224,2,-,-,1,-,-,0.641
6041734,2,-,-,1,0.87,-,0.534
3102000,2,-,-,1,0.898,0.822,0.913
10418797,2,-,-,1,0.922,0.677,0.713
3323887,2,-,-,1,-,0.677,0.714
9838975,2,-,-,1,0.99,0.927,0.879
6432345,1,K02757.01,CAND,1,0.943,0.486,0.705
8180020,2,-,-,1,0.979,0.927,0.925
8552719,2,K01792.02,FP,1,0.98,0.949,0.888
11030475,2,-,-,1,0.907,0.816,0.736
2444412,1,K00103.01,CAND,1,-,0.565,0.459
10923260,2,-,-,1,0.556,0.711,0.656
1571511,2,-,-,1,0.979,0.614,0.666
6603756,2,-,-,1,-,-,-
6762829,2,-,-,1,0.96,0.892,0.839
7037540,2,-,-,1,0.98,0.956,0.889
2581316,2,K03681.02,CAND,1,0.952,0.942,0.932
9346253,2,-,-,1,0.83,0.653,0.828
10091110,3,-,-,1,0.947,0.778,0.742
7975727,2,-,-,1,0.96,0.804,0.852
10904857,2,-,-,1,0.96,0.845,0.879
7584650,1,K02631.01,CAND,1,0.96,0.805,0.885
9411166,2,-,-,1,0.979,0.921,0.684
7972785,2,-,-,1,0.969,-,-
6707942,2,-,-,1,-,0.54,0.682
12504988,2,-,-,1,0.969,0.905,0.921
5031857,2,K01573.02,CAND,1,0.967,0.879,0.584
8176650,2,-,-,1,0.971,0.905,0.874
9288786,2,-,-,1,0.909,0.819,0.896
9071386,2,-,-,1,0.843,0.956,0.942
5872150,3,-,-,1,0.922,0.764,0.777
5774557,2,-,-,1,-,-,-
12115188,2,-,-,1,0.462,0.633,0.792
9714123,2,-,-,1,0.429,0.573,0.755
8242681,2,-,-,1,0.455,0.461,-
10794087,1,K01316.01,CAND,1,0.959,0.914,0.899
11404644,2,-,-,1,-,0.865,0.956
4840513,2,-,-,1,0.922,0.512,0.946
8953059,2,-,-,1,0.879,-,0.922
5376836,2,-,-,1,0.98,0.819,0.869
10485250,2,-,-,1,0.538,0.814,0.761
5370302,2,-,-,1,0.971,0.866,0.908
5534941,1,K02332.01,CAND,1,0.929,0.83,0.969
7362696,2,-,-,1,0.895,0.685,0.766
3734868,2,-,-,1,0.99,0.778,0.643
10710755,2,-,-,1,0.389,0.86,0.903
4851464,2,-,-,0.999,0.929,0.883,0.923
3323887,3,-,-,0.999,-,0.598,0.42
8263545,1,K02822.01,CAND,0.999,0.939,0.819,0.888
8458207,2,-,-,0.999,-,0.77,0.758
9934208,2,-,-,0.999,0.853,0.69,0.876
8655354,2,-,-,0.999,0.5,0.691,0.726
10016874,1,K00426.01,CAND,0.999,0.96,0.85,0.809
5356593,2,-,-,0.999,0.948,0.775,0.839
9705459,2,-,-,0.999,0.839,-,-
5980783,1,K02967.01,CAND,0.999,0.968,0.663,0.662
7186665,2,-,-,0.999,0.75,-,-
5775129,1,K02802.01,CAND,0.999,0.947,0.551,0.719
7023960,2,-,-,0.999,0.957,0.798,0.859
10287248,2,-,-,0.999,0.84,0.795,0.892
8460600,2,-,-,0.999,0.565,0.82,0.817
7605600,2,-,-,0.999,-,-,0.629
8953257,2,-,-,0.999,0.841,-,-
8892910,2,-,-,0.999,0.978,0.809,0.591
6756669,2,-,-,0.999,0.924,-,-
5372966,2,-,-,0.999,0.99,0.485,0.812
5551672,1,K03119.01,CAND,0.999,-,-,0.452
9413313,1,-,-,0.998,-,-,-
9995771,1,K03470.01,CAND,0.998,0.957,0.636,0.821
9016295,2,-,-,0.998,-,-,-
8074805,2,-,-,0.998,0.791,0.674,0.633
3757778,2,-,-,0.998,-,0.655,0.805
6504534,3,-,-,0.998,-,-,-
8686150,2,-,-,0.998,0.643,0.805,0.89
8043714,2,-,-,0.997,0.929,0.803,0.838
6889235,2,-,-,0.996,-,0.536,-
3231341,5,-,-,0.996,0.877,0.564,0.555
11656302,2,-,-,0.996,-,-,0.803
4932348,2,-,-,0.996,-,-,-
6666233,2,-,-,0.996,0.846,0.727,0.837
7270230,2,-,-,0.995,-,-,-
8695779,2,-,-,0.995,0.444,-,-
11189127,2,-,-,0.994,0.864,0.625,0.768
3558981,2,-,-,0.994,-,-,-
10415087,1,-,-,0.994,-,-,-
11126381,1,K01863.01,CAND,0.994,0.933,0.776,0.889
8126558,1,K02259.01,CAND,0.994,-,-,-
4242147,1,K01934.01,CAND,0.993,0.929,0.761,0.803
5978559,1,K02321.01,CAND,0.993,0.959,0.693,0.698
11601584,4,K01831.04,CAND,0.993,0.448,0.529,-
4037428,2,-,-,0.992,-,-,-
8951205,1,K04099.01,CAND,0.992,-,-,-
11495305,2,-,-,0.991,-,-,-
2449431,1,K02009.01,CAND,0.991,0.931,0.861,0.863
9149789,2,-,-,0.99,-,0.423,-
5124667,1,K01822.01,CAND,0.99,0.82,0.512,0.736
9632895,2,-,-,0.989,0.462,0.856,0.742
7869590,2,-,-,0.988,-,0.509,-
5095635,1,K02607.01,CAND,0.988,0.823,0.483,0.529
11465950,1,K02620.01,CAND,0.986,0.959,-,0.509
9411471,1,-,-,0.985,-,-,-
10005758,2,K01783.02,CAND,0.984,0.737,0.55,0.548
9474222,2,-,-,0.984,-,-,0.524
6750902,2,-,-,0.983,-,-,-
10295951,2,-,-,0.983,-,-,-
6805146,2,-,-,0.981,0.79,0.651,0.736
