kepid,KOI,Morph,Mult,BJD0,BJD0 Err,Period,Period Err,Kepmag,Teff,RA,Dec,plnt num,kname,dispos,GB vif cap2,RF vif,LR,DT,_merge
1026957,958,0.01,1,54956.01710599999,0.011314,21.761306,8.809999999999999e-05,12.559,4845.0,291.2545,36.7436,1,K00958.01,CAND,0.975,0.866,-,0.808,both
1571511,362,0.17,1,54954.504752,0.065876,14.022451,4.72e-05,13.424,5804.0,290.9969,37.1992,2,-,-,1.0,0.979,0.614,0.666,both
3102000,3373,0.03,1,54997.25562,0.054576,57.060008999999994,0.000349,15.936,5718.0,287.3495,38.286,2,-,-,1.0,0.898,0.822,0.913,both
3342592,402,0.13,1,54969.191539,0.061224,17.177326,6.39e-05,14.923,5717.0,291.5563,38.4463,2,-,-,1.0,0.949,0.904,0.935,both
3558981,52,0.24,1,54965.154915,0.018298,2.987859,1.28e-05,13.109,,294.9774,38.6784,2,-,-,0.9940000000000001,-,-,-,both
3734868,805,0.23,1,54966.268921,0.060487,10.328036,3.19e-05,15.646,5415.0,287.6967,38.8865,2,-,-,1.0,0.99,0.778,0.643,both
3757778,3402,0.04,1,55215.87992100001,0.045751,36.514396999999995,0.00023799999999999998,15.423,5570.0,294.1963,38.8371,2,-,-,0.998,-,0.655,0.805,both
3970233,604,0.25,1,54966.159737,0.051739999999999994,8.254914,5.5299999999999996e-05,14.034,5224.0,295.4819,39.0173,2,-,-,1.0,0.97,0.935,0.972,both
4037428,5993,0.14,1,54955.403778,0.014985,4.264728,8.5e-06,12.873,5780.0,285.145,39.187,2,-,-,0.992,-,-,-,both
4042026,1180,0.09,1,54996.015661000005,0.08187,34.820046000000005,0.000176,15.187,5017.0,286.8693,39.1037,2,-,-,0.9670000000000001,-,-,-,both
4851464,1757,0.34,1,55005.060764999995,0.0465,5.5482569999999996,1.59e-05,15.752,5891.0,295.8887,39.9113,2,-,-,0.9990000000000001,0.929,0.883,0.923,both
4862625, ,0.06,1,54967.819337,0.032114,20.000249,7.950000000000001e-05,13.718,6149.0,298.2151,39.9551,2,-,-,1.0,0.429,0.685,-,both
4932348,819,0.02,1,54991.89679199999,0.030032,38.036773,0.000195,15.472,5386.0,294.1479,40.0555,2,-,-,0.996,-,-,-,both
5003117,405,0.05,1,54986.092638,0.05205,37.609097999999996,0.000195,14.026,5387.0,289.3614,40.1288,2,-,-,1.0,0.556,-,0.742,both
5035972,406,0.02,1,54974.920271,0.035768,49.266827,0.00028399999999999996,14.385,5716.0,297.7722,40.1551,2,-,-,1.0,0.903,0.866,0.561,both
5098444,637,0.14,1,54984.022680999995,0.081557,26.948985999999998,0.00011899999999999999,13.771,4615.0,291.5633,40.2678,2,-,-,0.9540000000000001,-,-,0.615,both
5356593,644,0.04,1,54981.664135,0.059136,45.977868,0.000259,13.725,5395.0,289.9668,40.5327,2,-,-,0.9990000000000001,0.948,0.775,0.839,both
5370302,831,0.3,1,54967.350725,0.02858,3.904327,7.6e-06,15.016,5606.0,294.0568,40.5497,2,-,-,1.0,0.971,0.866,0.908,both
5372966,832,0.12,1,54967.675326,0.026437000000000002,9.286357,2.62e-05,15.365,5464.0,294.744,40.5339,2,-,-,0.9990000000000001,0.99,0.485,0.812,both
5376836,182,0.3,1,54966.317189,0.026133999999999998,3.479425,6.4e-06,14.041,5672.0,295.6713,40.5991,2,-,-,1.0,0.98,0.819,0.869,both
5728283,1011,0.36,1,55003.981304999994,0.056917999999999996,6.198279,1.53e-05,15.67,5750.0,297.6203,40.9431,2,-,-,0.98,-,-,-,both
5872150,414,0.08,1,54967.645862,0.04048,20.355103,8.109999999999999e-05,14.557,5816.0,290.4254,41.1392,3,-,-,1.0,0.922,0.764,0.777,both
6041734,2167,0.04,1,54969.058105,0.028222000000000004,24.340024,0.000133,15.28,5994.0,291.6045,41.3094,2,-,-,1.0,0.87,-,0.534,both
6365321,1123,0.44,1,54964.887524,0.01022,0.848485,8e-07,15.323,5648.0,292.2368,41.7393,1,K01123.01,FP,0.977,-,-,-,both
6504534, ,0.02,1,54976.717044000005,0.020502,28.1626,0.000133,14.216,4788.0,285.1671,41.9671,3,-,-,0.998,-,-,-,both
6525209,3479,0.08,1,55017.899326,0.136416,75.13171,0.0005070000000000001,14.658,5207.0,292.7214,41.9049,3,-,-,0.973,-,-,-,both
6603756,1729,0.38,1,54968.88505599999,0.050339,5.204283,1.1400000000000001e-05,15.424,5115.0,291.0916,42.0585,2,-,-,1.0,-,-,-,both
6698670, ,0.1,1,54962.07569500001,0.203079,10.81589,3.2500000000000004e-05,12.96,6002.0,293.8383,42.1222,2,-,-,1.0,0.849,0.826,0.84,both
6707942,3569,0.08,1,55000.607445,0.01857,9.0142,2.9999999999999997e-05,13.57,4678.0,296.0576,42.1109,2,-,-,1.0,-,0.54,0.682,both
6756669,862,0.16,1,54965.860764,0.024666999999999998,5.851532,1.4000000000000001e-05,15.33,5353.0,284.0873,42.2332,2,-,-,0.9990000000000001,0.924,-,-,both
6762829,1740,0.15,1,54971.667902999994,0.078533,18.795266,7.23e-05,13.941,5640.0,286.8304,42.2792,2,-,-,1.0,0.96,0.892,0.839,both
6805146,668,0.16,1,54956.56866699999,0.061413,13.779701999999999,4.6e-05,13.21,6214.0,298.5916,42.2064,2,-,-,0.981,0.79,0.651,0.736,both
6847018,1349,0.06,1,54958.523585,0.025093,16.662167,5.99e-05,13.344,6211.0,286.3003,42.3748,2,-,-,0.975,-,-,-,both
6866228,1348,0.12,1,54970.562764,0.024398,7.702369999999999,2.01e-05,15.144,5388.0,292.7399,42.3594,2,-,-,0.963,0.444,-,-,both
6889235,74,0.43,1,54956.285878999995,0.045776,5.18867,1.13e-05,10.96,9288.0,298.3242,42.3885,2,-,-,0.996,-,0.536,-,both
7023960,187,-1.0,1,54984.52955,0.043153,30.882537,0.000145,14.857,5768.0,288.7295,42.5509,2,-,-,0.9990000000000001,0.957,0.798,0.859,both
7037540,1347,0.12,1,55294.236375,0.043946,14.405910999999998,6.29e-05,14.808,,293.0204,42.5088,2,-,-,1.0,0.98,0.956,0.889,both
7186665,3033,0.3,1,54970.220495,0.046798,8.559396000000001,2.34e-05,14.538,5848.0,287.1224,42.7069,2,-,-,0.9990000000000001,0.75,-,-,both
7270230,876,0.07,1,54997.900965999994,0.013865,6.9980899999999995,1.75e-05,15.877,5417.0,287.8841,42.8324,2,-,-,0.995,-,-,-,both
7362696,3937,0.12,1,54967.82189299999,0.012343999999999999,4.9313,1.34e-05,15.535,5246.0,291.7605,42.9239,2,-,-,1.0,0.895,0.685,0.766,both
