kepid,tce_plnt_num,kepoi_name,koi_disposition,GB_vif
9288786,2,,,1.0
5370302,2,,,1.0
8552719,2,K01792.02,FALSE POSITIVE,1.0
8176650,2,,,1.0
7584650,1,K02631.01,CANDIDATE,1.0
11709124,2,,,1.0
9838975,2,,,1.0
4862625,2,,,1.0
9632895,2,,,1.0
2581316,2,K03681.02,CANDIDATE,1.0
9995771,1,K03470.01,CANDIDATE,1.0
4814502,1,K04004.01,CANDIDATE,1.0
12504988,2,,,1.0
3734868,2,,,1.0
6666233,2,,,1.0
9934208,2,,,1.0
10464078,2,,,1.0
12115188,2,,,1.0
4840513,2,,,1.0
9071386,2,,,1.0
10794087,1,K01316.01,CANDIDATE,1.0
10616571,3,,,1.0
6603756,2,,,1.0
5534941,1,K02332.01,CANDIDATE,1.0
10418797,2,,,1.0
7975727,2,,,0.999
3102000,2,,,0.999
6432345,1,K02757.01,CANDIDATE,0.999
11601584,4,K01831.04,CANDIDATE,0.999
7972785,2,,,0.999
8180020,2,,,0.999
9446824,2,,,0.999
3970233,2,,,0.999
12009347,2,,,0.999
8953059,2,,,0.999
5786676,1,K00650.01,CANDIDATE,0.999
11126381,1,K01863.01,CANDIDATE,0.999
5376836,2,,,0.999
7037540,2,,,0.999
6428794,1,K04054.01,CANDIDATE,0.999
4851464,2,,,0.999
11030475,2,,,0.999
8074805,2,,,0.999
10091110,3,,,0.999
3323887,3,,,0.999
6762829,2,,,0.999
1571511,2,,,0.999
5270698,2,,,0.999
9474222,2,,,0.998
2718778,1,K02489.01,CANDIDATE,0.998
8892910,2,,,0.998
3342592,2,,,0.998
7605600,2,,,0.997
11968463,3,K02433.03,CANDIDATE,0.997
6698670,2,,,0.997
6756669,2,,,0.996
7023960,2,,,0.996
5095635,1,K02607.01,CANDIDATE,0.995
9528420,2,,,0.995
8416523,2,,,0.995
9346253,2,,,0.995
10287248,2,,,0.995
5774557,2,,,0.995
10904857,2,,,0.994
11408935,2,,,0.994
10005758,2,K01783.02,CANDIDATE,0.993
8953257,2,,,0.993
7375348,2,K00266.02,CANDIDATE,0.993
8460600,2,,,0.992
5978559,1,K02321.01,CANDIDATE,0.992
8263545,1,K02822.01,CANDIDATE,0.991
5872150,3,,,0.99
8561063,4,,,0.99
9886224,2,,,0.988
9649222,2,,,0.988
6707942,2,,,0.987
3097926,1,K02186.01,CANDIDATE,0.985
9705459,2,,,0.985
8651389,1,K01754.01,CANDIDATE,0.984
2449431,1,K02009.01,CANDIDATE,0.984
8458207,2,,,0.979
10923260,2,,,0.979
8236479,1,,,0.978
3112129,2,,,0.977
5372966,2,,,0.977
9836959,1,K01715.01,CANDIDATE,0.977
3558981,2,,,0.976
4049124,2,,,0.976
9411166,2,,,0.974
5775129,1,K02802.01,CANDIDATE,0.972
9714123,2,,,0.966
11404644,2,,,0.962
10843431,1,K07378.01,CANDIDATE,0.961
9098590,2,,,0.959
11189127,2,,,0.948
5608566,2,,,0.947
6500206,2,,,0.939
8686150,2,,,0.935
3757778,2,,,0.933
2444412,1,K00103.01,CANDIDATE,0.924
10332789,2,,,0.923
7449554,1,K02357.01,CANDIDATE,0.92
5042210,1,K02462.01,CANDIDATE,0.92
6041734,2,,,0.919
5780885,2,,,0.912
12644769,3,,,0.911
4242147,1,K01934.01,CANDIDATE,0.909
6451605,1,,,0.906
8605074,2,,,0.902
3231341,5,,,0.894
6762829,5,,,0.893
7362696,2,,,0.888
7450747,1,K04267.01,CANDIDATE,0.883
11246161,2,,,0.878
8415004,4,,,0.876
6805146,2,,,0.869
5980783,1,K02967.01,CANDIDATE,0.854
8580438,2,,,0.846
10186945,2,,,0.837
8823868,2,,,0.835
11465950,1,K02620.01,CANDIDATE,0.834
5551672,1,K03119.01,CANDIDATE,0.829
6677841,3,,,0.829
6504534,3,,,0.824
5446285,2,,,0.823
3323887,4,,,0.817
3323887,2,,,0.805
6750902,2,,,0.798
1026957,1,K00958.01,CANDIDATE,0.788
12170648,2,,,0.783
6185476,3,,,0.781
6614926,2,,,0.778
7270230,2,,,0.773
5356593,2,,,0.77
2574338,1,K01030.01,CANDIDATE,0.765
7269881,2,,,0.757
6185476,2,,,0.757
5035972,2,,,0.75
12010534,2,,,0.749
5213230,1,K03474.01,CANDIDATE,0.748
4650733,1,K01659.01,CANDIDATE,0.747
8655354,2,,,0.736
7119481,3,K00566.03,CANDIDATE,0.736
10073672,1,K02764.01,CANDIDATE,0.732
5728283,2,,,0.726
5124667,1,K01822.01,CANDIDATE,0.722
10016874,1,K00426.01,CANDIDATE,0.717
10710755,2,,,0.716
9719636,2,,,0.715
5114623,8,,,0.708
5446285,3,,,0.7
4069213,2,,,0.687
6060277,2,,,0.683
4665571,2,K02393.02,CANDIDATE,0.681
9697131,1,K02706.01,CANDIDATE,0.679
10419211,2,,,0.678
4912650,1,K05098.01,CANDIDATE,0.66
5773121,1,K04002.01,CANDIDATE,0.658
4932348,2,,,0.655
9413313,1,,,0.637
6149910,1,K02469.01,CANDIDATE,0.613
3634755,2,,,0.606
5810113,2,,,0.596
3218908,4,,,0.585
11285136,2,,,0.584
3547091,2,,,0.575
10657664,2,,,0.561
8329629,2,,,0.559
8753896,2,,,0.555
7363829,1,,,0.553
9202151,1,K01393.01,CANDIDATE,0.55
8292150,2,,,0.537
10527135,2,,,0.536
10152836,2,,,0.535
2720354,2,,,0.533
5966810,1,K03909.01,CANDIDATE,0.528
3834322,2,,,0.525
6462874,2,K01231.02,FALSE POSITIVE,0.522
5092266,1,K03045.01,CANDIDATE,0.521
3097352,2,,,0.513
12017140,2,,,0.512
6593150,1,K03037.01,CANDIDATE,0.51
6606934,2,,,0.508
11391018,2,,,0.5
9791509,3,,,0.474
11252617,2,K06236.02,FALSE POSITIVE,0.466
3342467,2,,,0.458
5816165,1,K01043.01,FALSE POSITIVE,0.436
6209347,5,,,0.414
9149789,2,,,0.393
