kepid,plnt num,kname,dispos,RF,DT
2444412,1,K00103.01,CAND,1.0,0.4594
7023960,2,-,-,1.0,0.8593
7037540,2,-,-,1.0,0.8891
6762829,2,-,-,1.0,0.8386
6805146,2,-,-,1.0,0.7357
3734868,2,-,-,1.0,0.6429
7584650,1,K02631.01,CAND,1.0,0.8852
5092266,1,K03045.01,CAND,1.0,0.6268
5095635,1,K02607.01,CAND,1.0,0.5291
3097926,1,K02186.01,CAND,1.0,0.8043
10016874,1,K00426.01,CAND,1.0,0.8094
12504988,2,-,-,1.0,0.921
6131236,1,K01051.01,CAND,1.0,0.5419
10616571,3,-,-,1.0,0.7237
5031857,2,K01573.02,CAND,1.0,0.5842
4650733,1,K01659.01,CAND,1.0,0.5853
9836959,1,K01715.01,CAND,1.0,0.55
8552719,2,K01792.02,FP,1.0,0.8877
11126381,1,K01863.01,CAND,1.0,0.889
9838975,2,-,-,1.0,0.8791
4242147,1,K01934.01,CAND,1.0,0.803
10418797,2,-,-,1.0,0.7126
4851464,2,-,-,1.0,0.9225
9446824,2,-,-,1.0,0.9128
5978559,1,K02321.01,CAND,1.0,0.6981
5534941,1,K02332.01,CAND,1.0,0.969
8180020,2,-,-,1.0,0.9245
6866228,2,-,-,1.0,-
3342592,2,-,-,1.0,0.9349
5872150,3,-,-,1.0,0.7766
8263545,1,K02822.01,CAND,1.0,0.8877
8242681,2,-,-,1.0,-
8043714,2,-,-,1.0,0.8377
8655354,2,-,-,1.0,0.7264
8605074,2,-,-,1.0,0.6834
8892910,2,-,-,1.0,0.591
8845026,2,-,-,1.0,0.6628
6428794,1,K04054.01,CAND,1.0,0.8473
4814502,1,K04004.01,CAND,1.0,0.8686
9346253,2,-,-,1.0,0.8284
5982353,2,-,-,1.0,-
5213230,1,K03474.01,CAND,1.0,0.7202
5980783,1,K02967.01,CAND,1.0,0.6618
2581316,2,K03681.02,CAND,1.0,0.9322
6432345,1,K02757.01,CAND,1.0,0.7045
5003117,2,-,-,1.0,0.742
3970233,2,-,-,1.0,0.9721
9697131,1,K02706.01,CAND,1.0,0.6824
5370302,2,-,-,1.0,0.9077
5372966,2,-,-,1.0,0.8117
5979863,2,-,-,1.0,0.5929
5376836,2,-,-,1.0,0.8687
3862246,2,-,-,1.0,0.5654
11465950,1,K02620.01,CAND,1.0,0.5091
7975727,2,-,-,1.0,0.8524
8176650,2,-,-,1.0,0.8738
8651389,1,K01754.01,CAND,0.99,0.6789
10485250,2,-,-,0.99,0.7609
9995771,1,K03470.01,CAND,0.99,0.8209
11709124,2,-,-,0.99,0.938
10091110,3,-,-,0.99,0.7421
6666233,2,-,-,0.99,0.8369
1571511,2,-,-,0.99,0.666
5356593,2,-,-,0.99,0.8394
3231341,5,-,-,0.99,0.5552
11408935,2,-,-,0.99,0.8976
2449431,1,K02009.01,CAND,0.99,0.8628
2574338,1,K01030.01,CAND,0.99,0.5246
5042210,1,K02462.01,CAND,0.99,0.9674
6698670,2,-,-,0.99,0.8399
10904857,2,-,-,0.99,0.8789
10794087,1,K01316.01,CAND,0.99,0.8988
9411166,2,-,-,0.99,0.6844
7375348,2,K00266.02,CAND,0.99,0.6446
5775129,1,K02802.01,CAND,0.99,0.7195
2718778,1,K02489.01,CAND,0.989,-
8686150,2,-,-,0.989,0.8896
5786676,1,K00650.01,CAND,0.98,0.8106
4665571,2,K02393.02,CAND,0.98,0.6988
9649222,2,-,-,0.98,0.862
7972785,2,-,-,0.98,-
4840513,2,-,-,0.98,0.9464
9288786,2,-,-,0.98,0.8964
3831053,1,K00388.01,CAND,0.98,0.9664
5035972,2,-,-,0.98,0.561
6041734,2,-,-,0.979,0.5343
11189127,2,-,-,0.978,0.7677
7449554,1,K02357.01,CAND,0.978,0.7905
9071386,2,-,-,0.971,0.9423
8953059,2,-,-,0.971,0.9215
8953257,2,-,-,0.971,-
3102000,2,-,-,0.97,0.9134
6603756,2,-,-,0.97,-
12115188,2,-,-,0.97,0.7919
11601584,4,K01831.04,CAND,0.963,-
8823868,2,-,-,0.961,0.7048
3323887,3,-,-,0.959,0.42
5966810,1,K03909.01,CAND,0.958,0.5995
3323887,2,-,-,0.958,0.7137
5450814,2,-,-,0.957,0.5308
7362696,2,-,-,0.952,0.7662
11030475,2,-,-,0.951,0.7363
10186945,2,-,-,0.951,0.6569
