kepid,plnt,kepoi,koi,RF,plnt num,kname,dispos,GB_vif,LR,_merge
2444412,1.0,K00103.01,CAN,1.0,-,-,-,-,-,left_only
7023960,2.0,-,-,1.0,2.0,-,-,0.996,0.798,both
7037540,2.0,-,-,1.0,2.0,-,-,0.999,0.956,both
3342592,2.0,-,-,1.0,2.0,-,-,0.998,0.904,both
6762829,2.0,-,-,1.0,2.0,-,-,0.999,0.892,both
6805146,2.0,-,-,1.0,-,-,-,-,-,left_only
3734868,2.0,-,-,1.0,2.0,-,-,1.0,0.778,both
7584650,1.0,K02631.01,CAN,1.0,1.0,K02631.01,CAND,1.0,0.805,both
5092266,1.0,K03045.01,CAN,1.0,-,-,-,-,-,left_only
5095635,1.0,K02607.01,CAN,1.0,1.0,K02607.01,CAND,0.995,0.483,both
3097926,1.0,K02186.01,CAN,1.0,1.0,K02186.01,CAND,0.985,0.837,both
10016874,1.0,K00426.01,CAN,1.0,-,-,-,-,-,left_only
12504988,2.0,-,-,1.0,2.0,-,-,1.0,0.905,both
6131236,1.0,K01051.01,CAN,1.0,-,-,-,-,-,left_only
10616571,3.0,-,-,1.0,3.0,-,-,1.0,0.731,both
5031857,2.0,K01573.02,CAN,1.0,-,-,-,-,-,left_only
4650733,1.0,K01659.01,CAN,1.0,-,-,-,-,-,left_only
9836959,1.0,K01715.01,CAN,1.0,1.0,K01715.01,CAND,0.977,0.69,both
8552719,2.0,K01792.02,FP,1.0,2.0,K01792.02,FP,1.0,0.949,both
11126381,1.0,K01863.01,CAN,1.0,1.0,K01863.01,CAND,0.999,0.776,both
9838975,2.0,-,-,1.0,2.0,-,-,1.0,0.927,both
4242147,1.0,K01934.01,CAN,1.0,-,-,-,-,-,left_only
10418797,2.0,-,-,1.0,2.0,-,-,1.0,0.677,both
4851464,2.0,-,-,1.0,2.0,-,-,0.999,0.883,both
9446824,2.0,-,-,1.0,2.0,-,-,0.999,0.908,both
5978559,1.0,K02321.01,CAN,1.0,1.0,K02321.01,CAND,0.992,0.693,both
8180020,2.0,-,-,1.0,2.0,-,-,0.999,0.927,both
6866228,2.0,-,-,1.0,-,-,-,-,-,left_only
5534941,1.0,K02332.01,CAN,1.0,1.0,K02332.01,CAND,1.0,0.83,both
5872150,3.0,-,-,1.0,3.0,-,-,0.99,0.764,both
6432345,1.0,K02757.01,CAN,1.0,1.0,K02757.01,CAND,0.999,0.486,both
8242681,2.0,-,-,1.0,-,-,-,-,-,left_only
8043714,2.0,-,-,1.0,-,-,-,-,-,left_only
8655354,2.0,-,-,1.0,-,-,-,-,-,left_only
8605074,2.0,-,-,1.0,-,-,-,-,-,left_only
8892910,2.0,-,-,1.0,2.0,-,-,0.998,0.809,both
8845026,2.0,-,-,1.0,-,-,-,-,-,left_only
4814502,1.0,K04004.01,CAN,1.0,1.0,K04004.01,CAND,1.0,0.653,both
9346253,2.0,-,-,1.0,2.0,-,-,0.995,0.653,both
2581316,2.0,K03681.02,CAN,1.0,2.0,K03681.02,CAND,1.0,0.942,both
5213230,1.0,K03474.01,CAN,1.0,-,-,-,-,-,left_only
5980783,1.0,K02967.01,CAN,1.0,-,-,-,-,-,left_only
8263545,1.0,K02822.01,CAN,1.0,1.0,K02822.01,CAND,0.991,0.819,both
6428794,1.0,K04054.01,CAN,1.0,1.0,K04054.01,CAND,0.999,0.607,both
9697131,1.0,K02706.01,CAN,1.0,-,-,-,-,-,left_only
5003117,2.0,-,-,1.0,-,-,-,-,-,left_only
8176650,2.0,-,-,1.0,2.0,-,-,1.0,0.905,both
3970233,2.0,-,-,1.0,2.0,-,-,0.999,0.935,both
5979863,2.0,-,-,1.0,-,-,-,-,-,left_only
5370302,2.0,-,-,1.0,2.0,-,-,1.0,0.866,both
5372966,2.0,-,-,1.0,2.0,-,-,0.977,0.485,both
5982353,2.0,-,-,1.0,-,-,-,-,-,left_only
5376836,2.0,-,-,1.0,2.0,-,-,0.999,0.819,both
3862246,2.0,-,-,1.0,-,-,-,-,-,left_only
11465950,1.0,K02620.01,CAN,1.0,-,-,-,-,-,left_only
7975727,2.0,-,-,1.0,2.0,-,-,0.999,0.804,both
7375348,2.0,K00266.02,CAN,0.99009900990099,2.0,K00266.02,CAND,0.993,0.579,both
11408935,2.0,-,-,0.99009900990099,2.0,-,-,0.994,0.843,both
9411166,2.0,-,-,0.99009900990099,2.0,-,-,0.974,0.921,both
10794087,1.0,K01316.01,CAN,0.99009900990099,1.0,K01316.01,CAND,1.0,0.914,both
10904857,2.0,-,-,0.99009900990099,2.0,-,-,0.994,0.845,both
5775129,1.0,K02802.01,CAN,0.99,1.0,K02802.01,CAND,0.972,0.551,both
8651389,1.0,K01754.01,CAN,0.99,1.0,K01754.01,CAND,0.984,0.536,both
2449431,1.0,K02009.01,CAN,0.99,1.0,K02009.01,CAND,0.984,0.861,both
6698670,2.0,-,-,0.99,2.0,-,-,0.997,0.826,both
2574338,1.0,K01030.01,CAN,0.99,-,-,-,-,-,left_only
5042210,1.0,K02462.01,CAN,0.99,-,-,-,-,-,left_only
3231341,5.0,-,-,0.98989898989899,-,-,-,-,-,left_only
5356593,2.0,-,-,0.98989898989899,-,-,-,-,-,left_only
1571511,2.0,-,-,0.98989898989899,2.0,-,-,0.999,0.614,both
11709124,2.0,-,-,0.9897959183673468,2.0,-,-,1.0,0.867,both
10091110,3.0,-,-,0.9897959183673468,3.0,-,-,0.999,0.778,both
6666233,2.0,-,-,0.9897959183673468,2.0,-,-,1.0,0.727,both
9995771,1.0,K03470.01,CAN,0.9896907216494846,1.0,K03470.01,CAND,1.0,0.636,both
10485250,2.0,-,-,0.9895833333333334,-,-,-,-,-,left_only
2718778,1.0,K02489.01,CAN,0.9891304347826086,1.0,K02489.01,CAND,0.998,0.596,both
8686150,2.0,-,-,0.989010989010989,-,-,-,-,-,left_only
4840513,2.0,-,-,0.9803921568627452,2.0,-,-,1.0,0.512,both
