kepid,tce_plnt_num,kepoi_name,koi_disposition,LR,RF,_merge
8480285,1,K00691.01,CANDIDATE,0.9706059530954252,0.5117647058823529,both
8804455,2,K02159.02,FALSE POSITIVE,0.9631232278940268,0.4883720930232558,both
9071386,2,,,0.9557347910162326,0.7142857142857143,both
7037540,2,,,0.9557244709469828,0.9595959595959596,both
8552719,2,K01792.02,FALSE POSITIVE,0.9487754020059548,0.9375,both
3831053,1,K00388.01,CANDIDATE,0.9453818875226436,0.7889908256880733,both
2581316,2,K03681.02,CANDIDATE,0.941915509045006,0.9484536082474226,both
5709725,2,K00555.02,CANDIDATE,0.9370637135299164,0.5095541401273885,both
3970233,2,,,0.9341964705789324,0.8936170212765957,both
8180020,2,,,0.9273382982930952,0.935483870967742,both
9838975,2,,,0.9270479404121752,0.9690721649484536,both
9411166,2,,,0.9227521216326401,0.9052631578947368,both
10794087,1,K01316.01,CANDIDATE,0.9137344709175202,0.9484536082474226,both
9446824,2,,,0.9080442055524044,0.8411214953271028,both
8176650,2,,,0.905830233933342,0.96,both
12504988,2,,,0.9055002772659536,0.8421052631578947,both
3342592,2,,,0.9044903042289586,0.9021739130434784,both
5965819,1,K03319.01,CANDIDATE,0.9031617174083559,0.5180722891566265,both
6762829,2,,,0.8922718469693713,0.956989247311828,both
5770074,1,K01928.01,CANDIDATE,0.8883864633488309,0.5,both
4851464,2,,,0.8824296542030498,0.7476635514018691,both
9150827,1,K01408.01,CANDIDATE,0.8821728072301218,0.5088757396449705,both
5031857,2,K01573.02,CANDIDATE,0.8769722445751735,0.7604166666666666,both
5035972,2,,,0.8683967547620197,0.9247311827956992,both
5020319,1,K00635.01,CANDIDATE,0.8670179681962125,0.5139664804469274,both
11709124,2,,,0.8656555852368387,0.8191489361702128,both
5370302,2,,,0.8655425632536141,0.9411764705882352,both
11404644,2,,,0.8650993866331309,0.7901234567901234,both
7670943,1,K00269.01,CANDIDATE,0.8632907873054132,0.5,both
2449431,1,K02009.01,CANDIDATE,0.8617891736066127,0.797979797979798,both
10710755,2,,,0.8600168612424115,0.5128205128205129,both
5786676,1,K00650.01,CANDIDATE,0.8592188481464255,0.8888888888888891,both
9632895,2,,,0.8555739771296719,0.4782608695652174,both
10016874,1,K00426.01,CANDIDATE,0.8508500336101503,0.898989898989899,both
10904857,2,,,0.8456670676516821,0.8349514563106796,both
11408935,2,,,0.8438642981060842,0.8732394366197184,both
3097926,1,K02186.01,CANDIDATE,0.8369632648889792,0.8541666666666666,both
5534941,1,K02332.01,CANDIDATE,0.8316332904763761,0.7894736842105262,both
6698670,2,,,0.8262908220057831,0.8505747126436781,both
3102000,2,,,0.8225156070586537,0.85,both
9288786,2,,,0.8185703160155532,0.8265306122448979,both
8460600,2,,,0.8185565801118446,0.7093023255813954,both
5376836,2,,,0.8179655946294809,0.898989898989899,both
8263545,1,K02822.01,CANDIDATE,0.8168236576037807,0.7755102040816326,both
11030475,2,,,0.8155084133732633,0.768421052631579,both
10485250,2,,,0.8131157973766397,0.5833333333333334,both
9649222,2,,,0.8096920969264293,0.8837209302325582,both
8686150,2,,,0.8086598135356285,0.6176470588235294,both
8892910,2,,,0.8085456032633879,0.8953488372093024,both
7584650,1,K02631.01,CANDIDATE,0.805339913523726,0.9157894736842106,both
5042210,1,K02462.01,CANDIDATE,0.8040819916961566,0.8409090909090909,both
7975727,2,,,0.8037722074228348,0.9615384615384616,both
9697131,1,K02706.01,CANDIDATE,0.8027826504201552,0.4736842105263158,both
8043714,2,,,0.8020655920383682,0.84375,both
7023960,2,,,0.7987292897870781,0.8279569892473118,both
10287248,2,,,0.7927059633197556,0.6880733944954128,both
5780885,2,,,0.7860518124174964,0.5087719298245614,both
10091110,3,,,0.7772192093924147,0.923076923076923,both
5356593,2,,,0.7771429691605319,0.8695652173913043,both
3734868,2,,,0.7763001305792985,0.8446601941747572,both
11126381,1,K01863.01,CANDIDATE,0.7762990019730766,0.8476190476190476,both
8458207,2,,,0.7686034634326087,0.625,both
5872150,3,,,0.7644297479998605,0.89,both
4242147,1,K01934.01,CANDIDATE,0.7611137928356011,0.8817204301075269,both
9230021,1,K03429.01,CANDIDATE,0.7371919507971323,0.5067567567567568,both
10616571,3,,,0.7323452707670752,0.9108910891089108,both
6666233,2,,,0.7256424078009663,0.7232142857142857,both
7449554,1,K02357.01,CANDIDATE,0.7238620429965221,0.6415094339622641,both
10973664,2,K00601.02,CANDIDATE,0.7101584910221652,0.5118110236220472,both
10923260,2,,,0.7095740057734335,0.4883720930232558,both
10337517,1,K01165.01,CANDIDATE,0.6983165214477457,0.5029940119760479,both
5978559,1,K02321.01,CANDIDATE,0.6938113560937421,0.8585858585858586,both
9836959,1,K01715.01,CANDIDATE,0.6935971864072472,0.7653061224489796,both
9934208,2,,,0.6896679783229224,0.7111111111111111,both
8655354,2,,,0.6894800326673048,0.6,both
7362696,2,,,0.6840100259407587,0.8269230769230769,both
4862625,2,,,0.6829119213260991,0.41935483870967744,both
10418797,2,,,0.6792573456188787,0.8172043010752688,both
11192235,1,K02329.01,CANDIDATE,0.6734703893051158,0.425531914893617,both
8074805,2,,,0.6726638144331313,0.5,both
5980783,1,K02967.01,CANDIDATE,0.6618718417441881,0.8160919540229885,both
8162789,1,K00521.01,CANDIDATE,0.6594996191528503,0.4791666666666667,both
4547480,2,,,0.6576193104145388,0.5,both
