kepid,plnt num,kname,dispos,RF_vif,LR
9838975,2,-,-,0.99,0.927
3734868,2,-,-,0.99,0.778
5372966,2,-,-,0.99,0.485
8552719,2,K01792.02,FP,0.98,0.949
5092266,1,K03045.01,CAND,0.98,0.535
5376836,2,-,-,0.98,0.819
7037540,2,-,-,0.98,0.956
8180020,2,-,-,0.979,0.927
9446824,2,-,-,0.979,0.908
1571511,2,-,-,0.979,0.614
9411166,2,-,-,0.979,0.921
8892910,2,-,-,0.978,0.809
8176650,2,-,-,0.971,0.905
5370302,2,-,-,0.971,0.866
3970233,2,-,-,0.97,0.935
4814502,1,K04004.01,CAND,0.969,0.653
12504988,2,-,-,0.969,0.905
7972785,2,-,-,0.969,-
5980783,1,K02967.01,CAND,0.968,0.663
5031857,2,K01573.02,CAND,0.967,0.879
6762829,2,-,-,0.96,0.892
10016874,1,K00426.01,CAND,0.96,0.85
10904857,2,-,-,0.96,0.845
7584650,1,K02631.01,CAND,0.96,0.805
7975727,2,-,-,0.96,0.804
10616571,3,-,-,0.96,0.731
11465950,1,K02620.01,CAND,0.959,-
5978559,1,K02321.01,CAND,0.959,0.693
10794087,1,K01316.01,CAND,0.959,0.914
3097926,1,K02186.01,CAND,0.959,0.837
7023960,2,-,-,0.957,0.798
9995771,1,K03470.01,CAND,0.957,0.636
2581316,2,K03681.02,CAND,0.952,0.942
