kepid,tce_plnt_num,kepoi_name,koi_disposition,CANDIDATE,CONFIRMED,FALSE POSITIVE,y_pred
11446443,1,K00001.01,CONFIRMED,0.00020572942611643848,0.9997942596867918,1.0887091560465662e-08,CONFIRMED
10666592,1,K00002.01,CONFIRMED,6.656348563929345e-06,0.9998759726572051,0.00011737099423094972,CONFIRMED
10748390,1,K00003.01,CONFIRMED,7.555751384744621e-05,0.9998617893088894,6.265317726322687e-05,CONFIRMED
3861595,1,K00004.01,CONFIRMED,0.0005537593814045183,0.9994187307359292,2.7509882666128454e-05,CONFIRMED
8554498,1,K00005.01,CANDIDATE,0.9999874933108288,8.531645641310114e-06,3.975043529842713e-06,CANDIDATE
3248033,1,K00006.01,FALSE POSITIVE,2.514042382507965e-06,8.32440536809532e-07,0.9999966535170807,FALSE POSITIVE
11853905,1,K00007.01,CONFIRMED,9.490010624388963e-06,0.9999903690464081,1.4094296753132707e-07,CONFIRMED
5903312,1,K00008.01,FALSE POSITIVE,2.0522974754708052e-05,1.7813209987205827e-09,0.9999794752439244,FALSE POSITIVE
11553706,1,K00009.01,FALSE POSITIVE,1.4998666072528874e-05,5.8906717584309186e-08,0.9999849424272098,FALSE POSITIVE
6922244,1,K00010.01,CONFIRMED,4.4452656815289305e-05,0.9999532226685978,2.3246745868968e-06,CONFIRMED
11913073,1,K00011.01,FALSE POSITIVE,2.6102727304233388e-05,3.7952776245064254e-06,0.9999701019950712,FALSE POSITIVE
5812701,1,K00012.01,CONFIRMED,0.00011802861354334326,0.9998794026570873,2.5687293692205337e-06,CONFIRMED
9941662,1,K00013.01,CONFIRMED,0.012163123162239095,0.9878348684203239,2.008417437192827e-06,CONFIRMED
7684873,1,K00014.01,FALSE POSITIVE,0.0018075857783465218,2.5327283318789356e-07,0.9981921609488204,FALSE POSITIVE
3964562,1,K00015.01,FALSE POSITIVE,0.00013469828360560183,2.3736276758397846e-07,0.9998650643536269,FALSE POSITIVE
9110357,1,K00016.01,FALSE POSITIVE,0.000162091395992031,1.7945951815277618e-06,0.9998361140088264,FALSE POSITIVE
