kepid,kepoi_name,koi_disposition,tce_plnt_num,pca
11446443,K00001.01,CONFIRMED,1,8149225689.734189
10666592,K00002.01,CONFIRMED,1,8149225689.931921
10748390,K00003.01,CONFIRMED,1,8149225689.905061
3861595,K00004.01,CONFIRMED,1,8149225689.594845
8554498,K00005.01,CANDIDATE,1,8149225672.363998
3248033,K00006.01,FALSE POSITIVE,1,-584360428.7744716
11853905,K00007.01,CONFIRMED,1,8149225467.1795845
5903312,K00008.01,FALSE POSITIVE,1,2627046872.4677186
11553706,K00009.01,FALSE POSITIVE,1,8149225689.856285
6922244,K00010.01,CONFIRMED,1,8149225689.7377825
11913073,K00011.01,FALSE POSITIVE,1,-143651335.82444653
5812701,K00012.01,CONFIRMED,1,8149225689.8457365
9941662,K00013.01,CONFIRMED,1,8149225689.935233
7684873,K00014.01,FALSE POSITIVE,1,8149225141.043511
3964562,K00015.01,FALSE POSITIVE,1,8149225306.676099
9110357,K00016.01,FALSE POSITIVE,1,1982644235.8978064
10874614,K00017.01,CONFIRMED,1,8149225689.868338
8191672,K00018.01,CONFIRMED,1,8149225689.892054
7255336,K00019.01,FALSE POSITIVE,1,8149225689.774317
11804465,K00020.01,CONFIRMED,1,8149225689.812221
10125352,K00021.01,FALSE POSITIVE,1,8149225689.659264
9631995,K00022.01,CONFIRMED,1,8149225689.785786
9071386,K00023.01,FALSE POSITIVE,1,8149225689.918626
4743513,K00024.01,FALSE POSITIVE,1,8149225689.94639
10593759,K00025.01,FALSE POSITIVE,1,8149225689.893112
5021737,K00026.01,FALSE POSITIVE,1,5533039590.114385
3832716,K00027.01,FALSE POSITIVE,1,-2767557093.7114205
4247791,K00028.01,FALSE POSITIVE,1,8149225689.958005
6956014,K00031.01,FALSE POSITIVE,1,8149225311.280122
5725087,K00033.01,FALSE POSITIVE,1,-35379234.76170231
6521045,K00041.01,CONFIRMED,1,-611373869.6296306
6521045,K00041.02,CONFIRMED,2,-1565577970.2016516
6521045,K00041.03,CONFIRMED,3,-2274618098.286831
8866102,K00042.01,CONFIRMED,1,2404202068.677709
9025922,K00043.01,FALSE POSITIVE,1,-827531108.6476333
8845026,K00044.01,FALSE POSITIVE,1,3755959161.978671
3742855,K00045.01,FALSE POSITIVE,1,7024938863.104215
10905239,K00046.01,CONFIRMED,1,8149225498.778332
10905239,K00046.02,CONFIRMED,2,-2460262994.0832686
7837302,K00048.01,FALSE POSITIVE,1,8149225689.905182
9527334,K00049.01,CONFIRMED,1,2275179882.7661357
6056992,K00051.01,FALSE POSITIVE,1,8149225689.642279
3558981,K00052.01,FALSE POSITIVE,1,8149225689.915942
2445975,K00053.01,FALSE POSITIVE,1,8149225689.728814
8248939,K00061.01,FALSE POSITIVE,1,4724677642.414557
11554435,K00063.01,CONFIRMED,1,8149225689.780487
7051180,K00064.01,CANDIDATE,1,8149225689.655042
10620329,K00066.01,FALSE POSITIVE,1,8149224764.570388
8669092,K00068.01,FALSE POSITIVE,1,-2767556702.655412
3544595,K00069.01,CONFIRMED,1,8149224491.382947
6850504,K00070.01,CONFIRMED,1,4726575404.626754
6850504,K00070.02,CONFIRMED,2,5100946134.011453
6850504,K00070.03,CONFIRMED,3,-1090351216.954887
6850504,K00070.04,CONFIRMED,4,-1780005115.4260874
6850504,K00070.05,CONFIRMED,5,-2271098609.0644026
11904151,K00072.01,CONFIRMED,1,-191326322.46268508
11904151,K00072.02,CONFIRMED,2,1388237176.8058221
6889235,K00074.01,FALSE POSITIVE,1,8149225689.880502
