kepid,tce_plnt_num,kepoi_name,koi_disposition,XGB_vif_cap2
11709124,2,,,0.992
9411166,2,,,0.985
8552719,2,K01792.02,FALSE POSITIVE,0.979
7037540,2,,,0.979
5370302,2,,,0.974
7975727,2,,,0.974
9838975,2,,,0.974
2581316,2,K03681.02,CANDIDATE,0.968
7584650,1,K02631.01,CANDIDATE,0.967
9071386,2,,,0.963
5376836,2,,,0.963
1571511,2,,,0.96
6762829,2,,,0.96
12504988,2,,,0.957
6666233,2,,,0.953
10794087,1,K01316.01,CANDIDATE,0.951
3970233,2,,,0.951
9346253,2,,,0.95
6698670,2,,,0.949
10710755,2,,,0.949
9446824,2,,,0.946
11408935,2,,,0.945
8180020,2,,,0.941
10616571,3,,,0.939
10091110,3,,,0.939
10464078,2,,,0.936
8176650,2,,,0.935
2444412,1,K00103.01,CANDIDATE,0.935
9649222,2,,,0.933
3102000,2,,,0.929
5534941,1,K02332.01,CANDIDATE,0.929
9288786,2,,,0.927
5978559,1,K02321.01,CANDIDATE,0.927
3342592,2,,,0.921
6432345,1,K02757.01,CANDIDATE,0.914
5270698,2,,,0.912
12017140,2,,,0.912
4814502,1,K04004.01,CANDIDATE,0.911
7972785,2,,,0.91
3734868,2,,,0.907
10923260,2,,,0.906
3097926,1,K02186.01,CANDIDATE,0.902
10904857,2,,,0.9
5780885,2,,,0.898
5872150,3,,,0.894
6428794,1,K04054.01,CANDIDATE,0.894
11404644,2,,,0.89
10287248,2,,,0.889
12009347,2,,,0.886
8892910,2,,,0.886
6603756,2,,,0.885
5356593,2,,,0.883
12115188,2,,,0.874
8460600,2,,,0.874
5786676,1,K00650.01,CANDIDATE,0.872
6614926,2,,,0.869
3323887,3,,,0.856
10016874,1,K00426.01,CANDIDATE,0.853
7023960,2,,,0.852
4840513,2,,,0.851
5775129,1,K02802.01,CANDIDATE,0.85
11138155,1,K00760.01,CANDIDATE,0.85
6707942,2,,,0.848
4242147,1,K01934.01,CANDIDATE,0.845
8043714,2,,,0.841
7375348,2,K00266.02,CANDIDATE,0.84
8953059,2,,,0.838
6756669,2,,,0.838
9995771,1,K03470.01,CANDIDATE,0.838
11122894,3,K01426.03,CANDIDATE,0.835
7051180,1,K00064.01,CANDIDATE,0.826
5003117,2,,,0.816
5979863,2,,,0.814
9934208,2,,,0.813
6500206,2,,,0.81
9451127,2,,,0.807
5035972,2,,,0.803
11465950,1,K02620.01,CANDIDATE,0.801
8605074,2,,,0.801
4851464,2,,,0.799
3323887,2,,,0.799
8934495,1,K00524.01,CANDIDATE,0.793
11030475,2,,,0.788
8686150,2,,,0.786
