kepid,tce_plnt_num,kepoi_name,koi_disposition,XGB_vif
8176650,2,,,0.97253954
9838975,2,,,0.9717935
7975727,2,,,0.9658716999999999
10616571,3,,,0.96084654
10794087,1,K01316.01,CANDIDATE,0.9535834999999999
8180020,2,,,0.94612586
5370302,2,,,0.94386554
2581316,2,K03681.02,CANDIDATE,0.9427995000000001
3970233,2,,,0.93810457
7037540,2,,,0.93471915
5709725,2,K00555.02,CANDIDATE,0.93446165
10464078,2,,,0.92868096
6762829,2,,,0.9281686
11709124,2,,,0.9280055
9288786,2,,,0.9265856
9071386,2,,,0.92034996
8552719,2,K01792.02,FALSE POSITIVE,0.91348886
4149450,1,K01864.01,CANDIDATE,0.9130391999999999
6603756,2,,,0.9097083
1571511,2,,,0.90310776
9934208,2,,,0.8926992
8480285,1,K00691.01,CANDIDATE,0.8886379000000001
3342592,2,,,0.88778496
8953059,2,,,0.8830183000000001
9823487,1,K01489.01,CANDIDATE,0.88283587
5376836,2,,,0.88281363
5965819,1,K03319.01,CANDIDATE,0.87977016
9411166,2,,,0.8790875
5872150,3,,,0.8753706
8804455,2,K02159.02,FALSE POSITIVE,0.8746476000000001
7023960,2,,,0.87448806
12504988,2,,,0.8722446
9904006,2,K02135.02,CANDIDATE,0.8709891
3831053,1,K00388.01,CANDIDATE,0.8696127
3734868,2,,,0.86942106
5356593,2,,,0.86940205
10587105,3,K00339.03,CANDIDATE,0.86701816
11187837,1,K00252.01,CANDIDATE,0.86622083
6666233,2,,,0.86479723
12009347,2,,,0.86048305
5372966,2,,,0.8535943000000001
5786676,1,K00650.01,CANDIDATE,0.8533004000000001
7972785,2,,,0.8520033000000001
12505076,1,K02154.01,CANDIDATE,0.8511968000000001
10904857,2,,,0.8500919
5342473,1,K02297.01,CANDIDATE,0.8441401
11754430,2,K03403.02,CANDIDATE,0.8437061
11408935,2,,,0.83812004
6756669,2,,,0.83772504
5374854,2,K00645.02,CANDIDATE,0.83692855
10134152,1,K02056.01,CANDIDATE,0.836385
9446824,2,,,0.83488935
10867062,1,K01303.01,CANDIDATE,0.8307136
3641726,1,K00804.01,CANDIDATE,0.8294639000000001
7670943,1,K00269.01,CANDIDATE,0.8291331000000001
11566064,2,K00353.02,CANDIDATE,0.8287435
5020319,1,K00635.01,CANDIDATE,0.8281118000000001
9532710,1,K02364.01,FALSE POSITIVE,0.82287145
4840513,2,,,0.82266456
6587002,3,K00612.03,CANDIDATE,0.819634
9150827,1,K01408.01,CANDIDATE,0.8144251
4242147,1,K01934.01,CANDIDATE,0.81184304
10676824,1,K00599.01,CANDIDATE,0.81130135
9244756,1,K01969.01,CANDIDATE,0.8110751
5035972,2,,,0.8086102
4851464,2,,,0.8083298000000001
7584650,1,K02631.01,CANDIDATE,0.8073378000000001
12115188,2,,,0.8041811
7700622,1,K00315.01,CANDIDATE,0.80392015
11394027,1,K00349.01,CANDIDATE,0.8031919
8074805,2,,,0.7999310000000001
7202957,2,K02687.02,CANDIDATE,0.799659
4814502,1,K04004.01,CANDIDATE,0.7989822
9836959,1,K01715.01,CANDIDATE,0.7986031
7605600,2,,,0.79768276
3247268,2,K01089.02,CANDIDATE,0.7953336
4365645,1,K01738.01,CANDIDATE,0.7937979000000001
5770074,1,K01928.01,CANDIDATE,0.7932575
5972334,2,K00191.02,CANDIDATE,0.79270923
10337517,1,K01165.01,CANDIDATE,0.7921497
10319385,1,K01169.01,CANDIDATE,0.7889944999999999
5270698,2,,,0.7885115
7362696,2,,,0.7882123999999999
5780885,2,,,0.7877611999999999
3102000,2,,,0.7824926999999999
11030475,2,,,0.7823536
11874577,1,K02779.01,CANDIDATE,0.7819845
6698670,2,,,0.78171736
11074178,2,K01889.02,CANDIDATE,0.7800548
1026957,1,K00958.01,CANDIDATE,0.7765656999999999
6432345,1,K02757.01,CANDIDATE,0.77618206
5534941,1,K02332.01,CANDIDATE,0.7753918000000001
10016874,1,K00426.01,CANDIDATE,0.7738371
9006186,2,K02169.02,CANDIDATE,0.77379787
11122894,3,K01426.03,CANDIDATE,0.7709501
8263545,1,K02822.01,CANDIDATE,0.770686
5775129,1,K02802.01,CANDIDATE,0.767777
10091110,3,,,0.7675464
2449431,1,K02009.01,CANDIDATE,0.7658651999999999
9346253,2,,,0.76584846
8460600,2,,,0.76184446
3128552,3,K02055.03,CANDIDATE,0.76089936
10395543,1,K00531.01,CANDIDATE,0.7583939000000001
5792202,3,K00841.03,CANDIDATE,0.7570755
9474222,2,,,0.75687647
5972334,3,K00191.03,CANDIDATE,0.7562517
5095635,1,K02607.01,CANDIDATE,0.75591964
9872292,1,K01537.01,CANDIDATE,0.7557323
9605514,2,K00945.02,CANDIDATE,0.75474185
9528420,2,,,0.7529026
8892910,2,,,0.75097525
3323887,3,,,0.74787897
7287415,1,K01369.01,CANDIDATE,0.7477752
10186945,2,,,0.74731
10287248,2,,,0.7467468
8644365,1,K03384.01,CANDIDATE,0.7433561
7779077,1,K01842.01,CANDIDATE,0.74260956
11126381,1,K01863.01,CANDIDATE,0.7399585999999999
12120943,1,K01458.01,CANDIDATE,0.73983383
10418797,2,,,0.73953104
11967788,1,K04021.01,CANDIDATE,0.7366633
9886224,2,,,0.73392576
8456679,2,K00102.02,FALSE POSITIVE,0.73272467
6803202,1,K00177.01,CANDIDATE,0.7321434
4770365,2,K01475.02,CANDIDATE,0.7294019
8678594,2,K01261.02,CANDIDATE,0.72854954
4650733,1,K01659.01,CANDIDATE,0.72746384
5436013,1,K02471.01,CANDIDATE,0.72668433
6428794,1,K04054.01,CANDIDATE,0.7244244000000001
6041734,2,,,0.7232102
12170648,2,,,0.7157326
8780959,2,K03741.02,FALSE POSITIVE,0.71569884
9030537,1,K01892.01,CANDIDATE,0.7143289
9632895,2,,,0.71199167
9995771,1,K03470.01,CANDIDATE,0.71055585
9649222,2,,,0.71052843
5716932,1,K02358.01,CANDIDATE,0.7104995
2444412,1,K00103.01,CANDIDATE,0.7104438
9475552,2,K02694.02,CANDIDATE,0.7098875
3859628,1,K01191.01,CANDIDATE,0.70719254
5031857,2,K01573.02,CANDIDATE,0.70702744
10710755,2,,,0.7047249
9605514,1,K00945.01,CANDIDATE,0.7044431999999999
3218908,4,,,0.703397
5953297,1,K02733.01,CANDIDATE,0.7020163
9230021,1,K03429.01,CANDIDATE,0.7011901
5978559,1,K02321.01,CANDIDATE,0.69978774
11657614,1,K03370.01,CANDIDATE,0.6975627
9896018,2,K02579.02,CANDIDATE,0.69729346
6049190,1,K01685.01,CANDIDATE,0.6969599
3967326,1,K02084.01,CANDIDATE,0.6968248
3231341,5,,,0.69611627
11098013,1,K02712.01,CANDIDATE,0.6957876999999999
12644769,3,,,0.69506186
9636135,2,K01498.02,CANDIDATE,0.69260263
11852982,1,K00247.01,CANDIDATE,0.69075674
8073806,1,K02411.01,CANDIDATE,0.6895363
3097352,2,,,0.6883680999999999
6862721,1,K01982.01,CANDIDATE,0.688347
6762829,5,,,0.6878307
4164922,1,K03864.01,CANDIDATE,0.6864583000000001
2438513,1,K01944.01,CANDIDATE,0.6852099
11297236,1,K01857.01,CANDIDATE,0.6842348
11404644,2,,,0.6842099
11968463,3,K02433.03,CANDIDATE,0.6839829000000001
3558981,2,,,0.6836879
8753896,2,,,0.68001956
12785320,2,K00298.02,CANDIDATE,0.6788808000000001
8804845,1,K02039.01,CANDIDATE,0.67835337
7364176,1,K00373.01,CANDIDATE,0.677293
3097926,1,K02186.01,CANDIDATE,0.67691183
9697131,1,K02706.01,CANDIDATE,0.67607325
8894646,1,K02641.01,CANDIDATE,0.67332566
7375348,2,K00266.02,CANDIDATE,0.6729373000000001
9705459,2,,,0.6720866999999999
6500206,2,,,0.6702516
5794570,2,K02675.02,CANDIDATE,0.669858
12207117,2,,,0.66961527
8410415,1,K02291.01,CANDIDATE,0.66592765
11601584,4,K01831.04,CANDIDATE,0.6649391
3834322,2,,,0.6649358
7449554,1,K02357.01,CANDIDATE,0.66400486
5211199,1,K02158.01,CANDIDATE,0.6630619000000001
11568987,2,K00354.02,CANDIDATE,0.66064715
10005758,2,K01783.02,CANDIDATE,0.65706885
7289577,1,K01974.01,CANDIDATE,0.6566268
7877978,1,K02760.01,CANDIDATE,0.65286505
11599038,1,K01437.01,CANDIDATE,0.6522944
4951877,1,K00501.01,CANDIDATE,0.6520997
4770365,1,K01475.01,CANDIDATE,0.6520100999999999
8935810,1,K01395.01,CANDIDATE,0.6514368
2161536,1,K02130.01,CANDIDATE,0.6513321
6185476,3,,,0.64972854
10460984,3,K00474.03,CANDIDATE,0.6496632
12120307,3,K02597.03,CANDIDATE,0.64853793
10074466,1,K01917.01,CANDIDATE,0.64814997
8043714,2,,,0.64584386
10122538,5,K02926.05,CANDIDATE,0.645566
9837661,3,K02715.03,CANDIDATE,0.6410281
7183745,2,K02521.02,CANDIDATE,0.63943195
7938496,1,K00900.01,CANDIDATE,0.6380123000000001
11771430,1,K02582.01,CANDIDATE,0.6377421999999999
11071200,2,K02696.02,CANDIDATE,0.63734657
10485250,2,,,0.6366111
2854181,1,K02232.01,CANDIDATE,0.6364521
3940418,1,K00810.01,CANDIDATE,0.63595855
7120108,1,K02325.01,CANDIDATE,0.63565445
2718778,1,K02489.01,CANDIDATE,0.6353025
8018547,1,K00902.01,CANDIDATE,0.634745
4830605,1,K01660.01,CANDIDATE,0.63391185
5979863,2,,,0.6328014
8142942,1,K01985.01,CANDIDATE,0.6305549
5601258,1,K02191.01,CANDIDATE,0.63027525
3642741,1,K00242.01,FALSE POSITIVE,0.62947863
5195172,1,K01671.01,CANDIDATE,0.6294049
6291837,1,K00308.01,CANDIDATE,0.62939984
7135852,1,K00875.01,CANDIDATE,0.629075
4466677,2,K01338.02,CANDIDATE,0.6285656
4939265,3,,,0.6281536
6605493,1,K02559.01,CANDIDATE,0.62793
8321314,1,K02293.01,CANDIDATE,0.62526816
2164169,1,K01029.01,CANDIDATE,0.62465143
12121570,1,K02290.01,CANDIDATE,0.62362677
9654468,1,K02417.01,CANDIDATE,0.6229161999999999
4860678,1,K01602.01,CANDIDATE,0.6227585
8078502,1,K03383.01,CANDIDATE,0.6205864999999999
8631160,1,K01271.01,CANDIDATE,0.6205069999999999
4173026,1,K02172.01,CANDIDATE,0.6204960999999999
9472000,1,K02082.01,CANDIDATE,0.6201880999999999
11189127,2,,,0.6188482
5446285,3,,,0.6182270999999999
12105051,1,K00141.01,CANDIDATE,0.6165123
7939330,1,K01581.01,CANDIDATE,0.61479074
4140813,1,K02117.01,CANDIDATE,0.61372143
