kepid,tce_plnt_num,kepoi_name,koi_disposition,XGB_vif,bLR,mean
10794087,1,K01316.01,CANDIDATE,0.97272205,0.9892027100580424,0.9809623800290213
8176650,2,,,0.98469913,0.9757764496390876,0.9802377898195438
5370302,2,,,0.9747326,0.97283842096745,0.973785510483725
7037540,2,,,0.9491312,0.9972078931214066,0.9731695465607033
9838975,2,,,0.981128,0.9637848503951092,0.9724564251975546
7975727,2,,,0.9567386999999998,0.9880985930043652,0.9724186465021825
3970233,2,,,0.96110713,0.9721774550463472,0.9666422925231737
8180020,2,,,0.939875,0.9779364156136288,0.9589057078068144
5376836,2,,,0.9381303,0.975010634854859,0.9565704674274295
12504988,2,,,0.9463862,0.9658028396753005,0.9560945198376503
9288786,2,,,0.9622798,0.9466557274422804,0.9544677637211403
5872150,3,,,0.9288411,0.9611761917685856,0.9450086458842928
5534941,1,K02332.01,CANDIDATE,0.9164727,0.9698010244726044,0.9431368622363022
5786676,1,K00650.01,CANDIDATE,0.941012,0.9435437788958112,0.9422778894479056
9995771,1,K03470.01,CANDIDATE,0.9182208,0.9640796463490624,0.9411502231745312
3734868,2,,,0.9066372,0.9705486469274636,0.9385929234637318
7584650,1,K02631.01,CANDIDATE,0.9530812,0.9108807975270121,0.931980998763506
9446824,2,,,0.8787028,0.9798609104583098,0.9292818552291549
9071386,2,,,0.9227729,0.9329053066865856,0.9278391033432928
6762829,2,,,0.91168004,0.9250462161484321,0.918363128074216
10904857,2,,,0.93423617,0.8986947458657927,0.9164654579328964
4814502,1,K04004.01,CANDIDATE,0.93857133,0.8649848966620733,0.9017781133310367
4840513,2,,,0.88344204,0.9166591630776944,0.9000506015388472
10616571,3,,,0.9384949,0.8457273804785451,0.8921111402392725
8480285,1,K00691.01,CANDIDATE,0.78138703,0.9971185204722098,0.8892527752361049
8552719,2,K01792.02,FALSE POSITIVE,0.86896914,0.909302867653159,0.8891360038265795
9150827,1,K01408.01,CANDIDATE,0.78532714,0.9749210073277068,0.8801240736638534
3641726,1,K00804.01,CANDIDATE,0.82374966,0.9359356613080098,0.8798426606540048
3342592,2,,,0.8874501,0.8639791462110773,0.8757146231055386
9823487,1,K01489.01,CANDIDATE,0.78334105,0.9523545895772424,0.8678478197886212
6803202,1,K00177.01,CANDIDATE,0.7250644,0.991078092666722,0.8580712463333611
8644365,1,K03384.01,CANDIDATE,0.72919387,0.9845727100787446,0.8568832900393724
10016874,1,K00426.01,CANDIDATE,0.78695786,0.9242254286209176,0.8555916443104588
3831053,1,K00388.01,CANDIDATE,0.7268302,0.9796321281673862,0.8532311640836931
5035972,2,,,0.8167989999999999,0.8848026452156703,0.8508008226078352
6698670,2,,,0.8755075000000001,0.8220630651856848,0.8487852825928425
2449431,1,K02009.01,CANDIDATE,0.8878889999999999,0.8079750312166121,0.847932015608306
10091110,3,,,0.8248757999999999,0.8534648877675332,0.8391703438837665
5965819,1,K03319.01,CANDIDATE,0.6843918000000001,0.9913034310113256,0.8378476155056629
8263545,1,K02822.01,CANDIDATE,0.8048886,0.8706926078524811,0.8377906039262406
4149450,1,K01864.01,CANDIDATE,0.7023041999999999,0.9728216032355596,0.8375629016177797
12505076,1,K02154.01,CANDIDATE,0.67815864,0.9885161836734868,0.8333374118367434
2581316,2,K03681.02,CANDIDATE,0.9202352,0.7434660130016679,0.831850606500834
4242147,1,K01934.01,CANDIDATE,0.89510304,0.7667095735176646,0.8309063067588323
5775129,1,K02802.01,CANDIDATE,0.77727205,0.8741586789823745,0.8257153644911872
8804455,2,K02159.02,FALSE POSITIVE,0.67036515,0.967421769521848,0.818893459760924
8953059,2,,,0.87927604,0.7570214269864773,0.8181487334932387
8804845,1,K02039.01,CANDIDATE,0.66502565,0.9688429270142992,0.8169342885071496
2718778,1,K02489.01,CANDIDATE,0.68072146,0.949752677389922,0.815237068694961
