kepid,tce_plnt_num,kepoi_name,bDT
2444412,1,K00103.01,1.0
8700506,5,,1.0
8896357,3,,1.0
8953257,2,,1.0
8845026,2,,1.0
8782561,1,,1.0
8782561,2,,1.0
8782821,2,,1.0
8836388,1,,1.0
8741677,2,,1.0
8711548,3,,1.0
8678664,2,,1.0
8743244,3,,1.0
8740378,1,,1.0
8840083,1,,1.0
8849165,1,,1.0
8849165,3,,1.0
8701099,2,,1.0
8715392,1,,1.0
8801343,2,,1.0
8682132,2,,1.0
8682555,1,,1.0
8753896,2,,1.0
8869855,1,,1.0
8953059,2,,1.0
9026611,1,,1.0
8892910,2,,1.0
8938257,7,,1.0
8363997,1,,1.0
8423343,1,,1.0
8481420,2,,1.0
8364119,3,,1.0
8374396,2,,1.0
8424446,1,,1.0
8424446,2,,1.0
8329014,1,,1.0
8447096,2,,1.0
8458207,2,,1.0
8344381,3,,1.0
8458662,2,,1.0
8380743,4,,1.0
8479107,2,,1.0
8416523,2,,1.0
8378462,3,,1.0
8362899,4,,1.0
8378922,3,,1.0
8977223,1,,1.0
9071343,2,,1.0
9071386,2,,1.0
8750446,1,,1.0
8740378,2,,1.0
7269881,2,,1.0
9288786,2,,1.0
9411166,2,,1.0
9480874,1,,1.0
9552608,2,,1.0
9267818,6,,1.0
9116222,5,,1.0
9098590,2,,1.0
9111849,2,,1.0
9111849,3,,1.0
9111849,4,,1.0
9111849,5,,1.0
9111849,6,,1.0
9368220,1,,1.0
9111849,7,,1.0
9111849,8,,1.0
9111849,9,,1.0
9304797,1,,1.0
9304797,4,,1.0
9142714,4,,1.0
9164938,2,,1.0
9239211,2,,1.0
9239681,1,,1.0
9099950,8,,1.0
9446824,2,,1.0
9471360,2,,1.0
9550886,2,,1.0
9479539,1,,1.0
9413313,1,,1.0
9468199,1,,1.0
9474222,2,,1.0
9488445,2,,1.0
9468199,5,,1.0
9406936,1,,1.0
9468199,9,,1.0
9468199,10,,1.0
9474717,2,,1.0
9369547,3,,1.0
9395246,1,,1.0
9413885,3,,1.0
9531991,1,,1.0
9353572,1,,1.0
9453452,4,,1.0
9520700,2,,1.0
9346253,2,,1.0
9429060,2,,1.0
9429998,2,,1.0
9526946,3,,1.0
9408654,2,,1.0
