kepid,tce_plnt_num,kepoi_name,bGB
11709124,2,,0.9760374528616204
8552719,2,K01792.02,0.9690629170262154
10794087,1,K01316.01,0.9599938353887328
5965819,1,K03319.01,0.9585877633697608
9411166,2,,0.9555188702178246
11958955,6,,0.9540173750799132
10616571,3,,0.9523058606456952
7037540,2,,0.9434276292889646
8480285,1,K00691.01,0.942462999792281
9334893,1,K02298.01,0.9403861446214504
9230021,1,K03429.01,0.9289244603903858
2581316,2,K03681.02,0.9256967669439558
9711782,1,,0.9236900999991484
4814290,1,,0.9235505283789488
8613535,1,K02263.01,0.923288995008262
11122894,3,K01426.03,0.9207015942687508
8644365,1,K03384.01,0.9186458215321311
5020319,1,K00635.01,0.9178152068667298
9071386,2,,0.9155987885322192
9150827,1,K01408.01,0.9146844407178168
9904006,2,K02135.02,0.9112902676145828
12018440,1,,0.9100309269973954
6946199,2,K01359.02,0.9096057973266632
12505076,1,K02154.01,0.9085799676518108
5709725,2,K00555.02,0.9075859707155612
5770074,1,K01928.01,0.9070353259512084
11566064,2,K00353.02,0.9055871288085456
9605514,1,K00945.01,0.9043657031514132
7584650,1,K02631.01,0.90283316977517
7364176,1,K00373.01,0.9027611570768209
10587105,3,K00339.03,0.9015299428180832
8180020,2,,0.8972251681296451
7975727,2,,0.8962402687896186
4385148,2,K02942.02,0.8959203379941112
3641726,1,K00804.01,0.8953000460104549
5374854,2,K00645.02,0.8951211507534687
4840513,2,,0.8940602814066736
7700880,8,,0.8910813039398993
7281980,1,,0.8881158397368686
5372966,2,,0.8869141033312976
10337517,1,K01165.01,0.8866680036274727
11394027,1,K00349.01,0.8850428008419011
7202957,2,K02687.02,0.8850204958243346
11810124,1,K03344.01,0.8811463133460048
11187837,1,K00252.01,0.8810436487476176
9446824,2,,0.8809599316370654
9995771,1,K03470.01,0.8808598377395205
10074466,1,K01917.01,0.8800906384802307
11074178,2,K01889.02,0.873856923980273
10016874,1,K00426.01,0.8724522624755624
8176650,2,,0.8714019986138033
3342592,2,,0.8705358577581416
3970233,2,,0.8700040472299885
11126381,1,K01863.01,0.8696716192440335
6605493,1,K02559.01,0.8694590141055027
11030475,1,K02248.01,0.8683266381081282
7820035,1,,0.8677189849424359
9605514,2,K00945.02,0.8677188505134604
