kepid,tce_plnt_num,kepoi_name,bGB,bLR,mean
5965819,1,K03319.01,0.9585877633697608,0.9912760032018508,0.9749318832858058
10794087,1,K01316.01,0.9599938353887328,0.9892180898858132,0.974605962637273
7037540,2,,0.9434276292889646,0.9972114213355108,0.9703195253122376
8480285,1,K00691.01,0.942462999792281,0.9971112684240364,0.9697871341081588
9230021,1,K03429.01,0.9289244603903858,0.9897470915334844,0.9593357759619351
5020319,1,K00635.01,0.9178152068667298,0.9890794406075768,0.9534473237371532
8644365,1,K03384.01,0.9186458215321311,0.9845284332780416,0.9515871274050864
12505076,1,K02154.01,0.9085799676518108,0.9885143417698268,0.9485471547108189
9904006,2,K02135.02,0.9112902676145828,0.9852302495043884,0.9482602585594856
9150827,1,K01408.01,0.9146844407178168,0.9749646514418508,0.9448245460798339
7975727,2,,0.8962402687896186,0.9880610143850441,0.9421506415873313
8552719,2,K01792.02,0.9690629170262154,0.9088994760743372,0.9389811965502763
8180020,2,,0.8972251681296451,0.9778501424485572,0.9375376552891012
9446824,2,,0.8809599316370654,0.9798370785321524,0.9303985050846089
5972334,2,K00191.02,0.8635234956779467,0.990744622765666,0.9271340592218064
11394027,1,K00349.01,0.8850428008419011,0.9684993793945548,0.926771090118228
5374854,2,K00645.02,0.8951211507534687,0.9582493793538044,0.9266852650536366
9071386,2,,0.9155987885322192,0.9327227906486656,0.9241607895904425
8176650,2,,0.8714019986138033,0.9757665358870712,0.9235842672504373
11187837,1,K00252.01,0.8810436487476176,0.9653902570215244,0.9232169528845711
11754430,2,K03403.02,0.8659767575071456,0.9797338583660112,0.9228553079365784
9995771,1,K03470.01,0.8808598377395205,0.9640380809087816,0.922448959324151
3970233,2,,0.8700040472299885,0.9720776609953978,0.9210408541126931
10587105,3,K00339.03,0.9015299428180832,0.93706686535884,0.9192984040884615
5370302,2,,0.8621620729291248,0.9726782069886759,0.9174201399589004
3641726,1,K00804.01,0.8953000460104549,0.9357115146266276,0.9155057803185412
9838975,2,,0.8659435442620901,0.9637109404999936,0.9148272423810418
5872150,3,,0.8628394443839145,0.9611349211605252,0.9119871827722199
7584650,1,K02631.01,0.9028331697751701,0.9113299277965992,0.9070815487858847
4840513,2,,0.8940602814066736,0.9165167358499798,0.9052885086283267
6356692,1,K02948.01,0.8210663304919286,0.9878582297769796,0.9044622801344541
4149450,1,K01864.01,0.8350333926142565,0.9727300401138841,0.9038817163640702
5770074,1,K01928.01,0.9070353259512084,0.8972063756933671,0.9021208508222878
10616571,3,,0.9523058606456952,0.8454299582406704,0.8988679094431828
10016874,1,K00426.01,0.8724522624755624,0.9240108001280241,0.8982315313017932
9288786,2,,0.8483366598176786,0.9465667801110984,0.8974517199643886
10676824,1,K00599.01,0.815888470775183,0.97883075884295,0.8973596148090666
7938496,1,K00900.01,0.8088603867641742,0.9816769497953194,0.8952686682797468
3247268,2,K01089.02,0.8430019576157333,0.9464650698890404,0.8947335137523869
11566064,2,K00353.02,0.9055871288085456,0.8798808858933346,0.8927340073509401
11030475,1,K02248.01,0.8683266381081282,0.9145166910291728,0.8914216645686505
11657614,1,K03370.01,0.8155449589739057,0.9602626390922294,0.8879037990330676
5794570,2,K02675.02,0.8007194842702565,0.9683594127404204,0.8845394485053384
6803202,1,K00177.01,0.7698223333050482,0.9910586436861064,0.8804404884955773
12504988,2,,0.7828077961871296,0.9658137669688364,0.8743107815779829
7670943,1,K00269.01,0.8498076330346359,0.8977758393843742,0.8737917362095051
8804455,2,K02159.02,0.7784614384034699,0.9674342863595532,0.8729478623815116
3940418,1,K00810.01,0.7817568628154382,0.9607284096715693,0.8712426362435037
12120307,3,K02597.03,0.8056698580968059,0.9367621353101416,0.8712159967034738
5786676,1,K00650.01,0.7960109714016788,0.9435522956369856,0.8697816335193322
6762829,2,,0.8135147910134113,0.9250016832317712,0.8692582371225912
9823487,1,K01489.01,0.7835873109818086,0.952307064661011,0.8679471878214098
5376836,2,,0.760422487944999,0.9748339693972656,0.8676282286711323
8804845,1,K02039.01,0.7661925558778391,0.9688539016749204,0.8675232287763797
5035972,2,,0.8503300800820666,0.8845238127671089,0.8674269464245877
3342592,2,,0.8705358577581416,0.8638873681558659,0.8672116129570038
7287415,1,K01369.01,0.7758480597880615,0.9531565874881044,0.8645023236380829
10904857,2,,0.8256585024295798,0.8982302528122297,0.8619443776209048
10875007,1,K04149.01,0.7697053532602574,0.953421886075782,0.8615636196680196
3831053,1,K00388.01,0.7430914846104322,0.9796407402000484,0.8613661124052403
5531953,1,K01681.01,0.7502645634375524,0.9689361724165264,0.8596003679270394
7202957,2,K02687.02,0.8850204958243346,0.8288285892965229,0.8569245425604288
4140813,1,K02117.01,0.8364402489962064,0.8760710103566698,0.8562556296764381
5342473,1,K02297.01,0.7880591228980454,0.9174659536634879,0.8527625382807666
2438513,1,K01944.01,0.742818136579359,0.9563670987912531,0.8495926176853061
9605514,1,K00945.01,0.9043657031514132,0.794396573744052,0.8493811384477326
8678594,2,K01261.02,0.7835800862043409,0.9068257047896308,0.8452028954969859
5792202,3,K00841.03,0.862937256540238,0.8269470512116104,0.8449421538759242
11853878,2,K01833.02,0.7779047354708241,0.906766290051928,0.8423355127613761
5775129,1,K02802.01,0.8103421707387244,0.8742678839162737,0.842305027327499
11122894,3,K01426.03,0.9207015942687508,0.7617744802562607,0.8412380372625057
11568987,2,K00354.02,0.6910609179491622,0.9909347928096636,0.8409978553794129
7135852,1,K00875.01,0.7106110565449182,0.9681151184667359,0.8393630875058271
9837661,3,K02715.03,0.7405554099005601,0.9374482824736786,0.8390018461871194
11709124,2,,0.9760374528616204,0.7003044107598149,0.8381709318107176
11126381,1,K01863.01,0.8696716192440335,0.8053109428878884,0.8374912810659609
10074466,1,K01917.01,0.8800906384802307,0.7947143968753185,0.8374025176777746
