kepid,tce_plnt_num,kepoi_name,koi_disposition,bLR,GB,_merge
7037540,2,,,0.9972114213355108,0.994433608378012,both
8480285,1,K00691.01,FALSE POSITIVE,0.9971112684240364,,left_only
5965819,1,K03319.01,FALSE POSITIVE,0.9912760032018508,,left_only
6803202,1,K00177.01,FALSE POSITIVE,0.9910586436861064,,left_only
11568987,2,K00354.02,FALSE POSITIVE,0.9909347928096636,,left_only
5972334,2,K00191.02,FALSE POSITIVE,0.990744622765666,,left_only
9230021,1,K03429.01,FALSE POSITIVE,0.9897470915334844,,left_only
10794087,1,K01316.01,FALSE POSITIVE,0.9892180898858132,,left_only
11513486,1,K04748.01,FALSE POSITIVE,0.9891569006999192,,left_only
5020319,1,K00635.01,FALSE POSITIVE,0.9890794406075768,,left_only
12505076,1,K02154.01,FALSE POSITIVE,0.9885143417698268,,left_only
7975727,2,,,0.9880610143850441,0.9886258866020968,both
6356692,1,K02948.01,FALSE POSITIVE,0.9878582297769796,,left_only
9904006,2,K02135.02,FALSE POSITIVE,0.9852302495043884,,left_only
8644365,1,K03384.01,FALSE POSITIVE,0.9845284332780416,,left_only
7938496,1,K00900.01,FALSE POSITIVE,0.9816769497953194,,left_only
9446824,2,,,0.9798370785321524,0.9808892534497824,both
11754430,2,K03403.02,FALSE POSITIVE,0.9797338583660112,,left_only
3831053,1,K00388.01,FALSE POSITIVE,0.9796407402000484,,left_only
10676824,1,K00599.01,FALSE POSITIVE,0.97883075884295,,left_only
8180020,2,,,0.9778501424485572,0.9777526006971512,both
8176650,2,,,0.9757665358870712,0.9934796826458756,both
9150827,1,K01408.01,FALSE POSITIVE,0.9749646514418508,,left_only
5376836,2,,,0.9748339693972656,0.9403791267447392,both
3937519,2,K00221.02,FALSE POSITIVE,0.9743160035501508,,left_only
4149450,1,K01864.01,FALSE POSITIVE,0.9727300401138841,,left_only
5370302,2,,,0.9726782069886759,0.9910021083276712,both
8456679,2,K00102.02,FALSE POSITIVE,0.9725595184134136,,left_only
3970233,2,,,0.9720776609953978,0.9727631516933204,both
3734868,2,,,0.9703571169793598,0.8487152969922137,both
5534941,1,K02332.01,FALSE POSITIVE,0.9697479154681828,,left_only
3545135,1,K02755.01,FALSE POSITIVE,0.969141722349939,,left_only
5531953,1,K01681.01,FALSE POSITIVE,0.9689361724165264,,left_only
8804845,1,K02039.01,FALSE POSITIVE,0.9688539016749204,,left_only
11394027,1,K00349.01,FALSE POSITIVE,0.9684993793945548,,left_only
5794570,2,K02675.02,FALSE POSITIVE,0.9683594127404204,,left_only
7135852,1,K00875.01,FALSE POSITIVE,0.9681151184667359,,left_only
8804455,2,K02159.02,FALSE POSITIVE,0.9674342863595532,,left_only
12504988,2,,,0.9658137669688364,0.9844424448719123,both
11187837,1,K00252.01,FALSE POSITIVE,0.9653902570215244,,left_only
9995771,1,K03470.01,FALSE POSITIVE,0.9640380809087816,,left_only
9838975,2,,,0.9637109404999936,0.9809930332976012,both
11852982,1,K00247.01,FALSE POSITIVE,0.9631138490326188,,left_only
5872150,3,,,0.9611349211605252,0.9870536732830268,both
3940418,1,K00810.01,FALSE POSITIVE,0.9607284096715693,,left_only
11657614,1,K03370.01,FALSE POSITIVE,0.9602626390922294,,left_only
5374854,2,K00645.02,FALSE POSITIVE,0.9582493793538044,,left_only
2438513,1,K01944.01,FALSE POSITIVE,0.9563670987912531,,left_only
11967788,2,K04021.02,FALSE POSITIVE,0.955039483567078,,left_only
10875007,1,K04149.01,FALSE POSITIVE,0.953421886075782,,left_only
7287415,1,K01369.01,FALSE POSITIVE,0.9531565874881044,,left_only
9936080,1,K04431.01,FALSE POSITIVE,0.953053614603716,,left_only
9823487,1,K01489.01,FALSE POSITIVE,0.952307064661011,,left_only
